Mo-95(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 674.063
1.25000E-05 602.900
1.50000E-05 550.370
2.00000E-05 476.634
2.58114E-05 419.560
3.16228E-05 379.053
4.08114E-05 333.664
5.00000E-05 301.450
6.25000E-05 269.625
7.50000E-05 246.133
0.000100000 213.157
0.000125000 190.653
0.000150000 174.042
0.000200000 150.724
0.000258114 132.676
0.000316228 119.866
0.000408114 105.513
0.000500000 95.3256
0.000625000 85.2615
0.000750000 77.8325
0.00100000 67.4045
0.00125000 60.2880
0.00150000 55.0348
0.00200000 47.6609
0.00258114 41.9531
0.00316228 37.9021
0.00408114 33.3628
0.00500000 30.1409
0.00625000 26.9580
0.00750000 24.6083
0.0100000 21.3100
0.0125000 19.0590
0.0150000 17.3972
0.0200000 15.0644
0.0253000 13.3920
0.0316228 11.9765
0.0408114 10.5398
0.0500000 9.51990
0.0625000 8.51201
0.0750000 7.76777
0.100000 6.72262
0.125000 6.00891
0.150000 5.48173
0.200000 4.74109
0.258114 4.16706
0.316228 3.75910
0.408114 3.30121
0.500000 2.97560
0.750000 2.41472
1.00000 2.07894
1.50000 1.67881
2.00000 1.43932
2.58114 1.25376
3.16228 1.12236
4.08114 0.976338
5.00000 0.874552
7.50000 0.709338
9.99999 0.625467
10.0000 0.625466
10.0001 0.625464
10.0001 0.625463
10.0003 0.625460
10.0005 0.625454
10.0011 0.625442
10.0021 0.625417
10.0042 0.625368
10.0083 0.625271
10.0165 0.625076
10.0331 0.624688
10.0661 0.623917
10.1322 0.622397
10.2644 0.619440
10.5288 0.613849
11.0577 0.603893
12.1153 0.588430
12.1153 0.588430
12.1154 0.588429
12.1155 0.588428
12.1156 0.588426
12.1159 0.588422
12.1166 0.588414
12.1178 0.588399
12.1203 0.588369
12.1253 0.588309
12.1353 0.588190
12.1554 0.587952
12.1954 0.587482
12.2755 0.586564
12.4357 0.584815
12.7560 0.581665
13.3967 0.576694
14.6780 0.571750
14.6780 0.571750
14.6781 0.571750
14.6781 0.571750
14.6782 0.571749
14.6784 0.571749
14.6788 0.571749
14.6795 0.571748
14.6811 0.571746
14.6841 0.571742
14.6901 0.571733
14.7023 0.571718
14.7265 0.571688
14.7750 0.571635
14.8721 0.571556
15.0661 0.571505
15.4542 0.571825
16.2304 0.574143
17.7828 0.585497
17.7828 0.585498
17.7829 0.585498
17.7830 0.585499
17.7831 0.585500
17.7834 0.585503
17.7839 0.585509
17.7850 0.585520
17.7872 0.585542
17.7915 0.585586
17.8001 0.585676
17.8175 0.585855
17.8521 0.586216
17.9214 0.586954
18.0600 0.588485
18.3371 0.591771
18.8914 0.599261
20.0000 0.618079
21.5443 0.653688
21.5443 0.653688
21.5444 0.653690
21.5445 0.653692
21.5446 0.653696
21.5449 0.653703
21.5454 0.653718
21.5465 0.653748
21.5488 0.653808
21.5532 0.653929
21.5621 0.654169
21.5799 0.654651
21.6155 0.655621
21.6867 0.657580
21.8291 0.661582
22.1140 0.669926
22.6836 0.688034
23.8230 0.730509
26.1016 0.846671
26.1016 0.846672
26.1017 0.846675
26.1017 0.846678
26.1018 0.846683
26.1020 0.846693
26.1023 0.846714
26.1030 0.846756
26.1043 0.846840
26.1070 0.847008
26.1124 0.847343
26.1232 0.848015
26.1448 0.849363
26.1879 0.852073
26.2742 0.857560
26.4467 0.868793
26.7918 0.892349
27.4819 0.944204
28.8622 1.07063
31.6228 1.46019
31.6228 1.46019
31.6229 1.46020
31.6229 1.46021
31.6230 1.46023
31.6232 1.46027
31.6236 1.46034
31.6245 1.46050
31.6261 1.46081
31.6294 1.46142
31.6359 1.46265
31.6489 1.46512
31.6751 1.47009
31.7273 1.48010
31.8319 1.50051
32.0409 1.54286
32.4590 1.63422
33.2951 1.84817
34.9674 2.45354
36.6396 3.47274
38.3119 5.39088
38.3119 5.39091
38.3120 5.39099
38.3120 5.39107
38.3121 5.39122
38.3123 5.39152
38.3127 5.39214
38.3134 5.39335
38.3149 5.39579
38.3179 5.40066
38.3240 5.41043
38.3360 5.43006
38.3601 5.46964
38.4084 5.55019
38.5048 5.71695
38.6977 6.07493
39.0836 6.90471
39.8552 9.19924
40.6268 12.9244
41.0127 15.7289
41.3985 19.5823
41.7843 25.0839
42.1701 33.3302
42.5559 46.5086
42.9417 69.5106
43.1346 88.0606
43.3276 115.200
43.5205 157.150
43.7134 226.918
43.9063 355.381
44.0027 464.149
44.0992 630.121
44.1957 899.578
44.2921 1372.10
44.3886 2279.02
44.4368 3042.64
44.4850 4134.33
44.5625 6607.74
44.6400 8245.46
44.7175 6585.06
44.7950 4111.24
44.8457 2977.07
44.8963 2199.60
44.9976 1297.82
45.0989 839.444
45.2002 582.366
45.3015 425.792
45.4028 324.068
45.6055 204.957
45.8081 140.852
46.0107 102.564
46.2133 77.9264
46.4159 61.1624
46.4159 61.1610
46.4160 61.1568
46.4160 61.1534
46.4161 61.1458
46.4164 61.1307
46.4168 61.1003
46.4177 61.0398
46.4194 60.9196
46.4229 60.6804
46.4299 60.2060
46.4439 59.2737
46.4719 57.4724
46.5279 54.1059
46.6399 48.1974
46.8639 38.9361
47.3119 26.8981
47.7600 19.6630
48.2080 14.9826
49.1040 9.50335
50.0000 6.54533
50.7793 4.95967
51.5585 3.88312
53.1171 2.55901
54.6756 1.80816
56.2341 1.34274
56.2341 1.34273
56.2342 1.34272
56.2342 1.34271
56.2343 1.34269
56.2345 1.34265
56.2348 1.34256
56.2356 1.34239
56.2370 1.34204
56.2399 1.34135
56.2457 1.33996
56.2574 1.33720
56.2806 1.33170
56.3271 1.32080
56.4200 1.29939
56.6058 1.25809
56.9776 1.18112
57.7210 1.04674
59.2079 0.838090
62.1817 0.571079
65.1554 0.413442
68.1292 0.312926
68.1292 0.312925
68.1293 0.312924
68.1293 0.312922
68.1294 0.312919
68.1297 0.312913
68.1301 0.312901
68.1310 0.312877
68.1327 0.312829
68.1363 0.312733
68.1433 0.312540
68.1574 0.312156
68.1855 0.311390
68.2418 0.309866
68.3544 0.306852
68.5796 0.300954
69.0299 0.289657
69.9306 0.268893
71.7320 0.233561
75.3348 0.181080
82.5404 0.118404
82.5404 0.118404
82.5405 0.118404
82.5406 0.118403
82.5407 0.118403
82.5410 0.118401
82.5415 0.118398
82.5426 0.118391
82.5447 0.118378
82.5489 0.118351
82.5575 0.118298
82.5745 0.118192
82.6086 0.117981
82.6768 0.117559
82.8132 0.116724
83.0860 0.115081
83.6316 0.111903
84.7229 0.105947
86.9053 0.0954518
91.2702 0.0789487
99.9999 0.0583470
100.000 0.0583467
100.001 0.0583456
100.001 0.0583447
100.003 0.0583426
100.005 0.0583387
100.010 0.0583310
100.020 0.0583154
100.040 0.0582844
100.080 0.0582227
100.160 0.0581002
100.320 0.0578590
100.641 0.0573933
101.281 0.0565331
102.561 0.0551498
105.123 0.0547704
106.403 0.0576618
107.684 0.0684393
108.324 0.0838504
108.644 0.0988341
108.964 0.124993
109.285 0.176522
109.445 0.223198
109.605 0.299468
109.765 0.436224
109.925 0.715429
110.005 0.975420
110.085 1.40480
110.165 2.16042
110.245 3.53429
110.323 5.62674
110.400 7.02186
110.478 5.63059
110.555 3.53907
110.611 2.49692
110.667 1.81075
110.723 1.35758
110.778 1.05060
110.890 0.681360
111.002 0.480426
111.113 0.360295
111.225 0.283352
111.448 0.194365
111.672 0.147057
111.895 0.119048
112.341 0.0891285
113.234 0.0668358
114.128 0.0610214
115.021 0.0640832
