Rh-103(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 6873.90
1.25000E-05 6148.22
1.50000E-05 5612.56
2.00000E-05 4860.65
2.75000E-05 4145.22
3.50000E-05 3674.39
4.25000E-05 3334.49
5.00000E-05 3074.28
6.25000E-05 2749.78
7.50000E-05 2510.24
0.000100000 2174.01
0.000125000 1944.57
0.000150000 1775.20
0.000200000 1537.49
0.000275000 1311.32
0.000350000 1162.49
0.000425000 1055.06
0.000500000 972.829
0.000625000 870.288
0.000750000 794.609
0.00100000 688.409
0.00125000 615.963
0.00150000 562.505
0.00200000 487.509
0.00275000 416.217
0.00350000 369.353
0.00425000 335.560
0.00500000 309.720
0.00625000 277.544
0.00750000 253.839
0.0100000 220.662
0.0125000 198.113
0.0150000 181.538
0.0200000 158.417
0.0253000 141.995
0.0314750 128.519
0.0376500 118.634
0.0500000 104.944
0.0625000 95.7304
0.0750000 89.1470
0.100000 80.3962
0.125000 74.9544
0.150000 71.3936
0.200000 67.5273
0.275000 66.3043
0.350000 68.4736
0.500000 81.2344
0.625000 103.064
0.750000 144.072
0.875000 229.417
0.937500 310.377
1.00000 448.820
1.04568 621.805
1.09135 917.761
1.11419 1147.76
1.13703 1466.77
1.15986 1914.84
1.18270 2539.54
1.20200 3223.68
1.22130 3996.68
1.25990 4917.09
1.27920 4592.93
1.29850 3875.45
1.33710 2387.95
1.37853 1399.92
1.41996 875.401
1.46139 585.562
1.50283 414.017
1.54426 305.840
1.58569 233.918
1.66855 148.037
1.75141 101.150
1.83428 73.0114
1.91714 54.9130
2.00000 42.6422
2.18750 26.2535
2.37500 17.6265
2.56250 12.5770
2.75000 9.38899
3.12500 5.77038
3.50000 3.89010
3.87500 2.79824
4.25000 2.11180
5.00000 1.33316
5.62500 0.978962
6.25000 0.754148
7.50000 0.494667
8.75000 0.355104
10.0000 0.270612
12.5000 0.176363
15.0000 0.126803
17.5000 0.0971652
20.0000 0.0779602
23.6000 0.0604413
27.2000 0.0500271
30.8000 0.0454644
32.6000 0.0506707
33.0500 0.0573382
33.5000 0.0758378
33.7250 0.0999389
33.8375 0.122509
33.9500 0.160773
34.0625 0.233204
34.1188 0.296272
34.1750 0.395291
34.2313 0.562568
34.2875 0.873800
34.3156 1.13634
34.3438 1.52885
34.3719 2.13321
34.4000 3.06612
34.4375 4.88394
34.4750 6.09792
34.5125 4.88920
34.5500 3.07269
34.5889 1.87616
34.6278 1.21982
34.6666 0.847366
34.7055 0.622338
34.7833 0.380516
34.8610 0.262031
34.9388 0.195858
35.0165 0.155337
35.1720 0.110476
35.3275 0.0875685
35.4830 0.0743488
35.7940 0.0605290
36.4160 0.0503242
37.0380 0.0470695
39.5260 0.0497699
40.7699 0.0573651
42.0139 0.0732153
42.6359 0.0875807
43.2579 0.111084
43.8799 0.156683
44.1909 0.212278
44.3464 0.296738
44.4242 0.422749
44.4630 0.562484
44.5019 0.827695
44.5360 1.20081
44.5700 1.45198
44.6041 1.21357
44.6381 0.852692
44.6711 0.629278
44.7040 0.504945
44.7699 0.395461
44.9017 0.351431
45.1654 0.411030
45.4290 0.553459
45.6927 0.816549
45.8245 1.03306
45.9563 1.35426
46.0881 1.85923
46.2199 2.71860
46.3518 4.35668
46.4177 5.79458
46.4836 8.07232
46.5495 11.9715
46.6154 19.3792
46.6484 25.7657
46.6813 35.5230
46.7143 50.9641
46.7472 75.5915
46.7881 120.886
46.8290 151.041
46.8699 120.780
46.9108 75.4589
46.9591 42.7588
47.0073 26.2189
47.0556 17.3884
47.1039 12.2716
47.1522 9.08515
47.2004 6.98130
47.2970 4.47875
47.3935 3.11077
47.4900 2.28521
47.6831 1.38375
47.8762 0.929263
48.0693 0.668945
48.2623 0.506205
48.4554 0.397792
48.8416 0.266911
49.2277 0.193964
49.6139 0.149211
50.0000 0.119803
50.9160 0.0804491
51.3739 0.0694168
51.6029 0.0660095
51.7174 0.0663832
51.8319 0.0770550
51.9000 0.0926255
51.9681 0.0749953
52.0954 0.0601688
52.2227 0.0563089
52.4773 0.0523311
52.9865 0.0470627
54.0050 0.0400807
56.0418 0.0326729
60.1155 0.0283156
62.1524 0.0296114
64.1892 0.0362690
65.2076 0.0462194
65.7168 0.0561757
66.2261 0.0741873
66.7353 0.111840
66.9899 0.148317
67.2445 0.212658
67.4991 0.342489
67.6264 0.463674
67.7537 0.668828
67.8810 1.05693
67.9447 1.39487
