Rh-103(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 6878.24
1.25000E-05 6152.56
1.50000E-05 5616.90
2.00000E-05 4864.99
2.75000E-05 4149.56
3.50000E-05 3678.73
4.25000E-05 3338.83
5.00000E-05 3078.62
6.25000E-05 2754.12
7.50000E-05 2514.58
0.000100000 2178.35
0.000125000 1948.91
0.000150000 1779.54
0.000200000 1541.83
0.000275000 1315.66
0.000350000 1166.83
0.000425000 1059.40
0.000500000 977.169
0.000625000 874.627
0.000750000 798.949
0.00100000 692.749
0.00125000 620.302
0.00150000 566.844
0.00200000 491.848
0.00275000 420.555
0.00350000 373.690
0.00425000 339.897
0.00500000 314.057
0.00625000 281.879
0.00750000 258.174
0.0100000 224.995
0.0125000 202.445
0.0150000 185.868
0.0200000 162.743
0.0253000 146.317
0.0314750 132.837
0.0376500 122.947
0.0500000 109.248
0.0625000 100.025
0.0750000 93.4320
0.100000 84.6615
0.125000 79.1992
0.150000 75.6172
0.200000 71.7057
0.275000 70.4076
0.350000 72.4915
0.500000 85.0396
0.625000 106.631
0.750000 147.315
0.875000 232.208
0.937500 312.880
1.00000 451.009
1.04568 623.796
1.09135 919.719
1.11419 1149.88
1.13703 1469.29
1.15986 1918.23
1.18270 2544.63
1.20200 3231.23
1.22130 4007.94
1.25990 4937.65
1.27920 4616.26
1.29850 3899.18
1.33710 2408.63
1.37853 1416.81
1.41996 889.596
1.46139 597.930
1.50283 425.117
1.54426 316.025
1.58569 243.419
1.66855 156.593
1.75141 109.089
1.83428 80.5191
1.91714 62.1025
2.00000 49.5876
2.18750 32.8133
2.37500 23.9341
2.56250 18.7062
2.75000 15.3852
3.12500 11.5804
3.50000 9.57489
3.87500 8.39221
4.25000 7.63622
5.00000 6.75664
5.62500 6.34168
6.25000 6.06896
7.50000 5.73722
8.75000 5.54429
10.0000 5.41776
12.5000 5.25961
15.0000 5.16215
17.5000 5.09419
20.0000 5.04295
23.6000 4.98666
27.2000 4.94315
30.8000 4.90893
32.6000 4.90000
33.0500 4.90316
33.5000 4.91816
33.7250 4.94051
33.8375 4.96221
33.9500 4.99960
34.0625 5.07116
34.1188 5.13380
34.1750 5.23239
34.2313 5.39924
34.2875 5.71007
34.3156 5.97242
34.3438 6.36475
34.3719 6.96895
34.4000 7.90174
34.4375 9.71946
34.4750 10.9333
34.5125 9.72413
34.5500 7.90713
34.5889 6.71017
34.6278 6.05346
34.6666 5.68066
34.7055 5.45531
34.7833 5.21285
34.8610 5.09374
34.9388 5.02695
35.0165 4.98581
35.1720 4.93972
35.3275 4.91558
35.4830 4.90113
35.7940 4.88483
36.4160 4.86961
37.0380 4.86124
39.5260 4.84161
40.7699 4.83587
42.0139 4.83527
42.6359 4.83933
43.2579 4.85016
43.8799 4.87920
44.1909 4.92420
44.3464 5.00254
44.4242 5.12523
44.4630 5.26324
44.5019 5.52668
44.5360 5.89819
44.5700 6.14773
44.6041 5.90762
44.6381 5.54500
44.6711 5.31986
44.7040 5.19375
44.7699 5.08057
44.9017 5.02847
45.1654 5.06847
45.4290 5.18459
45.6927 5.41011
45.8245 5.60095
45.9563 5.88924
46.0881 6.35044
46.2199 7.14872
46.3518 8.69581
46.4177 10.0695
46.4836 12.2634
46.5495 16.0498
46.6154 23.3037
46.6484 29.5958
46.6813 39.2527
46.7143 54.6106
46.7472 79.2454
46.7881 124.970
46.8290 156.336
46.8699 127.081
46.9108 81.8834
46.9591 48.9355
47.0073 32.1405
47.0556 23.1146
47.1039 17.8528
47.1522 14.5570
47.2004 12.3686
47.2970 9.74502
47.3935 8.29515
47.4900 7.41074
47.6831 6.43046
47.8762 5.92560
48.0693 5.63023
48.2623 5.44160
48.4554 5.31322
48.8416 5.15334
49.2277 5.06012
49.6139 5.00018
50.0000 4.95882
50.9160 4.89869
51.3739 4.87971
51.6029 4.87273
51.7174 4.87141
51.8319 4.88043
51.9000 4.89504
51.9681 4.87647
52.0954 4.85993
52.2227 4.85440
52.4773 4.84723
52.9865 4.83604
54.0050 4.81862
56.0418 4.79372
60.1155 4.75976
62.1524 4.74646
64.1892 4.73657
65.2076 4.73602
65.7168 4.73938
66.2261 4.74904
66.7353 4.77492
66.9899 4.80304
67.2445 4.85590
67.4991 4.96838
67.6264 5.07684
67.7537 5.26441
67.8810 5.62650
67.9447 5.94614
68.0083 6.45303
68.0720 7.31844
68.1356 8.94755
68.1674 10.3346
68.1993 12.4243
68.2311 15.6700
68.2629 20.7313
68.3050 30.6208
68.3470 37.4458
68.3891 31.1763
68.4311 21.4253
68.4605 16.6481
68.4899 13.4394
68.5192 11.2868
68.5486 9.80971
68.6074 8.00695
68.6661 7.00794
68.7249 6.40282
68.7836 6.01032
68.9011 5.54978
69.0186 5.30001
69.1361 5.14920
69.3711 4.98298
69.6061 4.89730
69.8411 4.84675
70.3112 4.79130
70.7812 4.76203
71.2512 4.74387
72.1912 4.72181
74.0713 4.69737
75.9513 4.68074
79.7114 4.65321
81.5915 4.64145
82.5315 4.64117
82.7665 4.64563
83.0015 4.65945
83.1190 4.67707
83.2365 4.71753
83.2953 4.75970
83.3540 4.83847
83.3834 4.90501
83.4128 5.00451
83.4421 5.15770
83.4715 5.39401
83.5108 5.85528
83.5500 6.16292
83.5893 5.85526
83.6285 5.39355
83.6754 5.05720
83.7223 4.88812
83.7691 4.79814
83.8160 4.74603
83.9098 4.69195
84.0035 4.66606
84.1911 4.64259
84.3786 4.63211
84.7536 4.62207
85.1287 4.61647
86.6288 4.60215
88.1290 4.59049
89.6291 4.58157
91.1293 4.58264
91.8793 4.59507
92.6294 4.63050
93.0044 4.66723
93.3795 4.73012
93.7545 4.84354
94.1296 5.06577
94.3171 5.26044
94.5046 5.56349
94.6921 6.06523
94.8796 6.96985
95.0672 8.81868
95.1609 10.5443
95.2547 13.4383
95.3484 18.7871
95.3953 23.3074
95.4422 30.1684
95.4891 41.1868
95.5360 60.1439
95.5828 95.3734
95.6063 124.097
95.6297 164.129
95.6503 210.126
95.6709 263.139
95.7120 331.885
95.7532 269.706
95.7943 172.339
95.8406 103.439
95.8869 67.1135
95.9331 47.0985
95.9794 35.2265
96.0257 27.6934
96.0720 22.6431
96.1645 16.5264
96.2571 13.1094
96.3496 11.0084
96.5347 8.65963
96.7198 7.43925
96.9049 6.72132
97.0901 6.26202
97.2752 5.95057
97.6454 5.57342
98.0156 5.39289
98.2007 5.37552
98.3858 5.46333
98.4784 5.60691
98.5709 5.93360
98.6172 6.25061
98.6635 6.78458
98.7097 7.73746
98.7560 9.48763
98.8005 12.1470
98.8450 13.9174
98.8895 12.1306
98.9340 9.45249
98.9673 8.07627
99.0006 7.18186
99.0339 6.59793
99.0673 6.20514
99.1339 5.73423
99.2005 5.47590
99.3338 5.21508
99.4670 5.08850
99.7335 4.96431
100.000 4.89959
100.556 4.82302
101.113 4.77603
102.225 4.71560
104.450 4.64617
106.675 4.60408
107.788 4.59219
108.344 4.59836
108.483 4.60787
108.622 4.63290
108.692 4.66275
108.761 4.72852
108.796 4.79520
108.831 4.91597
108.865 5.16141
108.883 5.37945
108.900 5.70314
108.925 6.37585
108.950 6.82450
108.975 6.37649
109.000 5.70414
109.029 5.22573
109.058 4.98109
109.087 4.84870
109.115 4.77183
109.173 4.69205
109.231 4.65467
109.346 4.62332
109.461 4.61280
109.692 4.61309
109.923 4.63128
110.153 4.67719
110.269 4.72217
110.384 4.79918
110.499 4.94456
110.557 5.07010
110.614 5.26445
110.672 5.58721
110.730 6.16921
110.787 7.33950
110.816 8.36716
110.845 9.89115
110.888 13.1300
110.930 15.3025
110.973 13.1326
111.015 9.89401
111.062 7.67599
111.109 6.50845
111.156 5.86606
111.203 5.48662
111.249 5.24619
111.296 5.08576
111.390 4.89315
111.484 4.78694
111.578 4.72299
111.765 4.65508
111.953 4.62670
112.140 4.62538
112.234 4.63990
112.328 4.67854
112.374 4.71782
112.421 4.78572
112.468 4.91056
112.515 5.14830
112.558 5.49680
112.600 5.73087
112.643 5.49768
112.685 5.14987
112.726 4.93615
112.766 4.81477
112.847 4.70172
112.928 4.65819
113.009 4.64147
113.171 4.64435
113.334 4.68254
113.496 4.77483
113.577 4.86179
113.658 5.00441
113.739 5.25794
113.820 5.76178
113.861 6.21730
113.901 6.94348
113.942 8.16154
113.982 10.2466
114.026 13.7256
114.070 16.0580
114.114 13.7270
114.158 10.2466
114.203 8.00358
114.247 6.76246
114.292 6.05135
114.336 5.61828
114.425 5.14909
114.514 4.91689
114.603 4.78583
114.692 4.70481
114.870 4.61337
115.048 4.56491
115.226 4.53552
115.582 4.50161
116.294 4.46819
117.007 4.44837
118.431 4.42006
119.855 4.40200
120.567 4.40074
121.279 4.41167
121.991 4.44892
122.704 4.54899
123.060 4.65104
123.416 4.82470
123.772 5.13660
124.128 5.74539
124.306 6.27743
124.484 7.10296
124.662 8.46420
124.840 10.9036
125.018 15.8436
125.107 20.4021
125.196 27.9552
125.285 41.6603
125.330 53.0243
125.374 69.9471
125.419 96.4257
125.441 115.512
125.463 140.340
125.485 173.446
125.508 217.781
125.530 278.134
125.552 358.932
125.574 462.203
125.596 581.798
125.640 738.204
125.662 699.620
125.684 598.740
125.728 380.051
125.756 281.533
125.784 212.931
125.839 131.280
125.895 88.6443
125.950 64.2609
126.005 49.1223
126.061 39.1551
126.172 27.2519
126.283 20.6922
126.394 16.6890
126.615 12.2372
126.837 9.92866
127.059 8.56725
127.281 7.69085
127.503 7.08966
127.946 6.33320
128.390 5.88674
128.833 5.59689
129.277 5.39547
130.164 5.13588
131.052 4.97624
132.826 4.78769
134.601 4.67511
136.375 4.59497
139.924 4.47391
143.473 4.36995
145.248 4.32154
147.022 4.28359
147.909 4.27681
148.797 4.29075
149.684 4.35073
150.571 4.52266
151.015 4.70225
151.458 5.01146
151.902 5.57167
152.346 6.67228
152.567 7.63666
152.789 9.13436
153.011 11.6027
153.233 16.0152
153.455 24.8905
153.566 33.0207
153.676 46.3702
153.787 70.2509
153.843 89.7798
153.898 118.378
153.954 162.307
154.009 233.005
154.065 353.087
154.120 560.825
154.180 911.960
154.240 1159.82
154.300 943.302
154.360 600.002
154.409 408.695
154.458 288.673
154.507 212.591
154.556 162.613
154.654 104.252
154.751 73.2088
154.849 54.8553
154.947 43.1485
