Pd-105(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1059.26
1.25000E-05 948.204
1.50000E-05 866.226
2.00000E-05 751.156
2.75000E-05 641.666
3.50000E-05 569.608
4.25000E-05 517.589
5.00000E-05 477.765
6.25000E-05 428.099
7.50000E-05 391.438
0.000100000 339.976
0.000125000 304.857
0.000150000 278.933
0.000200000 242.544
0.000275000 207.920
0.000350000 185.133
0.000425000 168.683
0.000500000 156.089
0.000625000 140.383
0.000750000 128.789
0.00100000 112.514
0.00125000 101.408
0.00150000 93.2088
0.00200000 81.7002
0.00275000 70.7493
0.00350000 63.5418
0.00425000 58.3383
0.00500000 54.3545
0.00625000 49.3857
0.00750000 45.7175
0.0100000 40.5678
0.0125000 37.0526
0.0150000 34.4573
0.0200000 30.8131
0.0253000 28.1996
0.0314750 26.0309
0.0376500 24.4195
0.0500000 22.1434
0.0625000 20.5646
0.0750000 19.3977
0.100000 17.7566
0.125000 16.6335
0.150000 15.8021
0.200000 14.6302
0.275000 13.5069
0.350000 12.7605
0.500000 11.7959
0.750000 10.8657
1.00000 10.2922
1.50000 9.57932
2.00000 9.12721
2.75000 8.66736
3.50000 8.34319
5.00000 7.90260
7.50000 7.52314
8.75000 7.52379
9.37500 7.63144
10.0000 7.90785
10.4285 8.31943
10.8570 9.23002
11.0713 10.2080
11.2855 12.3221
11.3926 14.5957
11.4998 19.3511
11.5533 24.0481
11.6069 32.5014
11.6604 49.6075
11.6872 64.8629
11.7140 87.8038
11.7520 134.973
11.7900 166.939
11.8280 136.272
11.8660 89.7834
11.9059 59.0293
11.9457 42.4347
11.9855 33.2376
12.0254 27.8794
12.1051 22.6444
12.1848 20.7955
12.3441 21.4676
12.5035 26.2151
12.6629 37.1255
12.7426 47.2318
12.8223 63.6986
12.9019 92.7453
12.9816 150.118
13.0215 201.485
13.0613 282.917
13.1012 418.135
13.1410 646.720
13.1633 828.574
13.1855 1037.59
13.2300 1303.09
13.2745 1046.70
13.3190 658.065
13.3712 378.501
13.4234 236.314
13.4756 160.008
13.5278 115.595
13.5800 87.8113
13.6322 69.3961
13.7366 47.3653
13.8410 35.2317
13.9454 27.8536
14.1541 19.7097
14.3629 15.5387
14.5717 13.1101
14.7805 11.5658
14.9893 10.5185
15.4068 9.21979
15.8244 8.46596
16.6595 7.65027
17.4946 7.22614
18.3298 6.97016
20.0000 6.70027
21.2702 6.66286
21.9053 6.73592
22.5404 6.95012
23.1755 7.51895
23.4931 8.13574
23.8106 9.30115
23.9694 10.2967
24.1282 11.8197
24.2869 14.2988
24.4457 18.6951
24.6045 27.5384
24.6839 35.7049
24.7633 49.3001
24.8426 74.2579
24.8823 95.2591
24.9220 127.035
24.9617 177.952
25.0014 265.355
25.0213 333.353
25.0411 427.559
25.0610 559.759
25.0808 743.879
25.0981 953.373
25.1154 1193.82
25.1500 1500.01
25.1846 1209.09
25.2192 762.998
25.2569 456.335
25.2946 292.263
25.3323 200.868
25.3700 146.316
25.4077 111.578
25.4454 88.2558
25.5208 59.9933
25.5961 44.2286
25.6715 34.5641
25.8223 23.8160
25.9731 18.2763
26.1238 15.0413
26.2746 12.9823
26.4254 11.5871
26.7269 9.86319
27.0285 8.87242
27.3300 8.24807
27.6316 7.83011
28.2346 7.34227
28.8377 7.18235
29.1393 7.29247
29.2901 7.46325
29.4408 7.80633
29.5916 8.53711
29.6670 9.22147
29.7424 10.3572
29.8178 12.4107
29.8931 16.6094
29.9308 20.5002
29.9685 26.8831
30.0062 37.9762
30.0439 57.8087
30.0820 89.2526
30.1200 110.783
30.1581 90.5823
30.1961 59.4584
30.2280 41.8633
30.2599 30.9924
30.2918 24.2036
30.3237 19.7974
30.3875 14.7178
30.4513 12.0518
30.5151 10.4910
30.5789 9.50057
30.7065 8.35879
30.8341 7.74560
30.9617 7.37425
31.2169 6.95671
31.4722 6.73068
31.7274 6.58819
32.2378 6.41372
33.2586 6.22761
34.2795 6.11816
35.3003 6.04603
36.3211 6.01844
36.8316 6.04933
37.0868 6.09737
37.3420 6.19766
37.5972 6.42352
37.7248 6.64670
37.8524 7.03791
37.9800 7.80363
38.0438 8.48768
38.1076 9.58519
38.1714 11.4902
38.2352 15.1688
38.2671 18.3846
38.2990 23.3605
38.3309 31.3550
38.3628 44.3338
38.4014 67.9351
38.4400 84.0966
38.4786 68.9583
38.5172 45.6102
38.5484 32.7940
38.5795 24.7285
38.6107 19.6124
38.6418 16.2544
38.7041 12.3394
38.7664 10.2644
38.8288 9.04365
38.8911 8.26726
39.0157 7.37287
39.1403 6.89542
39.2649 6.60932
39.5142 6.29466
39.7634 6.13122
40.0126 6.03330
40.5111 5.92391
41.0096 5.86979
41.5081 5.85980
41.7573 5.88910
42.0065 5.99579
42.1312 6.13765
42.1935 6.26603
42.2558 6.47277
42.3181 6.83191
42.3804 7.52453
42.4116 8.12911
42.4427 9.06295
42.4739 10.5609
42.5050 12.9872
42.5425 17.3472
42.5800 20.2565
42.6175 17.3532
42.6550 12.9915
42.6837 10.7130
42.7124 9.24965
42.7411 8.30511
42.7698 7.67652
42.8272 6.93397
42.8845 6.53560
42.9419 6.29925
42.9993 6.14795
43.1141 5.97195
43.2288 5.87635
43.3436 5.81767
43.5731 5.74990
44.0322 5.68489
44.4913 5.64866
46.3275 5.56142
48.1638 5.50076
50.0000 5.47107
