Pd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 11.5270
1.25000E-05 10.3100
1.50000E-05 9.41174
2.00000E-05 8.15080
2.75000E-05 6.95103
3.50000E-05 6.16143
4.25000E-05 5.59140
5.00000E-05 5.15502
6.25000E-05 4.61079
7.50000E-05 4.20905
0.000100000 3.64514
0.000125000 3.26031
0.000150000 2.97624
0.000200000 2.57750
0.000275000 2.19809
0.000350000 1.94840
0.000425000 1.76814
0.000500000 1.63014
0.000625000 1.45803
0.000750000 1.33099
0.00100000 1.15267
0.00125000 1.03097
0.00150000 0.941133
0.00200000 0.815033
0.00275000 0.695047
0.00350000 0.616080
0.00425000 0.559071
0.00500000 0.515427
0.00625000 0.460995
0.00750000 0.420814
0.0100000 0.364409
0.0125000 0.325913
0.0150000 0.297495
0.0200000 0.257601
0.0253000 0.228999
0.0314750 0.205274
0.0376500 0.187653
0.0500000 0.162778
0.0625000 0.145540
0.0750000 0.132811
0.100000 0.114934
0.125000 0.102725
0.150000 0.0937060
0.200000 0.0810336
0.275000 0.0689549
0.350000 0.0609888
0.500000 0.0508051
0.750000 0.0411832
1.00000 0.0354096
1.50000 0.0285008
2.00000 0.0243343
2.75000 0.0203193
3.50000 0.0176398
5.00000 0.0141669
7.50000 0.0108279
10.0000 0.00880028
15.0000 0.00637398
20.0000 0.00494069
27.5000 0.00362486
35.0000 0.00281840
42.5000 0.00230166
46.2500 0.00214345
48.1250 0.00213121
50.0000 0.00243403
50.4675 0.00280081
50.9350 0.00385604
51.1688 0.00530313
51.4025 0.00925496
51.5194 0.0144542
51.6363 0.0279166
51.6947 0.0445181
51.7239 0.0594271
51.7531 0.0836190
51.7824 0.126514
51.8116 0.212645
51.8262 0.291374
51.8408 0.419141
51.8554 0.638274
51.8700 1.02349
51.8850 1.63668
51.9000 2.04566
51.9150 1.63715
51.9300 1.02408
51.9393 0.754644
51.9486 0.566045
51.9672 0.341818
51.9858 0.224749
52.0044 0.157974
52.0230 0.116796
52.0416 0.0898211
52.0788 0.0579537
52.1531 0.0302411
52.2275 0.0189203
52.3763 0.00996961
52.5250 0.00657657
52.8225 0.00401968
53.1200 0.00308232
54.3100 0.00212479
56.6900 0.00183273
61.4500 0.00172476
66.2100 0.00180782
68.5900 0.00208144
69.7800 0.00287641
70.0775 0.00362719
70.3750 0.00565592
70.5238 0.00833966
70.6725 0.0154142
70.7469 0.0243646
70.8213 0.0462759
70.8584 0.0714915
70.8956 0.125426
70.9142 0.178320
70.9328 0.270971
70.9514 0.448540
70.9607 0.597918
70.9700 0.811070
70.9850 1.29662
71.0000 1.62041
71.0150 1.29689
71.0300 0.811417
71.0449 0.501397
71.0598 0.327325
71.0747 0.226717
71.0897 0.165110
71.1195 0.0980884
71.1493 0.0649013
71.2090 0.0347659
71.2686 0.0220133
71.3879 0.0116958
71.5072 0.00772177
71.7458 0.00471390
71.9844 0.00362604
72.9387 0.00263893
74.8475 0.00273771
76.7562 0.00336019
78.6650 0.00462512
79.6193 0.00572674
80.5737 0.00743897
81.5281 0.0102931
82.4824 0.0155571
82.9596 0.0200305
83.4368 0.0269095
83.9140 0.0382775
84.3912 0.0590735
84.6298 0.0766363
84.8684 0.103501
85.1070 0.147603
85.3455 0.227559
85.4648 0.294498
85.5841 0.396025
85.7034 0.560819
85.8227 0.854673
85.8824 1.09666
85.9420 1.45783
86.0017 2.03118
86.0613 3.02114
86.1210 4.95239
86.1508 6.69007
86.1806 9.51401
86.2104 14.5372
86.2254 18.6366
86.2403 24.6667
86.2552 33.9716
86.2701 49.1514
86.2850 75.3762
86.2999 121.945
86.3150 195.063
86.3300 243.794
86.3451 195.096
86.3601 121.987
86.3734 79.1872
86.3868 53.5914
86.4001 38.0314
86.4134 28.1444
86.4400 17.0037
86.4667 11.3001
86.4933 8.02696
86.5200 5.98582
86.5732 3.68737
86.6265 2.49463
86.6798 1.79851
86.7331 1.35756
86.7864 1.06089
86.8929 0.698992
86.9995 0.495161
87.1060 0.369154
87.2126 0.285867
87.4257 0.186084
87.6389 0.130866
87.8520 0.0971385
88.0651 0.0750368
88.4913 0.0487841
88.9176 0.0343749
89.3438 0.0256204
89.7701 0.0199044
90.6226 0.0131360
91.4751 0.00942931
92.3276 0.00717824
93.1801 0.00570720
94.8850 0.00396027
96.5900 0.00299716
100.000 0.00201641
104.246 0.00146410
108.493 0.00118079
116.985 0.000901991
125.478 0.000785268
129.724 0.000825657
131.847 0.00114082
132.909 0.00242420
133.439 0.00726179
133.572 0.0119541
133.705 0.0242432
133.771 0.0396394
133.837 0.0766449
133.871 0.118396
133.904 0.204858
133.920 0.287130
133.937 0.426251
133.954 0.679126
133.970 1.15493
133.985 1.84752
134.000 2.30930
134.015 1.84772
134.030 1.15519
134.041 0.811020
134.052 0.585757
134.073 0.335150
134.094 0.212956
134.116 0.146194
134.159 0.0805814
134.201 0.0508841
134.287 0.0256782
134.373 0.0155786
134.544 0.00769729
134.715 0.00474481
135.400 0.00173751
136.770 0.000938263
139.510 0.000722008
144.990 0.000655789
155.950 0.000674271
161.430 0.000758791
166.910 0.00102722
169.650 0.00140971
172.390 0.00250296
173.760 0.00402804
175.130 0.00835467
175.815 0.0143527
176.158 0.0203298
176.500 0.0312163
176.843 0.0543299
177.014 0.0771403
177.185 0.118192
177.271 0.152373
177.356 0.203832
177.442 0.286610
177.528 0.432338
177.570 0.550796
177.613 0.725375
177.656 0.997805
177.699 1.45685
177.742 2.31866
177.763 3.06305
177.784 4.22233
177.806 6.15858
177.827 9.70020
177.838 12.6359
177.849 16.9540
177.859 23.4628
177.870 33.2756
177.885 53.2776
177.900 66.4816
177.915 53.1409
177.930 33.2812
177.941 23.3939
177.952 16.8611
177.963 12.5421
177.973 9.61382
177.995 6.09130
178.016 4.17761
178.038 3.02738
178.060 2.29273
178.103 1.44025
178.146 0.986407
178.189 0.717130
178.232 0.544596
178.275 0.427534
178.361 0.283525
178.447 0.201720
178.534 0.150859
178.620 0.117103
178.792 0.0764804
178.965 0.0539277
179.310 0.0310507
179.654 0.0202632
179.999 0.0143374
180.689 0.00838344
182.068 0.00408159
183.448 0.00256369
186.206 0.00147875
188.965 0.00110605
194.483 0.000864846
200.000 0.000818629
207.909 0.000872108
215.817 0.00102828
223.725 0.00132673
231.634 0.00190423
235.588 0.00240318
239.542 0.00317646
243.496 0.00446317
247.451 0.00683513
249.428 0.00885213
251.405 0.0119581
253.382 0.0171036
255.359 0.0265583
256.348 0.0345825
257.336 0.0469194
258.325 0.0673240
259.313 0.104727
259.807 0.136403
260.302 0.185005
260.796 0.265153
261.290 0.411434
261.537 0.534828
261.785 0.723296
262.032 1.03244
262.279 1.59186
262.402 2.05979
262.526 2.76888
262.650 3.91838
262.773 5.96282
262.835 7.64466
262.897 10.1511
262.959 14.1225
263.020 20.9479
263.082 34.2210
263.113 46.1085
263.144 65.3449
263.175 99.3231
263.190 126.986
263.206 167.163
263.221 229.071
263.237 328.351
263.244 401.190
263.252 497.263
263.260 624.697
263.267 792.466
263.269 825.282
263.273 934.517
263.277 1052.06
263.284 1304.96
263.300 1618.82
263.316 1304.95
263.331 825.273
263.333 789.988
263.337 697.609
263.341 617.152
263.349 488.761
263.365 320.247
263.380 221.763
263.396 161.584
263.412 122.218
263.428 95.5618
263.460 62.7726
263.491 44.2056
263.523 32.7630
263.586 20.0330
263.650 13.4810
263.713 9.68736
263.776 7.29096
263.840 5.68641
263.966 3.73402
264.093 2.63800
264.220 1.96211
264.346 1.51619
264.600 0.983035
264.853 0.688628
265.107 0.509106
265.360 0.391634
265.867 0.252342
266.374 0.176055
266.880 0.129797
267.387 0.0996565
268.401 0.0640564
269.414 0.0446385
270.428 0.0328972
271.441 0.0252614
273.469 0.0162617
275.496 0.0113625
277.523 0.00840355
279.550 0.00648074
283.604 0.00421603
287.659 0.00298345
291.713 0.00223885
295.767 0.00175464
303.876 0.00118348
311.984 0.000871747
328.201 0.000559687
344.419 0.000414379
360.636 0.000336829
376.853 0.000300257
384.962 0.000326296
389.016 0.000487116
391.043 0.00114322
392.057 0.00369064
392.563 0.0132079
392.817 0.0463750
392.880 0.0762500
392.943 0.147496
392.975 0.227131
393.007 0.390004
393.038 0.797648
393.054 1.24898
393.070 2.07961
393.085 3.32667
393.100 4.15784
393.115 3.32680
393.130 2.07977
393.145 1.28408
393.160 0.838939
393.189 0.422177
393.219 0.248884
393.249 0.163201
393.308 0.0851370
393.367 0.0521023
393.604 0.0149488
394.078 0.00417107
395.026 0.00126717
396.923 0.000511359
400.715 0.000315792
408.300 0.000265637
