Ag-107(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1905.30
1.25000E-05 1704.93
1.50000E-05 1557.02
2.00000E-05 1349.40
2.75000E-05 1151.85
3.50000E-05 1021.84
4.25000E-05 927.984
5.00000E-05 856.132
6.25000E-05 766.521
7.50000E-05 700.374
0.000100000 607.524
0.000125000 544.159
0.000150000 497.385
0.000200000 431.729
0.000275000 369.258
0.000350000 328.143
0.000425000 298.461
0.000500000 275.738
0.000625000 247.399
0.000750000 226.479
0.00100000 197.114
0.00125000 177.074
0.00150000 162.280
0.00200000 141.513
0.00275000 121.751
0.00350000 108.744
0.00425000 99.3533
0.00500000 92.1632
0.00625000 83.1948
0.00750000 76.5733
0.0100000 67.2763
0.0125000 60.9292
0.0150000 56.2421
0.0200000 49.6592
0.0253000 44.9366
0.0314750 41.0160
0.0376500 38.1018
0.0500000 33.9829
0.0625000 31.1235
0.0750000 29.0083
0.100000 26.0300
0.125000 23.9886
0.150000 22.4751
0.200000 20.3368
0.275000 18.2801
0.350000 16.9082
0.500000 15.1263
0.750000 13.3957
1.00000 12.3219
1.50000 10.9824
2.00000 10.1337
2.75000 9.27743
3.50000 8.68183
5.00000 7.88231
7.50000 7.10856
10.0000 6.72262
11.5568 6.71409
12.3351 6.85832
13.1135 7.23992
13.8919 8.21990
14.2811 9.27014
14.6703 11.2452
14.8649 12.9297
15.0594 15.5073
15.2540 19.7106
15.4486 27.1966
15.6432 42.3879
15.7405 56.5693
15.8378 80.4800
15.9351 125.268
15.9838 163.769
16.0324 223.333
16.0811 321.799
16.1297 498.823
16.1540 642.924
16.1784 851.028
16.2027 1157.68
16.2270 1608.28
16.2635 2574.82
16.3000 3225.68
16.3365 2597.06
16.3730 1636.49
16.4114 992.257
16.4497 639.696
16.4881 440.128
16.5264 319.665
16.5648 242.410
16.6032 190.265
16.6799 126.786
16.7566 91.2501
16.8333 69.4243
16.9868 45.1417
17.1402 32.6385
17.2936 25.3524
17.4471 20.7280
17.6005 17.6036
17.9074 13.7594
18.2143 11.5607
18.5211 10.1784
18.8280 9.29386
18.9000 9.17275
18.9720 8.95592
19.2290 8.41475
19.4860 8.02485
20.0000 7.46325
20.2280 7.32174
20.3000 7.32287
20.3720 7.21601
20.6126 7.00997
20.8532 6.87005
21.3343 6.64374
22.2966 6.31899
24.2211 5.92386
26.1457 5.67775
28.0703 5.49783
31.9194 5.23086
33.8439 5.12940
34.8062 5.09085
35.2874 5.07831
35.5279 5.07865
35.7685 5.15377
35.8400 5.24099
35.9115 5.15235
36.0861 5.07699
36.2607 5.06841
36.6099 5.06968
37.3083 5.10339
38.0067 5.19903
38.7052 5.43029
39.4036 6.01856
39.7528 6.65413
40.1020 7.86005
40.2766 8.89534
40.4512 10.4865
40.6258 13.0908
40.8004 17.7414
40.9750 27.1826
41.0623 35.9765
41.1496 50.7430
41.2369 78.1748
41.2806 101.528
41.3242 137.283
41.3679 195.466
41.3897 238.920
41.4115 297.620
41.4333 378.823
41.4552 493.527
41.4770 658.210
41.4988 893.312
41.5344 1437.40
41.5700 1809.24
41.5878 1709.43
41.6056 1459.08
41.6412 920.442
41.6755 581.975
41.7098 387.448
41.7441 272.939
41.7784 201.824
41.8127 155.252
41.8470 123.316
41.9155 83.7891
41.9841 61.2873
