Ag-109(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4497.12
1.25000E-05 4022.35
1.50000E-05 3671.89
2.00000E-05 3179.96
2.75000E-05 2711.88
3.50000E-05 2403.83
4.25000E-05 2181.45
5.00000E-05 2011.20
6.25000E-05 1798.88
7.50000E-05 1642.15
0.000100000 1422.16
0.000125000 1272.03
0.000150000 1161.21
0.000200000 1005.66
0.000275000 857.649
0.000350000 760.245
0.000425000 689.930
0.000500000 636.101
0.000625000 568.972
0.000750000 519.421
0.00100000 449.872
0.00125000 402.414
0.00150000 367.385
0.00200000 318.222
0.00275000 271.454
0.00350000 240.683
0.00425000 218.476
0.00500000 201.479
0.00625000 180.290
0.00750000 164.655
0.0100000 142.724
0.0125000 127.772
0.0150000 116.745
0.0200000 101.287
0.0253000 90.2276
0.0314750 81.0753
0.0376500 74.2955
0.0500000 64.7605
0.0625000 58.1882
0.0750000 53.3617
0.100000 46.6388
0.125000 42.1020
0.150000 38.7923
0.200000 34.2304
0.275000 30.0361
0.350000 27.4079
0.500000 24.3391
0.750000 22.0562
1.00000 21.3429
1.50000 22.2717
2.00000 25.6150
2.75000 36.9996
3.12500 48.2791
3.50000 67.8826
3.68750 83.5338
3.87500 106.202
4.06250 140.816
4.25000 197.587
4.34375 240.748
4.43750 300.595
4.53125 387.021
4.62500 518.490
4.71875 732.718
4.81250 1116.57
4.85938 1433.51
4.90625 1906.55
4.95313 2654.13
5.00000 3924.97
5.02965 5233.19
5.05930 7248.66
5.08895 10473.1
5.11860 15682.4
5.15430 25008.6
5.19000 31143.4
5.22570 24812.7
5.26140 15449.2
5.29842 9312.73
5.33544 5957.93
5.37246 4060.07
5.40948 2916.08
5.44650 2183.90
5.48352 1690.95
5.55756 1093.39
5.63160 761.088
5.70564 558.456
5.85373 335.391
6.00181 222.346
6.14989 157.530
6.29797 117.064
6.44605 90.1772
6.74221 57.8886
7.03838 40.0536
7.33454 29.2211
7.63070 22.1774
8.22303 13.9194
8.81535 9.47849
9.40768 6.83747
10.0000 5.15002
11.2500 3.13910
12.5000 2.11595
13.7500 1.53454
15.0000 1.17909
17.5000 0.802947
20.0000 0.651961
22.6328 0.650958
23.9492 0.727787
25.2657 0.906089
26.5821 1.32026
27.2403 1.74010
27.8985 2.50499
28.2276 3.14624
28.5567 4.11961
28.8858 5.70130
29.2149 8.52934
29.3795 10.8662
29.5440 14.3674
29.7086 19.9587
29.8731 29.7052
30.0377 49.0166
30.1199 66.6968
30.2022 95.9973
30.2433 118.435
30.2845 149.667
30.3256 194.849
30.3668 263.381
30.4079 373.742
30.4285 455.411
30.4490 564.985
30.4696 715.226
30.4902 925.485
30.5107 1223.83
30.5313 1644.44
30.5657 2630.19
30.6000 3286.29
30.6344 2626.98
30.6687 1640.56
30.6992 1063.40
30.7296 718.666
30.7601 509.451
30.7906 376.724
30.8515 227.329
30.9124 150.952
30.9734 107.170
31.0343 79.8932
31.1562 49.2147
31.2780 33.3197
31.3999 24.0597
31.5217 18.2053
31.6436 14.2760
31.8873 9.51097
32.1311 6.88741
32.3748 5.48374
32.4966 5.39877
32.5576 5.84134
32.6185 7.24552
32.7000 10.2021
32.7815 6.72298
32.8397 4.96922
32.8979 4.11499
33.0143 3.31820
33.2472 2.62365
33.7128 1.95205
34.6441 1.35999
35.5754 1.16317
36.5067 1.20532
37.4379 1.56051
37.9036 1.97802
38.3692 2.76792
38.6021 3.43824
38.8349 4.45850
39.0677 6.11397
39.3005 9.05490
39.4169 11.4643
39.5333 15.0411
39.6498 20.6770
39.7662 30.3067
39.8826 48.7826
39.9408 65.1172
39.9990 91.1820
40.0281 110.423
40.0572 136.299
40.0863 172.134
40.1154 223.473
40.1445 300.004
40.1736 419.052
40.2027 611.957
40.2173 751.222
40.2318 928.428
40.2659 1485.09
40.3000 1855.80
40.3171 1746.16
40.3341 1483.75
40.3682 926.794
40.4058 543.671
40.4435 341.508
40.4811 230.104
40.5187 164.171
40.5563 122.482
40.5940 94.6625
40.6692 61.2039
40.7445 42.7245
40.8197 31.4945
40.9702 19.1531
41.1207 12.8933
41.2712 9.29383
41.4217 7.03762
41.5722 5.53160
41.8732 3.70972
42.1742 2.69248
42.4752 2.06794
42.7762 1.65771
43.3781 1.17099
43.9801 0.906842
45.1841 0.654665
46.3881 0.560565
47.5921 0.544202
48.7960 0.588465
50.0000 0.708834
51.4280 1.04447
52.1420 1.38906
52.8560 2.01815
53.2130 2.54542
53.5699 3.34489
53.9269 4.64135
54.2839 6.95093
54.4624 8.85155
54.6409 11.6874
54.8194 16.1890
54.9979 23.9654
55.1764 39.1524
55.2657 52.8367
55.3549 75.1247
55.4442 114.889
55.4888 147.468
55.5334 195.555
55.5780 270.141
55.6227 392.647
55.6673 606.373
55.7119 990.741
55.7560 1584.39
55.8000 1979.39
55.8441 1582.71
55.8881 988.850
55.9175 711.744
55.9469 523.254
56.0056 306.660
56.0643 197.583
56.1231 136.783
56.1818 99.8986
56.2406 76.0030
56.3581 48.0937
56.4756 33.1074
56.5930 24.1682
56.8280 14.5114
57.0630 9.69260
57.2980 6.95132
57.5330 5.24673
57.7679 4.11639
58.2379 2.76045
58.7078 2.01259
59.1778 1.56031
59.6478 1.26931
60.5877 0.940374
61.5276 0.785371
63.4074 0.727823
65.2872 0.938890
66.2271 1.21248
67.1671 1.74018
67.6370 2.19284
68.1070 2.88805
68.5769 4.02953
69.0469 6.09251
69.2819 7.81235
69.5168 10.4097
69.7518 14.6002
69.9868 22.0094
70.1043 28.0597
70.2218 37.0173
70.3393 51.0845
70.3980 61.3371
70.4568 75.0080
70.5155 93.7980
70.5742 120.581
70.6330 160.566
70.6917 223.855
70.7505 332.114
70.7799 417.082
70.8092 537.435
70.8386 714.118
70.8680 983.674
70.8973 1409.30
70.9267 2086.33
70.9634 3336.21
71.0000 4168.09
71.0367 3333.99
71.0733 2083.78
71.1020 1419.25
71.1307 997.199
71.1594 727.473
71.1881 549.433
71.2455 341.051
71.3028 230.484
71.3602 165.553
71.4176 124.432
71.5324 77.4400
71.6472 52.7215
71.7619 38.1717
71.8767 28.9020
71.9915 22.6400
72.2210 14.9710
72.4505 10.6353
72.6801 7.94916
72.9096 6.17143
73.3687 4.03962
73.8278 2.85962
74.2868 2.13938
74.7459 1.66820
75.6641 1.11100
76.5822 0.809331
77.5004 0.634726
77.9594 0.588857
78.1890 0.606577
78.3037 0.680670
78.3611 0.788122
78.4185 1.03544
78.5000 1.54662
78.5815 1.02182
78.6526 0.728002
78.7236 0.614064
78.8658 0.532023
79.1500 0.486702
79.4343 0.493489
79.5764 0.555176
79.6474 0.657663
79.7185 0.937025
79.8000 1.44276
79.8815 0.929317
79.9212 0.735354
79.9608 0.624321
80.0401 0.517910
80.1986 0.447490
80.5158 0.410567
81.1500 0.395440
81.7843 0.422289
82.1014 0.512894
82.1807 0.580915
82.2599 0.715965
82.3392 1.03703
82.3789 1.37634
82.4185 1.97209
82.4593 2.92022
82.5000 3.55332
82.5408 2.92453
82.5815 1.97978
82.6210 1.38891
82.6604 1.05269
82.7393 0.736821
82.8182 0.607135
82.8972 0.544826
83.2128 0.479782
83.8441 0.519802
84.4754 0.638673
85.1067 0.875072
85.4223 1.07860
85.7379 1.39099
86.0536 1.90253
86.3692 2.82179
86.5271 3.58316
86.6849 4.72498
86.8427 6.54906
87.0005 9.72736
87.1583 16.0142
87.2373 21.7559
87.3162 31.2447
87.3951 48.5411
87.4345 63.0300
87.4740 84.8911
87.5134 119.837
87.5332 145.515
87.5529 179.727
87.5726 226.291
87.5924 290.836
87.6121 381.392
87.6318 507.515
87.6489 649.519
87.6659 811.784
87.7000 1014.49
87.7171 954.716
87.7341 811.444
87.7682 507.101
87.7967 336.794
87.8252 231.959
87.8538 166.734
87.8823 124.558
87.9393 76.2123
87.9964 51.0608
88.0534 36.4762
88.1104 27.3197
88.2245 16.9413
88.3386 11.5234
88.4526 8.35014
88.5667 6.33514
88.6808 4.97709
88.9089 3.31789
89.1371 2.38206
89.3652 1.80333
89.5934 1.42113
90.0496 0.966243
90.5059 0.726063
90.9622 0.639174
91.0763 0.668169
91.1904 0.770574
91.2474 0.889102
91.3044 1.11571
91.3615 1.58943
91.3900 2.01608
91.4185 2.65805
91.4593 3.98414
91.5000 4.86651
91.5408 3.97149
91.5815 2.63153
91.6144 1.90028
91.6473 1.44046
91.7130 0.955529
91.7788 0.728255
91.8446 0.604609
91.9761 0.478525
92.1077 0.414928
92.6338 0.308660
93.6861 0.227201
95.7908 0.159278
97.8954 0.130004
100.000 0.116179
103.115 0.115729
103.893 0.124074
104.672 0.148992
105.061 0.182728
105.256 0.215321
105.450 0.272529
105.645 0.387210
105.742 0.493400
105.840 0.671667
105.937 1.00505
105.986 1.29164
106.034 1.73470
106.083 2.47081
106.132 3.79983
106.156 4.89437
106.180 6.48213
106.205 8.84508
106.229 12.3586
106.265 19.7452
106.300 24.6823
106.336 19.7387
106.371 12.3505
106.399 8.45795
106.426 5.98839
106.454 4.40065
106.481 3.35444
106.536 2.12487
106.591 1.47186
106.646 1.08705
106.701 0.843459
106.812 0.564519
106.922 0.417688
107.032 0.331263
107.252 0.239122
107.472 0.193811
107.692 0.168421
108.133 0.142842
109.014 0.125710
109.895 0.122056
111.656 0.128520
112.537 0.145231
112.757 0.158127
112.978 0.188323
113.088 0.222725
113.198 0.296980
113.253 0.371178
113.308 0.504139
113.363 0.769723
113.391 1.00163
113.418 1.34407
113.459 2.07813
113.500 2.57086
113.541 2.07941
113.582 1.34611
113.622 0.891584
113.661 0.632667
113.701 0.481373
113.740 0.388028
113.819 0.285915
113.898 0.235234
114.056 0.189617
114.214 0.170971
114.846 0.154092
116.109 0.161150
118.637 0.199219
121.164 0.266481
123.691 0.391183
124.955 0.496795
126.218 0.658462
127.482 0.924117
128.746 1.40684
129.377 1.81233
130.009 2.42975
130.641 3.43805
131.273 5.25424
131.589 6.76588
131.905 9.04687
132.221 12.7241
132.379 15.4732
132.536 19.2213
132.694 24.5254
132.852 32.3688
133.010 44.6850
133.168 65.5949
133.247 82.0089
133.326 105.388
133.405 140.243
133.484 195.240
133.563 289.149
133.603 362.673
133.642 466.563
133.682 618.593
133.721 849.568
133.761 1212.30
133.800 1783.76
133.850 2853.37
133.900 3565.60
133.950 2851.62
134.000 1781.90
134.044 1159.33
134.088 785.745
134.132 558.171
134.176 413.349
134.264 249.926
134.352 166.153
134.440 118.043
134.528 88.0297
134.704 54.2376
134.880 36.6888
135.056 26.4500
135.232 19.9676
135.408 15.6113
135.760 10.3018
136.112 7.32150
136.464 5.48974
136.816 4.29238
137.519 2.91718
138.223 2.34561
138.575 2.38518
138.927 2.99570
139.103 3.95446
139.191 4.88024
139.279 6.45323
139.367 9.40075
139.411 11.9205
139.455 15.7909
139.499 22.1176
139.543 33.3056
139.587 55.0107
139.609 73.4532
139.631 99.8518
139.666 158.390
139.700 197.115
139.735 157.421
139.770 98.3404
139.810 56.9424
139.850 35.6870
139.890 24.1477
139.930 17.4091
139.970 13.1685
140.010 10.3576
140.090 6.98527
140.169 5.11978
140.249 3.98185
140.409 2.71795
140.569 2.06032
140.729 1.66905
141.048 1.23282
141.687 0.845817
142.326 0.660125
143.604 0.465555
144.882 0.359377
147.438 0.246063
149.994 0.190525
152.550 0.162740
155.106 0.152698
157.662 0.159886
158.940 0.179088
159.579 0.222043
159.739 0.256472
159.899 0.335163
159.978 0.420466
160.058 0.590928
160.098 0.746751
160.138 0.999028
160.178 1.43202
160.218 2.19576
160.259 3.41838
160.300 4.23887
160.341 3.42038
160.382 2.19912
160.412 1.58766
160.442 1.18857
160.502 0.752254
160.562 0.542696
160.622 0.429858
160.742 0.320689
160.862 0.272767
161.101 0.234826
161.341 0.222634
162.300 0.227820
163.259 0.260307
163.739 0.298688
163.978 0.364163
164.098 0.480557
164.158 0.632912
164.218 0.980905
164.300 1.68254
164.382 0.989746
164.424 0.722692
164.465 0.576155
164.549 0.444293
164.716 0.371086
165.049 0.357602
165.716 0.399234
167.050 0.565002
167.717 0.705466
168.384 0.924751
169.051 1.35957
169.218 1.58605
169.385 2.00355
169.468 2.40495
169.551 3.16255
169.593 3.83857
169.635 4.93106
169.676 6.81895
169.718 10.1940
169.759 15.4076
169.800 18.9154
169.841 15.4935
169.882 10.3635
169.931 6.67302
169.980 4.85613
170.029 3.91889
170.077 3.40689
170.175 2.94840
170.273 2.81717
170.664 3.25524
171.054 4.44878
171.445 6.69197
171.640 8.55902
171.836 11.3570
172.031 15.8151
172.129 19.1069
172.227 23.5428
172.324 29.7321
172.422 38.7196
172.520 52.4666
172.617 74.9815
172.666 92.0373
172.715 115.465
172.764 148.936
172.813 198.631
172.862 276.667
172.910 406.449
172.959 637.294
172.984 818.203
173.008 1062.65
173.054 1694.82
173.100 2113.85
173.146 1694.19
173.192 1061.95
173.242 627.308
173.293 396.094
173.343 267.591
173.393 191.333
173.443 142.879
173.494 110.530
173.594 71.4949
173.695 49.8875
173.795 36.7366
173.996 22.2614
174.197 14.9086
174.398 10.6758
174.599 8.02035
174.800 6.24713
175.202 4.09900
175.604 2.89807
176.006 2.15964
176.408 1.67364
177.212 1.09376
178.016 0.774397
178.820 0.580040
179.624 0.453097
181.231 0.303034
182.839 0.221402
184.447 0.172524
186.055 0.141426
189.271 0.107513
192.487 0.0948694
195.702 0.100447
197.310 0.123237
197.712 0.141043
198.114 0.183898
198.315 0.235795
198.416 0.282747
198.516 0.360213
198.617 0.501931
198.667 0.621573
198.717 0.803267
198.767 1.09787
198.818 1.61145
198.868 2.59126
198.893 3.41197
198.918 4.58173
198.959 7.28437
199.000 9.09639
199.041 7.28685
199.082 4.58558
199.111 3.27972
199.139 2.41063
199.168 1.83199
199.197 1.43741
199.254 0.959926
199.312 0.698570
199.369 0.541657
199.426 0.441015
199.541 0.325085
199.771 0.228526
200.000 0.192218
200.570 0.168273
201.140 0.171165
202.281 0.203856
203.421 0.268930
204.561 0.392475
205.131 0.497701
205.701 0.658949
206.271 0.923686
206.842 1.40301
207.127 1.80367
207.412 2.41037
207.697 3.39281
207.982 5.13842
208.124 6.57231
208.267 8.70451
208.409 12.0754
208.552 17.8630
208.623 22.4550
208.695 29.0625
208.766 39.0468
208.801 46.0515
208.837 55.0931
208.873 67.0653
208.908 83.2466
208.944 105.856
208.980 138.620
209.015 188.347
209.051 267.105
209.086 398.118
209.122 619.795
209.161 987.768
209.200 1231.42
209.240 982.518
209.279 611.685
209.318 376.364
209.358 244.961
209.397 169.125
209.436 122.723
209.475 92.6223
209.514 72.2364
209.593 47.2769
209.671 33.2319
209.750 24.6077
209.907 15.0213
210.063 10.1045
210.220 7.25959
210.377 5.46643
210.534 4.26578
210.848 2.80682
211.161 1.98901
211.475 1.48508
211.789 1.15282
212.416 0.755784
213.044 0.536762
213.671 0.403320
214.299 0.316114
215.553 0.213227
216.808 0.158728
218.063 0.136239
218.377 0.141296
218.691 0.165301
218.848 0.199346
219.004 0.283027
219.083 0.376217
219.161 0.563598
219.200 0.734577
219.240 1.01110
219.279 1.48284
219.318 2.30759
219.359 3.64593
219.400 4.54346
219.441 3.64541
219.482 2.30606
219.513 1.61728
219.544 1.17500
219.575 0.888486
219.606 0.697223
219.668 0.470578
219.729 0.348597
219.853 0.229645
219.977 0.175728
220.224 0.128745
220.471 0.108496
220.966 0.0899570
221.460 0.0805308
223.439 0.0623408
227.395 0.0469195
231.352 0.0404398
235.309 0.0386213
239.265 0.0414159
243.222 0.0542571
245.200 0.0727161
246.189 0.0909448
247.179 0.123812
248.168 0.192977
