Cd-108(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 48.9750
1.25000E-05 44.1562
1.50000E-05 40.5991
2.00000E-05 35.6061
2.75000E-05 30.8552
3.50000E-05 27.7286
4.25000E-05 25.4714
5.00000E-05 23.7434
6.25000E-05 21.5883
7.50000E-05 19.9975
0.000100000 17.7646
0.000125000 16.2407
0.000150000 15.1159
0.000200000 13.5369
0.000275000 12.0345
0.000350000 11.0458
0.000425000 10.3320
0.000500000 9.78549
0.000625000 9.10397
0.000750000 8.60090
0.00100000 7.89473
0.00125000 7.41280
0.00150000 7.05705
0.00200000 6.55768
0.00275000 6.08250
0.00350000 5.76976
0.00425000 5.54397
0.00500000 5.37110
0.00625000 5.15550
0.00750000 4.99633
0.0100000 4.77287
0.0125000 4.62034
0.0150000 4.50772
0.0200000 4.34959
0.0253000 4.23619
0.0314750 4.14208
0.0376500 4.07216
0.0500000 3.97340
0.0625000 3.90489
0.0750000 3.85426
0.100000 3.78306
0.125000 3.73435
0.150000 3.69829
0.200000 3.64748
0.275000 3.59881
0.350000 3.56651
0.500000 3.52483
0.750000 3.48478
1.00000 3.46022
1.50000 3.42993
2.00000 3.41092
2.75000 3.39173
3.50000 3.37823
5.00000 3.35943
7.50000 3.33891
10.0000 3.32423
15.0000 3.30189
20.0000 3.28349
27.5000 3.25859
35.0000 3.23484
42.5000 3.21223
46.2500 3.20331
48.1250 3.20179
49.0625 3.20325
50.0000 3.20819
51.0356 3.22344
51.5534 3.24041
52.0712 3.27276
52.3301 3.30054
52.5890 3.34327
52.8479 3.41342
53.1068 3.53982
53.2363 3.64467
53.3657 3.80204
53.4952 4.05353
53.6246 4.49164
53.7541 5.35717
53.8188 6.14624
53.8835 7.44696
53.9482 9.80903
53.9806 11.7787
54.0130 14.7382
54.0453 19.4405
54.0777 27.4271
54.1100 42.0452
54.1424 70.0510
54.1712 110.232
54.2000 137.053
54.2288 110.289
54.2576 70.1216
54.2799 48.9351
54.3023 35.4184
54.3246 26.7489
54.3470 21.0120
54.3916 14.2756
54.4363 10.6892
54.4810 8.57864
54.5256 7.23951
54.6150 5.70648
54.7043 4.89836
54.7937 4.42181
54.8830 4.11768
54.9723 3.91188
55.1510 3.65923
55.3297 3.51583
55.5084 3.42659
55.6871 3.36721
56.0444 3.29532
56.4018 3.25482
57.1165 3.21245
57.8312 3.19107
58.5460 3.17812
59.9754 3.16244
62.8343 3.14416
65.6932 3.13051
77.1288 3.08128
100.000 2.97043
125.000 2.81169
150.000 2.58617
162.500 2.43194
175.000 2.23326
187.500 1.96652
193.750 1.79587
200.000 1.59176
204.169 1.43422
208.337 1.26068
212.506 1.08225
216.675 0.945110
218.759 0.937561
220.843 1.03950
221.364 1.09529
221.885 1.16909
222.407 1.26529
222.667 1.32346
222.928 1.38943
223.188 1.46420
223.449 1.54880
223.709 1.64457
223.970 1.75285
224.491 2.01411
225.012 2.34933
225.533 2.78156
226.054 3.34253
226.575 4.07712
227.096 5.05003
227.617 6.35783
228.138 8.14730
228.659 10.6511
229.180 14.2523
229.702 19.6202
230.223 27.9927
230.744 41.8659
231.265 66.8507
231.525 87.3833
231.786 117.709
232.046 164.896
232.307 243.380
232.568 386.630
232.698 506.022
232.828 684.489
232.958 965.598
233.089 1435.10
233.219 2272.50
233.349 3817.66
233.475 6206.65
233.600 7893.29
233.726 6424.06
233.851 4078.83
233.927 3055.69
234.002 2327.59
234.154 1442.10
234.305 968.827
234.456 693.640
234.608 521.395
234.759 406.973
235.061 269.518
235.364 193.258
235.667 146.513
236.272 94.3178
236.877 67.1503
237.482 51.0925
238.087 40.7409
238.693 33.6354
239.903 24.6918
241.113 19.4161
242.324 15.9983
243.534 13.6311
245.955 10.6012
248.376 8.76235
250.796 7.53142
253.217 6.64697
258.059 5.44336
262.900 4.63224
267.742 4.01267
272.583 3.48874
277.425 3.00619
282.266 2.52997
287.108 2.03849
291.949 1.53796
294.370 1.31166
296.791 1.15543
298.001 1.13634
299.211 1.19184
299.817 1.26194
300.119 1.31120
300.422 1.37175
300.724 1.44523
301.027 1.53356
301.330 1.63895
301.632 1.76399
301.935 1.91183
302.237 2.08607
302.842 2.53187
303.448 3.14712
304.053 3.99844
304.658 5.18524
305.263 6.86025
305.868 9.26638
306.474 12.8054
307.079 18.1797
307.684 26.6899
308.289 40.9510
308.894 66.8085
309.197 88.0682
309.500 119.403
309.802 167.845
310.105 247.528
310.407 389.943
310.559 505.919
310.710 675.327
310.861 933.287
311.013 1344.86
311.164 2031.91
311.315 3198.08
311.486 5242.29
311.657 6704.09
311.828 5483.33
311.999 3506.32
312.198 2057.74
312.397 1303.60
312.596 891.017
312.794 647.192
312.993 492.524
313.192 388.763
