Cd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 555.943
1.25000E-05 497.251
1.50000E-05 453.925
2.00000E-05 393.111
2.75000E-05 335.245
3.50000E-05 297.163
4.25000E-05 269.670
5.00000E-05 248.624
6.25000E-05 222.375
7.50000E-05 202.999
0.000100000 175.802
0.000125000 157.241
0.000150000 143.540
0.000200000 124.308
0.000275000 106.009
0.000350000 93.9654
0.000425000 85.2709
0.000500000 78.6148
0.000625000 70.3135
0.000750000 64.1856
0.00100000 55.5836
0.00125000 49.7131
0.00150000 45.3794
0.00200000 39.2959
0.00275000 33.5068
0.00350000 29.6962
0.00425000 26.9450
0.00500000 24.8384
0.00625000 22.2107
0.00750000 20.2706
0.0100000 17.5463
0.0125000 15.6863
0.0150000 14.3126
0.0200000 12.3830
0.0253000 10.9985
0.0314750 9.84897
0.0376500 8.99437
0.0500000 7.78626
0.0625000 6.94742
0.0750000 6.32680
0.100000 5.45283
0.125000 4.85378
0.150000 4.40971
0.200000 3.78267
0.237500 3.44660
0.275000 3.18039
0.350000 2.77972
0.500000 2.26197
0.750000 1.76522
1.00000 1.46301
1.50000 1.09803
2.00000 0.878069
2.75000 0.669612
3.50000 0.535269
5.00000 0.372391
7.50000 0.236147
10.0000 0.167799
12.5000 0.128702
15.0000 0.104500
20.0000 0.0781858
27.5000 0.0631413
35.0000 0.0610210
42.5000 0.0670764
50.0000 0.0821280
54.9289 0.0994714
59.8578 0.127002
64.7867 0.173043
69.7156 0.257470
72.1800 0.328724
74.6444 0.437681
77.1089 0.616683
79.5733 0.942300
80.8056 1.21630
81.4217 1.40188
81.7297 1.51141
81.8838 1.57116
82.0378 1.63459
82.1918 1.70202
82.3458 1.77379
82.4999 1.85028
82.6539 1.93191
82.8079 2.01918
82.9620 2.11259
83.1160 2.21275
83.2700 2.32032
83.5781 2.56081
83.8861 2.84135
84.1942 3.17139
84.5022 3.56331
84.8103 4.03368
85.1183 4.60495
85.4264 5.30830
85.7344 6.18787
86.0425 7.30804
86.3506 8.76537
86.6586 10.7105
86.9667 13.3882
87.2747 17.2193
87.5828 22.9754
87.8908 32.2008
88.1989 48.3617
88.3529 61.4378
88.5069 80.6253
88.6610 110.397
88.8150 160.160
88.9690 252.481
89.0460 331.247
89.1231 452.358
89.2001 651.086
89.2771 1005.01
89.3156 1290.72
89.3541 1700.47
89.3926 2299.54
89.4311 3172.09
89.4901 5072.54
89.5490 6337.21
89.6080 5068.39
89.6669 3167.28
89.7073 2260.40
89.7476 1649.89
89.7880 1239.26
89.8284 957.092
89.9091 612.699
89.9898 422.285
90.0705 307.404
90.1513 233.253
