In-113(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 596.292
1.25000E-05 533.341
1.50000E-05 486.873
2.00000E-05 421.646
2.75000E-05 359.583
3.50000E-05 318.739
4.25000E-05 289.253
5.00000E-05 266.680
6.25000E-05 238.528
7.50000E-05 217.748
0.000100000 188.579
0.000125000 168.674
0.000150000 153.981
0.000200000 133.358
0.000275000 113.735
0.000350000 100.822
0.000425000 91.5009
0.000500000 84.3653
0.000625000 75.4670
0.000750000 68.8993
0.00100000 59.6819
0.00125000 53.3930
0.00150000 48.7518
0.00200000 42.2391
0.00275000 36.0457
0.00350000 31.9725
0.00425000 29.0341
0.00500000 26.7860
0.00625000 23.9850
0.00750000 21.9197
0.0100000 19.0256
0.0125000 17.0553
0.0150000 15.6043
0.0200000 13.5749
0.0253000 12.1276
0.0314750 10.9343
0.0376500 10.0541
0.0500000 8.82416
0.0625000 7.98471
0.0750000 7.37490
0.100000 6.54043
0.125000 5.99334
0.150000 5.60788
0.200000 5.10985
0.275000 4.72138
0.350000 4.55757
0.500000 4.60247
0.750000 5.49569
1.00000 7.86401
1.19023 12.0695
1.28534 16.0996
1.38045 23.0900
1.47556 36.8426
1.52312 49.3635
1.57068 70.0363
1.61823 107.770
1.64201 139.477
1.66579 187.549
1.68957 264.953
1.71334 399.262
1.73712 653.263
1.74901 864.220
1.76090 1162.57
1.77068 1483.47
1.78045 1848.57
1.80000 2297.10
1.81955 1828.49
1.83910 1137.51
1.85921 687.464
1.87933 440.438
1.89944 300.309
1.91955 215.714
1.93966 161.526
1.95978 125.035
2.00000 80.8041
2.04160 55.5933
2.08320 40.4612
2.12480 30.7081
2.16640 24.0737
2.24960 15.9125
2.33280 11.2950
2.41600 8.44440
2.49920 6.56988
2.66560 4.35225
2.83200 3.15843
2.99840 2.46135
3.33120 1.78861
3.66400 1.65290
3.83040 1.77900
3.99680 2.12844
4.16320 2.96389
4.24640 3.79727
4.32960 5.26546
4.41280 8.17546
4.45440 10.8252
4.49600 15.1831
4.53760 23.0647
4.55840 29.6128
4.57920 39.4168
4.60000 54.9172
4.62080 81.0907
4.64160 128.598
4.66240 218.628
4.68120 349.020
4.70000 435.474
4.71880 347.619
4.73760 216.874
4.75400 141.513
4.77040 96.1739
4.78680 68.4929
4.80320 50.8496
4.83600 30.9141
4.86880 20.6861
4.90160 14.8115
4.93440 11.1471
5.00000 7.02155
5.07813 4.59322
5.15625 3.29197
5.23438 2.51521
