In-115(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 9823.84
1.25000E-05 8787.01
1.50000E-05 8021.65
2.00000E-05 6947.34
2.75000E-05 5925.14
3.50000E-05 5252.42
4.25000E-05 4766.78
5.00000E-05 4394.99
6.25000E-05 3931.33
7.50000E-05 3589.08
0.000100000 3108.68
0.000125000 2780.85
0.000150000 2538.86
0.000200000 2199.21
0.000275000 1876.05
0.000350000 1663.40
0.000425000 1509.90
0.000500000 1392.39
0.000625000 1245.87
0.000750000 1137.73
0.00100000 985.978
0.00125000 882.450
0.00150000 806.055
0.00200000 698.874
0.00275000 596.978
0.00350000 529.987
0.00425000 481.677
0.00500000 444.731
0.00625000 398.717
0.00750000 364.812
0.0100000 317.343
0.0125000 285.066
0.0150000 261.329
0.0200000 228.192
0.0253000 204.630
0.0314750 185.269
0.0376500 171.043
0.0500000 151.287
0.0625000 137.932
0.0750000 128.337
0.100000 115.453
0.125000 107.281
0.150000 101.774
0.200000 95.3144
0.275000 91.8248
0.350000 92.5910
0.500000 103.031
0.625000 121.266
0.750000 152.552
0.875000 207.586
0.937500 251.289
1.00000 313.930
1.05244 389.944
1.10488 501.483
1.15731 674.590
1.20975 964.350
1.23597 1188.60
1.26219 1504.10
1.28841 1967.27
1.31463 2684.63
1.34084 3874.96
1.36706 6034.07
1.38017 7810.42
1.39328 10405.8
1.40639 14287.0
1.41950 20086.3
1.43825 31985.1
1.45700 39783.7
1.47575 31668.9
1.49450 19703.2
1.51030 13002.4
1.52609 8904.67
1.54189 6369.03
1.55769 4736.86
1.58928 2875.58
1.62088 1913.11
1.65247 1358.02
1.68406 1011.11
1.74725 620.390
1.81044 418.110
1.87363 300.551
1.93681 226.466
2.00000 176.906
2.11308 121.681
2.22616 89.3272
2.33924 68.8609
2.45233 55.1766
2.67849 38.8348
2.90465 30.3243
3.13081 26.4584
3.35698 27.7830
3.47006 32.9125
3.52660 38.3705
3.58314 48.0244
3.63968 66.6389
3.66795 82.8717
3.69622 108.216
3.72449 150.520
3.75276 227.553
3.76690 291.034
3.78103 383.842
3.79517 522.649
3.80930 730.086
3.82965 1160.09
3.85000 1446.84
