Sn-116(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 6.41843
1.25000E-05 5.74082
1.50000E-05 5.24062
2.00000E-05 4.53851
2.75000E-05 3.87046
3.50000E-05 3.43079
4.25000E-05 3.11340
5.00000E-05 2.87041
6.25000E-05 2.56737
7.50000E-05 2.34368
0.000100000 2.02969
0.000125000 1.81541
0.000150000 1.65723
0.000200000 1.43521
0.000275000 1.22395
0.000350000 1.08492
0.000425000 0.984549
0.000500000 0.907710
0.000625000 0.811882
0.000750000 0.741145
0.00100000 0.641854
0.00125000 0.574094
0.00150000 0.524076
0.00200000 0.453867
0.00275000 0.387064
0.00350000 0.343100
0.00425000 0.311362
0.00500000 0.287065
0.00625000 0.256765
0.00750000 0.234398
0.0100000 0.203003
0.0125000 0.181579
0.0150000 0.165766
0.0200000 0.143570
0.0253000 0.127661
0.0314750 0.114467
0.0376500 0.104671
0.0500000 0.0908482
0.0625000 0.0812746
0.0750000 0.0742091
0.100000 0.0642946
0.125000 0.0575316
0.150000 0.0525415
0.200000 0.0455414
0.275000 0.0388880
0.350000 0.0345151
0.500000 0.0289522
0.750000 0.0237417
1.00000 0.0206501
1.50000 0.0170079
2.00000 0.0148585
2.75000 0.0128395
3.50000 0.0115331
5.00000 0.00991194
7.50000 0.00847132
10.0000 0.00768842
15.0000 0.00692082
20.0000 0.00664436
27.5000 0.00669175
35.0000 0.00712062
50.0000 0.00914904
62.5000 0.0128290
68.7500 0.0160425
75.0000 0.0210482
81.2500 0.0294422
87.5000 0.0451541
90.6250 0.0587710
93.7500 0.0801992
96.8750 0.116883
100.000 0.187906
101.392 0.243202
102.785 0.327894
104.177 0.467376
105.570 0.721894
106.266 0.936646
106.962 1.26518
107.658 1.80508
108.006 2.21608
108.354 2.78644
108.441 2.96384
108.528 3.15859
108.615 3.37328
108.702 3.61073
108.790 3.87460
108.877 4.16825
108.964 4.49674
109.051 4.86579
109.138 5.28290
109.225 5.75566
109.312 6.29505
109.399 6.91422
109.573 8.46367
109.747 10.5992
109.921 13.6625
110.095 18.2740
110.269 25.6937
110.356 31.2212
110.443 38.7438
110.530 49.3627
110.617 64.9947
110.704 89.3844
110.791 130.475
110.835 162.442
110.878 207.608
110.922 274.224
110.965 377.961
111.009 551.196
111.052 867.951
111.074 1131.10
111.096 1516.11
111.117 2098.44
111.139 2970.27
111.170 4728.47
111.200 5889.92
111.231 4695.37
111.262 2919.85
111.298 1673.00
111.333 1035.51
111.369 690.346
111.404 489.334
111.440 363.076
111.475 279.598
111.546 179.693
111.618 124.852
111.689 91.6563
111.831 55.3186
111.973 36.9292
112.115 26.3809
112.257 19.7715
112.399 15.3659
112.684 10.0379
112.968 7.06412
113.252 5.23781
113.537 4.03676
114.105 2.60579
114.674 1.81866
115.242 1.34017
115.811 1.02788
116.948 0.658767
118.085 0.457470
119.223 0.335890
120.360 0.256970
122.634 0.164343
124.909 0.114373
127.183 0.0846535
129.458 0.0658734
134.006 0.0460078
136.281 0.0420681
138.555 0.0424372
140.830 0.0506050
141.967 0.0612216
143.104 0.0823227
143.673 0.100790
144.241 0.129538
144.810 0.177391
145.379 0.265204
145.663 0.339359
145.947 0.452641
146.232 0.638112
146.516 0.972835
146.658 1.25180
146.800 1.67258
146.942 2.35137
147.084 3.54897
147.156 4.52589
147.227 5.96984
147.298 8.23193
147.369 12.0576
147.440 19.3078
147.475 25.6363
147.511 35.5549
147.547 52.3900
147.582 83.7171
147.600 110.294
147.618 149.921
147.635 211.486
147.653 306.436
147.677 491.249
147.700 614.874
147.724 491.321
147.747 306.528
147.773 180.844
147.798 114.255
147.824 77.2976
147.849 55.3007
147.875 41.2961
147.900 31.9636
147.951 20.7029
148.002 14.4525
148.053 10.6536
148.155 6.46708
148.257 4.33611
148.359 3.10962
148.462 2.33883
148.564 1.82409
148.768 1.19977
148.972 0.850547
149.176 0.635566
149.380 0.493881
149.788 0.324549
150.197 0.231047
150.605 0.173957
151.013 0.136518
151.829 0.0919239
152.646 0.0672910
154.279 0.0421945
155.912 0.0301067
157.545 0.0232279
160.810 0.0158505
164.076 0.0119935
167.342 0.00961416
173.874 0.00680107
180.405 0.00517337
186.937 0.00410786
200.000 0.00280566
218.750 0.00182224
237.500 0.00129099
256.250 0.000971596
275.000 0.000765498
312.500 0.000527230
350.000 0.000403913
387.500 0.000337102
425.000 0.000304215
462.500 0.000298599
500.000 0.000327570
533.136 0.000412875
566.272 0.000682320
582.841 0.00106781
599.409 0.00217581
607.693 0.00373008
611.835 0.00529371
615.977 0.00817125
620.119 0.0143802
622.190 0.0206125
624.261 0.0320558
625.296 0.0417588
626.332 0.0566643
627.367 0.0812804
628.403 0.126309
628.921 0.164354
629.438 0.222579
629.956 0.318290
630.474 0.492115
630.733 0.637969
630.992 0.859707
631.250 1.22074
631.509 1.86732
631.639 2.40273
631.768 3.20505
631.898 4.48822
632.027 6.72401
632.157 11.1562
632.221 15.2070
632.286 21.9102
632.351 34.1523
632.383 44.4447
632.415 59.9589
632.448 84.8968
632.480 127.667
632.512 207.679
632.545 364.380
632.572 583.362
632.600 728.618
632.628 582.533
632.655 364.403
632.684 221.857
632.712 143.287
632.740 98.3880
632.768 71.1140
632.796 53.5527
632.825 41.6708
632.881 27.1846
632.937 19.0747
632.994 14.1010
633.107 8.58723
