Sn-124(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 11.5089
1.25000E-05 10.7991
1.50000E-05 10.2752
2.00000E-05 9.53977
2.75000E-05 8.84001
3.50000E-05 8.37948
4.25000E-05 8.04701
5.00000E-05 7.79250
6.25000E-05 7.47508
7.50000E-05 7.24077
0.000100000 6.91187
0.000125000 6.68742
0.000150000 6.52174
0.000200000 6.28918
0.000275000 6.06790
0.000350000 5.92227
0.000425000 5.81713
0.000500000 5.73665
0.000625000 5.63627
0.000750000 5.56218
0.00100000 5.45817
0.00125000 5.38720
0.00150000 5.33480
0.00200000 5.26126
0.00275000 5.19129
0.00350000 5.14524
0.00425000 5.11199
0.00500000 5.08654
0.00625000 5.05480
0.00750000 5.03137
0.0100000 4.99848
0.0125000 4.97603
0.0150000 4.95946
0.0200000 4.93620
0.0253000 4.91952
0.0314750 4.90569
0.0376500 4.89542
0.0500000 4.88091
0.0625000 4.87085
0.0750000 4.86342
0.100000 4.85298
0.125000 4.84584
0.150000 4.84056
0.200000 4.83311
0.275000 4.82597
0.350000 4.82122
0.500000 4.81506
0.750000 4.80904
1.00000 4.80524
1.50000 4.80032
2.00000 4.79697
2.75000 4.79322
3.50000 4.79023
5.00000 4.78536
7.50000 4.77874
10.0000 4.77303
15.0000 4.76311
20.0000 4.75473
27.5000 4.74517
31.2500 4.74226
35.0000 4.74133
38.7500 4.74357
42.5000 4.75149
46.2500 4.77099
48.1250 4.78935
50.0000 4.81867
51.4846 4.85524
52.9692 4.91285
54.4538 5.00973
55.9384 5.18912
56.6807 5.34147
57.4230 5.57507
58.1653 5.95885
58.9076 6.65372
59.2788 7.23386
59.6499 8.11081
60.0211 9.52640
60.3922 12.0291
60.5778 14.0711
60.7634 17.0905
60.9489 21.8223
61.1345 29.8407
61.3201 45.0226
61.4129 58.2498
61.5057 79.0304
61.5984 114.182
61.6912 179.718
61.7376 235.121
61.7840 318.159
61.8304 446.381
61.8768 645.238
61.9384 1033.11
62.0000 1293.34
62.0616 1034.08
62.1232 646.512
62.1602 481.328
62.1972 364.572
62.2712 223.914
62.3451 149.500
62.4191 106.629
62.4931 80.0296
62.5671 62.5108
62.7150 41.7160
62.8630 30.3683
63.0109 23.5251
63.3069 16.0525
63.6028 12.2823
63.8987 10.1201
64.1946 8.76629
64.4905 7.86282
65.0823 6.76927
65.6742 6.15741
66.2660 5.78049
66.8578 5.53173
68.0415 5.23363
69.2251 5.06808
70.4088 4.96631
71.5924 4.89902
73.9597 4.81772
76.3270 4.77165
78.6943 4.74249
81.0616 4.72247
85.7962 4.69660
90.5308 4.68020
95.2654 4.66842
100.000 4.65923
112.500 4.64122
125.000 4.62770
137.500 4.61645
150.000 4.60664
175.000 4.58990
200.000 4.57585
237.500 4.55832
275.000 4.54388
350.000 4.52136
425.000 4.50453
500.000 4.49144
539.487 4.48569
559.231 4.48319
569.103 4.48259
571.571 4.48298
574.039 4.48465
575.273 4.48725
576.507 4.49488
577.124 4.50557
577.741 4.53572
578.049 4.57711
578.204 4.61799
578.358 4.69164
578.512 4.84557
578.589 4.99468
578.666 5.25785
578.705 5.47267
578.743 5.78928
578.782 6.28649
578.820 7.12654
578.859 8.72121
578.878 10.1119
578.898 12.2854
578.917 15.9815
578.936 22.8872
578.946 28.7737
578.955 37.5232
578.965 51.0320
578.975 71.9691
578.987 112.521
579.000 139.577
579.013 112.508
579.025 71.9530
579.037 48.0063
579.048 33.8855
579.059 25.3231
579.071 19.8917
579.093 13.7622
579.116 10.6462
579.139 8.85271
579.161 7.74049
579.207 6.48607
579.252 5.83586
579.297 5.45669
579.343 5.21666
579.388 5.05555
579.478 4.85867
579.569 4.74786
579.750 4.63424
579.931 4.58010
580.112 4.55018
580.475 4.51995
581.199 4.49794
581.924 4.49009
583.373 4.48433
584.822 4.48219
590.618 4.47959
602.210 4.47774
625.394 4.47497
671.763 4.47007
764.500 4.46171
857.237 4.45484
903.605 4.45192
926.789 4.45087
938.381 4.45152
941.280 4.45270
944.178 4.45631
945.627 4.46143
947.076 4.47596
947.800 4.49609
948.162 4.51613
948.525 4.55259
948.887 4.63009
949.068 4.70664
949.249 4.84481
949.340 4.96010
949.430 5.13440
949.521 5.41613
949.611 5.91494
949.657 6.32373
949.702 6.93061
949.747 7.88722
949.792 9.51796
949.838 12.6542
949.860 15.4362
949.883 19.8593
949.906 27.5567
949.928 42.3826
949.940 55.3916
949.951 75.6302
949.962 108.416
949.974 162.181
949.987 257.164
950.000 319.819
950.013 256.319
950.027 162.077
950.039 104.713
950.051 71.4487
950.063 51.5656
950.075 39.0872
950.100 25.1932
950.124 18.1590
950.149 14.1508
950.173 11.6632
950.222 8.87498
950.271 7.43454
950.319 6.59638
950.368 6.06663
950.417 5.71083
950.515 5.27770
950.612 5.03425
950.807 4.78488
951.003 4.66634
951.198 4.60090
951.588 4.53493
951.979 4.50403
952.369 4.48713
953.150 4.47024
954.712 4.45810
956.273 4.45380
959.397 4.45065
962.520 4.44945
975.013 4.44780
1000.00 4.44624
1062.50 4.44304
1125.00 4.44018
1250.00 4.43519
1500.00 4.42751
1625.00 4.42465
1750.00 4.42249
1875.00 4.42133
1937.50 4.42138
2000.00 4.42218
2047.41 4.42361
2094.83 4.42631
2142.24 4.43132
2189.65 4.44118
2213.36 4.44980
2237.06 4.46323
2260.77 4.48561
2284.48 4.52684
2296.33 4.56181
2308.18 4.61550
2320.04 4.70403
2331.89 4.86566
2337.82 5.00196
2343.74 5.21022
2349.67 5.55189
2355.59 6.17090
2358.56 6.68925
2361.52 7.47547
2364.48 8.75224
2367.45 11.0319
2368.93 12.9126
2370.41 15.7245
2371.89 20.1997
2373.37 27.9514
2374.86 43.1741
2375.60 56.9628
2376.34 79.5086
2377.08 120.093
2377.45 153.665
2377.82 203.489
2378.19 281.815
2378.56 412.098
2378.93 644.175
2379.30 1073.25
2379.65 1718.16
2380.00 2148.91
2380.35 1716.61
2380.70 1071.88
2380.95 757.852
2381.19 550.110
2381.44 411.453
2381.69 317.408
2382.18 203.446
2382.67 141.105
2383.16 103.632
2383.66 79.5471
2384.64 51.6578
2385.63 36.7708
2386.61 27.9389
2387.60 22.2754
2388.58 18.4306
2390.55 13.6968
2392.52 11.0084
2394.50 9.33603
2396.47 8.22673
2400.41 6.89227
2404.35 6.15123
2408.29 5.69771
2412.23 5.40020
2420.11 5.04657
2427.99 4.85252
2435.88 4.73471
2443.76 4.65787
2459.52 4.56706
2475.29 4.51748
2491.05 4.48746
2506.82 4.46788
2538.35 4.44470
2569.87 4.43194
2601.40 4.42410
2632.93 4.41887
2695.99 4.41243
2759.05 4.40858
2822.11 4.40598
2885.16 4.40406
3011.28 4.40133
3074.34 4.40042
3137.39 4.39993
3200.45 4.40043
3231.98 4.40164
3263.51 4.40454
3279.28 4.40732
3295.04 4.41190
3310.80 4.41993
3326.57 4.43541
3334.45 4.44894
3342.33 4.47016
3350.22 4.50588
3358.10 4.57245
3362.04 4.62942
3365.98 4.71743
3369.92 4.86342
3373.86 5.13117
3375.83 5.35748
3377.80 5.70323
3379.77 6.26982
3381.74 7.29151
3382.73 8.14270
3383.71 9.42429
3384.70 11.4844
3385.68 15.1043
3386.18 18.0431
3386.67 22.3642
3387.16 29.0841
3387.66 40.3162
3388.15 61.2459
3388.39 79.1022
3388.64 106.596
3388.89 152.010
3389.13 232.843
3389.38 392.228
3389.50 529.961
3389.63 731.209
3389.81 1170.19
3390.00 1461.66
3390.19 1169.14
3390.38 733.146
3390.57 442.669
3390.77 285.236
3390.97 195.909
3391.16 142.395
3391.36 107.968
3391.55 84.8963
3391.95 56.8029
3392.34 41.1377
3392.73 31.5536
3393.52 20.9486
3394.31 15.5317
3395.09 12.4003
3395.88 10.4290
3396.66 9.10823
3398.24 7.50313
3399.81 6.60154
3401.38 6.04478
3402.95 5.67679
3406.10 5.23547
3409.24 4.99057
3412.38 4.84045
3415.53 4.74170
3421.81 4.62363
3428.10 4.55821
3434.39 4.51806
3440.68 4.49158
3453.25 4.45975
3465.83 4.44195
3478.40 4.43089
3490.98 4.42350
3516.13 4.41443
3541.28 4.40917
3566.43 4.40577
3591.58 4.40340
3641.88 4.40027
3692.18 4.39824
3792.78 4.39561
3893.38 4.39382
3993.99 4.39240
4195.19 4.39017
4396.39 4.38847
4597.59 4.38746
4698.20 4.38747
4798.80 4.38819
4899.40 4.39039
5000.00 4.39612
5044.78 4.40121
5089.56 4.40958
5134.34 4.42423
5179.12 4.45242
5201.51 4.47703
5223.89 4.51554
5246.28 4.58023
5268.67 4.70038
5279.87 4.80283
5291.06 4.96049
5302.26 5.22067
5313.45 5.69411
5319.05 6.09108
5324.65 6.69299
5330.24 7.66817
5335.84 9.39969
5338.64 10.8179
5341.44 12.9218
5344.24 16.2317
5347.04 21.8667
5349.84 32.6149
5351.23 42.0418
5352.63 56.9567
5354.03 82.4539
5355.43 130.663
5356.13 172.053
5356.83 234.895
5357.53 333.824
5358.23 490.130
5359.12 782.535
5360.00 977.967
5360.89 782.149
5361.78 489.387
5362.60 313.669
5363.42 210.962
5364.24 149.672
5365.06 111.244
5366.70 68.4800
5368.34 46.8394
5369.98 34.4921
5371.62 26.8235
5374.90 18.2184
5378.18 13.7615
5381.46 11.1627
5384.74 9.51560
5388.02 8.40691
5394.58 7.05215
5401.13 6.28678
5407.69 5.81205
5414.25 5.49714
5427.37 5.11784
5440.49 4.90627
5453.61 4.77599
5466.72 4.68991
5492.96 4.58646
5519.20 4.52870
5545.43 4.49300
5571.67 4.46927
5624.14 4.44045
5676.61 4.42406
5729.08 4.41370
5781.55 4.40664
5886.50 4.39770
5991.44 4.39225
6096.38 4.38854
6201.33 4.38578
6411.21 4.38182
6621.10 4.37891
7040.87 4.37451
7460.64 4.37092
7880.42 4.36769
8300.19 4.36463
8510.07 4.36313
8615.02 4.36239
8667.49 4.36202
8693.72 4.36184
8706.84 4.36179
8713.40 4.36192
8716.68 4.36266
8718.32 4.36575
8719.14 4.37772
8719.55 4.42087
8719.76 4.55919
8719.86 4.91517
8719.91 5.57401
8719.96 8.10293
8720.00 11.8554
8720.04 8.11413
8720.08 5.92581
8720.12 5.16696
8720.19 4.67998
8720.35 4.46482
8720.65 4.39133
8721.26 4.36976
8722.48 4.36382
8724.92 4.36222
8729.79 4.36176
8739.54 4.36158
8759.05 4.36141
8798.05 4.36113
8876.06 4.36060
9032.08 4.35958
9188.10 4.35871
9344.12 4.35817
9500.14 4.35871
9578.15 4.36011
9656.16 4.36359
9695.17 4.36700
9734.17 4.37270
9773.18 4.38280
9812.18 4.40247
9831.68 4.41976
9851.19 4.44695
9870.69 4.49279
9890.19 4.57818
9899.94 4.65112
9909.69 4.76342
9919.44 4.94870
9929.20 5.28549
9934.07 5.56731
9938.95 5.99373
9943.82 6.68217
9948.70 7.89741
9951.14 8.88679
9953.57 10.3455
9956.01 12.6211
9958.45 16.4473
9960.89 23.6059
9962.11 29.7592
9963.33 39.2889
9964.54 55.0718
9965.76 83.5606
9966.37 106.877
9966.98 140.669
9967.59 190.766
9968.20 264.918
9969.10 422.292
9970.00 527.872
9970.90 423.657
9971.80 266.705
9972.68 167.525
9973.56 111.356
9974.44 78.6474
9975.33 58.5036
9976.21 45.3888
9977.09 36.4581
9978.85 25.4791
9980.61 19.2764
9982.38 15.4506
9985.90 11.1793
9989.43 8.97859
9992.95 7.69847
9996.48 6.88863
10000.0 6.34378
10004.8 5.85222
10009.5 5.52503
10019.0 5.12988
10028.5 4.90861
10038.0 4.77199
10057.0 4.61842
10075.9 4.53823
10094.9 4.49081
10113.9 4.46034
10151.9 4.42453
10189.9 4.40487
10227.8 4.39277
10303.8 4.37898
10379.7 4.37147
10455.6 4.36677
10607.5 4.36112
10759.4 4.35768
10911.3 4.35522
11215.0 4.35161
11518.7 4.34876
11822.5 4.34625
12430.0 4.34164
13645.0 4.33287
13948.7 4.33091
14100.6 4.33017
14252.5 4.32992
14404.4 4.33103
14480.3 4.33297
14556.2 4.33729
14594.2 4.34133
14632.2 4.34785
14670.1 4.35905
14708.1 4.38018
14727.1 4.39834
14746.1 4.42638
14765.1 4.47280
14784.0 4.55749
14793.5 4.62876
14803.0 4.73710
14812.5 4.91349
14822.0 5.22934
14826.8 5.49080
14831.5 5.88172
14836.2 6.50714
14841.0 7.59391
14845.7 9.74770
14848.1 11.7109
14850.5 14.9542
14852.9 20.8991
14854.0 25.8906
14855.2 33.3638
14856.4 45.4214
14857.6 65.9397
14858.8 104.410
14860.0 179.005
14861.0 283.775
14862.0 353.487
14863.0 283.364
14864.0 178.532
14864.9 117.985
14865.8 81.8341
14866.7 59.6298
14867.6 45.4089
14869.3 29.2585
14871.1 20.9289
14872.9 16.1271
14874.6 13.1236
14878.1 9.73254
14881.7 7.96874
14885.2 6.93791
14888.7 6.28427
14892.2 5.84404
14899.3 5.30550
14906.3 5.00127
14913.3 4.81152
14920.4 4.68410
14934.5 4.52416
14948.6 4.42202
14962.6 4.35025
14966.2 4.35916
14969.7 4.46213
14971.4 4.66276
14972.3 4.88636
14973.2 5.31709
14974.1 6.25919
14974.5 7.18587
14975.0 8.81200
14975.4 11.9976
14975.6 14.8395
14975.8 19.3806
14976.1 27.1941
14976.3 42.0236
14976.4 54.7256
14976.5 73.9586
14976.6 103.980
14976.7 151.093
14976.9 247.165
14977.0 309.305
14977.2 249.644
14977.3 162.611
14977.4 102.039
14977.6 70.0012
14977.7 50.9683
14977.9 39.0369
14978.0 30.6980
14978.2 25.3819
14978.4 18.7096
14978.7 14.7383
14979.0 12.3361
14979.6 9.57260
14980.1 8.07362
14980.7 7.17843
14981.3 6.59721
14981.8 6.20202
14983.0 5.69186
14984.1 5.39163
14986.4 5.05964
14988.6 4.88396
14990.9 4.77762
14995.4 4.65557
15000.0 4.58781
15004.5 4.54447
15013.5 4.49155
15022.6 4.45978
15031.7 4.43824
15049.8 4.41034
15067.9 4.39275
15086.0 4.38054
15122.3 4.36466
15158.5 4.35477
15194.8 4.34804
15267.3 4.33947
15339.8 4.33420
15412.3 4.33055
15557.3 4.32558
15702.2 4.32201
15847.2 4.31913
15919.7 4.31816
15992.2 4.31893
16028.5 4.32227
16064.7 4.33539
16082.9 4.35654
16091.9 4.37898
16101.0 4.42161
16105.5 4.45849
16110.0 4.51577
16114.6 4.61110
16119.1 4.78593
16121.4 4.93355
16123.6 5.15700
16125.9 5.52131
16128.2 6.16555
16129.3 6.69763
16130.4 7.47922
16131.6 8.70377
16132.7 10.7753
16133.8 14.7283
16134.4 18.1719
16135.0 23.4565
16135.5 32.4800
16136.1 48.7617
16136.4 62.8325
16136.7 82.9517
16136.9 113.299
16137.2 159.095
16137.6 253.967
16138.0 315.696
16138.4 252.834
16138.8 160.845
16139.1 112.354
16139.4 81.0699
16139.7 60.8111
16140.0 47.6691
16140.6 31.6841
16141.2 23.0414
16141.8 17.8317
16142.4 14.5656
16143.5 10.7896
16144.7 8.76503
16145.9 7.57386
16147.1 6.80818
16148.3 6.28688
16150.6 5.64025
16153.0 5.27208
16155.4 5.04054
16157.7 4.88641
16162.5 4.69829
16167.2 4.59246
16171.9 4.52665
16176.7 4.48279
16186.1 4.42942
16195.6 4.39922
16214.5 4.36754
16233.4 4.35177
16252.4 4.34257
16290.2 4.33247
16365.9 4.32354
16441.6 4.31906
16593.1 4.31369
16630.9 4.31339
16668.8 4.31619
16687.7 4.32263
16706.6 4.34534
16716.1 4.38053
16720.8 4.41730
16725.5 4.48635
16730.3 4.63705
16732.6 4.78851
16735.0 5.06242
16736.2 5.29319
16737.4 5.63861
16738.6 6.19289
16739.7 7.16198
16740.9 9.10494
16741.5 10.8692
16742.1 13.7788
16742.7 19.0561
16743.0 23.5377
16743.3 30.0275
16743.6 40.6558
16743.9 57.9799
16744.2 90.4790
16744.5 149.695
16744.7 237.698
16745.0 296.996
16745.3 239.193
16745.5 151.571
16745.8 103.371
16746.0 73.2615
16746.2 54.2938
16746.4 42.3707
16746.8 28.0262
16747.3 20.4093
16747.7 15.8490
16748.1 13.0335
16749.0 9.80054
16749.9 8.07367
16750.7 7.06518
16751.6 6.41215
16752.5 5.97410
16754.2 5.43029
16755.9 5.11981
16757.7 4.92554
16759.4 4.79566
16762.8 4.63768
16766.3 4.54844
16773.2 4.45581
16780.1 4.41048
16787.1 4.38467
16800.9 4.35743
16828.6 4.33563
16856.2 4.32660
16911.6 4.31832
16966.9 4.31396
17022.2 4.31107
17077.6 4.31051
17105.2 4.31408
17132.9 4.33136
17146.7 4.36127
17153.6 4.39390
17160.6 4.45676
17164.0 4.51171
17167.5 4.59752
17170.9 4.74089
17174.4 5.00317
17176.1 5.22423
17177.8 5.55936
17179.6 6.10037
17181.3 7.05230
17183.0 8.95115
17183.9 10.7055
17184.8 13.5754
17185.6 18.8662
17186.1 23.2373
17186.5 29.7901
17186.9 40.1548
17187.4 57.6398
17187.8 89.2821
17188.2 148.952
17188.6 238.162
17189.0 296.654
17189.4 238.186
17189.8 151.955
17190.1 100.539
17190.5 70.3695
17190.8 51.3177
17191.2 39.4829
17191.9 25.8053
17192.5 18.8194
17193.2 14.7087
17193.9 12.1623
17195.3 9.24098
17196.7 7.69840
17198.0 6.79655
17199.4 6.21929
17200.8 5.82706
17203.5 5.34096
17206.3 5.06346
17209.0 4.88838
17211.8 4.77121
17217.2 4.62735
17222.7 4.54524
17228.2 4.49356
17233.7 4.45875
17244.7 4.41562
17255.7 4.39061
17277.6 4.36360
17299.6 4.34961
17321.5 4.34118
17365.4 4.33156
17453.3 4.32265
17541.1 4.31816
17716.7 4.31302
17892.4 4.30963
18243.6 4.30442
18594.9 4.29986
19297.5 4.29076
19648.7 4.28582
20000.0 4.28051
20227.6 4.27703
20455.2 4.27463
20569.0 4.27573
20626.0 4.27840
20682.9 4.28488
20711.3 4.29118
20739.8 4.30159
20768.2 4.31985
20796.7 4.35498
20810.9 4.38555
20825.1 4.43315
20839.3 4.51257
20853.6 4.65828
20860.7 4.78121
20867.8 4.96787
20874.9 5.27065
20882.0 5.80796
20885.6 6.24779
20889.1 6.89867
20892.7 7.91844
20896.2 9.63698
20899.8 12.8806
20901.6 15.6874
20903.4 20.0317
20905.1 27.3187
20906.9 40.6300
20907.8 51.6415
20908.7 67.8004
20909.6 92.0782
20910.5 128.045
20911.7 202.953
20913.0 253.374
20914.3 204.069
20915.5 129.465
20916.4 94.7987
20917.2 71.3295
20918.9 44.0457
20920.5 30.0698
20922.2 22.2653
20923.9 17.4735
20925.5 14.3723
20928.9 10.7166
20932.2 8.74007
20935.5 7.55397
20942.2 6.26407
20948.8 5.61239
20955.5 5.23797
20962.2 5.00281
20968.8 4.84544
20982.1 4.65339
20995.4 4.54489
21008.8 4.47724
21022.1 4.43211
21048.7 4.37702
21075.3 4.34561
21102.0 4.32574
21128.6 4.31220
21181.8 4.29501
21235.1 4.28449
21341.6 4.27170
21448.1 4.26337
21554.6 4.25668
21767.6 4.24452
21980.7 4.23128
22087.2 4.22353
22193.7 4.21461
22300.2 4.20420
22406.7 4.19258
22460.0 4.18772
22513.2 4.18955
22539.8 4.20193
22553.2 4.21795
22566.5 4.25098
22579.8 4.32808
22586.4 4.40822
22593.1 4.55683
22596.4 4.68299
22599.8 4.87547
22603.1 5.18855
22606.4 5.74263
22609.7 6.86613
22611.4 7.91614
22613.1 9.67142
22614.7 12.9676
22615.6 15.7746
22616.4 20.0959
22617.2 27.1873
22618.1 39.8040
22618.9 64.5132
22619.3 86.0193
22619.7 116.499
22620.4 185.297
22621.0 230.891
22621.7 185.765
22622.3 118.500
22622.7 88.5739
