Sb-121(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 288.386
1.25000E-05 257.941
1.50000E-05 235.467
2.00000E-05 203.920
2.75000E-05 173.904
3.50000E-05 154.150
4.25000E-05 139.889
5.00000E-05 128.972
6.25000E-05 115.356
7.50000E-05 105.306
0.000100000 91.1978
0.000125000 81.5703
0.000150000 74.4636
0.000200000 64.4882
0.000275000 54.9968
0.000350000 48.7504
0.000425000 44.2411
0.000500000 40.7891
0.000625000 36.4840
0.000750000 33.3063
0.00100000 28.8459
0.00125000 25.8022
0.00150000 23.5556
0.00200000 20.4023
0.00275000 17.4025
0.00350000 15.4286
0.00425000 14.0039
0.00500000 12.9135
0.00625000 11.5538
0.00750000 10.5505
0.0100000 9.14285
0.0125000 8.18284
0.0150000 7.47465
0.0200000 6.48152
0.0253000 5.77060
0.0314750 5.18186
0.0376500 4.74542
0.0500000 4.13096
0.0625000 3.70676
0.0750000 3.39474
0.100000 2.95904
0.125000 2.66394
0.150000 2.44779
0.200000 2.14797
0.275000 1.86881
0.350000 1.69050
0.500000 1.47434
0.750000 1.29379
1.00000 1.20897
1.50000 1.16494
2.00000 1.21678
2.75000 1.45119
3.50000 1.97867
3.87500 2.46015
4.25000 3.23763
4.62500 4.60615
5.00000 7.36233
5.14939 9.30903
5.29878 12.2352
5.44816 16.9353
5.59755 25.2137
5.67224 31.9581
5.74694 41.9313
5.82163 57.5828
5.89633 84.2046
5.97102 135.005
6.00837 179.695
6.04571 250.695
6.08306 372.825
6.10173 469.288
6.12041 606.752
6.13908 810.214
6.15775 1124.01
6.17643 1626.68
6.19510 2440.04
6.21755 3896.78
6.24000 4861.85
6.26245 3882.34
6.28490 2422.20
6.29941 1759.05
6.31393 1302.64
6.34295 770.875
6.37197 499.365
6.40100 346.671
6.43002 253.533
6.45905 192.963
6.51709 121.999
6.57514 83.7997
6.63319 60.9924
6.69124 46.3254
6.74929 36.3539
6.86539 24.0743
6.98148 17.1029
7.09758 12.7781
7.21368 9.91703
7.44587 6.49627
7.67806 4.61633
7.91026 3.48091
8.14245 2.74848
8.60684 1.90652
9.07123 1.47824
10.0000 1.14526
10.6677 1.12762
11.3354 1.25024
12.0031 1.55046
12.6708 2.16799
13.0046 2.70545
13.3384 3.53360
13.6723 4.89448
14.0061 7.35289
14.1731 9.40149
14.3400 12.4947
14.5069 17.4862
14.6738 26.3207
14.7573 33.5454
14.8407 44.2605
14.9242 61.1339
15.0077 89.9540
15.0494 112.691
15.0911 145.253
15.1329 194.158
15.1746 272.256
15.2163 407.561
15.2372 515.200
15.2580 669.523
15.2789 899.949
15.2998 1259.08
15.3206 1842.92
15.3415 2803.28
15.3658 4479.30
15.3900 5592.23
15.4143 4471.28
15.4385 2793.71
15.4563 1946.35
15.4741 1392.53
15.4920 1029.84
15.5098 785.801
15.5454 494.572
15.5811 337.100
15.6167 243.473
15.6523 183.672
15.7236 114.812
15.7949 78.3264
15.8662 56.7597
15.9374 42.9808
16.0087 33.6546
16.1512 22.2149
16.2938 15.7403
16.4363 11.7278
16.5789 9.07290
16.8640 5.89160
17.1491 4.13353
17.4342 3.06243
17.7193 2.36292
18.2894 1.53701
18.8596 1.08863
19.4298 0.820277
20.0000 0.648800
21.1944 0.450249
22.3888 0.362283
23.5832 0.337703
24.7777 0.372494
25.9721 0.508759
26.5693 0.661466
27.1665 0.949287
27.4651 1.19459
27.7637 1.57052
28.0623 2.18712
28.3609 3.30115
28.5102 4.23007
28.6595 5.63341
28.8088 7.89902
28.9581 11.9098
29.0328 15.1892
29.1074 20.0510
29.1821 27.7009
29.2567 40.7483
29.3314 65.7172
29.3687 87.7349
29.4060 122.766
29.4433 183.163
29.4620 230.933
29.4807 299.102
29.4993 400.220
29.5180 556.416
29.5366 807.233
29.5553 1214.26
29.5777 1942.40
29.6000 2427.31
29.6224 1940.82
29.6447 1212.34
29.6607 851.540
29.6768 613.388
29.6928 456.047
29.7089 349.485
29.7409 221.303
29.7730 151.452
29.8051 109.724
29.8371 82.9727
29.9013 52.0523
29.9654 35.6109
30.0296 25.8655
30.0937 19.6269
30.1578 15.3973
30.2861 10.1995
30.4144 7.25074
30.5427 5.41962
30.6710 4.20567
30.9275 2.74746
31.1841 1.93881
31.4406 1.44438
31.6972 1.12023
32.2103 0.735123
32.7235 0.523734
33.2366 0.395290
33.7497 0.311433
34.7760 0.212358
35.8022 0.159293
36.8285 0.134595
37.0850 0.136772
37.3416 0.153667
37.4699 0.179973
37.5981 0.249696
37.6623 0.333568
37.6944 0.406442
37.7264 0.520237
37.7585 0.710602
37.7906 1.05902
37.8066 1.34790
37.8226 1.77238
37.8387 2.41228
37.8547 3.37593
37.8774 5.34493
37.9000 6.66009
37.9227 5.34730
37.9453 3.37832
37.9689 2.08027
37.9924 1.36995
38.0159 0.967336
38.0395 0.724280
38.0866 0.463021
38.1337 0.334786
38.1808 0.262908
38.2278 0.218646
38.3220 0.169064
38.5104 0.127586
38.6987 0.110178
39.4521 0.0862433
40.9590 0.0705369
43.9727 0.0600005
46.9863 0.0666935
48.4932 0.0827140
49.2466 0.0988357
50.0000 0.126856
50.8737 0.194061
51.3106 0.260855
51.7474 0.381962
51.9658 0.483396
52.1843 0.637403
52.4027 0.887875
52.6211 1.33624
52.7303 1.70712
52.8395 2.26328
52.9487 3.15230
53.0580 4.70380
53.1672 7.78273
53.2218 10.6052
53.2764 15.2883
53.3310 23.8812
53.3583 31.1254
53.3856 42.1328
53.4129 59.8992
53.4402 90.7651
53.4675 149.189
53.4812 197.727
53.4948 266.405
53.5061 340.950
53.5174 426.130
53.5400 532.534
53.5626 425.943
53.5852 266.176
53.6066 167.863
53.6280 111.112
53.6494 77.6120
53.6708 56.7832
53.7136 33.8013
53.7564 22.2676
53.7992 15.7296
53.8420 11.6875
53.9276 7.17470
54.0132 4.85277
54.0988 3.50725
54.1844 2.66122
54.2700 2.09778
54.4411 1.43145
54.6123 1.11506
54.6979 1.07193
54.7835 1.17667
54.8263 1.36168
54.8691 1.77943
54.8905 2.17608
54.9119 2.82616
54.9333 3.93997
54.9547 5.87984
54.9774 9.04978
55.0000 11.1603
55.0227 9.02192
55.0453 5.82142
55.0636 4.07313
55.0819 2.97546
55.1003 2.27941
55.1186 1.82147
55.1552 1.28316
55.1918 0.992257
55.2651 0.699812
55.3384 0.556635
55.4849 0.413350
55.6314 0.337537
55.9244 0.252312
56.2175 0.203006
56.8036 0.147459
57.3897 0.118017
58.5618 0.0910192
59.7340 0.0836766
60.9062 0.0899126
61.4923 0.100326
62.0784 0.120774
62.6644 0.164756
62.9575 0.207935
63.2505 0.285262
63.5436 0.445802
63.6901 0.600882
63.8366 0.874223
63.9831 1.42598
64.0564 1.94163
64.1297 2.81604
64.2029 4.47467
64.2396 5.92336
64.2762 8.20626
64.3128 12.0848
64.3494 19.3673
64.3678 25.5705
64.3861 34.9315
64.4044 49.5253
64.4227 72.3700
64.4464 115.746
64.4700 144.654
64.4937 115.704
64.5173 72.3174
64.5353 49.8143
64.5532 35.3256
64.5712 25.9592
64.5892 19.7236
64.6251 12.3555
64.6610 8.40970
64.6970 6.07869
64.7329 4.59668
64.8048 2.89670
64.8766 1.99927
64.9485 1.47006
65.0922 0.904441
65.2360 0.625334
65.3797 0.468028
65.6671 0.307621
65.9546 0.233082
66.2421 0.193942
66.8170 0.160313
67.9668 0.159160
69.1167 0.204255
69.6916 0.248708
70.2665 0.319034
70.8414 0.436246
71.4163 0.650364
71.7038 0.830336
71.9913 1.10422
72.2787 1.55074
72.5662 2.35255
72.7099 3.01764
72.8536 4.01772
72.9974 5.62207
73.1411 8.43610
73.2848 14.0638
73.3567 19.2666
73.4286 27.9788
73.5004 44.1885
73.5364 58.0548
73.5723 79.4397
73.6082 114.666
73.6441 177.784
73.6621 229.047
73.6801 302.954
73.6980 411.776
73.7160 571.419
73.7430 914.073
73.7700 1142.34
73.7970 913.694
73.8240 570.966
73.8547 329.964
73.8854 205.071
73.9161 137.199
73.9468 97.4031
73.9775 72.4011
74.0082 55.7966
74.0696 35.9174
74.1310 24.9850
74.1924 18.3617
74.3151 11.1011
74.4379 7.42696
74.5607 5.31748
74.6835 3.99650
74.8063 3.11535
75.0518 2.05032
75.2974 1.45622
75.5430 1.09170
75.7885 0.852333
76.2797 0.568032
76.7708 0.412789
77.2619 0.319577
77.7531 0.259947
78.7353 0.193025
79.7176 0.161847
81.6821 0.150930
83.6466 0.193855
84.6289 0.248241
85.6112 0.351332
86.1023 0.438454
86.5934 0.570529
87.0846 0.784025
87.5757 1.16262
87.8213 1.47336
88.0668 1.93697
88.3124 2.67565
88.5579 3.96659
88.8035 6.56300
88.9263 9.00169
89.0491 13.1936
89.1719 21.3934
89.2333 28.8436
89.2946 41.1471
