Sb-123(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 198.257
1.25000E-05 177.715
1.50000E-05 162.552
2.00000E-05 141.267
2.75000E-05 121.014
3.50000E-05 107.686
4.25000E-05 98.0636
5.00000E-05 90.6974
6.25000E-05 81.5107
7.50000E-05 74.7293
0.000100000 65.2105
0.000125000 58.7145
0.000150000 53.9194
0.000200000 47.1886
0.000275000 40.7843
0.000350000 36.5695
0.000425000 33.5267
0.000500000 31.1974
0.000625000 28.2924
0.000750000 26.1480
0.00100000 23.1380
0.00125000 21.0839
0.00150000 19.5676
0.00200000 17.4393
0.00275000 15.4143
0.00350000 14.0817
0.00425000 13.1197
0.00500000 12.3832
0.00625000 11.4648
0.00750000 10.7869
0.0100000 9.83535
0.0125000 9.18608
0.0150000 8.70686
0.0200000 8.03428
0.0253000 7.55226
0.0314750 7.15255
0.0376500 6.85580
0.0500000 6.43711
0.0625000 6.14716
0.0750000 5.93319
0.100000 5.63295
0.125000 5.42813
0.150000 5.27698
0.200000 5.06486
0.275000 4.86302
0.350000 4.73009
0.500000 4.56035
0.750000 4.39989
1.00000 4.30323
1.50000 4.18622
2.00000 4.11397
2.75000 4.04169
3.50000 3.99079
5.00000 3.91917
7.50000 3.84187
10.0000 3.80118
12.5000 3.82727
13.7500 3.90259
15.0000 4.07967
16.2500 4.49246
16.8750 4.89075
17.5000 5.55095
18.1250 6.71433
18.7500 8.95779
19.0625 10.9079
19.3750 13.9336
19.6875 18.9357
20.0000 27.9679
20.1646 35.9167
20.3292 48.0502
20.4938 67.8022
20.6584 102.937
20.7407 131.673
20.8229 174.148
20.9052 240.544
20.9875 352.319
21.0698 561.156
21.1110 740.164
21.1521 1016.24
21.1933 1470.60
21.2344 2281.76
21.2550 2937.78
21.2756 3879.24
21.2961 5256.27
21.3167 7264.03
21.3484 11676.3
21.3800 14663.5
21.4117 11791.8
21.4433 7411.20
21.4712 4843.93
21.4991 3298.51
21.5270 2354.59
21.5549 1752.57
21.6106 1070.63
21.6664 719.430
21.7222 516.751
21.7780 389.736
21.8895 245.716
22.0011 170.278
22.1126 125.852
22.2242 97.4627
22.3357 78.1960
22.5588 54.4107
22.7819 40.7864
23.0050 32.2251
23.2281 26.4748
23.6743 19.4304
24.1205 15.4102
24.5667 12.8802
25.0129 11.1736
25.9053 9.06411
26.7977 7.84169
27.6901 7.05944
28.5825 6.52257
30.3673 5.84213
32.1521 5.43354
33.9369 5.16245
35.7217 4.96927
39.2912 4.70942
42.8608 4.53742
44.6456 4.47131
45.5380 4.44419
46.4304 4.42490
47.3228 4.42461
47.7690 4.44180
48.2152 4.48611
48.6614 4.59110
48.8845 4.69184
49.1076 4.85724
49.3307 5.14505
49.5538 5.69152
49.6654 6.16050
49.7769 6.88043
49.8885 8.05577
50.0000 10.1444
50.1137 14.4663
50.1706 18.5095
50.2274 25.3256
50.2843 38.0530
50.3127 48.9431
50.3411 65.6872
50.3695 93.1124
50.3980 141.667
50.4122 180.605
50.4264 236.013
50.4406 316.237
50.4548 431.926
50.4774 694.101
50.5000 873.636
50.5226 705.643
50.5452 446.364
50.5612 318.015
50.5773 232.477
50.5933 175.454
50.6093 136.517
50.6413 89.2670
50.6734 63.2559
50.7054 47.5723
50.7375 37.4400
50.8016 25.6054
50.8656 19.2240
50.9297 15.3921
50.9938 12.9081
51.0579 11.2035
51.1861 9.07240
51.3143 7.83457
51.4424 7.04782
51.5706 6.51412
51.8269 5.85192
52.0833 5.46753
52.3396 5.22153
52.5960 5.05268
53.1087 4.83834
53.6214 4.70885
54.6467 4.55928
55.6721 4.47297
56.6975 4.41424
58.7483 4.33369
60.7990 4.27528
62.8498 4.22673
64.9005 4.18420
65.9259 4.17052
66.1823 4.17293
66.4386 4.18825
66.5668 4.21194
66.6309 4.23497
66.6950 4.27443
66.7591 4.34891
66.7911 4.41302
66.8231 4.51210
66.8552 4.67547
66.8872 4.96767
66.9193 5.54477
66.9353 6.04395
66.9513 6.77365
66.9757 8.35466
67.0000 9.40895
67.0244 8.35517
67.0487 6.77351
67.0675 5.94363
67.0862 5.41236
67.1049 5.07036
67.1237 4.84326
67.1612 4.57570
67.1986 4.43255
67.2361 4.34785
67.2736 4.29378
67.3486 4.23116
67.4985 4.17682
67.6484 4.15334
67.9483 4.13127
68.2481 4.11907
69.4475 4.08781
70.6469 4.06215
71.8464 4.04148
72.4461 4.03618
73.0458 4.03917
73.6455 4.06037
74.2452 4.12551
74.5450 4.19477
74.8449 4.31493
75.1447 4.53412
75.4446 4.96837
75.5945 5.35191
75.7445 5.95302
75.8944 6.95619
76.0443 8.78362
76.1942 12.5751
76.2692 16.1683
76.3442 22.2932
76.4191 33.8935
76.4566 43.9442
76.4941 59.5894
76.5316 85.6140
76.5503 105.447
76.5690 132.739
76.5878 171.318
76.6065 227.329
76.6253 310.350
