I-127(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 308.978
1.25000E-05 276.359
1.50000E-05 252.280
2.00000E-05 218.481
2.75000E-05 186.321
3.50000E-05 165.156
4.25000E-05 149.877
5.00000E-05 138.179
6.25000E-05 123.591
7.50000E-05 112.823
0.000100000 97.7076
0.000125000 87.3924
0.000150000 79.7780
0.000200000 69.0898
0.000275000 58.9200
0.000350000 52.2271
0.000425000 47.3953
0.000500000 43.6964
0.000625000 39.0833
0.000750000 35.6780
0.00100000 30.8982
0.00125000 27.6362
0.00150000 25.2284
0.00200000 21.8485
0.00275000 18.6326
0.00350000 16.5162
0.00425000 14.9883
0.00500000 13.8187
0.00625000 12.3600
0.00750000 11.2832
0.0100000 9.77181
0.0125000 8.74040
0.0150000 7.97908
0.0200000 6.91046
0.0253000 6.14450
0.0314750 5.50926
0.0376500 5.03759
0.0500000 4.37199
0.0625000 3.91096
0.0750000 3.57070
0.100000 3.09318
0.125000 2.76740
0.150000 2.52700
0.200000 2.18971
0.275000 1.86904
0.350000 1.65823
0.500000 1.39000
0.750000 1.13877
1.00000 0.989801
1.50000 0.814766
2.00000 0.712190
2.58500 0.634287
3.17000 0.581202
3.75500 0.544766
4.04750 0.536865
4.19375 0.548481
4.26688 0.576430
4.34000 0.671578
4.41000 0.830542
4.48000 0.668225
4.54500 0.572785
4.61000 0.536972
4.74000 0.510593
5.00000 0.492065
5.62500 0.470823
6.25000 0.456862
7.50000 0.439980
10.0000 0.437806
10.3150 0.442187
10.6300 0.492989
10.7000 0.545345
10.7700 0.494713
10.9406 0.453013
11.1113 0.449869
11.4525 0.452433
12.1350 0.463358
13.5000 0.497820
14.8650 0.555223
16.2300 0.700463
16.3000 0.751398
16.3700 0.715687
16.5969 0.703895
16.8238 0.732121
17.2775 0.810619
18.1850 1.10476
18.6388 1.41950
19.0925 2.07572
19.3194 2.72582
19.5463 3.91765
19.6597 4.93202
19.7731 6.49993
19.8866 9.11522
20.0000 13.9717
20.0942 22.0545
20.1413 29.1487
20.1885 40.3904
20.2356 59.6553
20.2827 96.3053
20.3062 127.961
20.3298 176.407
20.3416 210.316
20.3534 253.299
20.3651 307.822
20.3769 376.250
20.3914 481.307
20.4060 601.247
20.4350 750.927
20.4495 706.490
20.4641 600.385
20.4931 375.183
20.5139 263.801
20.5347 190.252
20.5556 141.644
20.5764 108.697
20.6180 69.0788
20.6597 47.4947
20.7013 34.5990
20.7429 26.3362
20.8262 16.7895
20.9095 11.7184
20.9927 8.71786
21.1593 5.50506
21.3258 3.92081
21.4924 3.03175
21.8255 2.13631
22.1585 1.73409
22.4916 1.53661
23.1578 1.40473
24.4902 1.56304
25.8225 2.09376
27.1549 3.27832
27.8210 4.43772
28.4872 6.50431
28.8203 8.21214
29.1534 10.7786
29.4865 14.9045
29.8196 22.1886
29.9861 28.1410
30.1526 36.9699
30.3192 50.8861
30.4857 74.7006
30.6523 120.569
30.7356 161.308
30.8188 226.674
30.9021 340.727
30.9854 564.058
31.0270 762.863
31.0686 1076.65
31.1103 1595.16
31.1519 2465.75
31.1985 3941.45
31.2450 4921.90
31.2916 3934.03
31.3381 2457.24
31.3876 1468.21
31.4371 934.203
31.4866 634.962
31.5361 455.748
31.5855 341.496
31.6350 264.796
31.7340 172.013
31.8330 120.489
31.9319 89.0827
32.1299 54.4951
32.3278 36.9530
32.5258 26.8993
32.7237 20.6403
32.9217 16.5098
33.3175 11.6566
33.7134 9.16074
34.1093 7.89747
34.5052 7.42592
34.9011 7.60939
35.2970 8.52160
35.6929 10.5090
36.0888 14.5076
36.2867 17.9576
36.4846 23.2298
36.6826 31.7847
36.8805 46.9240
36.9795 59.2637
37.0785 77.4768
37.1775 105.946
37.2764 154.020
37.3754 244.568
37.4249 323.061
37.4744 445.736
37.5239 651.792
37.5733 1031.80
37.5981 1349.68
37.6228 1821.03
37.6476 2539.06
37.6723 3634.71
37.7062 5811.58
37.7400 7258.46
37.7739 5802.52
37.8077 3625.18
37.8370 2374.20
37.8663 1617.47
37.8956 1153.41
37.9249 856.616
37.9836 520.074
38.0422 346.795
38.1008 246.983
38.1594 184.599
38.2766 114.218
38.3939 77.6345
38.5111 56.2704
38.6284 42.7337
38.7456 33.6283
38.9801 22.5308
39.2145 16.2942
39.4490 12.4555
39.6835 9.93686
40.1524 6.97800
40.6213 5.43402
41.5592 4.25060
42.4971 4.63208
42.9660 5.57030
43.4350 7.52782
43.9039 11.8597
44.1384 16.1247
44.3728 23.6742
44.4901 29.8206
44.6073 38.8779
44.7245 53.0011
44.8418 76.7539
44.9004 95.2004
44.9590 121.215
45.0176 159.492
45.0762 218.891
45.1349 317.647
45.1642 393.021
45.1935 496.984
45.2228 644.622
45.2521 860.364
45.2814 1182.94
45.3107 1664.70
45.3529 2661.73
45.3950 3325.02
45.4372 2658.60
