I-127(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 312.696
1.25000E-05 280.076
1.50000E-05 255.997
2.00000E-05 222.198
2.75000E-05 190.039
3.50000E-05 168.874
4.25000E-05 153.594
5.00000E-05 141.897
6.25000E-05 127.309
7.50000E-05 116.541
0.000100000 101.425
0.000125000 91.1101
0.000150000 83.4957
0.000200000 72.8075
0.000275000 62.6377
0.000350000 55.9447
0.000425000 51.1130
0.000500000 47.4140
0.000625000 42.8009
0.000750000 39.3957
0.00100000 34.6158
0.00125000 31.3539
0.00150000 28.9460
0.00200000 25.5661
0.00275000 22.3502
0.00350000 20.2338
0.00425000 18.7059
0.00500000 17.5362
0.00625000 16.0774
0.00750000 15.0006
0.0100000 13.4891
0.0125000 12.4576
0.0150000 11.6962
0.0200000 10.6274
0.0253000 9.86121
0.0314750 9.22574
0.0376500 8.75383
0.0500000 8.08776
0.0625000 7.62626
0.0750000 7.28551
0.100000 6.80704
0.125000 6.48031
0.150000 6.23895
0.200000 5.89975
0.275000 5.57622
0.350000 5.36255
0.500000 5.08860
0.750000 4.82785
1.00000 4.66938
1.50000 4.47535
2.00000 4.35381
2.58500 4.25371
3.17000 4.17839
3.75500 4.11966
4.04750 4.10058
4.19375 4.10660
4.26688 4.13174
4.34000 4.22409
4.41000 4.38036
4.48000 4.21536
4.54500 4.11742
4.61000 4.07911
4.74000 4.04772
5.00000 4.01916
5.62500 3.97366
6.25000 3.93520
7.50000 3.86843
10.0000 3.76124
10.3150 3.75172
10.6300 3.78843
10.7000 3.83763
10.7700 3.78382
10.9406 3.73436
11.1113 3.72338
11.4525 3.71007
12.1350 3.68836
13.5000 3.65305
14.8650 3.63209
16.2300 3.68423
16.3000 3.72977
16.3700 3.68859
16.5969 3.65848
16.8238 3.66738
17.2775 3.70338
18.1850 3.88745
18.6388 4.12296
19.0925 4.66353
19.3194 5.22923
19.5463 6.30230
19.6597 7.23587
19.7731 8.70006
19.8866 11.1767
20.0000 15.8378
20.0942 23.6869
20.1413 30.6277
