Cs-133(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1454.86
1.25000E-05 1301.27
1.50000E-05 1187.89
2.00000E-05 1028.75
2.75000E-05 877.318
3.50000E-05 777.660
4.25000E-05 705.716
5.00000E-05 650.639
6.25000E-05 581.950
7.50000E-05 531.246
0.000100000 460.075
0.000125000 411.505
0.000150000 375.653
0.000200000 325.327
0.000275000 277.443
0.000350000 245.930
0.000425000 223.181
0.000500000 205.765
0.000625000 184.046
0.000750000 168.013
0.00100000 145.510
0.00125000 130.153
0.00150000 118.818
0.00200000 102.908
0.00275000 87.7705
0.00350000 77.8097
0.00425000 70.6198
0.00500000 65.1162
0.00625000 58.2535
0.00750000 53.1887
0.0100000 46.0816
0.0125000 41.2334
0.0150000 37.6561
0.0200000 32.6378
0.0253000 29.0438
0.0314750 26.0658
0.0376500 23.8569
0.0500000 20.7443
0.0625000 18.5930
0.0750000 17.0085
0.100000 14.7922
0.125000 13.2872
0.150000 12.1821
0.200000 10.6433
0.275000 9.20077
0.350000 8.27110
0.500000 7.12787
0.750000 6.14199
1.00000 5.64804
1.50000 5.30837
2.00000 5.46601
2.75000 6.53548
3.50000 9.28017
3.87500 12.0219
4.25000 16.8430
4.62500 26.4209
4.81250 35.2100
5.00000 49.8545
5.21170 82.1834
5.31755 112.421
5.42340 163.817
5.52925 261.840
5.58218 348.062
5.63510 485.066
5.68803 720.861
5.71449 907.236
5.74095 1173.06
5.76741 1566.96
5.79388 2175.49
5.82034 3152.56
5.84680 4737.77
5.87840 7558.88
5.91000 9420.81
5.94160 7515.31
5.97320 4684.83
6.00052 3063.79
6.02785 2083.89
6.05517 1483.37
6.08249 1099.59
6.13714 664.870
6.19178 441.405
6.24643 312.945
6.30107 232.805
6.41036 142.629
6.51965 95.9421
6.62894 68.7812
6.73824 51.6386
6.84753 40.1494
7.06611 26.2157
7.28469 18.4318
7.50327 13.6598
7.72185 10.5315
8.15901 6.82657
8.59618 4.80971
9.03334 3.60709
9.25192 3.21894
9.36121 3.16442
9.41586 3.37448
9.44318 3.79320
9.47050 5.04105
9.50000 7.24200
9.52950 4.96390
9.55891 3.58104
9.58831 3.09241
9.64713 2.73925
9.76475 2.47944
10.0000 2.19457
10.8426 1.58191
11.6851 1.23557
13.3703 0.892216
15.0554 0.775007
15.8979 0.774171
16.3192 0.789474
16.5299 0.803339
16.6352 0.816713
16.7405 0.918028
16.7700 1.02336
16.7995 0.923026
16.8630 0.844448
16.9264 0.838530
17.0534 0.846462
17.3073 0.875252
17.8150 0.958810
18.3228 1.08544
18.8305 1.35741
18.8600 1.45216
18.8895 1.38572
18.9558 1.35241
19.0221 1.37914
19.1548 1.45353
19.4200 1.64157
19.6853 1.89264
19.8179 2.06270
19.8842 2.19362
19.9505 2.63702
19.9800 3.10634
20.0095 2.72508
20.0857 2.48300
20.1618 2.57790
20.3141 2.87556
20.6188 3.73918
20.9234 5.15255
21.2281 7.68465
21.3804 9.77841
21.5327 12.9166
21.6850 17.9293
21.8373 26.6684
21.9897 43.9862
22.0658 59.8422
22.1420 86.1276
22.2181 134.284
22.2562 174.838
22.2943 236.390
22.3324 335.547
22.3705 507.514
22.3895 642.721
22.4085 832.080
22.4276 1101.00
22.4466 1480.45
22.4783 2367.18
22.5100 2956.89
22.5417 2363.52
22.5734 1476.03
22.6023 945.744
22.6312 633.573
22.6601 446.236
22.6890 328.418
22.7468 196.923
22.8046 130.232
22.8624 92.1966
22.9201 68.5815
23.0357 42.1082
23.1513 28.4342
23.2669 20.4812
23.3825 15.4575
23.4980 12.0854
23.7292 7.98436
23.9604 5.68237
24.1915 4.26362
24.4227 3.32838
24.8850 2.21162
25.3473 1.59601
25.8096 1.22118
26.2720 0.976220
27.1966 0.686237
28.1212 0.528004
29.0459 0.432905
29.5082 0.399471
29.7394 0.385895
29.9705 0.413007
30.0000 0.452545
30.0295 0.409960
30.1214 0.368803
30.2133 0.361294
30.3971 0.351786
30.7648 0.336519
31.5000 0.312901
32.2353 0.296362
32.6029 0.291487
32.7867 0.293935
32.8786 0.307205
32.9246 0.336830
32.9475 0.378874
32.9705 0.480870
33.0000 0.677456
33.0295 0.480306
33.0484 0.389748
33.0674 0.346314
33.1052 0.311175
33.1809 0.291795
33.3324 0.283069
33.6352 0.278159
34.2409 0.274157
35.4523 0.274801
37.8750 0.310219
40.2978 0.423845
41.5091 0.547981
42.1148 0.645863
42.4177 0.711776
42.5691 0.759508
42.6448 0.810472
42.6827 0.880280
42.7205 1.12127
42.7500 1.47002
42.7795 1.13767
42.8080 0.945208
42.8364 0.884288
42.8933 0.857619
43.0071 0.874249
43.2348 0.947582
43.6900 1.15023
44.1453 1.44797
44.3729 1.67239
44.4867 1.87945
44.5436 2.15814
44.5721 2.53604
44.6005 3.57282
44.6300 5.31464
44.6595 3.64510
44.6817 2.80451
44.7039 2.46392
44.7483 2.25369
44.8371 2.24870
45.0147 2.49554
45.3700 3.29820
45.7252 4.62633
46.0804 7.01246
46.2580 8.99021
46.4356 11.9611
46.6132 16.7210
46.7909 25.0550
46.8797 31.7947
46.9685 41.6793
47.0573 57.0055
47.1461 82.5963
47.1905 102.339
47.2349 130.003
47.2793 170.377
47.3237 232.360
47.3681 333.844
47.4125 513.954
47.4347 658.833
47.4569 866.014
47.4791 1167.68
47.5013 1605.31
47.5357 2566.49
47.5700 3205.84
47.6044 2564.17
47.6387 1602.63
47.6756 953.085
47.7125 604.319
47.7494 409.716
47.7863 293.517
47.8232 219.581
47.8601 170.018
47.9339 110.135
48.0077 76.9133
48.0815 56.6651
48.2290 34.3512
48.3766 23.0059
48.5242 16.4723
48.6718 12.3727
48.8194 9.63428
49.1145 6.31954
49.4097 4.46753
49.7048 3.32958
50.0000 2.58106
50.5038 1.78713
51.0076 1.31671
52.0151 0.810957
53.0227 0.559504
54.0303 0.416840
56.0454 0.270528
57.0529 0.231721
57.5567 0.218615
57.8086 0.215704
57.9346 0.220907
57.9975 0.237740
58.0290 0.267320
58.0605 0.362670
58.0900 0.516630
58.1195 0.362098
58.1423 0.282013
58.1652 0.248588
58.2108 0.224418
58.3021 0.212524
58.4848 0.209144
58.8500 0.222579
59.0326 0.248782
59.2153 0.325352
59.3066 0.426897
59.3522 0.522575
59.3979 0.685390
59.4435 0.995073
59.4664 1.26589
59.4892 1.69267
59.5120 2.41827
59.5349 3.78080
59.5463 4.94148
59.5577 6.69196
59.5691 9.41755
59.5805 13.6823
59.5953 21.7782
59.6100 27.1720
59.6248 21.7833
59.6395 13.6886
59.6484 10.1983
59.6574 7.73492
59.6752 4.77039
59.6930 3.20398
59.7109 2.30346
59.7287 1.74516
59.7466 1.37809
59.7823 0.942984
59.8179 0.706154
59.8536 0.563993
59.9250 0.411229
59.9964 0.339986
60.0678 0.314341
60.1391 0.358125
60.1748 0.479644
60.1927 0.634019
60.2105 0.949189
60.2253 1.38098
60.2400 1.66805
60.2548 1.37531
60.2695 0.937606
60.2873 0.615558
60.3051 0.453692
60.3407 0.316081
60.3763 0.261845
60.4119 0.234470
60.5542 0.193583
60.8389 0.170154
61.4083 0.153136
62.5471 0.138173
64.8248 0.124136
69.3800 0.120625
73.9353 0.152065
76.2129 0.202755
77.3517 0.254434
77.9211 0.294800
78.2058 0.322172
78.3482 0.342471
78.4193 0.364710
78.4549 0.394841
78.4905 0.493026
78.5200 0.639239
78.5495 0.500218
78.5939 0.402331
78.6383 0.385564
78.7271 0.386595
78.9048 0.409228
79.2600 0.474012
79.6153 0.565552
79.7929 0.633790
79.8817 0.699118
79.9261 0.784299
79.9483 0.886448
79.9705 1.11492
80.0000 1.55861
80.0295 1.14028
80.0501 0.940205
80.0707 0.855470
80.1119 0.803079
80.1943 0.808194
80.3591 0.891192
80.6888 1.15376
81.0184 1.58504
81.3481 2.35525
81.5129 2.99058
81.6777 3.94105
81.8425 5.45576
82.0073 8.08817
82.1722 13.2782
82.2546 18.0033
82.3370 25.7869
82.4194 39.9073
82.4606 51.6778
82.5018 69.3509
82.5430 97.4124
82.5842 145.042
