Cs-133(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1458.84
1.25000E-05 1305.24
1.50000E-05 1191.87
2.00000E-05 1032.72
2.75000E-05 881.293
3.50000E-05 781.635
4.25000E-05 709.691
5.00000E-05 654.614
6.25000E-05 585.925
7.50000E-05 535.222
0.000100000 464.050
0.000125000 415.480
0.000150000 379.628
0.000200000 329.303
0.000275000 281.419
0.000350000 249.906
0.000425000 227.156
0.000500000 209.740
0.000625000 188.021
0.000750000 171.988
0.00100000 149.485
0.00125000 134.128
0.00150000 122.793
0.00200000 106.882
0.00275000 91.7453
0.00350000 81.7844
0.00425000 74.5943
0.00500000 69.0906
0.00625000 62.2277
0.00750000 57.1627
0.0100000 50.0552
0.0125000 45.2066
0.0150000 41.6289
0.0200000 36.6098
0.0253000 33.0149
0.0314750 30.0359
0.0376500 27.8260
0.0500000 24.7114
0.0625000 22.5579
0.0750000 20.9715
0.100000 18.7510
0.125000 17.2419
0.150000 16.1326
0.200000 14.5855
0.275000 13.1305
0.350000 12.1882
0.500000 11.0194
0.750000 9.98988
1.00000 9.45086
1.50000 9.01565
2.00000 9.06843
2.75000 9.95570
3.50000 12.4752
3.87500 15.0854
4.25000 19.7703
4.62500 29.2500
4.81250 38.0542
5.00000 52.8461
5.21170 85.7903
5.31755 116.801
5.42340 169.752
5.52925 271.205
5.58218 360.733
5.63510 503.323
5.68803 749.313
5.71449 944.080
5.74095 1222.21
5.76741 1634.89
5.79388 2273.29
5.82034 3299.83
5.84680 4968.15
5.87840 7945.26
5.91000 9927.91
5.94160 7941.91
5.97320 4965.57
6.00052 3256.34
6.02785 2221.28
6.05517 1586.00
6.08249 1179.44
6.13714 718.056
6.19178 480.275
6.24643 343.244
6.30107 257.547
6.41036 160.784
6.51965 110.440
6.62894 81.0064
6.73824 62.3371
6.84753 49.7620
7.06611 34.4009
7.28469 25.7297
7.50327 20.3565
7.72185 16.7950
8.15901 12.5073
8.59618 10.1147
9.03334 8.64714
9.25192 8.15304
9.36121 8.05054
9.41586 8.23772
9.44318 8.64527
9.47050 9.88217
9.50000 12.0715
9.52950 9.78176
9.55891 8.38752
9.58831 7.88771
9.64713 7.51274
9.76475 7.21120
10.0000 6.84958
10.8426 6.01586
11.6851 5.50219
13.3703 4.90550
15.0554 4.58321
15.8979 4.48492
16.3192 4.45089
16.5299 4.43968
16.6352 4.44038
16.7405 4.52892
16.7700 4.63065
16.7995 4.52671
16.8630 4.44033
16.9264 4.42656
17.0534 4.41865
17.3073 4.41503
17.8150 4.43017
18.3228 4.48173
18.8305 4.66896
18.8600 4.75840
18.8895 4.68661
18.9558 4.64107
19.0221 4.65533
19.1548 4.70390
19.4200 4.83649
19.6853 5.02597
19.8179 5.16247
19.8842 5.27582
19.9505 5.70108
19.9800 6.16215
20.0095 5.77250
20.0857 5.50817
20.1618 5.57994
20.3141 5.82838
20.6188 6.57961
20.9234 7.85748
21.2281 10.2265
21.3804 12.2299
21.5327 15.2781
21.6850 20.2184
21.8373 28.9546
21.9897 46.5095
22.0658 62.7374
22.1420 89.8225
22.2181 139.783
22.2562 182.060
22.2943 246.449
22.3324 350.542
22.3705 531.734
22.3895 674.582
22.4085 875.054
22.4276 1160.39
22.4466 1564.04
22.4783 2511.96
22.5100 3153.47
22.5417 2534.68
22.5734 1592.60
22.6023 1026.60
22.6312 692.195
22.6601 490.893
22.6890 363.932
22.7468 221.696
22.8046 149.182
22.8624 107.618
22.9201 81.6834
23.0357 52.4098
23.1513 37.1413
23.2669 28.1746
23.3825 22.4557
23.4980 18.5799
23.7292 13.8009
23.9604 11.0652
24.1915 9.34527
24.4227 8.18840
24.8850 6.76569
25.3473 5.94666
25.8096 5.42473
26.2720 5.06683
27.1966 4.61081
28.1212 4.33185
29.0459 4.14122
29.5082 4.06617
29.7394 4.03295
29.9705 4.04109
30.0000 4.07825
30.0295 4.03330
30.1214 3.98483
30.2133 3.97009
30.3971 3.94639
30.7648 3.90365
31.5000 3.82812
32.2353 3.76274
32.6029 3.73431
32.7867 3.72514
32.8786 3.73265
32.9246 3.75940
32.9475 3.80001
32.9705 3.90057
33.0000 4.09532
33.0295 3.89633
33.0484 3.80459
33.0674 3.75998
33.1052 3.72249
33.1809 3.69842
33.3324 3.68035
33.6352 3.65688
34.2409 3.61614
35.4523 3.54371
37.8750 3.42559
40.2978 3.35315
41.5091 3.35729
42.1148 3.38355
42.4177 3.40974
42.5691 3.43647
42.6448 3.47661
42.6827 3.54093
42.7205 3.77639
42.7500 4.12078
42.7795 3.78403
42.8080 3.58729
42.8364 3.52207
42.8933 3.48669
43.0071 3.48548
43.2348 3.52135
43.6900 3.64094
44.1453 3.84257
44.3729 4.01314
44.4867 4.19166
44.5436 4.45568
44.5721 4.82616
44.6005 5.85551
44.6300 7.58962
44.6595 5.91195
44.6817 5.06522
44.7039 4.71850
44.7483 4.49594
44.8371 4.46577
45.0147 4.66013
45.3700 5.35026
45.7252 6.56291
46.0804 8.86126
46.2580 10.8351
46.4356 13.8725
46.6132 18.8543
46.7909 27.7787
46.8797 35.1116
46.9685 45.9853
47.0573 63.0308
47.1461 91.8041
47.1905 114.175
47.2349 145.690
47.2793 191.936
47.3237 263.326
47.3681 380.866
47.4125 590.679
47.4347 760.175
47.4569 1003.34
47.4791 1358.64
47.5013 1876.14
47.5357 3021.13
47.5700 3802.41
47.6044 3065.58
47.6387 1931.97
47.6756 1159.69
47.7125 742.489
47.7494 508.492
47.7863 368.104
47.8232 278.371
47.8601 217.954
47.9339 144.510
48.0077 103.420
48.0815 78.1674
48.2290 50.0190
48.3766 35.4747
48.5242 26.9651
48.6718 21.5420
48.8194 17.8631
49.1145 13.3128
49.4097 10.6925
49.7048 9.03394
50.0000 7.91053
50.5038 6.67304
51.0076 5.90274
52.0151 5.01536
53.0227 4.52820
54.0303 4.22261
56.0454 3.85895
57.0529 3.74135
57.5567 3.69353
57.8086 3.67421
57.9346 3.67143
57.9975 3.68432
58.0290 3.71194
58.0605 3.80535
58.0900 3.95749
58.1195 3.80114
58.1423 3.71966
58.1652 3.68484
58.2108 3.65790
58.3021 3.64051
58.4848 3.62632
58.8500 3.61888
59.0326 3.63500
59.2153 3.70175
59.3066 3.79852
59.3522 3.89188
59.3979 4.05246
59.4435 4.36008
59.4664 4.63000
59.4892 5.05605
59.5120 5.78124
59.5349 7.14406
59.5463 8.30540
59.5577 10.0572
59.5691 12.7852
59.5805 17.0539
59.5953 25.1578
59.6100 30.5568
59.6248 25.1615
59.6395 17.0572
59.6484 13.5627
59.6574 11.0962
59.6752 8.12751
59.6930 6.55849
59.7109 5.65609
59.7287 5.09627
59.7466 4.72788
59.7823 4.29050
59.8179 4.05161
59.8536 3.90749
