Ba-134(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 75.6330
1.25000E-05 67.6482
1.50000E-05 61.7541
2.00000E-05 53.4806
2.75000E-05 45.6084
3.50000E-05 40.4276
4.25000E-05 36.6874
5.00000E-05 33.8241
6.25000E-05 30.2532
7.50000E-05 27.6173
0.000100000 23.9173
0.000125000 21.3923
0.000150000 19.5284
0.000200000 16.9121
0.000275000 14.4227
0.000350000 12.7843
0.000425000 11.6016
0.000500000 10.6961
0.000625000 9.56691
0.000750000 8.73335
0.00100000 7.56331
0.00125000 6.76483
0.00150000 6.17542
0.00200000 5.34807
0.00275000 4.56085
0.00350000 4.04276
0.00425000 3.66875
0.00500000 3.38242
0.00625000 3.02533
0.00750000 2.76174
0.0100000 2.39174
0.0125000 2.13924
0.0150000 1.95285
0.0200000 1.69123
0.0253000 1.50369
0.0314750 1.34815
0.0376500 1.23265
0.0500000 1.06964
0.0625000 0.956725
0.0750000 0.873373
0.100000 0.756374
0.125000 0.676532
0.150000 0.617596
0.200000 0.534870
0.275000 0.456160
0.350000 0.404362
0.500000 0.338347
0.750000 0.276308
1.00000 0.239335
1.50000 0.195499
2.00000 0.169388
2.75000 0.144573
3.50000 0.128272
5.00000 0.107566
7.50000 0.0882703
10.0000 0.0769537
15.0000 0.0640095
20.0000 0.0569197
27.5000 0.0513958
35.0000 0.0494839
50.0000 0.0542707
62.5000 0.0714615
68.7500 0.0899828
75.0000 0.123737
81.2500 0.193227
84.3750 0.258997
87.5000 0.372008
90.6250 0.591449
92.1875 0.788717
93.7500 1.11062
94.5313 1.35411
94.9219 1.50792
95.3125 1.69015
95.5078 1.79419
95.7031 1.90832
95.8984 2.03391
96.0938 2.17254
96.2891 2.32610
96.4844 2.49680
96.6797 2.68731
96.8750 2.90081
97.0703 3.14119
97.2656 3.41313
97.6563 4.07629
98.0469 4.95608
98.4375 6.15838
98.8281 7.86287
99.2188 10.3941
99.6094 14.3887
99.8047 17.3150
100.000 21.2378
100.211 27.1874
100.422 36.0437
100.633 50.0557
100.844 74.1290
100.949 93.2568
101.054 120.783
101.160 162.480
101.265 229.697
101.371 348.035
101.424 443.493
101.476 582.383
101.529 793.580
101.582 1131.25
101.634 1698.55
101.687 2670.49
101.744 4259.96
101.800 5312.43
101.857 4239.91
101.914 2642.01
101.962 1748.52
102.010 1201.15
102.058 861.759
102.106 642.838
102.201 392.455
102.297 262.448
102.393 187.174
102.489 139.950
102.680 86.4961
102.872 58.5993
103.064 42.2698
103.255 31.9068
103.447 24.9290
103.830 16.4045
104.213 11.6009
104.596 8.63045
104.979 6.66820
105.746 4.31895
106.512 3.02092
107.278 2.22955
108.044 1.71203
109.577 1.09924
111.110 0.764442
112.642 0.561994
114.175 0.430444
117.240 0.275753
120.305 0.191875
123.370 0.141442
126.436 0.108814
132.566 0.0706132
138.696 0.0499748
144.827 0.0375764
150.957 0.0295424
163.218 0.0200777
175.479 0.0148872
200.000 0.00958686
231.890 0.00646383
263.781 0.00488288
295.671 0.00408915
311.616 0.00439332
315.602 0.00497701
319.589 0.00677189
321.582 0.00933395
322.579 0.0119168
323.575 0.0166626
324.572 0.0268589
325.070 0.0370369
325.568 0.0555974
325.817 0.0712367
326.066 0.0950939
326.316 0.134155
326.565 0.204644
326.689 0.263434
326.814 0.352264
326.939 0.495684
327.063 0.749251
327.125 0.956587
327.188 1.26374
327.250 1.74645
327.312 2.56632
327.374 4.13131
327.406 5.50797
327.437 7.68167
327.468 11.4148
327.499 18.4802
327.515 24.5846
327.530 33.8379
327.546 48.5456
327.561 71.7845
327.581 114.773
327.600 143.401
327.619 114.780
327.639 71.7927
327.662 40.8089
327.684 25.1236
327.707 16.7059
327.730 11.8106
327.753 8.74331
327.775 6.72471
327.821 4.31779
327.866 2.99685
327.912 2.20039
328.002 1.32887
328.093 0.888142
328.184 0.635382
328.275 0.477202
328.366 0.371814
328.548 0.244268
328.729 0.173104
328.911 0.129377
329.093 0.100603
329.456 0.0662808
329.820 0.0473803
330.547 0.0283475
331.273 0.0194333
332.000 0.0145530
333.454 0.00966320
336.362 0.00613414
339.269 0.00488857
345.085 0.00402225
350.900 0.00382243
356.715 0.00400867
362.530 0.00500018
365.438 0.00652374
366.892 0.00808242
368.345 0.0109658
369.799 0.0171932
370.526 0.0234333
371.253 0.0348558
371.616 0.0445099
371.980 0.0592848
372.343 0.0835744
372.707 0.127679
372.889 0.164695
373.070 0.220928
373.252 0.312450
373.434 0.476345
373.525 0.611971
373.615 0.815302
373.706 1.14009
373.797 1.70523
373.888 2.82411
373.933 3.84462
373.979 5.53002
374.024 8.60817
374.047 11.1798
374.070 15.0572
374.092 21.2450
374.115 31.8301
374.138 51.4006
374.161 89.4059
374.180 143.146
374.200 178.713
374.220 142.863
374.240 89.4146
374.255 61.1575
374.270 43.2063
374.285 31.6530
374.300 23.9841
374.331 14.9361
374.361 10.1268
374.392 7.28403
374.422 5.48512
374.483 3.42065
374.544 2.33217
374.605 1.69042
374.666 1.28103
374.727 1.00417
374.849 0.664711
374.970 0.472520
375.092 0.353303
375.214 0.274366
375.457 0.179485
375.701 0.126880
375.945 0.0946895
376.188 0.0735854
376.675 0.0484902
377.162 0.0347139
378.137 0.0208803
379.111 0.0144147
380.085 0.0108789
382.033 0.00733684
385.930 0.00477386
389.827 0.00385928
397.621 0.00319181
405.415 0.00296401
421.003 0.00289123
436.591 0.00313375
452.178 0.00390450
459.972 0.00475196
467.766 0.00635727
475.560 0.00987153
479.457 0.0134164
483.354 0.0199371
485.303 0.0254720
487.251 0.0339816
489.200 0.0480517
491.148 0.0738380
492.122 0.0956727
493.096 0.129171
494.071 0.184416
495.045 0.285302
495.532 0.370429
496.019 0.500548
496.506 0.714066
496.993 1.10111
497.237 1.42525
497.480 1.91690
497.724 2.71571
497.846 3.31684
497.907 3.69517
497.968 4.14132
498.028 4.67435
498.089 5.31725
498.150 6.10239
498.211 7.07494
498.272 8.29953
498.333 9.87116
498.394 11.9340
498.455 14.7102
498.516 18.5831
498.576 24.2023
498.637 32.7880
498.698 46.8290
498.729 57.4578
498.759 72.0202
498.790 92.8164
498.820 123.588
498.851 171.828
498.881 251.636
498.911 392.782
498.942 651.173
498.971 1043.04
499.000 1303.24
499.029 1041.50
499.058 651.064
499.088 398.312
499.117 258.160
499.147 177.489
499.176 128.527
