Ba-134(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 80.8370
1.25000E-05 72.8522
1.50000E-05 66.9581
2.00000E-05 58.6846
2.75000E-05 50.8124
3.50000E-05 45.6315
4.25000E-05 41.8914
5.00000E-05 39.0281
6.25000E-05 35.4572
7.50000E-05 32.8212
0.000100000 29.1212
0.000125000 26.5962
0.000150000 24.7323
0.000200000 22.1160
0.000275000 19.6266
0.000350000 17.9883
0.000425000 16.8055
0.000500000 15.9001
0.000625000 14.7709
0.000750000 13.9373
0.00100000 12.7672
0.00125000 11.9688
0.00150000 11.3793
0.00200000 10.5520
0.00275000 9.76475
0.00350000 9.24665
0.00425000 8.87263
0.00500000 8.58628
0.00625000 8.22917
0.00750000 7.96556
0.0100000 7.59551
0.0125000 7.34297
0.0150000 7.15654
0.0200000 6.89482
0.0253000 6.70718
0.0314750 6.55153
0.0376500 6.43592
0.0500000 6.27269
0.0625000 6.15955
0.0750000 6.07597
0.100000 5.95852
0.125000 5.87823
0.150000 5.81884
0.200000 5.73522
0.275000 5.65515
0.350000 5.60200
0.500000 5.53328
0.750000 5.46673
1.00000 5.42525
1.50000 5.37239
2.00000 5.33726
2.75000 5.29891
3.50000 5.26907
5.00000 5.22125
7.50000 5.15667
10.0000 5.09988
15.0000 4.99505
20.0000 4.89425
27.5000 4.74280
35.0000 4.58512
50.0000 4.22479
62.5000 3.82821
68.7500 3.56501
75.0000 3.22540
81.2500 2.76137
84.3750 2.45993
87.5000 2.10099
90.6250 1.70423
92.1875 1.53305
93.7500 1.46711
94.5313 1.53211
94.9219 1.61005
95.3125 1.73229
95.5078 1.81467
95.7031 1.91440
95.8984 2.03443
96.0938 2.17828
96.2891 2.35022
96.4844 2.55534
96.6797 2.79988
96.8750 3.09145
97.0703 3.43944
97.2656 3.85544
97.6563 4.95341
98.0469 6.55488
98.4375 8.94162
98.8281 12.6068
99.2188 18.4687
99.6094 28.3829
99.8047 35.9945
100.000 46.5238
100.211 63.0101
100.422 88.3490
100.633 129.707
100.844 202.952
100.949 262.391
101.054 349.187
101.160 482.585
101.265 700.759
101.371 1090.46
101.424 1408.08
101.476 1873.62
101.529 2586.87
101.582 3736.26
101.634 5683.66
101.687 9052.99
101.744 14643.5
101.800 18515.9
101.857 14984.8
101.914 9467.72
101.962 6338.97
102.010 4405.20
102.058 3197.11
102.106 2412.45
102.201 1506.83
102.297 1030.78
102.393 751.874
102.489 574.880
102.680 371.356
102.872 262.786
103.064 197.867
103.255 155.805
103.447 126.903
103.830 90.5875
104.213 69.3206
104.596 55.6738
104.979 46.3311
105.746 34.5880
106.512 27.6609
107.278 23.1696
108.044 20.0564
109.577 16.0724
111.110 13.6624
112.642 12.0625
114.175 10.9289
117.240 9.43625
120.305 8.50057
123.370 7.85950
126.436 7.39219
132.566 6.75367
138.696 6.33408
144.827 6.03387
150.957 5.80594
163.218 5.47680
175.479 5.24446
200.000 4.92409
231.890 4.64595
263.781 4.44318
295.671 4.28179
311.616 4.21184
315.602 4.19568
319.589 4.18103
321.582 4.17548
322.579 4.17405
323.575 4.17482
324.572 4.18110
325.070 4.18937
325.568 4.20610
325.817 4.22089
326.066 4.24397
326.316 4.28239
326.565 4.35252
326.689 4.41135
326.814 4.50049
326.939 4.64471
327.063 4.90007
327.125 5.10903
327.188 5.41872
327.250 5.90554
327.312 6.73258
327.374 8.31148
327.406 9.70046
327.437 11.8937
327.468 15.6604
327.499 22.7896
327.515 28.9492
327.530 38.2862
327.546 53.1269
327.561 76.5760
327.581 119.954
327.600 148.840
327.619 119.960
327.639 76.5841
327.662 45.3199
327.684 29.4926
327.707 20.9986
327.730 16.0589
327.753 12.9638
327.775 10.9268
327.821 8.49792
327.866 7.16485
327.912 6.36100
328.002 5.48123
328.093 5.03615
328.184 4.78075
328.275 4.62077
328.366 4.51407
328.548 4.38465
328.729 4.31213
328.911 4.26729
329.093 4.23754
329.456 4.20147
329.820 4.18097
330.547 4.15891
331.273 4.14707
332.000 4.13930
333.454 4.12872
336.362 4.11393
339.269 4.10157
345.085 4.07880
350.900 4.05708
356.715 4.03611
362.530 4.01625
365.438 4.00748
366.892 4.00394
368.345 4.00177
369.799 4.00304
370.526 4.00690
371.253 4.01607
371.616 4.02471
371.980 4.03861
372.343 4.06228
372.707 4.10629
372.889 4.14366
373.070 4.20077
373.252 4.29410
373.434 4.46174
373.525 4.60068
373.615 4.80912
373.706 5.14227
373.797 5.72218
373.888 6.87062
373.933 7.91821
373.979 9.64843
374.024 12.8086
374.047 15.4488
374.070 19.4295
374.092 25.7823
374.115 36.6496
374.138 56.7420
374.161 95.7608
374.180 150.934
374.200 187.449
374.220 150.642
374.240 95.7681
374.255 66.7575
374.270 48.3276
374.285 36.4662
374.300 28.5928
374.331 19.3036
374.361 14.3660
374.392 11.4473
374.422 9.60034
374.483 7.48065
374.544 6.36297
374.605 5.70390
374.666 5.28340
374.727 4.99896
374.849 4.65004
374.970 4.45231
375.092 4.32950
375.214 4.24804
375.457 4.14979
375.701 4.09494
375.945 4.06105
376.188 4.03853
376.675 4.01107
377.162 3.99524
378.137 3.97765
379.111 3.96763
380.085 3.96061
382.033 3.95022
385.930 3.93409
389.827 3.91966
397.621 3.89197
405.415 3.86450
421.003 3.80814
436.591 3.74664
452.178 3.67261
459.972 3.62561
467.766 3.56512
475.560 3.47800
479.457 3.41498
483.354 3.32705
485.303 3.26771
487.251 3.19213
489.200 3.09202
491.148 2.95272
492.122 2.86049
493.096 2.74644
494.071 2.60324
495.045 2.42325
495.532 2.31958
496.019 2.21296
496.506 2.12305
496.993 2.11439
497.237 2.19820
497.480 2.42272
497.724 2.94604
497.846 3.42511
497.907 3.75393
497.968 4.16370
498.028 4.67959
498.089 5.33358
498.150 6.17108
498.211 7.25662
498.272 8.68415
498.333 10.5942
498.394 13.2037
498.455 16.8535
498.516 22.1383
498.576 30.0876
498.637 42.6661
498.698 63.9502
498.729 80.4514
498.759 103.435
498.790 136.802
498.820 186.992
498.851 266.995
498.881 401.637
498.911 644.125
498.942 1097.40
498.971 1804.77
499.000 2315.35
499.029 1900.23
499.058 1219.88
499.088 766.739
499.117 510.524
499.147 360.615
499.176 268.268
499.206 207.647
499.235 166.163
499.294 114.540
499.353 84.8072
499.412 66.1416
499.529 44.7214
499.647 33.2582
499.765 26.3403
499.882 21.8057
500.000 18.6487
500.153 15.7834
500.305 13.7697
500.610 11.1634
500.916 9.57349
501.221 8.51578
501.831 7.21129
502.441 6.44719
503.051 5.94918
503.662 5.60047
504.882 5.14611
506.103 4.86389
507.323 4.67180
509.764 4.42683
512.206 4.27659
514.647 4.17441
517.088 4.09989
519.529 4.04274
524.411 3.95982
529.293 3.90141
539.058 3.82153
548.822 3.76645
558.586 3.72394
578.115 3.65819
617.173 3.56044
656.230 3.48125
734.345 3.34354
773.403 3.27825
792.931 3.24599
797.814 3.23844
802.696 3.23231
805.137 3.23125
807.578 3.23601
808.799 3.24639
809.409 3.25781
810.019 3.27954
810.629 3.32708
810.934 3.37473
811.240 3.46143
811.392 3.53414
811.545 3.64448
811.697 3.82355
811.850 4.14237
811.926 4.40477
812.002 4.79597
812.079 5.41602
812.155 6.48255
812.231 8.55711
812.269 10.4189
812.308 13.4245
812.346 18.7496
812.365 23.0716
812.384 29.3528
812.403 39.0091
812.422 54.4840
812.441 80.9033
812.460 126.556
812.480 200.522
812.500 249.815
812.520 200.526
812.540 126.562
812.559 80.3704
812.579 54.0754
812.598 38.6382
812.617 29.0772
812.636 22.8339
812.655 18.5653
812.694 13.3056
812.732 10.3243
812.771 8.48881
812.847 6.44031
812.924 5.38506
813.001 4.77341
813.078 4.38693
813.155 4.12796
813.309 3.81270
813.462 3.63554
813.616 3.52616
813.770 3.45390
814.077 3.36726
814.384 3.31917
814.999 3.27010
815.614 3.24651
816.229 3.23309
817.458 3.21856
819.918 3.20529
822.377 3.19777
827.295 3.18667
832.213 3.17691
842.050 3.15803
851.887 3.13888
871.560 3.09814
891.234 3.05181
910.907 2.99461
920.744 2.95817
930.580 2.91169
940.417 2.84579
945.336 2.79880
950.254 2.73377
952.713 2.69008
955.172 2.63444
957.631 2.56053
960.091 2.45672
961.320 2.38707
962.550 2.29947
963.779 2.18637
965.009 2.03651
965.624 1.94346
966.238 1.83700
966.853 1.72094
967.468 1.61684
967.775 1.59231
968.083 1.62210
968.390 1.77946
968.698 2.25563
968.851 2.76211
968.928 3.13938
969.005 3.63921
969.082 4.31121
969.159 5.22622
969.236 6.49958
969.312 8.30983
969.389 10.9692
969.466 15.0181
969.543 21.5153
969.581 26.2791
969.620 32.6283
969.658 41.3241
969.697 53.5188
969.735 71.2651
969.774 98.2078
969.812 141.281
969.850 214.523
969.889 347.637
969.927 599.148
969.964 990.907
970.000 1279.13
970.037 1057.51
970.073 682.968
970.102 473.209
970.132 339.235
970.161 252.680
970.190 195.291
970.249 127.137
970.307 90.2983
970.365 68.1705
970.424 53.8777
970.541 37.0306
970.658 27.7883
970.775 22.1220
970.891 18.3674
971.008 15.7328
971.242 12.3350
971.476 10.2767
971.710 8.91625
971.944 7.95938
972.411 6.71561
972.879 5.95116
973.346 5.43796
973.814 5.07142
974.749 4.58505
975.684 4.27835
976.620 4.06779
977.555 3.91441
979.425 3.70582
981.296 3.57027
983.166 3.47470
985.037 3.40335
988.777 3.30294
992.518 3.23452
996.259 3.18386
1000.00 3.14405
1006.81 3.08816
1013.62 3.04472
1027.24 2.97604
1040.86 2.91810
1054.48 2.86346
