La-139(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 455.088
1.25000E-05 407.043
1.50000E-05 371.578
2.00000E-05 321.796
2.75000E-05 274.428
3.50000E-05 243.255
4.25000E-05 220.750
5.00000E-05 203.521
6.25000E-05 182.035
7.50000E-05 166.174
0.000100000 143.911
0.000125000 128.718
0.000150000 117.503
0.000200000 101.760
0.000275000 86.7810
0.000350000 76.9229
0.000425000 69.8062
0.000500000 64.3580
0.000625000 57.5633
0.000750000 52.5476
0.00100000 45.5071
0.00125000 40.7024
0.00150000 37.1557
0.00200000 32.1771
0.00275000 27.4400
0.00350000 24.3222
0.00425000 22.0714
0.00500000 20.3483
0.00625000 18.1992
0.00750000 16.6127
0.0100000 14.3857
0.0125000 12.8657
0.0150000 11.7436
0.0200000 10.1683
0.0253000 9.03892
0.0314750 8.10201
0.0376500 7.40613
0.0500000 6.42373
0.0625000 5.74287
0.0750000 5.24007
0.100000 4.53386
0.125000 4.05155
0.150000 3.69527
0.200000 3.19476
0.275000 2.71826
0.350000 2.40534
0.500000 2.01671
0.605750 1.88372
0.658625 1.95317
0.685063 2.18362
0.698281 2.48339
0.711500 3.09512
0.734000 4.55035
0.756500 3.08691
0.771719 2.37378
0.786938 2.03431
0.817375 1.74952
0.878250 1.55831
1.00000 1.40681
1.25000 1.23171
1.50000 1.11045
2.00000 0.941574
2.75000 0.779571
3.50000 0.671471
5.00000 0.531327
7.50000 0.396887
10.0000 0.315840
15.0000 0.220398
20.0000 0.165578
27.5000 0.117212
35.0000 0.0893674
42.5000 0.0733036
50.0000 0.0669343
55.5641 0.0716139
58.3462 0.0804868
61.1282 0.0995213
63.9103 0.143586
65.3013 0.188804
66.6923 0.272344
67.3878 0.343266
68.0833 0.452145
68.7788 0.631661
69.4744 0.959164
69.8221 1.23515
70.1699 1.65664
70.5176 2.34744
70.8654 3.59769
71.0393 4.64313
71.2131 6.22761
71.3870 8.79724
71.5609 13.3760
71.6478 17.1447
71.7348 22.7680
71.8217 31.6929
71.9087 47.1047
71.9521 59.3938
71.9956 77.1710
72.0391 104.227
72.0825 148.232
72.1260 226.542
72.1477 290.548
72.1695 384.750
72.1912 530.383
72.2129 768.326
72.2347 1180.50
72.2564 1914.94
72.2782 3062.75
72.3000 3826.98
72.3218 3061.24
72.3436 1913.33
72.3571 1409.07
72.3706 1056.26
72.3976 636.327
72.4246 417.172
72.4516 292.095
72.4787 215.010
72.5057 164.490
72.5597 104.834
72.6137 72.4441
72.6677 52.9836
72.7757 31.8180
72.8838 21.1834
72.9918 15.1048
73.0998 11.3098
73.2079 8.78366
73.4239 5.73644
73.6400 4.03938
73.8561 2.99867
74.0721 2.31503
74.5043 1.50137
74.9364 1.05426
75.3685 0.782603
75.8007 0.605348
76.6649 0.395807
77.5292 0.281396
78.3934 0.212143
79.2577 0.167041
80.9862 0.113724
82.7148 0.0844971
86.1718 0.0548983
89.6289 0.0406585
93.0859 0.0325012
100.000 0.0235752
112.500 0.0160910
125.000 0.0122249
150.000 0.00803126
175.000 0.00574868
200.000 0.00433002
224.090 0.00342128
236.135 0.00311920
242.158 0.00316886
245.169 0.00391543
246.674 0.00711587
247.051 0.0104123
247.427 0.0196574
247.615 0.0322712
247.804 0.0668613
247.898 0.112778
247.945 0.156858
247.992 0.233551
248.039 0.385791
248.062 0.524747
248.086 0.754592
248.109 1.17657
248.121 1.53137
248.133 2.06321
248.145 2.92279
248.156 4.38858
248.168 7.14533
248.180 12.5111
248.190 20.0514
248.200 25.0102
248.210 19.9726
248.220 12.5121
248.231 7.30907
248.242 4.59491
248.254 3.08841
248.265 2.20578
248.276 1.64311
248.287 1.27114
248.309 0.823072
248.332 0.574282
248.354 0.423700
248.398 0.257626
248.443 0.173321
248.487 0.124805
248.576 0.0740386
248.754 0.0356412
248.932 0.0216029
249.288 0.0112772
249.645 0.00757677
251.069 0.00392130
253.918 0.00293650
259.615 0.00258529
271.010 0.00231412
293.800 0.00195227
316.590 0.00168992
327.985 0.00162463
333.683 0.00176754
336.531 0.00251873
337.956 0.00556505
338.312 0.00868260
338.668 0.0174059
338.846 0.0292907
339.024 0.0617857
339.113 0.104785
339.202 0.217347
339.246 0.358163
339.269 0.486616
339.291 0.697010
339.313 1.07977
339.324 1.39680
339.335 1.87147
339.347 2.63041
339.358 3.90315
339.369 6.21247
339.380 10.5841
339.390 16.9547
339.400 21.1407
339.410 16.8880
339.420 10.5848
339.430 6.56257
339.440 4.30627
339.450 2.98999
339.459 2.17842
339.479 1.28991
339.499 0.847053
339.518 0.597132
339.538 0.443031
339.577 0.271335
339.655 0.131957
339.734 0.0780584
339.891 0.0369935
340.047 0.0218811
340.361 0.0107286
340.675 0.00672570
341.929 0.00278073
344.438 0.00175681
349.456 0.00146375
359.493 0.00132678
379.565 0.00118405
419.710 0.000988177
500.000 0.000784212
529.339 0.000778824
558.678 0.000881127
573.347 0.00106699
580.682 0.00126301
588.017 0.00162974
595.351 0.00242754
599.019 0.00323060
602.686 0.00470696
604.520 0.00596011
606.353 0.00788720
608.187 0.0110749
610.021 0.0169214
610.938 0.0218758
611.854 0.0294825
612.771 0.0420420
613.688 0.0650101
614.147 0.0844197
614.605 0.114131
615.063 0.162982
615.522 0.251789
615.751 0.326361
615.980 0.439837
616.209 0.624851
616.439 0.957063
616.553 1.23256
616.668 1.64663
616.782 2.31038
616.897 3.47302
617.012 5.79255
617.069 7.93070
617.126 11.5001
617.183 18.1069
617.212 23.7411
617.241 32.3521
617.269 46.4774
617.298 71.4056
617.312 91.5613
617.327 120.141
617.341 161.623
617.355 221.596
617.378 354.862
617.400 443.168
617.422 354.207
617.445 221.573
617.466 140.806
617.486 93.7373
617.507 65.7394
617.528 48.3009
617.569 28.8768
617.611 19.0667
617.652 13.4747
617.694 10.0178
617.777 6.14569
617.860 4.14459
617.943 2.98222
618.026 2.24686
618.109 1.75362
618.275 1.15276
618.441 0.815012
618.607 0.606544
618.773 0.468991
619.106 0.304320
619.438 0.213363
619.770 0.157862
620.102 0.121548
620.766 0.0784692
621.431 0.0548783
622.095 0.0405741
622.759 0.0312530
624.088 0.0202477
625.417 0.0142477
626.745 0.0106212
628.074 0.00826375
630.731 0.00548764
633.388 0.00397840
636.046 0.00306853
638.703 0.00247864
644.018 0.00178746
649.332 0.00141636
659.961 0.00106552
670.590 0.000949845
681.219 0.00102741
691.848 0.00190881
694.506 0.00287120
697.163 0.00563528
698.491 0.00950038
699.820 0.0204837
700.484 0.0357387
700.817 0.0509704
701.149 0.0787634
701.481 0.138003
701.647 0.196687
701.813 0.302785
701.896 0.391546
701.979 0.525796
702.062 0.743488
702.145 1.13006
702.187 1.44827
702.228 1.92083
702.270 2.66801
702.311 3.95099
702.353 6.43146
702.374 8.64848
702.394 12.1993
702.415 18.4519
702.436 30.7088
702.446 41.7362
702.457 59.2764
702.467 88.5400
702.477 137.657
702.489 220.475
702.500 275.782
702.511 220.477
702.523 137.660
702.533 87.4619
702.544 58.2227
702.555 40.8332
702.565 30.0430
702.586 17.9771
702.607 11.8770
702.628 8.40367
702.650 6.24913
702.692 3.83504
702.734 2.58595
702.776 1.86127
702.818 1.40312
702.861 1.09533
702.945 0.720158
703.030 0.509477
703.114 0.379256
703.198 0.293380
703.367 0.190551
703.536 0.133723
703.874 0.0763646
704.212 0.0494336
704.550 0.0346771
705.225 0.0198923
706.576 0.00923615
707.927 0.00547850
710.629 0.00277771
713.331 0.00182536
724.140 0.000892542
745.757 0.000648490
788.991 0.000622162
810.609 0.000677374
832.226 0.000837652
843.034 0.00104863
848.439 0.00125352
853.843 0.00162213
859.247 0.00240251
861.949 0.00317781
