La-139(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 465.263
1.25000E-05 417.218
1.50000E-05 381.753
2.00000E-05 331.970
2.75000E-05 284.603
3.50000E-05 253.429
4.25000E-05 230.925
5.00000E-05 213.696
6.25000E-05 192.210
7.50000E-05 176.349
0.000100000 154.086
0.000125000 138.892
0.000150000 127.677
0.000200000 111.935
0.000275000 96.9556
0.000350000 87.0975
0.000425000 79.9807
0.000500000 74.5325
0.000625000 67.7377
0.000750000 62.7220
0.00100000 55.6815
0.00125000 50.8767
0.00150000 47.3299
0.00200000 42.3513
0.00275000 37.6139
0.00350000 34.4960
0.00425000 32.2451
0.00500000 30.5217
0.00625000 28.3724
0.00750000 26.7856
0.0100000 24.5580
0.0125000 23.0375
0.0150000 21.9148
0.0200000 20.3384
0.0253000 19.2077
0.0314750 18.2694
0.0376500 17.5721
0.0500000 16.5869
0.0625000 15.9032
0.0750000 15.3976
0.100000 14.6857
0.125000 14.1977
0.150000 13.8357
0.200000 13.3239
0.275000 12.8305
0.350000 12.5007
0.500000 12.0786
0.605750 11.9221
0.658625 11.9799
0.685063 12.2045
0.698281 12.5013
0.711500 13.1102
0.734000 14.5604
0.756500 13.0921
0.771719 12.3756
0.786938 12.0328
0.817375 11.7413
0.878250 11.5368
1.00000 11.3588
1.25000 11.1299
1.50000 10.9555
2.00000 10.6823
2.75000 10.3687
3.50000 10.1146
5.00000 9.69815
7.50000 9.14458
10.0000 8.68925
15.0000 7.95429
20.0000 7.37345
27.5000 6.68990
35.0000 6.15696
42.5000 5.72296
50.0000 5.35125
55.5641 5.09483
58.3462 4.96598
61.1282 4.83205
63.9103 4.69020
65.3013 4.61884
66.6923 4.55821
67.3878 4.54211
68.0833 4.55102
68.7788 4.61652
69.4744 4.82199
69.8221 5.04351
70.1699 5.43214
70.5176 6.14977
70.8654 7.59225
71.0393 8.88208
71.2131 10.9257
71.3870 14.3833
71.5609 20.7997
71.6478 26.2292
71.7348 34.4861
