Nd-146(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 85.1672
1.25000E-05 77.2578
1.50000E-05 71.4194
2.00000E-05 63.2240
2.75000E-05 55.4262
3.50000E-05 50.2942
4.25000E-05 46.5894
5.00000E-05 43.7531
6.25000E-05 40.2160
7.50000E-05 37.6049
0.000100000 33.9398
0.000125000 31.4387
0.000150000 29.5924
0.000200000 27.0008
0.000275000 24.5349
0.000350000 22.9120
0.000425000 21.7404
0.000500000 20.8435
0.000625000 19.7250
0.000750000 18.8993
0.00100000 17.7403
0.00125000 16.9493
0.00150000 16.3655
0.00200000 15.5459
0.00275000 14.7661
0.00350000 14.2528
0.00425000 13.8823
0.00500000 13.5987
0.00625000 13.2449
0.00750000 12.9837
0.0100000 12.6171
0.0125000 12.3669
0.0150000 12.1822
0.0200000 11.9229
0.0253000 11.7369
0.0314750 11.5826
0.0376500 11.4680
0.0500000 11.3061
0.0625000 11.1938
0.0750000 11.1107
0.100000 10.9940
0.125000 10.9140
0.150000 10.8548
0.200000 10.7711
0.275000 10.6906
0.350000 10.6368
0.500000 10.5663
0.750000 10.4965
1.00000 10.4516
1.50000 10.3916
2.00000 10.3494
2.75000 10.3003
3.50000 10.2599
5.00000 10.1913
7.50000 10.0931
10.0000 10.0043
15.0000 9.84006
20.0000 9.68644
27.5000 9.46933
35.0000 9.26469
50.0000 8.88564
75.0000 8.32579
100.000 7.83683
150.000 7.01486
200.000 6.33784
279.726 5.42382
299.657 5.20048
319.588 4.95209
329.554 4.79848
334.537 4.70356
339.520 4.58479
344.503 4.41976
346.994 4.30406
349.485 4.14672
350.731 4.04293
351.977 3.91323
353.223 3.74573
354.468 3.52109
355.091 3.37840
355.714 3.20982
356.337 3.01367
356.960 2.80337
357.271 2.71286
357.583 2.66752
357.894 2.74465
358.205 3.15675
358.361 3.66080
358.439 4.05480
358.517 4.59220
358.556 4.93340
358.595 5.33426
358.634 5.80809
358.673 6.37056
358.712 7.04345
358.750 7.84884
358.789 8.82132
358.828 10.0042
358.867 11.4591
358.906 13.2566
358.945 15.5069
358.984 18.3601
359.023 22.0415
359.062 26.8492
359.101 33.2704
359.140 42.0564
359.179 54.4734
359.218 72.5734
359.256 100.238
359.295 145.054
359.334 223.696
359.354 286.464
359.373 375.859
359.393 509.169
359.412 713.586
359.432 1041.48
359.451 1566.54
359.476 2570.98
359.500 3296.73
359.525 2705.71
359.549 1735.00
359.566 1250.55
359.583 924.701
359.601 703.440
359.618 551.611
359.652 364.317
359.686 259.496
359.721 195.413
359.755 153.465
359.823 103.647
359.892 76.1952
359.961 59.3741
360.029 48.2612
360.098 40.5062
360.235 30.5608
360.372 24.6045
360.509 20.7065
360.646 17.9946
360.921 14.5140
361.195 12.4112
361.469 11.0196
361.744 10.0380
362.292 8.75481
362.841 7.95944
363.390 7.42074
363.938 7.03261
365.035 6.51133
366.133 6.17708
367.230 5.94381
368.327 5.77104
370.522 5.53014
372.716 5.36772
374.911 5.24863
377.105 5.15596
381.495 5.01715
385.884 4.91385
394.662 4.75954
412.218 4.53713
429.775 4.35803
500.000 3.75211
562.493 3.23899
593.740 2.97305
609.363 2.83533
617.174 2.76634
619.127 2.75032
621.080 2.73769
622.057 2.73614
623.033 2.74829
623.521 2.77322
623.766 2.80037
624.010 2.85186
624.254 2.96436
624.376 3.07720
624.498 3.28266
624.559 3.45550
624.620 3.71786
624.681 4.14462
624.742 4.90787
624.773 5.54056
624.803 6.48495
624.834 7.98992
624.864 10.6035
624.895 15.7466
624.910 20.4369
624.925 28.0903
624.940 42.0094
624.948 53.4870
624.956 70.6216
624.963 98.0513
624.971 143.664
624.978 225.810
624.986 379.815
624.993 606.113
625.000 756.981
625.007 606.085
625.014 379.782
625.020 249.041
625.026 171.188
625.032 123.208
625.038 92.3963
625.050 57.3077
625.062 39.1600
625.074 28.6778
625.086 22.1117
625.110 14.6866
625.134 10.8064
625.158 8.54774
625.182 7.11415
625.206 6.14819
625.254 4.96642
625.302 4.30143
625.350 3.88981
625.398 3.61744
625.494 3.29039
625.591 3.10906
625.783 2.92502
625.975 2.83758
626.167 2.78886
626.551 2.73824
626.935 2.71272
627.320 2.69716
628.088 2.67800
629.625 2.65496
631.162 2.63740
634.236 2.60594
637.310 2.57560
649.606 2.45349
674.199 2.19241
698.791 1.89675
711.087 1.73079
714.161 1.68782
717.235 1.64661
718.772 1.62965
720.309 1.62428
721.078 1.63794
721.462 1.65764
721.846 1.69875
722.231 1.79383
722.423 1.89161
722.615 2.07224
722.711 2.22533
722.807 2.45953
722.903 2.84330
722.999 3.53497
723.047 4.11204
723.095 4.98059
723.143 6.37829
723.191 8.83964
723.215 10.8508
723.239 13.8054
723.263 18.4180
723.287 26.1945
723.311 40.8063
723.323 53.4382
723.335 73.1291
723.347 106.062
723.359 166.431
723.365 216.586
723.371 290.533
723.377 402.346
723.383 573.312
723.392 915.427
723.400 1145.40
723.408 915.521
723.417 573.437
723.422 421.262
723.427 316.030
723.438 190.949
723.448 125.256
723.459 88.2206
723.469 65.2079
723.479 50.2892
723.500 32.5882
723.521 22.9899
723.542 17.2265
723.584 10.9704
723.626 7.81803
723.667 6.01947
723.709 4.89308
723.751 4.14459
723.834 3.23931
723.918 2.73406
724.001 2.42341
724.085 2.21869
724.252 1.97351
724.419 1.83742
724.753 1.69775
