Nd-148(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 129.936
1.25000E-05 116.218
1.50000E-05 106.092
2.00000E-05 91.8785
2.75000E-05 78.3543
3.50000E-05 69.4536
4.25000E-05 63.0281
5.00000E-05 58.1091
6.25000E-05 51.9743
7.50000E-05 47.4459
0.000100000 41.0893
0.000125000 36.7514
0.000150000 33.5493
0.000200000 29.0546
0.000275000 24.7778
0.000350000 21.9632
0.000425000 19.9313
0.000500000 18.3758
0.000625000 16.4358
0.000750000 15.0038
0.00100000 12.9937
0.00125000 11.6219
0.00150000 10.6093
0.00200000 9.18796
0.00275000 7.83556
0.00350000 6.94551
0.00425000 6.30298
0.00500000 5.81108
0.00625000 5.19763
0.00750000 4.74480
0.0100000 4.10918
0.0125000 3.67542
0.0150000 3.35524
0.0200000 2.90581
0.0253000 2.58366
0.0314750 2.31649
0.0376500 2.11810
0.0500000 1.83813
0.0625000 1.64420
0.0750000 1.50106
0.100000 1.30015
0.125000 1.16307
0.150000 1.06190
0.200000 0.919911
0.275000 0.784864
0.350000 0.696028
0.500000 0.582877
0.750000 0.476652
1.00000 0.413434
1.50000 0.338622
2.00000 0.294180
2.75000 0.252076
3.50000 0.224523
5.00000 0.189705
7.50000 0.157536
10.0000 0.138853
15.0000 0.117685
20.0000 0.106109
27.5000 0.0967042
35.0000 0.0923225
50.0000 0.0920566
72.4439 0.108544
83.6659 0.127429
89.2769 0.142851
92.0824 0.159239
93.4851 0.196605
93.8358 0.231575
94.0112 0.265920
94.1865 0.328136
94.3619 0.460068
94.4495 0.590461
94.5372 0.826129
94.6249 1.32085
94.6687 1.80321
94.7125 2.66019
94.7345 3.36364
94.7564 4.41019
94.7783 6.06443
94.8002 8.90205
94.8221 14.3861
94.8331 19.2692
94.8440 27.1212
94.8550 40.8591
94.8660 67.8630
94.8714 91.9882
94.8769 130.216
94.8824 193.674
94.8879 300.613
94.8939 481.026
94.9000 601.035
94.9061 480.738
94.9121 300.650
94.9171 201.348
94.9221 139.600
94.9270 100.853
94.9320 75.6363
94.9420 46.5408
94.9519 31.3185
94.9618 22.4464
94.9718 16.8599
94.9916 10.5140
95.0115 7.19078
95.0314 5.24160
95.0513 4.00162
95.0711 3.16549
95.1109 2.14258
95.1506 1.56489
95.1904 1.20720
95.2301 0.970531
95.3096 0.686790
95.3891 0.529736
95.5481 0.371138
95.7071 0.296852
95.8661 0.256362
96.1841 0.216337
96.8201 0.189033
97.4561 0.181060
100.000 0.181879
101.705 0.188660
102.557 0.192701
103.409 0.197075
104.262 0.201760
105.114 0.206744
105.967 0.212031
106.819 0.217627
107.671 0.223547
108.524 0.229806
110.228 0.243431
