Eu-151(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 679330
1.30871E-05 593795
1.50000E-05 554624
1.61743E-05 534100
2.00000E-05 480278
2.23486E-05 454323
2.75000E-05 409531
2.85229E-05 402113
3.16101E-05 381953
3.46972E-05 364547
3.50000E-05 362964
3.57529E-05 359118
3.65057E-05 355391
3.80115E-05 348272
4.10230E-05 335228
4.70459E-05 313004
5.00000E-05 303601
5.93945E-05 278514
7.17431E-05 253361
7.50000E-05 247786
8.40917E-05 233972
0.000100000 214499
0.000108789 205622
0.000133486 185552
0.000150000 174992
0.000158183 170382
0.000179092 160072
0.000200000 151421
0.000207578 148612
0.000232276 140432
0.000256973 133458
0.000275000 128971
0.000306367 122127
0.000350000 114178
0.000405156 106025
0.000500000 95290.1
0.000503945 94910.2
0.000516294 93749.0
0.000528642 92628.6
0.000553340 90500.7
0.000602734 86642.1
0.000750000 77481.9
0.000800313 74944.3
0.000997891 66896.9
0.00100000 66824.0
0.00100611 66614.1
0.00101222 66406.1
0.00102443 65995.6
0.00104887 65196.0
0.00109774 63676.8
0.00119547 60919.9
0.00150000 54112.6
0.00159062 52470.1
0.00178820 49325.7
0.00198578 46655.6
0.00200000 46478.6
0.00204762 45899.0
0.00209524 45338.9
0.00219047 44273.0
0.00238094 42332.7
0.00275000 39152.3
0.00317125 36209.1
0.00350000 34282.4
0.00396156 31982.5
0.00475187 28830.6
0.00500000 27993.7
0.00566625 26016.1
0.00633250 24348.2
0.00750000 21961.1
0.00791312 21240.9
0.00949375 18916.7
0.0100000 18286.8
0.0113275 16832.6
0.0126550 15605.0
0.0150000 13835.6
0.0158162 13311.3
0.0189775 11603.8
0.0200000 11138.9
0.0221387 10272.5
0.0253000 9200.73
0.0295458 8049.09
0.0337915 7133.61
0.0376500 6451.13
0.0380373 6389.06
0.0390988 6224.30
0.0401602 6067.00
0.0422831 5772.93
0.0500000 4892.55
0.0507746 4817.67
0.0528975 4622.95
0.0550204 4442.42
0.0592662 4118.80
0.0677577 3592.78
0.0750000 3241.96
0.0762493 3188.77
0.0804951 3021.80
0.0847408 2873.99
0.0932324 2626.43
0.100000 2466.89
0.101724 2430.80
0.105970 2348.93
0.110215 2276.24
0.127198 2061.04
0.144182 1940.12
0.150000 1916.15
0.161165 1892.16
0.169657 1892.25
0.178148 1907.81
0.186640 1939.09
0.195131 1986.90
0.200000 2022.29
0.212114 2138.56
0.220605 2247.70
0.229097 2384.41
0.237588 2554.55
0.246080 2766.07
0.254572 3029.52
0.263063 3358.47
0.271555 3769.49
0.280046 4279.40
0.281210 4357.73
0.285165 4639.29
0.289120 4943.76
0.297029 5606.89
0.308515 6568.12
0.314257 6945.12
0.320000 7186.91
0.321000 7213.08
0.322420 7242.01
0.322420 7242.01
0.322420 7242.01
0.322421 7242.02
0.322421 7242.03
0.322423 7242.05
0.322425 7242.09
0.322430 7242.17
0.322439 7242.33
0.322458 7242.64
0.322495 7243.27
0.322570 7244.51
0.322720 7246.90
0.323020 7251.36
0.323619 7259.04
0.324818 7269.52
0.327217 7272.03
0.332013 7215.32
0.341605 6978.04
0.351198 6794.64
0.355994 6778.42
0.360790 6827.58
0.367440 7014.52
0.374090 7348.90
0.380740 7841.32
0.387390 8506.12
0.394040 9363.08
0.400690 10437.4
0.407340 11757.7
0.413990 13350.8
0.413990 13350.8
0.413991 13351.0
0.413991 13351.1
0.413992 13351.4
0.413994 13351.9
0.413999 13353.1
0.414007 13355.3
0.414024 13359.7
0.414058 13368.6
0.414126 13386.4
0.414263 13422.2
0.414535 13494.0
0.415080 13639.2
0.416170 13935.3
0.418909 14713.6
0.421649 15539.3
0.427128 17319.3
0.438085 21157.5
0.449043 24437.6
0.454521 25364.6
0.460000 25576.6
0.465000 25096.9
0.470000 24032.0
0.480000 20720.2
0.500000 13442.6
0.503830 12287.4
0.517705 8915.65
0.531580 6599.00
0.531580 6598.97
0.531581 6598.89
0.531581 6598.80
0.531583 6598.64
0.531585 6598.32
0.531589 6597.69
0.531599 6596.43
0.531617 6593.91
0.531654 6588.86
0.531728 6578.78
0.531875 6558.69
0.532170 6518.73
0.532760 6439.77
0.533939 6285.61
0.536298 5991.67
0.541016 5456.75
0.550453 4566.53
0.569325 3306.78
0.588198 2490.01
0.607070 1937.46
0.644815 1268.89
0.682560 902.435
0.682560 902.433
0.682561 902.429
0.682561 902.425
0.682562 902.417
0.682564 902.402
0.682569 902.371
0.682577 902.309
0.682594 902.185
0.682628 901.938
0.682696 901.444
0.682831 900.456
0.683102 898.487
0.683644 894.571
0.684728 886.826
0.686895 871.676
0.691230 842.687
0.699899 789.545
0.717238 699.884
0.751915 571.056
0.814168 451.738
0.876420 442.442
0.876420 442.442
0.876421 442.443
0.876421 442.443
0.876422 442.444
0.876424 442.445
0.876428 442.449
0.876435 442.455
0.876450 442.468
0.876481 442.494
0.876541 442.545
0.876662 442.648
0.876903 442.857
0.877386 443.281
0.878351 444.157
0.880282 446.022
0.884144 450.220
0.891868 460.620
0.907315 490.772
0.938210 605.323
0.969105 856.228
0.984553 1082.36
1.00000 1426.40
1.01090 1768.09
1.02193 2207.78
1.03295 2707.54
1.05500 3309.36
1.07705 2637.14
1.09910 1667.18
1.12540 967.688
1.12540 967.651
1.12541 967.559
1.12541 967.467
1.12542 967.302
1.12544 966.952
1.12548 966.254
1.12555 964.878
1.12570 962.115
1.12601 956.623
1.12661 945.789
1.12782 924.616
1.13023 884.258
1.13506 810.789
1.14471 688.487
1.16401 515.138
1.20263 325.098
1.24124 229.986
1.27985 175.694
1.35708 118.814
1.43430 91.1625
1.44500 88.5382
1.44500 88.5378
1.44501 88.5366
1.44501 88.5354
1.44502 88.5331
1.44504 88.5284
1.44508 88.5190
1.44516 88.5005
1.44532 88.4634
1.44564 88.3893
1.44627 88.2415
1.44754 87.9483
1.45007 87.3711
1.45514 86.2519
1.46528 84.1483
1.48556 80.4441
1.52613 74.8392
1.60725 70.6315
1.68838 82.9053
1.72894 109.038
1.74922 136.723
1.76950 183.762
1.79225 263.864
1.81500 315.917
1.83520 269.397
1.85540 193.529
1.85540 193.522
1.85541 193.506
1.85541 193.489
1.85542 193.456
1.85544 193.389
1.85548 193.255
1.85556 192.989
1.85572 192.460
1.85604 191.405
1.85668 189.316
1.85795 185.216
1.86050 177.340
1.86922 153.624
1.87794 134.508
1.89538 107.048
1.93025 77.5826
1.96513 63.7620
2.00000 56.5080
2.09560 49.2423
2.19120 49.3856
2.28680 54.1755
2.38240 65.3793
2.38240 65.3796
2.38241 65.3805
2.38241 65.3811
2.38242 65.3827
2.38244 65.3857
2.38247 65.3916
2.38254 65.4035
2.38268 65.4272
2.38296 65.4749
2.38353 65.5707
2.38465 65.7635
2.38689 66.1546
2.39139 66.9597
2.40037 68.6667
2.41834 72.5155
2.45428 82.4524
2.52615 118.826
2.56209 155.044
2.59803 221.043
2.63396 358.167
2.65193 484.266
2.66990 679.133
2.68168 852.997
2.69345 1050.97
2.71700 1296.44
2.74055 1048.57
2.76410 680.886
2.78253 487.626
2.80096 366.637
2.83783 243.069
2.87469 191.987
2.91155 172.096
2.98528 177.111
3.05900 226.229
3.05900 226.231
3.05901 226.240
3.05902 226.248
3.05903 226.264
3.05907 226.297
3.05913 226.362
3.05926 226.493
3.05951 226.754
3.06002 227.279
3.06104 228.338
3.06309 230.494
3.06717 234.957
3.07534 244.528
3.09168 266.533
3.12435 325.144
3.15703 412.462
3.18970 548.300
3.22238 773.270
3.25505 1178.79
3.27139 1510.18
3.28773 1991.40
3.30406 2705.78
3.32040 3764.90
3.34420 5972.07
3.36800 7428.35
3.39180 5943.44
3.41560 3741.55
3.43106 2742.54
3.44653 2060.92
3.47745 1283.28
3.50838 911.621
3.53930 739.059
3.57023 692.384
3.60115 767.242
3.63208 1031.02
3.64754 1288.34
3.66300 1678.35
3.67475 2079.03
3.68650 2539.36
3.71000 3103.78
3.72175 2916.18
3.73350 2486.84
3.75700 1582.80
3.77836 1042.97
3.79973 722.394
3.82109 527.765
3.84245 403.522
3.88518 261.467
3.92790 186.540
3.92790 186.537
3.92791 186.528
3.92791 186.520
3.92793 186.504
3.92795 186.471
3.92800 186.405
3.92810 186.274
3.92830 186.013
3.92870 185.492
3.92950 184.458
3.93109 182.419
3.93428 178.455
3.94066 170.954
3.95342 157.476
3.97893 135.431
4.02996 104.622
4.13203 70.6100
4.23409 53.3852
4.33615 44.2019
4.43821 40.4173
4.54028 43.1971
4.59131 49.7213
4.64234 65.3393
4.66785 80.8640
4.69337 107.588
4.71889 156.753
4.74440 250.900
4.76720 386.169
4.79000 475.637
4.81280 384.209
4.83560 248.284
4.85615 167.959
4.87670 120.506
4.89725 92.0370
4.91780 74.2140
4.95890 54.7552
5.00000 45.6797
5.04350 41.5037
5.04350 41.5036
5.04351 41.5034
5.04351 41.5032
5.04352 41.5027
5.04354 41.5018
5.04357 41.5001
5.04364 41.4965
5.04378 41.4894
5.04405 41.4753
5.04461 41.4474
5.04571 41.3934
5.04791 41.2917
5.05233 41.1133
5.06115 40.8536
5.07880 40.7080
5.11410 41.8960
5.18470 51.9020
5.22000 63.7444
5.25530 85.6879
5.29060 129.455
5.30825 167.279
5.32590 222.400
5.35295 342.505
5.38000 422.056
5.40705 341.289
5.43410 221.194
5.46509 136.881
5.49608 93.9783
5.52706 71.3850
5.55805 58.9079
5.62003 48.4241
5.68200 48.2150
5.74398 56.7337
5.80595 80.5823
5.83694 105.236
5.86793 149.003
5.89891 233.228
5.92990 404.987
5.95495 634.706
5.98000 786.646
6.00510 631.600
6.03020 400.927
6.05806 242.035
6.08593 158.747
6.11379 113.191
6.14165 86.4637
6.19738 58.8400
6.25310 46.2379
6.36455 37.0895
6.47600 36.5594
6.47600 36.5594
6.47601 36.5595
6.47601 36.5596
6.47602 36.5597
6.47603 36.5600
6.47607 36.5606
6.47613 36.5619
6.47626 36.5643
6.47652 36.5691
6.47703 36.5789
6.47807 36.5988
6.48013 36.6398
6.48426 36.7265
6.49252 36.9189
6.50903 37.3785
6.54206 38.5968
6.60813 42.2908
6.74025 56.3441
6.80631 68.8815
6.87238 88.6461
6.93844 123.774
6.97147 154.738
7.00450 207.250
7.02725 262.598
7.05000 312.972
7.09550 344.736
7.13290 439.516
7.15160 528.330
7.17030 658.243
7.18900 851.191
7.20770 1147.10
7.22640 1617.04
7.24510 2371.48
7.26755 3716.54
7.29000 4643.86
7.31245 3872.97
7.33490 2730.92
7.35035 2276.25
7.36580 2105.70
7.38125 2199.16
7.39670 2571.53
7.40753 3005.61
7.41835 3535.75
7.44000 4177.97
7.45083 3907.94
7.46165 3331.76
7.48330 2130.39
7.50930 1246.86
7.53530 795.228
7.56130 549.241
7.58730 403.096
7.63930 246.180
7.69130 167.929
7.74330 123.131
7.79530 95.0243
7.89930 63.0496
8.00330 46.3943
8.10730 36.9263
8.31530 28.5841
8.31530 28.5841
8.31531 28.5840
8.31531 28.5839
8.31532 28.5837
8.31534 28.5834
8.31539 28.5826
8.31547 28.5812
8.31564 28.5783
8.31599 28.5725
8.31667 28.5610
8.31804 28.5382
8.32079 28.4938
8.32627 28.4093
8.33724 28.2577
8.35918 28.0238
8.40306 27.8368
8.49083 28.6916
8.57859 31.6819
8.66635 38.2286
8.75411 52.0963
8.79800 64.7348
8.84188 85.0896
8.88576 120.398
8.92964 188.377
8.95158 247.657
8.97352 339.232
8.99546 486.170
9.01740 724.306
9.04370 1149.86
9.07000 1432.02
9.09630 1146.45
9.12260 720.041
9.15002 438.557
9.17744 284.852
9.20486 198.009
9.23228 145.721
9.28711 89.8395
9.34195 62.7440
9.39679 47.8737
9.45163 39.0436
9.56130 30.1295
9.67098 27.0084
9.78065 27.2977
9.89033 30.8047
10.0000 39.0756
10.1058 56.3555
10.1586 72.3928
10.2115 98.8990
10.2644 146.980
10.2908 187.004
10.3173 247.031
10.3437 342.285
10.3701 504.007
10.3834 628.636
10.3966 800.141
10.4098 1038.82
10.4230 1368.49
10.4465 2186.13
10.4700 2732.41
10.4935 2182.73
10.5170 1365.68
10.5370 905.533
10.5570 626.317
10.5770 454.934
10.5970 345.679
10.6370 223.839
10.6770 165.161
10.6770 165.141
10.6771 165.081
10.6771 165.031
10.6772 164.931
10.6774 164.721
10.6779 164.304
10.6787 163.480
10.6804 161.880
10.6837 158.828
10.6904 153.275
10.7038 144.233
10.7305 133.316
10.7840 138.590
10.8108 159.122
10.8375 201.262
10.8643 283.942
10.8910 444.495
10.9155 680.955
10.9400 836.468
10.9645 674.185
10.9890 431.871
11.0077 304.913
11.0264 222.762
11.0451 169.346
11.0638 133.540
11.1011 90.7295
11.1385 67.3732
11.2133 44.1759
11.2880 33.5257
11.4375 24.9350
11.5870 23.2584
11.7365 26.2493
11.8113 30.1943
11.8860 37.1999
11.9608 50.3988
11.9981 61.7194
12.0355 79.3022
12.0729 108.875
12.1103 164.350
12.1289 212.048
12.1476 285.189
12.1663 401.983
12.1850 590.951
12.2075 932.462
12.2300 1163.03
12.2525 937.782
12.2750 603.129
12.2950 410.946
12.3150 299.731
12.3350 235.885
12.3550 199.414
12.3950 171.899
12.4350 182.665
12.4750 231.377
12.4950 276.987
12.5150 345.964
12.5350 452.361
12.5550 622.124
12.5750 903.105
12.5950 1372.73
12.6175 2166.52
12.6400 2688.59
12.6625 2159.73
12.6850 1362.13
12.6993 1000.88
12.7137 749.450
12.7423 452.824
12.7710 299.390
12.7996 212.314
12.8283 158.794
12.8569 123.795
12.9143 82.5420
12.9716 60.2726
13.0289 47.0910
13.1435 33.6502
13.2581 29.0803
13.3728 31.7779
13.4301 37.9491
13.4874 52.0991
13.5160 65.6279
13.5447 88.0080
13.5734 127.008
13.6020 196.610
13.6310 306.819
13.6600 380.404
13.6850 321.961
13.7100 222.375
13.7100 222.302
13.7101 222.051
13.7101 221.835
13.7103 221.404
13.7105 220.509
13.7110 218.728
13.7120 215.206
13.7140 208.324
13.7180 195.248
13.7337 152.205
13.7493 120.693
13.7807 81.0061
13.8120 59.0290
13.8434 46.0249
13.9060 32.5035
13.9687 26.3962
14.0941 22.5700
14.2194 24.2795
14.3448 31.6270
14.4074 39.1597
14.4701 52.0842
14.5328 76.5027
14.5641 97.6960
14.5955 130.946
14.6268 187.344
14.6581 293.494
14.6738 384.407
14.6895 522.708
14.7051 740.561
14.7208 1086.20
14.7404 1726.09
14.7600 2152.91
14.7796 1727.39
