Eu-153(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 18625.8
1.30871E-05 16282.5
1.61743E-05 14647.3
2.00000E-05 13172.9
2.23486E-05 12462.0
2.85229E-05 11032.0
3.46972E-05 10003.2
4.70459E-05 8591.79
5.00000E-05 8334.36
5.93945E-05 7647.55
7.17431E-05 6959.05
8.40917E-05 6428.42
0.000100000 5895.60
0.000108789 5652.75
0.000133486 5103.83
0.000158183 4689.10
0.000200000 4170.97
0.000207578 4094.25
0.000232276 3870.85
0.000256973 3680.47
0.000306367 3371.30
0.000405156 2932.44
0.000500000 2640.29
0.000503945 2629.96
0.000516294 2598.38
0.000528642 2567.92
0.000553340 2510.09
0.000602734 2405.27
0.000800313 2088.03
0.000997891 1870.40
0.00100000 1868.43
0.00100611 1862.76
0.00101222 1857.14
0.00102443 1846.06
0.00104887 1824.48
0.00109774 1783.50
0.00119547 1709.21
0.00159062 1482.22
0.00198578 1326.84
0.00200000 1322.12
0.00204762 1306.69
0.00209524 1291.77
0.00219047 1263.42
0.00238094 1211.91
0.00277610 1122.44
0.00317125 1050.22
0.00396156 939.631
0.00475187 857.847
0.00500000 836.248
0.00566625 785.414
0.00633250 742.794
0.00791312 664.069
0.00949375 605.816
0.0100000 590.126
0.0113275 554.063
0.0126550 523.785
0.0158162 467.570
0.0189775 425.908
0.0200000 414.569
0.0226500 388.790
0.0253000 367.112
0.0253000 367.112
0.0253000 367.112
0.0253000 367.112
0.0253001 367.112
0.0253001 367.111
0.0253002 367.111
0.0253004 367.109
0.0253008 367.106
0.0253016 367.100
0.0253032 367.088
0.0253064 367.064
0.0253128 367.016
0.0253256 366.919
0.0253512 366.726
0.0254025 366.342
0.0255049 365.576
0.0257099 364.057
0.0261197 361.073
0.0269394 355.306
0.0285787 344.513
0.0318574 325.433
0.0384149 294.738
0.0500000 255.781
0.0515297 251.620
0.0548084 243.279
0.0580872 235.633
0.0646446 222.075
0.0777595 200.148
0.100000 173.074
0.103989 169.133
0.117104 157.582
0.130219 147.771
0.156449 131.900
0.182678 119.517
0.200000 112.696
0.235138 101.252
0.287598 88.3067
0.322420 81.5883
0.322420 81.5883
0.322420 81.5883
0.322421 81.5881
0.322422 81.5880
0.322423 81.5878
0.322426 81.5873
0.322431 81.5863
0.322443 81.5843
0.322465 81.5804
0.322510 81.5725
0.322599 81.5568
0.322778 81.5253
0.323136 81.4624
0.323851 81.3371
0.325282 81.0877
0.328143 80.5941
0.333867 79.6276
0.345313 77.7730
0.368205 74.3502
0.413990 68.4694
0.413990 68.4694
0.413991 68.4693
0.413992 68.4692
0.413993 68.4691
0.413995 68.4688
0.414001 68.4682
0.414011 68.4670
0.414032 68.4645
0.414074 68.4596
0.414158 68.4499
0.414326 68.4304
0.414662 68.3914
0.415334 68.3136
0.416678 68.1586
0.419366 67.8513
0.424741 67.2468
0.435493 66.0771
0.456995 63.8839
0.500000 60.0125
0.531580 57.5433
0.531580 57.5433
0.531581 57.5433
0.531581 57.5432
0.531583 57.5432
0.531585 57.5430
0.531589 57.5426
0.531599 57.5420
0.531617 57.5406
0.531654 57.5379
0.531728 57.5325
0.531875 57.5216
0.532170 57.4999
0.532760 57.4565
0.533939 57.3701
0.536298 57.1984
0.541016 56.8594
0.550453 56.1985
0.569325 54.9421
0.607070 52.6691
0.682560 48.9382
0.682560 48.9382
0.682561 48.9381
0.682562 48.9381
0.682563 48.9380
0.682566 48.9379
0.682572 48.9376
0.682584 48.9371
0.682608 48.9361
0.682655 48.9341
0.682750 48.9300
0.682939 48.9218
0.683317 48.9056
0.684075 48.8730
0.685589 48.8083
0.688618 48.6798
0.694676 48.4269
0.706793 47.9374
0.731025 47.0208
0.779490 45.4189
0.876420 43.0299
0.876420 43.0299
0.876421 43.0299
0.876421 43.0299
0.876422 43.0299
0.876424 43.0298
0.876428 43.0298
0.876435 43.0296
0.876450 43.0293
0.876481 43.0287
0.876541 43.0276
0.876662 43.0252
0.876903 43.0205
0.877386 43.0111
0.878351 42.9924
0.880282 42.9552
0.884144 42.8821
0.891868 42.7402
0.907315 42.4740
0.938210 42.0111
1.00000 41.3584
1.12540 41.1822
1.12540 41.1822
1.12541 41.1822
1.12541 41.1823
1.12542 41.1823
1.12544 41.1824
1.12548 41.1826
1.12556 41.1830
1.12571 41.1839
1.12603 41.1855
1.12665 41.1888
1.12790 41.1956
1.13040 41.2097
1.13539 41.2401
1.14538 41.3099
1.16535 41.4861
1.20530 41.9980
1.28520 43.8035
1.44500 53.3702
1.44500 53.3704
1.44501 53.3713
1.44502 53.3721
1.44503 53.3736
1.44506 53.3767
1.44512 53.3829
1.44523 53.3954
1.44546 53.4203
1.44593 53.4704
1.44685 53.5712
1.44871 53.7754
1.45241 54.1943
1.45981 55.0771
1.47463 57.0446
1.50425 62.0131
1.56350 79.3722
1.59313 95.8277
1.62275 124.342
1.65238 179.255
1.68200 294.084
1.70450 440.072
1.72700 536.515
1.74950 440.034
1.77200 296.679
1.79285 211.063
1.81370 162.262
1.85540 118.227
1.85540 118.226
1.85541 118.223
1.85541 118.221
1.85542 118.215
1.85544 118.205
1.85547 118.184
1.85554 118.143
1.85568 118.061
1.85597 117.898
1.85653 117.574
1.85766 116.941
1.85992 115.731
1.86444 113.516
1.87348 109.822
1.89155 104.794
1.92770 101.224
2.00000 109.674
2.09560 147.340
2.14340 183.097
2.19120 240.124
2.23900 337.170
2.28680 519.899
2.31070 677.260
2.33460 920.321
2.35850 1318.37
2.37045 1615.30
2.38240 2013.19
2.38240 2013.27
2.38241 2013.54
2.38242 2013.81
2.38243 2014.31
2.38246 2015.35
2.38251 2017.44
2.38262 2021.62
2.38283 2030.02
2.38326 2046.91
2.38413 2081.26
2.38585 2152.31
2.38930 2304.15
2.39620 2651.04
2.41000 3550.11
2.43300 5648.06
2.45600 7035.42
2.46750 6616.28
2.47900 5623.10
2.50200 3520.33
2.51941 2435.10
2.53681 1736.10
2.55422 1284.20
2.57163 983.404
2.60644 628.982
2.64125 440.469
2.67606 330.510
2.71088 262.077
2.78050 188.287
2.85013 157.246
2.91975 150.969
2.98938 167.617
3.05900 220.332
3.05900 220.334
3.05901 220.341
3.05901 220.348
3.05902 220.361
3.05905 220.388
3.05909 220.441
3.05918 220.548
3.05936 220.762
3.05973 221.192
3.06045 222.058
3.06190 223.815
3.06480 227.437
3.07060 235.134
3.08219 252.538
3.10538 297.451
3.15175 455.795
3.17494 600.249
3.19813 832.418
3.22131 1224.16
3.24450 1898.30
3.26925 2999.98
3.29400 3729.79
3.31875 2990.66
3.34350 1887.30
3.36079 1353.05
3.37808 996.813
3.39537 759.604
3.41266 598.152
3.44724 404.153
3.48183 300.191
3.51641 240.932
3.55099 206.753
3.62015 182.361
3.68931 203.411
3.72389 236.033
3.75848 294.093
3.79306 398.061
3.82764 596.214
3.84493 764.127
3.86222 1014.76
3.87951 1398.49
3.89680 1986.45
3.91235 2726.38
3.92790 3530.77
3.92790 3530.86
3.92791 3531.23
3.92792 3531.59
3.92793 3532.32
3.92796 3533.72
3.92803 3536.57
3.92815 3542.24
3.92841 3553.51
3.92891 3575.68
3.92991 3618.62
3.93193 3698.30
3.93595 3828.18
3.94400 3939.36
3.95580 3710.54
3.96760 3159.59
3.99120 1987.93
4.01349 1267.58
4.03578 850.591
4.05807 603.672
4.08036 449.638
4.12494 278.772
4.16953 192.262
4.21411 142.760
4.25869 111.853
4.34785 76.9529
4.43701 59.1038
4.52618 50.0234
4.61534 49.8208
4.65992 58.4706
4.68221 69.3903
4.70450 89.6807
4.75000 144.268
4.79550 86.3135
4.82106 61.8636
4.84663 48.7635
4.89775 36.7194
4.94888 31.4507
5.00000 28.5426
5.04350 26.9292
5.04350 26.9291
5.04351 26.9289
5.04351 26.9288
5.04352 26.9286
5.04353 26.9281
5.04357 26.9271
5.04363 26.9251
5.04376 26.9210
5.04402 26.9130
5.04454 26.8969
5.04558 26.8649
5.04766 26.8017
5.05182 26.6782
5.06013 26.4423
5.07676 26.0104
5.11001 25.2829
5.17653 24.2447
5.30955 23.3545
5.44258 23.8490
5.57560 26.2155
5.70863 32.3083
5.77514 38.3681
5.84165 48.7742
5.90816 68.3575
5.94142 85.1388
5.97468 110.951
6.00793 153.203
6.04119 228.039
6.07444 373.573
6.09107 497.580
6.10770 676.662
6.12078 863.129
6.13385 1076.56
6.16000 1344.84
6.18615 1080.26
6.21230 681.211
6.22878 503.196
6.24526 379.272
6.27823 232.851
6.31119 156.948
6.34415 113.795
6.37711 87.2520
6.41008 69.8731
6.47600 49.3529
6.47600 49.3524
6.47601 49.3507
6.47602 49.3491
6.47603 49.3460
6.47606 49.3398
6.47611 49.3274
6.47623 49.3027
6.47645 49.2530
6.47690 49.1541
6.47780 48.9577
6.47959 48.5696
6.48319 47.8119
6.49037 46.3670
6.50474 43.7345
6.53348 39.3257
6.59096 32.9502
6.70591 25.6469
6.82087 21.8464
6.93583 19.7081
7.16574 17.8692
7.39565 17.8720
7.62556 19.4384
7.85548 23.3131
8.08539 32.1446
8.20034 40.7700
8.31530 55.7292
8.31530 55.7296
8.31531 55.7310
8.31532 55.7322
8.31533 55.7348
8.31536 55.7398
8.31542 55.7501
8.31554 55.7707
8.31577 55.8116
8.31624 55.8939
8.31718 56.0590
8.31907 56.3920
8.32283 57.0688
8.33036 58.4669
8.34543 61.4542
8.37555 68.3076
8.43580 86.7583
8.49605 115.292
8.55630 162.632
8.61655 249.184
8.64668 321.781
8.67680 431.396
8.70693 606.538
8.73705 906.393
8.75211 1139.08
8.76718 1461.01
8.78224 1911.68
8.79730 2538.35
8.82365 4071.09
8.85000 5104.83
8.87635 4098.10
8.90270 2572.46
8.91985 1872.85
8.93699 1391.44
8.97128 830.633
9.00557 544.109
9.03986 382.719
9.07415 284.065
9.10844 219.748
9.17703 144.108
9.24561 103.168
9.31419 78.5941
9.45135 51.8840
9.58851 38.5147
9.72568 30.9731
10.0000 23.6082
10.3385 21.0420
10.5078 21.6270
10.6770 23.8029
10.6770 23.8032
10.6771 23.8044
10.6771 23.8054
10.6772 23.8075
10.6775 23.8117
10.6779 23.8200
10.6787 23.8366
10.6805 23.8701
10.6839 23.9379
10.6908 24.0770
10.7046 24.3686
10.7323 25.0098
10.7875 26.5588
10.8980 31.0974
11.0085 38.7698
11.1190 52.6170
11.2295 80.6220
11.2848 106.466
11.3400 149.390
11.3953 227.871
11.4229 293.663
11.4505 392.854
11.4781 551.116
11.5058 821.238
11.5196 1030.28
11.5334 1318.84
11.5472 1721.80
11.5610 2280.98
11.5855 3672.61
11.6100 4619.20
11.6345 3703.80
11.6590 2320.00
11.6824 1463.08
11.7059 971.456
11.7293 682.373
11.7528 503.065
11.7762 385.695
11.7996 305.299
11.8465 205.995
11.8934 149.631
11.9403 114.762
12.0340 75.9511
12.1278 56.6088
12.2215 47.3084
12.2684 46.1436
12.3153 49.1296
12.3387 53.8197
12.3621 63.0563
12.3856 81.4861
12.4090 118.847
12.4295 173.455
12.4500 210.869
12.4705 173.901
12.4910 118.233
12.5124 81.3579
12.5338 61.0038
12.5551 49.2715
12.5765 42.0219
12.6193 33.9047
12.6620 29.6646
12.7475 25.6574
12.8330 24.4561
12.9185 25.5803
13.0040 31.1508
13.0468 38.1619
13.0895 52.7950
13.1109 66.3233
13.1323 88.2754
13.1536 125.737
13.1750 190.921
13.1975 296.783
13.2200 368.102
13.2425 299.073
13.2650 193.531
13.2789 146.866
13.2928 114.005
13.3206 74.6406
13.3484 53.8957
13.3763 41.9353
13.4319 29.5309
13.4875 23.5631
13.5988 18.1063
13.7100 15.6673
13.7100 15.6670
13.7101 15.6662
13.7101 15.6654
13.7102 15.6640
13.7104 15.6612
13.7107 15.6555
13.7115 15.6442
13.7129 15.6215
13.7159 15.5768
13.7217 15.4892
13.7334 15.3216
13.7567 15.0137
13.8035 14.4889
13.8969 13.7029
14.0838 12.7547
14.4575 12.1931
14.6444 12.5877
14.8313 14.1405
14.9247 16.1785
15.0181 20.9499
15.0649 26.0600
15.1116 35.9607
15.1349 44.6591
15.1583 58.1990
15.1817 80.1376
15.2050 116.097
15.2325 179.798
15.2600 222.932
15.2875 181.659
15.3150 118.488
15.3453 74.6965
15.3756 51.4664
15.4059 38.6356
15.4363 31.0410
15.4969 23.0860
15.5575 19.3559
15.6788 16.3815
15.8000 15.7101
16.0425 17.7494
16.1638 21.3462
16.2244 25.3370
16.2547 29.0951
16.2850 35.8998
16.3300 50.0650
16.3750 43.9826
16.4128 43.4822
16.4507 48.7782
16.4885 58.9418
16.5264 75.8553
16.5642 104.778
16.6020 158.352
16.6210 203.128
16.6399 269.444
16.6588 370.238
16.6777 523.560
16.7039 831.932
16.7300 1039.89
16.7562 838.027
16.7823 531.523
16.8064 345.838
16.8306 237.009
16.8547 172.047
16.8789 131.404
16.9271 86.4636
16.9754 64.1958
17.0237 52.0541
17.0720 45.1552
17.1685 39.6011
17.2651 40.9482
17.3616 50.1472
17.4099 60.7058
17.4582 81.2927
17.4823 99.7656
17.5064 129.694
17.5306 181.805
17.5426 222.249
17.5547 276.681
17.5660 342.251
17.5774 417.177
17.6000 513.802
17.6030 512.688
17.6030 512.667
17.6031 512.615
17.6031 512.572
17.6032 512.485
17.6034 512.291
17.6037 511.879
17.6043 510.916
17.6057 508.447
17.6083 501.440
17.6136 480.217
17.6242 420.132
17.6453 299.595
17.6652 226.766
17.6850 186.683
17.7247 159.357
17.7644 169.284
17.8042 208.163
17.8240 241.438
17.8439 288.259
17.8637 354.791
17.8836 451.484
17.9034 596.853
17.9233 823.922
17.9432 1192.70
17.9630 1797.68
17.9865 2878.34
18.0100 3614.57
18.0218 3414.18
18.0335 2915.07
18.0570 1843.71
18.0763 1250.21
18.0955 880.085
18.1148 647.396
18.1340 495.829
18.1726 321.226
18.2111 230.738
18.2496 179.503
18.2881 149.169
18.3652 122.332
18.4422 125.258
18.5192 165.068
18.5578 213.177
18.5963 304.340
18.6348 491.418
18.6541 657.173
18.6733 903.434
18.7017 1425.56
18.7300 1776.62
18.7584 1431.03
18.7867 908.840
18.8050 670.657
18.8234 506.318
18.8600 314.311
