Gd-154(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4386.01
1.25000E-05 3923.56
1.50000E-05 3582.20
2.00000E-05 3103.03
2.75000E-05 2647.10
3.50000E-05 2347.04
4.25000E-05 2130.43
5.00000E-05 1964.59
6.25000E-05 1757.77
7.50000E-05 1605.10
0.000100000 1390.80
0.000125000 1244.55
0.000150000 1136.59
0.000200000 985.042
0.000275000 840.838
0.000350000 745.928
0.000425000 677.407
0.000500000 624.946
0.000625000 559.515
0.000750000 511.211
0.00100000 443.396
0.00125000 397.106
0.00150000 362.929
0.00200000 314.940
0.00275000 269.255
0.00350000 239.168
0.00425000 217.433
0.00500000 200.783
0.00625000 180.001
0.00750000 164.644
0.0100000 143.053
0.0125000 128.287
0.0150000 117.363
0.0200000 101.984
0.0253000 90.9127
0.0314750 81.6878
0.0376500 74.8042
0.0500000 65.0229
0.0625000 58.1849
0.0750000 53.0932
0.100000 45.8622
0.125000 40.8539
0.150000 37.1078
0.200000 31.7624
0.237500 28.8690
0.275000 26.5633
0.350000 23.0754
0.500000 18.5642
0.750000 14.3136
1.00000 11.8394
1.50000 9.08016
2.00000 7.60130
2.75000 6.36827
3.50000 5.67115
4.25000 5.23012
5.00000 4.92858
6.25000 4.59702
7.50000 4.39119
8.75000 4.29200
9.37500 4.31693
10.0000 4.49794
10.3858 4.85581
10.5786 5.23616
10.7715 5.94637
10.9644 7.46689
11.0608 8.95717
11.1573 11.5980
11.2537 16.9268
11.3019 21.8782
11.3501 30.1936
11.3984 45.6879
11.4225 58.9444
11.4466 79.3679
11.4707 112.930
11.4948 172.779
11.5189 290.434
11.5310 391.674
11.5430 539.030
11.5523 689.182
11.5615 860.768
11.5800 1076.64
11.5985 866.050
11.6170 545.646
11.6334 356.957
11.6498 243.647
11.6661 174.530
11.6825 130.544
11.7153 80.8310
11.7480 55.3022
11.7807 40.6023
11.8135 31.4109
11.8790 21.0167
11.9445 15.5906
12.0100 12.4057
12.1409 9.00185
12.2719 7.30992
12.4029 6.34340
12.6649 5.32881
12.9269 4.82710
13.1888 4.53742
13.7128 4.22370
14.7606 3.95977
15.8085 3.85836
16.8564 3.85613
17.9043 4.00659
18.9521 4.54082
19.4761 5.17738
20.0000 6.43081
20.2859 7.64412
20.5718 9.59314
20.8576 12.9404
21.0006 15.5620
21.1435 19.2653
21.1792 20.4277
21.2150 21.7100
21.2328 22.4013
21.2507 23.1292
21.2686 23.8960
21.2864 24.7041
21.3043 25.5573
21.3222 26.4586
21.3401 27.4114
21.3579 28.4192
21.3937 30.6197
21.4294 33.0984
21.4651 35.9046
21.5009 39.0951
21.5366 42.7440
21.5723 46.9386
21.6438 57.4493
21.7153 71.9506
21.7867 92.6996
21.8582 123.771
21.9297 173.147
21.9654 209.457
22.0011 258.187
22.0369 325.640
22.0726 422.503
22.1083 568.351
22.1441 801.448
22.1798 1205.07
22.1977 1525.33
22.2155 1982.97
22.2334 2662.93
22.2513 3714.77
22.2691 5407.22
22.2870 8157.07
22.3085 13128.6
22.3300 16507.0
22.3515 13272.0
22.3730 8334.81
22.3971 4882.73
22.4212 3070.44
22.4452 2074.71
22.4693 1486.20
22.4934 1113.99
22.5175 865.433
22.5656 565.833
22.6137 399.633
22.6619 298.148
22.7582 185.798
22.8545 128.176
22.9508 94.6696
23.0471 73.4250
23.1434 59.0832
23.3360 41.4530
23.5285 31.3833
23.7211 25.0591
23.9137 20.8078
24.2989 15.5859
24.6841 12.5896
25.0693 10.6916
25.4544 9.40184
26.2248 7.78887
26.9951 6.83697
27.7655 6.21531
28.5359 5.77895
30.0766 5.20531
31.6173 4.83975
34.6987 4.37931
37.7801 4.07275
39.3208 3.94609
40.8616 3.83257
42.4023 3.74145
43.1726 3.71800
43.9430 3.73641
44.7133 3.87269
45.0985 4.05932
45.4837 4.45225
45.6763 4.80976
45.8689 5.38012
46.0615 6.34911
46.2541 8.15176
46.3504 9.67920
46.4466 12.0043
46.5429 15.7706
46.6392 22.4115
46.7355 35.6660
46.7837 47.8085
46.8078 56.4863
46.8318 67.8482
46.8439 74.8902
46.8559 83.1014
46.8679 92.7489
46.8800 104.168
46.8920 117.830
46.9040 134.313
46.9161 154.454
46.9281 179.326
46.9402 210.506
46.9522 250.147
46.9642 301.354
46.9763 368.560
46.9883 458.411
47.0003 580.125
47.0124 746.652
47.0244 972.318
47.0472 1565.07
47.0700 1969.99
47.0814 1861.19
47.0928 1588.38
47.1156 1001.34
47.1339 681.106
47.1522 479.002
47.1704 350.577
47.1887 266.171
47.2253 167.607
47.2618 115.352
47.2984 84.6141
47.3349 65.0957
47.4080 42.6748
47.4812 30.7841
47.5543 23.7265
47.7005 16.1145
47.8467 12.3238
47.9929 10.1965
48.1391 8.93332
48.2854 8.19628
48.5778 7.86179
48.7240 8.34776
48.8702 9.64189
49.0165 12.7461
49.0896 15.8537
49.1627 21.3139
49.2358 31.9950
49.2723 41.5239
49.3089 56.7791
49.3455 83.1904
49.3637 104.116
49.3820 133.952
49.3911 153.783
49.4003 178.134
49.4094 208.342
49.4186 246.140
49.4277 293.965
49.4368 354.799
49.4460 432.254
49.4551 529.832
49.4663 679.786
49.4776 852.036
49.5000 1072.84
49.5112 1014.19
49.5225 866.399
49.5449 547.728
49.5591 403.957
49.5734 303.790
49.6018 185.234
49.6302 123.600
49.6587 88.4682
49.6871 66.7827
49.7156 52.5395
49.7725 35.6296
49.8293 26.3644
49.8862 20.7385
50.0000 14.5165
50.1173 11.2319
50.2347 9.32507
50.3520 8.10808
50.4694 7.27609
50.7040 6.22730
50.9387 5.60093
51.4081 4.89156
51.8774 4.49623
52.8162 4.05135
53.7549 3.78644
55.6323 3.43397
57.5098 3.15741
59.3872 2.90617
60.3259 2.80487
61.2646 2.77335
61.7340 2.82813
62.2034 2.99371
62.6727 3.39446
63.1421 4.34894
63.3768 5.28129
63.4941 5.95616
63.6114 6.83913
63.6701 7.38318
63.6994 7.68654
63.7288 8.01330
63.7581 8.36598
63.7874 8.74688
63.8168 9.15916
63.8461 9.60575
63.8755 10.0906
63.9048 10.6176
63.9341 11.1918
63.9635 11.8180
64.0221 13.2533
64.0808 14.9843
64.1395 17.0925
64.1981 19.6887
64.2568 22.9268
64.3155 27.0246
64.3741 32.2989
64.4328 39.2236
64.4915 48.5323
64.5502 61.4079
64.6088 79.8533
64.6675 107.472
64.7262 151.265
64.7848 226.267
64.8142 285.337
64.8435 369.503
64.8728 494.844
64.9022 691.936
64.9315 1024.96
64.9608 1642.12
64.9755 2159.80
64.9902 2928.32
65.0048 4101.28
65.0195 5892.85
65.0398 9516.98
65.0600 12015.8
65.0803 9709.84
65.1005 6126.72
65.1219 3706.12
