Gd-158(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 110.658
1.25000E-05 98.9759
1.50000E-05 90.3522
2.00000E-05 78.2473
2.75000E-05 66.7296
3.50000E-05 59.1495
4.25000E-05 53.6773
5.00000E-05 49.4880
6.25000E-05 44.2634
7.50000E-05 40.4068
0.000100000 34.9934
0.000125000 31.2991
0.000150000 28.5720
0.000200000 24.7441
0.000275000 21.1019
0.000350000 18.7049
0.000425000 16.9745
0.000500000 15.6497
0.000625000 13.9976
0.000750000 12.7781
0.00100000 11.0662
0.00125000 9.89803
0.00150000 9.03571
0.00200000 7.82529
0.00275000 6.67361
0.00350000 5.91569
0.00425000 5.36854
0.00500000 4.94969
0.00625000 4.42733
0.00750000 4.04177
0.0100000 3.50059
0.0125000 3.13130
0.0150000 2.85874
0.0200000 2.47619
0.0253000 2.20202
0.0314750 1.97468
0.0376500 1.80590
0.0500000 1.56778
0.0625000 1.40291
0.0750000 1.28126
0.100000 1.11062
0.125000 0.994276
0.150000 0.908483
0.200000 0.788228
0.275000 0.674092
0.350000 0.599217
0.500000 0.504244
0.750000 0.415814
1.00000 0.363826
1.50000 0.303579
2.00000 0.269097
2.75000 0.238377
3.50000 0.220355
5.00000 0.203135
7.50000 0.203998
10.0000 0.233576
12.5000 0.305321
13.7500 0.370699
15.0000 0.473946
16.2500 0.648173
17.5000 0.974380
18.1250 1.25612
18.7500 1.69722
19.3750 2.44615
20.0000 3.87672
20.2811 4.98779
20.5622 6.67493
20.8432 9.42069
21.1243 14.3439
21.2648 18.4244
21.4054 24.5578
21.5459 34.3956
21.6865 51.6532
21.7216 58.0193
21.7567 65.6402
21.7743 70.0290
21.7919 74.8737
21.8094 80.2396
21.8270 86.2005
21.8446 92.8552
21.8621 100.311
21.8797 108.701
21.8973 118.182
21.9148 128.963
21.9324 141.284
21.9675 171.843
22.0027 213.436
22.0378 271.979
22.0729 357.963
22.1081 491.024
22.1432 711.458
22.1608 879.111
22.1783 1109.55
22.1959 1435.53
22.2135 1909.14
22.2310 2613.17
22.2486 3656.97
22.2743 5847.77
22.3000 7305.48
22.3257 5841.00
22.3514 3648.52
22.3784 2191.89
22.4054 1400.07
22.4324 953.882
22.4594 685.568
22.4864 514.066
22.5134 398.665
22.5674 258.767
22.6214 180.898
22.6754 133.335
22.7834 80.8213
22.8914 54.0772
22.9994 38.6644
23.1074 28.9895
23.2154 22.5255
23.4314 14.7012
23.6474 10.3312
23.8634 7.64742
24.0794 5.88352
24.5115 3.78448
24.9435 2.63248
25.3755 1.93398
25.8075 1.47936
26.6715 0.944147
27.5355 0.653847
28.3995 0.479417
29.2636 0.366716
30.9916 0.235123
32.7196 0.164378
34.4477 0.122135
36.1757 0.0949535
39.6318 0.0633015
43.0879 0.0462731
50.0000 0.0294281
56.2500 0.0221649
62.5000 0.0180126
75.0000 0.0139039
87.5000 0.0136758
90.6250 0.0151630
93.7500 0.0195221
95.3125 0.0249996
96.8750 0.0377810
97.6563 0.0516482
98.4375 0.0794596
98.8281 0.105266
99.2188 0.148737
99.6094 0.230630
99.8047 0.301906
100.000 0.414312
100.132 0.531603
100.264 0.708482
100.396 0.993334
100.528 1.49573
100.594 1.90492
100.660 2.50917
100.726 3.45472
100.792 5.05442
100.858 8.07680
100.891 10.7049
100.924 14.8264
100.957 21.7791
100.990 34.6880
101.007 45.5505
101.023 61.7577
101.040 86.6169
101.056 124.804
101.067 159.310
101.078 198.517
101.100 247.179
101.122 198.482
101.144 124.756
101.168 73.6179
101.192 46.4773
101.217 31.3697
101.241 22.4298
101.265 16.7399
101.289 12.9512
101.337 8.38251
101.385 5.84827
101.434 4.30665
101.530 2.61187
101.627 1.75027
101.723 1.25490
101.820 0.943831
101.916 0.736270
102.110 0.484848
102.303 0.344310
102.496 0.257909
102.689 0.201064
103.075 0.133228
103.461 0.0958763
103.847 0.0731371
104.233 0.0582826
105.006 0.0406903
105.778 0.0310653
107.323 0.0214234
108.867 0.0169165
110.412 0.0144426
113.501 0.0119396
119.680 0.0100816
125.858 0.00941009
150.572 0.00923397
175.286 0.0110462
187.643 0.0131818
200.000 0.0173361
210.655 0.0251073
215.982 0.0326928
221.310 0.0463649
223.973 0.0578253
226.637 0.0753098
229.301 0.104024
231.964 0.156347
233.296 0.200494
234.628 0.268078
235.960 0.379328
237.292 0.582117
237.958 0.753021
238.624 1.01406
239.290 1.44206
239.955 2.21724
240.288 2.86596
240.621 3.84949
240.954 5.44630
241.121 6.64726
241.162 7.00955
241.204 7.40235
241.246 7.82917
241.287 8.29406
241.329 8.80294
241.371 9.35879
241.412 9.96904
241.454 10.6410
241.495 11.3853
241.537 12.2083
241.620 14.1466
241.704 16.5890
241.787 19.7181
241.870 23.8220
241.953 29.3500
242.036 37.0534
242.120 48.2029
242.203 65.2322
242.286 92.9842
242.328 113.959
242.369 142.668
242.411 183.412
242.453 243.674
242.494 337.342
242.536 491.702
242.577 762.120
242.619 1250.71
242.660 1994.42
242.700 2490.71
242.741 1990.71
242.782 1240.01
242.816 828.331
242.849 573.190
242.883 413.463
242.916 309.927
242.983 190.352
243.051 127.789
243.118 91.3443
243.185 68.4422
243.319 42.4202
243.453 28.7955
243.588 20.8090
243.722 15.7285
243.856 12.3043
244.125 8.11585
244.393 5.75129
244.662 4.28763
244.930 3.31943
245.467 2.15890
246.004 1.51658
246.541 1.12441
247.078 0.867649
248.152 0.563074
249.226 0.396403
250.300 0.295521
251.374 0.229989
253.522 0.153177
255.670 0.112081
257.817 0.0881739
259.965 0.0738260
264.261 0.0622534
266.409 0.0639242
268.557 0.0731811
270.705 0.0989149
271.779 0.126506
272.853 0.178162
273.390 0.222233
273.927 0.289996
274.464 0.401728
275.001 0.605173
275.269 0.776177
275.538 1.03652
275.806 1.46118
276.075 2.22407
276.209 2.85727
276.343 3.80865
276.477 5.33572
276.612 8.01076
276.746 13.3589
276.813 18.2927
276.847 21.8537
276.880 26.5408
276.897 29.4755
276.914 32.9200
276.931 36.9981
276.947 41.8411
276.964 47.7237
276.981 54.9151
276.998 63.8247
277.014 74.9547
277.031 89.2653
277.048 107.921
277.065 132.767
277.081 166.421
277.098 213.739
277.115 281.616
277.132 380.816
277.149 524.287
277.174 839.582
277.200 1049.23
277.213 987.600
277.226 839.186
