Ta-181(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1061.21
1.25000E-05 949.825
1.50000E-05 867.605
2.00000E-05 752.194
2.75000E-05 642.381
3.50000E-05 570.111
4.25000E-05 517.938
5.00000E-05 477.997
6.25000E-05 428.186
7.50000E-05 391.416
0.000100000 339.804
0.000125000 304.583
0.000150000 278.583
0.000200000 242.089
0.000275000 207.365
0.000350000 184.513
0.000425000 168.016
0.000500000 155.387
0.000625000 139.637
0.000750000 128.011
0.00100000 111.693
0.00125000 100.558
0.00150000 92.3391
0.00200000 80.8032
0.00275000 69.8286
0.00350000 62.6073
0.00425000 57.3951
0.00500000 53.4057
0.00625000 48.4315
0.00750000 44.7609
0.0100000 39.6108
0.0125000 36.0983
0.0150000 33.5071
0.0200000 29.8730
0.0253000 27.2713
0.0314750 25.1162
0.0376500 23.5183
0.0500000 21.2679
0.0625000 19.7134
0.0750000 18.5692
0.100000 16.9699
0.125000 15.8849
0.150000 15.0888
0.200000 13.9816
0.275000 12.9457
0.350000 12.2798
0.500000 11.4663
0.750000 10.7830
0.840000 10.6418
1.00000 10.4753
1.50000 10.4443
2.00000 11.1023
2.56290 13.3063
2.84435 15.7387
3.12580 20.3535
3.39435 29.7379
3.52863 38.7621
3.66290 54.4419
3.79718 85.1870
3.86431 112.963
3.93145 158.343
3.99859 239.856
4.03216 307.337
4.06573 408.426
4.09929 569.446
4.13286 848.060
4.14965 1070.05
4.16643 1390.08
4.18322 1873.36
4.20000 2646.41
4.21290 3594.51
4.22580 5100.08
4.23870 7605.94
4.25160 11851.4
4.26580 18967.5
4.28000 23724.9
4.29425 18995.4
4.30850 11881.1
4.31931 8196.28
4.33011 5820.85
4.34092 4283.29
4.35172 3258.07
4.37333 2045.21
4.39494 1394.50
4.41655 1009.48
4.43816 764.209
4.48138 482.207
4.52459 332.852
4.56781 244.460
4.61103 187.884
4.65425 149.502
4.74069 102.242
4.82713 75.3312
4.91356 58.5451
5.00000 47.3618
5.15625 34.7965
5.31250 27.4113
5.46875 22.6918
5.62500 19.4854
5.93750 15.5175
6.25000 13.2377
6.56250 11.8058
6.87500 10.8541
7.50000 9.76561
8.12500 9.40218
8.43750 9.51850
8.75000 9.97462
9.06250 11.1053
9.21875 12.1792
9.37500 13.9171
9.53125 16.8943
9.68750 22.4670
9.76563 27.2118
9.84375 34.4706
9.92188 46.3126
10.0000 67.4350
10.0776 109.959
10.1163 149.568
10.1551 216.186
10.1745 267.859
10.1939 340.565
10.2133 447.120
10.2327 611.336
10.2520 881.564
10.2714 1363.98
10.2811 1754.11
10.2908 2313.62
10.3005 3131.77
10.3102 4324.28
10.3251 6941.05
10.3400 8709.02
10.3549 7002.01
10.3698 4401.11
10.3837 2810.16
10.3976 1880.92
10.4115 1326.71
10.4253 979.355
10.4531 592.675
10.4809 396.812
10.5086 284.931
10.5364 215.330
10.5919 136.953
10.6474 96.1578
10.7030 72.2371
10.7585 56.9975
10.8140 46.6797
10.9251 33.9670
11.0361 26.6994
11.1472 22.1363
11.2582 19.0719
11.4803 15.3163
11.7024 13.1733
11.9246 11.8316
12.1467 10.9446
12.5909 9.97785
12.8130 9.82347
13.0351 9.97556
13.2572 10.7685
13.3682 11.7283
13.4793 13.5937
13.5904 17.6591
13.6459 21.6526
13.7014 28.6941
13.7569 42.7218
13.7847 55.5390
13.8125 76.6465
13.8402 114.796
13.8541 146.374
13.8680 193.419
13.8819 267.193
13.8957 390.135
13.9027 483.078
13.9096 608.741
13.9166 779.993
13.9235 1011.48
13.9301 1296.15
13.9368 1622.20
13.9500 2036.65
13.9633 1639.99
13.9765 1033.73
13.9883 676.138
14.0000 461.880
14.0118 331.304
14.0236 248.261
14.0471 154.381
14.0706 106.113
14.0942 78.2871
14.1177 60.8525
14.1647 41.0834
14.2118 30.7181
14.2589 24.6027
14.3059 20.6847
14.3530 18.0175
14.4471 14.7040
14.5412 12.7851
14.7294 10.7270
14.9177 9.67292
15.1059 9.04029
15.4824 8.31323
15.8589 7.89550
16.2353 7.61333
16.9883 7.23722
17.7412 6.99433
18.4941 6.87641
18.8706 6.92001
19.2471 7.18093
19.4353 7.53403
19.6235 8.29960
19.7177 9.02864
19.8118 10.2574
19.9059 12.5283
19.9530 14.4451
20.0000 17.3567
20.0674 25.0423
20.1011 32.1151
20.1348 43.8419
20.1684 65.2469
20.1853 83.1531
20.2021 110.072
20.2190 152.859
20.2358 225.403
20.2442 281.169
20.2527 357.672
20.2611 463.687
20.2695 609.535
20.2771 781.051
20.2848 977.691
20.3000 1228.46
20.3076 1160.37
20.3153 990.705
20.3305 625.812
20.3397 468.656
20.3488 357.102
20.3671 221.847
20.3854 149.836
20.4037 108.134
20.4221 82.1414
20.4404 64.9491
20.4770 44.4283
20.5136 33.1397
20.5502 26.2819
20.6234 18.7143
20.6967 14.8404
20.7699 12.5871
20.9164 10.1916
21.0628 9.00589
21.2093 8.33644
21.5022 7.68108
21.7951 7.48448
22.0881 7.68126
22.2345 8.06502
22.3810 9.04603
22.4542 10.2271
22.4908 11.2910
22.5274 13.0490
22.5641 16.2998
22.5824 19.0838
22.6007 23.3953
22.6190 30.5679
22.6373 43.6292
22.6556 70.2336
22.6648 93.9697
22.6739 129.607
22.6870 203.068
22.7000 252.627
22.7131 204.652
22.7261 131.669
22.7350 96.6979
22.7440 73.1086
22.7619 46.3223
22.7797 33.0069
22.7976 25.6664
22.8333 18.4655
22.8691 15.3022
22.9406 12.9542
23.0120 12.5128
23.1550 13.8652
23.2980 17.8312
23.3694 21.4265
23.4409 27.0139
23.5124 36.1904
23.5839 52.5652
23.6196 65.9477
23.6554 85.6859
23.6911 116.408
23.7268 167.770
23.7626 262.588
23.7805 342.806
23.7983 464.868
23.8162 661.836
23.8341 1003.56
23.8519 1647.40
23.8609 2179.83
23.8698 2929.24
23.8849 4714.20
23.9000 5930.53
23.9151 4779.00
23.9302 3010.52
23.9420 2064.69
23.9538 1461.29
23.9656 1073.96
23.9774 817.284
24.0010 515.382
24.0246 354.090
24.0482 258.763
24.0718 198.049
24.1190 128.097
24.1662 90.8705
24.2134 68.7158
24.2606 54.4406
24.3078 44.6920
24.4023 32.5647
24.4967 25.5561
24.5911 21.1174
24.6855 18.1142
24.8743 14.3970
25.0631 12.2432
25.2519 10.8654
25.4408 9.91892
25.8184 8.71368
26.1960 7.98004
26.9513 7.11782
27.7066 6.60450
28.4619 6.25251
29.2171 6.07895
29.4060 6.14580
29.5948 6.46031
29.6892 6.93914
29.7364 7.41295
29.7836 8.24482
29.8308 9.87829
29.8544 11.3425
29.8780 13.7009
29.9016 17.8187
29.9252 25.8463
29.9370 32.9355
29.9488 44.0188
29.9606 62.0716
29.9724 91.8647
29.9862 144.587
30.0000 180.595
30.0138 146.637
30.0276 94.4216
30.0376 68.2598
30.0475 50.9473
30.0575 39.4848
30.0674 31.7005
30.0873 22.3103
30.1072 17.1674
30.1271 14.0781
30.1470 12.0857
30.1868 9.76227
30.2266 8.50872
30.2664 7.75403
30.3460 6.92231
30.5052 6.23401
30.6643 5.94490
31.3011 5.55823
31.9378 5.47545
32.5745 5.62731
33.2112 6.30670
33.5296 7.13048
33.8480 8.73569
34.1663 12.2235
34.3255 15.6382
34.4847 21.6715
34.5643 26.5900
34.6439 33.8705
34.7235 45.3321
34.7633 53.7251
34.8030 64.9808
34.8428 80.5898
34.8826 103.130
34.9224 137.441
34.9622 193.341
35.0020 293.348
35.0219 375.571
35.0418 497.361
35.0617 687.329
35.0816 1001.78
35.1015 1556.25
35.1214 2566.90
35.1407 4117.49
35.1600 5167.38
35.1793 4154.81
35.1986 2615.27
35.2193 1574.55
35.2399 1013.98
35.2606 700.738
35.2813 513.797
35.3020 395.327
35.3226 316.509
35.3640 223.437
35.4053 175.177
35.4466 150.084
35.5293 139.393
35.5706 149.983
35.6120 173.407
35.6533 215.889
35.6947 291.389
35.7360 432.960
35.7567 551.801
35.7773 729.781
35.7980 1009.60
35.8187 1475.99
35.8393 2303.33
35.8600 3819.90
35.8800 6153.40
35.9000 7755.50
35.9200 6264.17
35.9400 3957.63
35.9523 2945.71
35.9645 2231.44
35.9890 1371.82
36.0135 917.323
36.0380 655.176
36.0624 491.959
36.0869 384.022
36.1359 255.000
36.1849 183.753
36.2339 140.236
36.3318 91.7916
36.4298 66.6629
36.5277 51.8727
36.7236 35.9940
36.9195 28.2188
37.1154 24.1453
37.5072 21.9723
37.7031 23.4008
37.8990 27.1165
38.0949 34.6743
38.2908 49.9377
38.3888 63.2776
38.4867 83.8429
38.5847 117.374
38.6826 176.529
38.7316 224.250
38.7806 293.642
38.8295 399.534
38.8785 571.389
38.9275 874.511
38.9520 1118.98
38.9765 1473.37
39.0009 2009.15
39.0254 2857.09
39.0499 4259.91
39.0744 6617.42
39.1022 10717.0
39.1300 13560.1
39.1578 10981.7
39.1856 6950.80
39.2050 4974.26
39.2244 3645.05
39.2438 2752.40
39.2632 2139.12
39.3021 1389.90
39.3409 974.116
39.3797 721.981
39.4185 558.220
39.4962 365.820
39.5738 261.299
39.6514 198.124
39.7291 156.910
39.8067 128.461
39.9620 92.6064
40.1172 71.5524
