W-183(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 509.964
1.25000E-05 456.377
1.50000E-05 416.821
2.00000E-05 361.297
2.75000E-05 308.466
3.50000E-05 273.697
4.25000E-05 248.597
5.00000E-05 229.381
6.25000E-05 205.416
7.50000E-05 187.727
0.000100000 162.896
0.000125000 145.950
0.000150000 133.442
0.000200000 115.884
0.000275000 99.1772
0.000350000 88.1825
0.000425000 80.2452
0.000500000 74.1689
0.000625000 66.5909
0.000750000 60.9972
0.00100000 53.1454
0.00125000 47.7872
0.00150000 43.8321
0.00200000 38.2804
0.00275000 32.9983
0.00350000 29.5222
0.00425000 27.0129
0.00500000 25.0920
0.00625000 22.6965
0.00750000 20.9284
0.0100000 18.4469
0.0125000 16.7537
0.0150000 15.5041
0.0200000 13.7505
0.0253000 12.4938
0.0314750 11.4520
0.0376500 10.6787
0.0500000 9.58783
0.0625000 8.83271
0.0750000 8.27570
0.100000 7.49459
0.125000 6.96221
0.150000 6.56970
0.200000 6.01964
0.275000 5.49764
0.350000 5.15516
0.500000 4.72051
0.750000 4.31533
1.00000 4.07706
1.50000 3.80400
2.00000 3.65537
2.75000 3.55043
3.50000 3.55211
4.25000 3.68715
5.00000 4.08146
5.64943 4.95959
5.97414 5.87455
6.29885 7.56933
6.46121 9.00373
6.62356 11.1923
6.78592 14.7607
6.94828 21.1463
7.02945 26.4134
7.11063 34.2800
7.19181 46.7709
7.27299 68.3310
7.35417 110.312
7.39476 147.983
7.43534 209.037
7.45564 254.756
7.47593 317.073
7.49623 404.815
7.51652 533.210
7.53682 729.951
7.55711 1047.76
7.57741 1589.34
7.59770 2534.35
7.61885 4054.71
7.64000 5070.10
7.66115 4060.80
7.68230 2541.98
7.70041 1675.06
7.71852 1147.06
7.73662 821.445
7.75473 612.303
7.79094 374.104
7.82716 250.894
7.86337 179.710
7.89959 135.107
7.97201 84.6392
8.04444 58.3202
8.11687 42.9033
8.18930 33.1083
8.26173 26.5007
8.40658 18.4139
8.55144 13.8377
8.69629 10.9958
8.84115 9.10821
9.13086 6.82951
9.42058 5.55242
9.71029 4.76037
10.0000 4.23178
10.6250 3.54670
11.2500 3.16164
12.5000 2.74259
15.0000 2.36148
17.5000 2.21420
20.0000 2.37848
21.7369 3.05934
22.6053 3.91845
23.0395 4.63446
23.4738 5.68412
23.9080 7.27878
24.3422 9.82144
24.7764 14.1564
24.9935 17.5351
25.2106 22.2944
25.4277 29.2671
25.6449 40.0125
25.8620 57.7262
26.0791 89.8117
26.1876 116.530
26.2962 156.729
26.4047 221.097
26.5133 333.283
26.5676 423.396
26.6219 554.494
26.6761 755.296
26.7304 1084.29
26.7847 1675.48
26.8118 2162.75
26.8390 2885.62
26.8661 4014.29
26.8932 5884.20
26.9204 9183.73
26.9475 15202.4
26.9738 24407.7
27.0000 30645.2
27.0263 24625.4
27.0525 15444.5
27.0789 9508.29
27.1053 6187.87
27.1317 4275.17
27.1581 3106.34
27.1845 2350.23
27.2109 1836.70
27.2636 1207.79
27.3164 853.787
27.3692 635.742
27.4748 392.636
27.5803 267.371
27.6859 194.447
27.7915 148.241
27.8970 117.103
28.1082 78.9615
28.3193 57.3089
28.5304 43.8004
28.7415 34.7818
29.1638 23.8093
29.5860 17.5941
30.0083 13.7025
30.4306 11.0850
31.2751 7.85052
32.1196 5.96639
33.8086 3.90832
35.4976 2.87578
37.1867 2.48059
38.0312 2.60503
38.4534 2.82143
38.6646 2.99483
38.8757 3.23344
39.0868 3.56729
39.2979 4.05066
39.5091 4.79184
39.7202 6.03730
39.9313 8.46463
40.0369 10.7162
40.1425 14.5826
40.2480 22.2066
40.3008 29.2236
40.3536 40.9959
40.4064 63.0720
40.4328 82.1773
40.4591 112.047
40.4855 162.292
40.5119 255.353
40.5251 333.595
40.5383 450.193
40.5515 629.222
40.5647 904.469
40.5824 1440.46
40.6000 1794.54
40.6177 1432.29
40.6353 893.791
40.6461 661.122
40.6568 497.646
40.6676 383.263
40.6783 302.038
40.6998 199.361
40.7213 140.630
40.7428 104.379
40.7643 80.6350
40.7858 64.3070
40.8073 52.6351
40.8288 44.0197
40.8503 37.4975
40.8718 32.4474
40.8933 28.4636
40.9041 26.7803
40.9149 25.2691
40.9256 23.9067
40.9364 22.6746
40.9471 21.5570
40.9579 20.5408
40.9794 18.7676
41.0224 16.0231
41.0654 14.0366
41.1514 11.4533
41.3234 9.05406
41.6674 8.13455
42.0115 8.99468
42.3555 10.8309
42.6996 13.6495
43.0436 17.7658
43.3877 23.8097
43.7317 32.9314
44.0757 47.3130
44.4198 71.4489
44.7638 115.748
44.9359 152.872
45.1079 208.855
45.2799 298.476
45.4519 454.084
45.6239 757.665
45.7100 1029.35
45.7960 1466.98
45.8820 2231.99
45.9680 3727.13
46.0110 5051.32
46.0540 7126.78
46.0970 10520.1
46.1400 16143.1
46.1900 26071.6
46.2400 32903.0
46.2900 26585.1
46.3400 16789.8
46.3825 11183.5
46.4250 7738.88
46.4675 5599.28
46.5100 4216.98
46.5950 2633.08
46.6800 1810.02
46.7650 1335.53
46.8500 1042.20
47.0200 731.399
47.1900 622.944
47.2750 630.220
47.3600 692.396
47.4450 846.578
47.5300 1190.99
47.5725 1509.10
47.6150 2014.73
47.6575 2845.78
47.7000 4222.81
47.7500 6682.63
47.8000 8371.33
47.8500 6784.49
47.9000 4332.34
47.9328 3191.33
47.9656 2405.11
48.0313 1486.19
48.0969 1012.88
48.1625 743.140
48.2281 575.679
48.2938 464.494
48.4250 329.658
48.5563 252.951
48.6875 204.300
48.9500 146.821
49.2125 114.257
49.4750 93.3632
50.0000 68.1667
50.4781 54.6147
50.9563 45.5256
51.9125 34.1793
52.8688 27.4438
53.8250 23.0208
55.7375 17.6122
57.6501 14.4492
59.5626 12.3721
61.4751 10.8922
62.4313 10.3018
63.3876 9.82031
63.8657 9.67758
64.1048 9.68127
64.3439 9.81493
64.5829 10.2880
64.7025 10.8463
64.8220 11.9345
64.9415 14.3114
65.0013 16.6359
65.0610 20.6883
65.1208 28.5655
65.1507 35.5457
65.1806 46.6386
65.2105 65.6112
65.2403 101.323
65.2553 131.693
65.2702 177.387
65.2852 248.160
65.3001 358.221
65.3101 459.227
65.3201 575.651
65.3400 727.385
65.3600 592.373
65.3799 379.149
65.3968 256.609
65.4137 180.940
65.4306 133.682
65.4475 103.033
65.4813 67.6745
65.5151 49.0964
65.5490 38.2102
65.5828 31.2972
65.6504 23.3329
65.7180 19.0717
65.7856 16.5112
65.9208 13.6856
66.0561 12.2131
66.1913 11.3292
66.4618 10.3284
66.7323 9.77139
67.0027 9.40619
67.5437 8.92915
68.6255 8.34879
69.7074 7.94228
74.0349 6.81223
78.3624 5.97252
82.6900 5.23568
87.0175 4.52292
89.1812 4.17186
91.3450 3.85781
93.5087 3.71399
94.5906 3.84530
95.6725 4.34437
96.7544 5.74891
97.2953 7.21950
97.8363 9.77374
98.1067 11.7479
98.3772 14.4714
98.6477 18.3206
98.9181 23.9295
99.1886 32.4271
99.4591 45.9744
99.7295 69.1082
99.8648 87.1682
100.000 112.634
100.121 145.401
100.243 193.400
100.364 267.271
100.486 388.382
100.607 605.259
100.668 782.613
100.728 1043.17
100.789 1443.53
100.850 2091.06
100.910 3193.49
100.971 5108.29
101.036 8274.83
101.100 10482.3
101.165 8499.55
101.230 5379.30
101.271 3964.82
101.313 2978.25
101.395 1810.75
101.478 1201.92
101.560 854.264
101.643 638.850
101.725 497.069
101.890 328.012
102.055 234.816
102.221 177.937
102.551 114.629
102.881 81.6807
103.211 62.2393
103.376 55.5823
103.541 51.2056
103.624 50.9652
103.706 55.3622
103.748 63.0707
103.768 70.5334
103.789 82.9206
103.809 104.909
103.830 146.992
103.840 183.034
103.851 237.293
103.861 321.079
103.871 450.784
103.878 576.105
103.886 723.205
103.900 927.577
103.915 776.825
103.929 518.806
103.946 326.412
103.962 224.837
103.979 168.246
103.995 134.209
104.029 97.2174
104.062 78.5848
104.095 67.6609
104.128 60.6112
104.195 52.0466
104.328 43.5063
104.461 38.9031
104.727 33.3870
104.993 29.7956
105.524 24.9637
106.056 21.7132
107.120 17.5271
108.183 14.9379
109.247 13.1800
110.310 11.9088
112.437 10.1878
114.564 9.06520
116.691 8.26129
120.945 7.14573
125.199 6.35454
129.453 5.71225
131.580 5.42217
133.707 5.14966
134.771 5.02424
135.834 4.92390
136.366 4.91250
136.632 4.94150
136.898 5.03402
137.164 5.29916
137.297 5.60027
137.429 6.18517
137.562 7.47827
137.629 8.76244
137.695 11.0342
137.762 15.5572
137.795 19.6486
137.828 26.2892
137.862 38.0239
137.895 61.0465
137.911 81.5034
137.920 95.6787
137.928 113.630
137.936 136.598
137.945 166.209
137.953 204.467
137.961 253.456
137.971 326.473
137.981 410.050
138.000 519.650
138.010 493.146
138.020 423.416
138.039 271.208
138.051 203.806
138.063 155.998
138.086 98.3942
138.110 67.7009
138.134 49.8816
138.158 38.7358
138.181 31.3330
138.229 22.4384
138.276 17.5005
138.323 14.4713
138.418 11.0856
138.513 9.32122
138.608 8.28108
138.798 7.15776
138.987 6.59524
139.177 6.27956
139.556 5.98461
140.315 5.97381
141.073 6.48701
141.832 7.89509
142.211 9.36454
142.590 12.0411
142.969 17.5962
143.159 22.8954
143.349 32.0594
143.538 49.9680
143.633 66.0914
143.728 92.3422
143.823 139.144
143.870 177.468
143.917 234.035
143.965 321.750
144.012 465.896
144.060 717.699
144.107 1172.10
144.154 1874.94
144.200 2359.37
144.247 1901.59
144.293 1190.90
144.332 793.270
144.370 548.127
144.409 395.160
144.447 296.078
144.524 182.249
144.601 123.076
144.678 88.7276
144.755 67.1954
144.909 42.8009
145.063 30.0703
145.217 22.6258
145.526 14.7230
145.834 10.8486
146.142 8.67864
146.758 6.50230
147.374 5.57036
147.991 5.22583
149.223 5.75100
149.839 6.76586
150.456 8.67166
151.072 12.2212
151.688 19.1893
151.996 25.2226
152.304 34.4536
152.612 49.3384
152.921 75.1053
153.229 124.435
153.383 167.330
153.537 233.980
153.691 344.312
153.845 541.476
153.999 928.036
154.076 1258.42
154.153 1736.63
154.277 2839.49
154.400 3619.82
154.524 2958.97
154.647 1895.95
154.789 1123.83
154.930 717.774
155.072 494.420
155.214 362.115
155.356 278.484
155.497 222.923
155.781 158.268
156.064 129.590
156.206 126.477
156.347 133.932
156.489 161.252
156.560 190.041
156.631 239.160
156.702 328.031
156.772 503.797
156.808 659.223
156.843 901.038
156.879 1290.98
156.914 1925.43
156.957 3088.36
157.000 3905.11
157.044 3182.13
157.087 2034.63
157.120 1438.14
157.152 1049.50
157.185 794.578
157.217 622.504
157.282 415.669
157.347 302.244
157.412 233.654
157.477 188.959
157.607 135.793
157.737 106.104
157.867 87.5266
158.127 65.7828
158.387 53.4850
158.647 45.5345
159.167 35.7303
159.687 29.8149
160.207 25.8062
161.248 20.6589
162.288 17.4605
163.328 15.2592
165.408 12.3686
167.488 10.4651
168.528 9.70600
169.569 9.04979
170.609 8.58145
171.129 8.54346
171.649 8.89065
171.909 9.39059
172.169 10.3483
172.429 12.2027
172.689 16.0084
172.819 19.4195
172.949 24.7820
173.079 33.7128
173.209 49.8173
173.274 63.0164
173.339 82.4389
173.404 112.438
173.469 161.792
173.534 250.166
173.567 322.343
173.599 428.134
173.632 590.027
173.664 850.170
173.697 1288.71
173.729 2042.22
173.765 3316.18
173.800 4216.46
173.836 3434.44
173.872 2183.61
173.908 1378.21
173.943 918.777
173.979 649.652
174.014 482.809
174.050 373.506
174.085 298.416
174.156 205.090
174.227 151.554
174.298 117.984
174.440 79.6772
174.582 59.3131
174.724 47.1004
174.866 39.1400
175.008 33.6253
175.292 26.6093
175.576 22.4144
175.860 19.6629
176.144 17.7345
176.712 15.2229
177.280 13.6615
177.848 12.5909
178.416 11.8044
179.552 10.7046
180.688 9.94586
182.959 8.88797
185.231 8.07784
186.367 7.69475
187.503 7.29977
188.639 6.88739
189.207 6.69500
189.775 6.57553
190.059 6.59690
190.343 6.75050
190.627 7.18916
190.911 8.30158
191.053 9.40986
191.195 11.2693
191.337 14.5588
191.479 20.8628
191.550 26.2741
191.621 34.5369
191.692 47.8631
191.763 71.0015
191.798 89.3510
191.834 115.581
191.869 154.651
191.905 215.930
191.940 318.585
191.976 505.666
191.993 659.944
192.011 883.211
192.029 1214.51
192.047 1705.49
192.073 2788.54
192.100 3558.86
192.127 2908.97
192.154 1861.35
192.184 1099.79
192.215 700.295
192.246 480.824
192.276 351.029
192.307 268.283
192.338 212.856
192.399 145.292
192.460 107.286
192.521 83.7366
192.644 57.1179
192.767 43.0626
192.889 34.6543
193.012 29.1760
193.134 25.3786
193.380 20.5396
193.625 17.6391
193.870 15.7326
194.115 14.3943
194.606 12.6517
195.096 11.5711
195.586 10.8348
196.077 10.2983
197.058 9.56008
198.038 9.06427
200.000 8.40167
200.743 8.20672
201.485 8.02614
201.857 7.94512
202.043 7.91423
202.228 7.90404
202.414 7.95645
202.507 8.04765
202.599 8.25296
202.692 8.75043
202.739 9.26549
202.785 10.1981
202.832 12.0792
202.855 13.7919
202.878 16.5717
202.901 21.4396
202.924 30.8821
202.936 39.1282
202.948 51.8330
202.959 72.0873
202.971 104.649
202.985 167.146
203.000 211.969
203.015 175.401
203.029 115.216
203.046 71.8956
203.063 48.9762
203.079 36.1582
203.096 28.5389
203.112 23.6371
203.129 20.3458
203.162 16.3021
203.195 14.0101
203.228 12.5802
203.294 10.9507
203.360 10.0772
203.426 9.54812
203.559 8.95089
203.691 8.62759
203.823 8.42553
204.088 8.18277
204.353 8.03621
204.617 7.93303
205.147 7.78661
206.205 7.58815
207.264 7.43730
211.498 6.97519
213.615 6.77088
215.733 6.55679
216.791 6.43457
217.321 6.36582
217.850 6.29036
218.379 6.21127
218.644 6.17771
218.908 6.16629
219.041 6.18312
219.173 6.23489
219.305 6.35948
219.438 6.65108
219.504 6.93063
219.570 7.38843
219.636 8.17907
219.702 9.65152
219.769 12.7426
219.802 15.6611
219.835 20.5493
219.868 29.5604
219.884 37.1256
219.901 48.3861
219.918 66.2045
219.934 95.6965
219.951 147.754
219.959 188.484
219.967 242.561
219.984 394.560
220.000 504.367
220.017 414.985
220.033 268.208
220.047 184.846
220.060 132.320
220.074 98.9865
220.087 77.1937
220.114 51.5303
220.142 37.8007
220.169 29.6424
220.196 24.4019
220.250 18.2826
220.304 14.9577
220.358 12.9351
220.413 11.6035
220.467 10.6741
220.575 9.48200
220.684 8.76494
220.792 8.29249
220.900 7.96038
221.117 7.52700
221.334 7.25753
221.768 6.93731
222.201 6.74772
222.635 6.61671
223.502 6.43360
224.370 6.29630
225.237 6.17606
225.671 6.11938
225.887 6.09354
226.104 6.07363
226.321 6.07317
226.430 6.09417
226.538 6.15374
226.646 6.31483
226.701 6.49058
226.755 6.81946
226.809 7.50686
226.836 8.15195
226.863 9.22901
226.890 11.1894
226.917 15.2182
226.931 18.9686
226.944 25.0565
226.958 35.6395
226.972 54.2205
226.986 85.3438
227.000 107.642
227.014 89.3093
227.029 59.4644
227.044 38.2669
227.060 26.8295
227.076 20.4120
