W-184(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 75.5165
1.25000E-05 67.5440
1.50000E-05 61.6590
2.00000E-05 53.3982
2.75000E-05 45.5382
3.50000E-05 40.3653
4.25000E-05 36.6309
5.00000E-05 33.7720
6.25000E-05 30.2066
7.50000E-05 27.5747
0.000100000 23.8804
0.000125000 21.3593
0.000150000 19.4983
0.000200000 16.8860
0.000275000 14.4004
0.000350000 12.7646
0.000425000 11.5837
0.000500000 10.6797
0.000625000 9.55218
0.000750000 8.71991
0.00100000 7.55167
0.00125000 6.75442
0.00150000 6.16592
0.00200000 5.33984
0.00275000 4.55384
0.00350000 4.03656
0.00425000 3.66312
0.00500000 3.37723
0.00625000 3.02070
0.00750000 2.75751
0.0100000 2.38809
0.0125000 2.13598
0.0150000 1.94989
0.0200000 1.68867
0.0253000 1.50143
0.0314750 1.34613
0.0376500 1.23081
0.0500000 1.06807
0.0625000 0.955338
0.0750000 0.872122
0.100000 0.755318
0.125000 0.675612
0.150000 0.616778
0.200000 0.534200
0.275000 0.455637
0.350000 0.403941
0.500000 0.338066
0.750000 0.276174
1.00000 0.239299
1.50000 0.195595
2.00000 0.169575
2.75000 0.144856
3.50000 0.128622
5.00000 0.108000
7.50000 0.0887499
10.0000 0.0773990
15.0000 0.0641997
20.0000 0.0566221
27.5000 0.0498765
35.0000 0.0459673
50.0000 0.0425466
75.0000 0.0454256
87.5000 0.0543263
90.6250 0.0601207
93.7500 0.0721692
95.3125 0.0848082
96.8750 0.110594
97.6563 0.135529
98.4375 0.179981
99.2188 0.272060
99.6094 0.360927
100.000 0.517502
100.209 0.655771
100.418 0.866593
100.626 1.21158
100.835 1.83460
100.939 2.35467
101.044 3.14036
101.148 4.41174
101.252 6.66439
101.305 8.51111
101.357 11.2538
101.409 15.5792
101.461 22.9602
101.513 37.1658
101.526 42.7999
101.539 49.7449
101.552 58.5798
101.559 63.8506
101.565 69.8540
101.572 76.8429
101.579 84.7816
101.585 93.9872
101.592 104.736
101.598 117.594
101.605 132.633
101.618 172.376
101.631 232.219
101.644 324.925
101.650 390.840
101.657 475.489
101.663 584.399
101.670 723.173
101.685 1158.54
101.700 1446.42
101.708 1360.91
101.715 1155.75
101.730 723.298
101.747 428.541
101.763 271.036
101.780 183.465
101.796 131.292
101.812 98.1616
101.829 75.9740
101.862 49.2013
101.894 34.3639
101.927 25.3258
101.993 15.3800
102.058 10.3140
102.124 7.39659
102.189 5.56583
102.255 4.34414
102.386 2.86212
102.517 2.03400
102.648 1.52464
102.779 1.18927
103.042 0.789116
103.304 0.568790
103.566 0.434782
103.829 0.347335
104.353 0.243979
104.878 0.187723
105.927 0.132018
106.976 0.106710
108.025 0.0934519
110.123 0.0814813
114.319 0.0765334
118.516 0.0792787
126.908 0.0938609
135.301 0.119735
143.694 0.164326
152.086 0.248434
154.184 0.281127
156.282 0.321417
157.332 0.345175
157.856 0.358131
158.381 0.371879
158.905 0.386493
159.430 0.402042
159.954 0.418613
160.479 0.436299
161.003 0.455210
161.528 0.475458
162.052 0.497185
162.577 0.520541
163.626 0.572913
164.675 0.634498
165.724 0.708472
166.773 0.802217
167.822 0.957131
168.347 1.22205
168.478 1.43899
168.609 1.98364
168.675 2.65631
168.708 3.26707
168.740 4.26920
168.773 6.09427
168.789 7.61917
168.806 9.91585
168.822 13.5767
168.839 19.8296
168.855 31.3651
168.871 53.5099
168.886 85.1426
168.900 106.055
168.914 84.9361
168.929 53.5327
168.943 33.2774
168.957 22.0178
168.972 15.4825
168.986 11.5178
169.015 7.19707
169.044 5.06259
169.072 3.86571
169.101 3.13170
169.158 2.31994
169.273 1.67284
169.388 1.43329
169.847 1.23524
170.765 1.31997
172.602 1.73103
174.439 2.41903
175.357 2.93446
176.275 3.63770
177.194 4.63202
178.112 6.10245
179.030 8.40880
179.949 12.3254
180.408 15.3978
180.867 19.7735
181.326 26.2972
181.785 36.6064
182.245 54.2050
182.704 87.4788
182.933 116.032
183.163 159.467
183.393 227.791
183.622 335.904
183.911 536.616
184.200 669.402
184.490 534.438
184.779 333.519
185.017 222.857
185.255 154.235
185.493 111.232
185.730 83.2925
186.206 51.0927
186.682 34.2611
187.157 24.4722
187.633 18.3154
188.584 11.3261
189.536 7.67387
190.487 5.53385
191.438 4.17515
192.390 3.25979
194.292 2.14242
196.195 1.51312
198.097 1.12449
200.000 0.868002
202.623 0.636646
205.246 0.486731
210.493 0.311031
215.739 0.216206
220.985 0.159573
226.232 0.123489
231.478 0.100215
236.724 0.0913851
238.036 0.0968489
239.347 0.119145
240.003 0.153019
240.331 0.187532
240.659 0.250969
240.987 0.386345
241.151 0.520174
241.315 0.761086
241.397 0.961499
241.479 1.26345
241.561 1.74897
241.643 2.60172
241.725 4.31572
241.766 5.90687
241.807 8.57504
241.848 13.5796
241.868 17.8894
241.889 24.5810
241.909 35.7083
241.930 55.9256
241.940 72.6659
241.950 96.8864
241.960 133.014
241.971 186.837
241.978 239.207
241.985 298.971
242.000 372.831
242.015 297.989
242.030 186.061
242.046 107.585
242.063 67.0872
242.080 44.9010
242.097 31.9508
242.113 23.7593
242.130 18.3460
242.164 11.8380
242.197 8.25654
242.231 6.08497
242.298 3.70285
242.365 2.49650
242.432 1.80331
242.499 1.36892
242.566 1.07894
242.700 0.728051
242.834 0.531915
242.968 0.411270
243.102 0.331786
243.370 0.236791
243.638 0.184246
244.174 0.130878
244.710 0.105398
245.246 0.0910490
246.318 0.0758253
248.462 0.0628358
250.606 0.0564431
259.181 0.0439921
276.333 0.0349887
284.909 0.0365786
289.197 0.0405045
293.485 0.0492110
297.773 0.0696648
299.917 0.0907873
302.061 0.129955
303.133 0.163291
304.205 0.214560
305.277 0.299247
306.349 0.454037
306.885 0.584684
307.421 0.784457
307.957 1.11233
308.493 1.70675
308.761 2.20451
309.029 2.95992
309.297 4.18701
309.364 4.61419
309.431 5.11054
309.498 5.69182
309.565 6.37857
309.632 7.19790
309.665 7.66819
309.699 8.18621
309.766 9.39332
309.833 10.8888
309.900 12.7722
309.967 15.1898
310.034 18.3639
310.101 22.6450
310.168 28.6121
310.235 37.2748
310.302 50.5220
310.369 72.2114
310.402 88.6174
310.436 111.193
310.469 143.367
310.503 191.215
310.536 266.147
310.570 390.932
310.603 612.817
310.637 1020.01
310.668 1632.36
310.700 2036.15
310.732 1625.49
310.764 1016.16
310.791 666.565
310.818 455.285
310.846 324.908
310.873 241.668
310.928 146.873
310.982 97.9576
311.037 69.7470
311.092 52.0952
311.201 32.1688
311.310 21.7867
311.420 15.7216
311.529 11.8714
311.638 9.28112
311.857 6.11751
312.076 4.33435
312.295 3.23172
312.513 2.50286
312.951 1.62962
313.388 1.14669
313.826 0.851854
314.263 0.658769
315.138 0.429615
316.013 0.304024
316.888 0.227810
317.762 0.178112
319.512 0.119347
321.262 0.0872157
324.761 0.0549806
328.261 0.0398371
331.760 0.0314587
338.759 0.0228604
352.756 0.0162877
366.754 0.0139499
380.751 0.0135225
394.749 0.0158298
401.748 0.0200717
405.247 0.0245305
408.747 0.0328548
412.246 0.0509263
413.996 0.0690823
415.745 0.102391
416.620 0.130603
417.495 0.173884
418.370 0.245258
419.245 0.375531
419.682 0.485403
420.120 0.653257
420.557 0.928494
420.994 1.42688
421.213 1.84371
421.432 2.47553
421.651 3.50013
421.869 5.32552
421.979 6.82817
422.033 7.83005
422.088 9.06714
422.115 9.80137
422.143 10.6252
422.170 11.5610
422.197 12.6216
422.225 13.8396
422.252 15.2367
422.279 16.8560
422.307 18.7468
422.334 20.9820
422.361 23.6294
422.389 26.8210
422.416 30.6854
422.443 35.4612
422.471 41.4091
422.498 48.9699
422.525 58.7744
422.553 71.8434
422.580 89.6198
422.607 114.793
422.635 151.601
422.662 208.433
422.689 300.407
422.717 458.189
422.744 735.938
422.772 1177.61
422.800 1472.73
422.828 1178.76
422.856 736.796
422.875 528.352
422.894 387.780
422.913 292.154
422.931 226.451
422.969 145.586
423.007 100.722
423.044 73.4712
423.082 55.8383
423.157 35.2907
423.233 24.2501
423.308 17.6752
423.383 13.4465
423.459 10.5695
423.609 7.01858
423.760 4.99658
423.911 3.73746
424.061 2.90133
424.363 1.89373
424.664 1.33358
424.966 0.990278
425.267 0.764940
425.870 0.496787
426.472 0.349443
427.075 0.259909
427.678 0.201480
428.883 0.132371
430.088 0.0946251
431.294 0.0717809
432.499 0.0569144
434.910 0.0393784
437.321 0.0298212
442.142 0.0202799
446.964 0.0158390
451.785 0.0134147
461.428 0.0109978
480.714 0.00934274
500.000 0.00896757
545.209 0.00994791
567.813 0.0114087
590.418 0.0140949
613.022 0.0195792
624.324 0.0248114
635.626 0.0340646
646.929 0.0532800
652.580 0.0720938
658.231 0.106047
661.056 0.134483
663.882 0.177755
666.707 0.248461
668.120 0.302038
668.827 0.335919
669.533 0.376095
670.239 0.424250
670.946 0.482640
671.299 0.516606
671.652 0.554393
672.005 0.596594
672.359 0.643928
673.065 0.757654
673.771 0.905151
674.478 1.10125
675.184 1.36986
675.890 1.75181
676.597 2.32092
677.303 3.22257
678.010 4.77528
678.363 6.01040
678.716 7.79283
679.069 10.4969
679.422 14.8757
679.776 22.6181
679.952 28.9038
680.129 38.1020
680.305 52.1997
680.482 74.9942
680.659 113.922
680.835 182.135
681.018 292.112
681.200 368.804
681.383 298.025
681.565 186.718
681.738 117.677
681.910 77.7913
682.083 54.2685
682.256 39.6610
682.429 30.1069
682.601 23.5681
682.947 15.5055
683.292 10.9398
683.637 8.11925
684.328 4.97194
685.019 3.35246
685.710 2.41282
686.400 1.82009
687.091 1.42259
688.472 0.939539
689.854 0.668716
691.235 0.502072
692.617 0.392585
695.380 0.263470
698.143 0.197492
699.524 0.181697
700.905 0.186543
701.596 0.211776
701.942 0.241256
702.287 0.298160
702.632 0.423035
702.805 0.547792
702.978 0.773343
703.150 1.24465
703.237 1.70061
703.323 2.50138
703.409 4.10945
703.453 5.60050
703.496 8.09763
703.539 12.7703
703.561 16.7846
703.582 22.9653
703.604 33.2397
703.614 41.0530
703.625 51.7969
703.631 58.7094
703.636 66.9833
703.641 76.9554
703.647 89.0503
703.652 103.793
703.658 121.810
703.663 143.789
703.668 169.817
703.676 217.828
703.684 271.991
703.700 339.592
703.708 319.299
703.716 271.401
703.732 169.888
703.742 124.848
703.751 93.6729
703.771 56.5453
703.791 37.1434
703.810 26.0587
703.830 19.2217
703.849 14.7382
703.889 9.43933
703.928 6.55527
703.967 4.82678
704.046 2.94490
704.124 1.99742
704.202 1.45604
704.281 1.11725
704.359 0.891747
704.516 0.618946
704.673 0.466412
704.987 0.310231
705.301 0.235360
705.615 0.193297
706.242 0.149213
707.497 0.113285
708.753 0.0971584
713.773 0.0708050
723.815 0.0540929
733.856 0.0515253
743.898 0.0573881
753.939 0.0733584
763.981 0.108982
769.001 0.142867
771.512 0.167660
772.767 0.183033
774.022 0.201038
774.650 0.211247
775.277 0.222415
775.591 0.228404
775.905 0.234692
776.533 0.248271
777.160 0.263409
777.788 0.280454
778.415 0.299908
779.043 0.322531
779.670 0.349577
780.298 0.383268
780.926 0.428035
781.553 0.494092
782.181 0.610309
782.495 0.713534
782.808 0.889692
783.122 1.24499
783.279 1.58554
783.436 2.18748
783.593 3.41777
783.671 4.58843
783.750 6.61266
783.828 10.5889
783.868 14.1863
783.907 20.0788
783.946 30.6792
783.966 39.4393
783.985 52.4853
784.005 72.9612
784.024 107.183
784.044 168.420
784.064 282.547
784.082 453.794
784.100 573.226
784.118 463.385
784.137 290.816
784.151 199.541
784.164 141.317
784.178 103.744
784.192 78.7646
784.206 61.4645
784.220 49.2538
784.234 40.3000
784.248 33.5624
784.276 24.2826
784.304 18.4125
784.331 14.4634
784.359 11.6849
784.387 9.65230
784.415 8.13194
784.443 6.96174
784.471 6.04232
784.526 4.70823
784.582 3.80894
784.693 2.70763
784.805 2.08850
785.027 1.45852
785.250 1.16662
785.472 1.01360
785.918 0.879817
786.808 0.846281
787.699 0.916411
788.590 1.04012
789.480 1.21397
790.371 1.44963
791.261 1.77119
792.152 2.22060
793.043 2.87169
793.933 3.86181
794.824 5.46795
795.714 8.31301
796.160 10.6264
796.605 14.0165
797.050 19.2218
797.496 27.6583
797.941 42.1103
798.386 67.5277
798.843 108.161
799.300 136.114
799.757 109.693
800.214 68.6958
800.519 49.4077
800.825 36.2809
801.130 27.3779
801.436 21.2202
802.046 13.6533
802.657 9.44220
803.268 6.89093
803.878 5.23975
805.100 3.31327
806.321 2.27966
807.543 1.66350
809.986 0.998105
812.428 0.666075
814.871 0.477151
817.314 0.359609
819.757 0.281606
824.643 0.187897
829.528 0.136050
834.414 0.104542
839.300 0.0841145
849.071 0.0605659
858.843 0.0487388
878.386 0.0409770
897.928 0.0469358
907.700 0.0569197
917.471 0.0767773
927.243 0.120217
932.129 0.163357
934.571 0.196049
937.014 0.241188
938.236 0.270501
938.846 0.287374
939.457 0.305999
939.763 0.316046
940.068 0.326627
940.679 0.349556
941.289 0.375143
941.900 0.403814
942.511 0.436091
943.121 0.472594
943.732 0.514101
944.343 0.561570
945.564 0.679510
946.786 0.840496
948.007 1.06834
949.229 1.40578
950.450 1.93606
951.061 2.32277
951.671 2.83886
952.282 3.54882
952.893 4.56199
953.504 6.07669
954.114 8.47998
954.725 12.6042
955.030 15.8537
955.336 20.4710
955.641 27.2840
955.946 37.7431
956.252 54.4173
956.557 81.2703
956.929 130.276
957.300 164.463
957.672 132.905
958.044 83.2448
958.360 54.9203
958.675 37.6060
958.991 26.9085
959.306 20.0318
959.937 12.1967
960.568 8.14609
961.199 5.80720
961.830 4.34316
