Pt-195(n,tot) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 1393.24
1.24909E-05 1247.53
1.49818E-05 1139.88
1.50000E-05 1139.20
1.83377E-05 1031.16
2.00000E-05 987.757
2.24454E-05 932.895
2.74731E-05 844.072
2.75000E-05 843.664
2.75957E-05 842.214
2.76915E-05 840.772
2.78830E-05 837.911
2.82659E-05 832.276
2.90318E-05 821.342
3.05635E-05 800.720
3.36271E-05 763.788
3.50000E-05 748.832
3.80798E-05 718.277
4.11596E-05 691.220
5.00000E-05 627.963
5.03793E-05 625.628
5.17899E-05 617.170
5.32005E-05 609.051
5.60218E-05 593.742
6.16643E-05 566.340
7.50000E-05 514.352
7.54771E-05 512.752
7.65338E-05 509.261
7.75905E-05 505.842
7.97038E-05 499.208
8.39305E-05 486.702
9.23839E-05 464.314
0.000100000 446.626
0.000113078 420.533
0.000138408 380.960
0.000150000 366.291
0.000169411 345.190
0.000200000 318.402
0.000207359 312.860
0.000230583 297.143
0.000253807 283.636
0.000275000 272.836
0.000310661 257.222
0.000350000 242.847
0.000380248 233.347
0.000465424 211.767
0.000500000 204.625
0.000569679 192.261
0.000697287 174.630
0.000750000 168.698
0.000853480 158.694
0.00100000 147.281
0.00104466 144.289
0.00116166 137.287
0.00127866 131.269
0.00150000 121.876
0.00156509 119.501
0.00174037 113.780
0.00191566 108.864
0.00200000 106.732
0.00234478 99.2488
0.00275000 92.3222
0.00287000 90.5581
0.00318500 86.4118
0.00350000 82.8386
0.00351289 82.7027
0.00356207 82.1910
0.00361125 81.6898
0.00370961 80.7174
0.00390633 78.8841
0.00429977 75.6023
0.00500000 70.7507
0.00526292 69.1843
0.00585237 66.0644
0.00644182 63.3830
0.00750000 59.3884
0.00788479 58.1393
0.00876789 55.5901
0.00965099 53.3994
0.0100000 52.6146
0.0109064 50.7556
0.0118128 49.1148
0.0144589 45.2419
0.0150000 44.5789
0.0163488 43.0721
0.0176977 41.7409
0.0200000 39.7879
0.0216619 38.5760
0.0253000 36.3530
0.0324534 33.1283
0.0376500 31.3871
0.0397230 30.7897
0.0441720 29.6525
0.0486210 28.6751
0.0500000 28.3989
0.0547561 27.5276
0.0595122 26.7628
0.0728427 25.0332
0.0750000 24.7975
0.0820798 24.0902
0.0891596 23.4686
0.100000 22.6475
0.109132 22.0527
0.133577 20.7711
0.150000 20.0912
0.163498 19.6104
0.200000 18.5616
0.200122 18.5586
0.200472 18.5499
0.200822 18.5413
0.201523 18.5241
0.202924 18.4899
0.205725 18.4227
0.211329 18.2922
0.222535 18.0460
0.244949 17.6046
0.275000 17.0986
0.299818 16.7385
0.350000 16.1291
0.366977 15.9512
0.408078 15.5663
0.449180 15.2341
0.500000 14.8796
0.549797 14.5795
0.672951 13.9804
0.750000 13.6797
0.823692 13.4302
1.00000 12.9425
1.23404 12.4525
1.50000 12.0290
1.51046 12.0144
1.55275 11.9568
1.59505 11.9012
1.67963 11.7957
1.84881 11.6040
2.00000 11.4511
2.26294 11.2178
2.75000 10.8664
2.76984 10.8538
2.81547 10.8254
2.86111 10.7975
2.95238 10.7435
3.13492 10.6420
3.50000 10.4617
3.60000 10.4170
3.87485 10.3035
4.14970 10.2026
5.00000 9.96444
5.07923 9.94783
5.36367 9.89643
5.64811 9.85864
6.21699 9.83024
7.50000 10.1235
7.60960 10.1853
7.90840 10.4008
8.20720 10.7037
8.80480 11.7239
9.40240 13.8132
10.0000 18.6074
10.3501 24.6628
10.7003 37.2332
10.8753 49.1402
11.0504 69.4380
11.1379 85.3573
11.2255 107.984
11.3130 141.593
11.3568 164.839
11.4005 194.448
11.4553 244.493
11.5101 316.763
11.5650 426.334
11.6198 603.246
11.6472 735.124
11.6746 913.939
11.7020 1164.09
11.7294 1526.60
11.7568 2074.99
11.7842 2944.22
11.8116 4387.95
11.8390 6825.62
11.8695 10964.1
11.9000 13764.9
11.9305 11072.8
11.9610 6962.86
11.9922 4269.85
12.0233 2773.66
12.0544 1915.96
12.0856 1393.80
12.1167 1056.63
12.1479 828.021
12.2102 548.267
12.2725 390.872
12.3347 293.863
12.4593 185.569
12.5839 129.623
12.7085 96.9520
12.8331 76.1854
12.9576 62.1425
13.2068 44.8545
13.4559 34.9700
13.7051 28.7593
13.9542 24.5843
14.4041 19.8366
14.8540 17.0015
15.7537 13.9607
16.3153 13.0171
16.8769 12.6214
17.4384 12.9536
17.7192 13.6097
18.0000 14.9083
18.1933 16.4685
18.3866 19.0169
18.5799 23.4000
18.7732 31.5896
18.8699 38.5216
18.9665 49.0418
19.0632 65.9857
19.1598 95.5912
19.2081 119.343
19.2565 153.775
19.2806 177.075
19.3048 206.193
19.3289 243.202
19.3531 291.144
19.3773 354.669
19.4014 440.986
19.4256 561.959
19.4498 737.756
19.4739 1004.44
19.4981 1428.47
19.5222 2135.14
19.5464 3334.28
19.5732 5373.82
19.6000 6770.67
19.6268 5463.32
19.6536 3446.54
19.6753 2338.80
19.6969 1641.73
19.7186 1199.86
19.7402 909.839
19.7835 571.923
19.8268 392.947
19.8701 287.745
19.9134 220.916
20.0000 144.105
20.1132 94.5494
20.2265 68.6195
20.3397 53.3070
20.4530 43.4745
20.6794 31.9555
20.9059 25.6538
21.1986 20.9371
21.4913 18.0988
22.0767 14.9219
22.6620 13.2161
23.2474 12.1564
24.4181 10.8988
25.5889 10.1587
27.5000 9.40579
29.4104 8.90907
31.3207 8.53633
35.0000 7.99074
38.3366 7.59263
42.6303 7.13725
46.9240 6.70113
50.0000 6.38709
53.7175 6.01547
55.5762 5.85826
57.4350 5.77271
58.6230 5.80843
59.8110 6.00031
60.9990 6.52350
62.1870 7.81944
62.7810 9.09375
63.3750 11.2140
63.9690 14.9358
64.5630 22.0202
64.8600 28.0802
65.1570 37.3243
65.4540 52.2557
65.7510 78.3466
65.8995 99.2394
66.0480 129.463
66.1965 175.325
66.3450 249.405
66.4935 379.608
66.5678 484.574
66.6420 637.093
66.7163 868.647
66.7905 1238.26
66.8648 1858.53
66.9390 2922.69
67.0195 4707.84
67.1000 5967.67
67.1805 4904.99
67.2610 3233.14
67.3485 2162.06
67.4360 1783.54
67.4798 1826.93
67.5235 2078.69
67.5673 2666.51
67.6110 3837.78
67.6555 5791.17
67.7000 7145.66
67.7445 5827.28
67.7890 3789.32
67.8283 2577.04
67.8675 1835.72
67.9067 1374.04
67.9460 1072.83
68.0245 719.273
68.1029 526.636
68.1814 408.747
68.2599 330.409
68.4169 234.261
68.5738 178.439
68.7308 142.487
69.0447 99.6454
69.3586 75.5360
69.6726 60.3887
70.3004 42.8401
70.7925 34.9280
71.2846 29.5974
72.2689 22.9868
73.2531 19.1220
74.2373 16.6203
76.2057 13.6049
78.1741 11.8580
80.1426 10.7094
82.1110 9.88399
86.0478 8.73472
89.5359 7.99744
93.0239 7.38129
96.5120 6.81574
100.000 6.25418
102.932 5.75925
105.864 5.24445
107.330 5.02737
108.063 4.97772
108.796 5.04985
109.529 5.47057
109.896 6.03036
110.262 7.19223
110.629 9.88840
110.812 12.6554
110.995 17.6977
111.178 28.1390
111.270 37.9899
111.362 54.6967
111.407 67.7492
111.453 86.1312
111.499 113.126
111.545 154.794
111.591 223.291
111.636 345.168
111.659 443.208
111.682 583.234
111.705 786.640
111.728 1080.87
111.764 1739.87
111.800 2194.51
111.837 1773.28
111.873 1118.07
111.902 764.745
111.931 541.306
111.960 398.044
111.988 303.729
112.046 192.813
112.104 133.687
112.161 98.6545
112.219 76.3288
112.334 50.4926
112.450 36.6684
112.565 28.3882
