Pt-196(n,g) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 29.3671
1.25000E-05 26.2667
1.50000E-05 23.9781
1.54719E-05 23.6097
1.92448E-05 21.1692
2.00000E-05 20.7657
2.19689E-05 19.8133
2.39378E-05 18.9810
2.75000E-05 17.7090
2.97753E-05 17.0190
3.50000E-05 15.6974
3.70363E-05 15.2597
4.15521E-05 14.4067
4.60679E-05 13.6824
5.00000E-05 13.1334
5.73020E-05 12.2681
7.12756E-05 10.9999
7.50000E-05 10.7233
8.86569E-05 9.86290
0.000100000 9.28668
0.000110277 8.84340
0.000137169 7.92927
0.000150000 7.58254
0.000170618 7.10964
0.000200000 6.56667
0.000212225 6.37473
0.000238102 6.01837
0.000263978 5.71579
0.000275000 5.60008
0.000301676 5.34675
0.000328352 5.12496
0.000350000 4.96393
0.000408423 4.59520
0.000500000 4.15312
0.000508021 4.12020
0.000538993 4.00008
0.000569964 3.88988
0.000631907 3.69431
0.000750000 3.39101
0.000786004 3.31243
0.000881840 3.12726
0.000977677 2.97003
0.00100000 2.93669
0.00105402 2.86044
0.00110805 2.78984
0.00121609 2.66302
0.00150000 2.39779
0.00151265 2.38775
0.00155876 2.35217
0.00160487 2.31813
0.00169709 2.25427
0.00188152 2.14093
0.00200000 2.07654
0.00234035 1.91962
0.00275000 1.77088
0.00291107 1.72119
0.00350000 1.56971
0.00362095 1.54327
0.00406245 1.45699
0.00450396 1.38374
0.00500000 1.31330
0.00560228 1.24070
0.00696846 1.11244
0.00750000 1.07229
0.00866777 0.997440
0.0100000 0.928619
0.0107815 0.894328
0.0134107 0.801872
0.0150000 0.758194
0.0166810 0.718971
0.0200000 0.656598
0.0207488 0.644639
0.0230244 0.611946
0.0253000 0.583770
0.0321022 0.518225
0.0376500 0.478510
0.0399307 0.464638
0.0447994 0.438653
0.0496681 0.416588
0.0500000 0.415202
0.0507363 0.412177
0.0514725 0.409217
0.0529450 0.403483
0.0558900 0.392702
0.0617800 0.373502
0.0750000 0.338966
0.0768457 0.334867
0.0815306 0.325095
0.0862156 0.316131
0.0955854 0.300222
0.100000 0.293514
0.109447 0.280546
0.118895 0.269156
0.147888 0.241296
0.150000 0.239589
0.158488 0.233074
0.166976 0.227063
0.183952 0.216312
0.200000 0.207435
0.228810 0.193906
0.275000 0.176831
0.284608 0.173811
0.317304 0.164584
0.350000 0.156681
0.354012 0.155788
0.364804 0.153457
0.375595 0.151228
0.397177 0.147045
0.440341 0.139621
0.500000 0.130985
0.547723 0.125118
0.681290 0.112106
0.750000 0.106810
0.847429 0.100432
1.00000 0.0923809
1.31113 0.0805515
1.50000 0.0752385
1.63086 0.0721101
2.00000 0.0649992
2.02856 0.0645312
2.09040 0.0635507
2.15223 0.0626127
2.27590 0.0608521
2.52324 0.0577260
2.75000 0.0552374
3.13856 0.0516159
