Au-197(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4922.36
1.25000E-05 4403.54
1.50000E-05 4020.56
2.00000E-05 3482.97
2.75000E-05 2971.46
3.50000E-05 2634.83
4.25000E-05 2391.81
5.00000E-05 2205.76
6.25000E-05 1973.74
7.50000E-05 1802.47
0.000100000 1562.06
0.000125000 1398.00
0.000150000 1276.90
0.000200000 1106.91
0.000275000 945.169
0.000350000 838.727
0.000425000 761.888
0.000500000 703.064
0.000625000 629.707
0.000750000 575.559
0.00100000 499.558
0.00125000 447.697
0.00150000 409.419
0.00200000 355.695
0.00275000 304.590
0.00350000 270.966
0.00425000 246.699
0.00500000 228.127
0.00625000 204.973
0.00750000 187.890
0.0100000 163.927
0.0125000 147.590
0.0150000 135.542
0.0200000 118.654
0.0253000 106.572
0.0314750 96.5729
0.0376500 89.1662
0.0500000 78.7497
0.0625000 71.5695
0.0750000 66.2963
0.100000 58.9500
0.125000 53.9910
0.150000 50.3718
0.200000 45.3795
0.275000 40.7818
0.350000 37.8934
0.500000 34.5046
0.750000 31.9543
1.00000 31.1368
1.50000 32.1992
2.00000 36.2787
2.70510 50.2210
3.05765 64.8458
3.41020 91.7138
3.58648 114.245
3.76275 148.317
3.93903 203.212
4.02716 244.134
4.11530 299.780
4.20344 378.086
4.29158 493.108
4.37971 671.657
4.46785 969.990
4.51192 1200.07
4.55599 1522.35
4.60006 1992.22
4.64413 2712.27
4.68819 3887.33
4.73226 5962.76
4.75430 7623.51
4.77633 9986.41
4.79837 13405.8
4.82040 18333.0
4.85520 29360.3
4.89000 36725.1
4.92480 29405.6
4.95960 18406.6
5.00000 10548.4
5.03906 6620.48
5.07813 4465.22
5.11719 3191.39
5.15625 2386.59
5.23438 1474.36
5.31250 1000.31
5.39063 724.107
5.46875 549.550
5.62500 349.912
5.78125 244.473
5.93750 182.085
6.09375 142.119
6.25000 114.969
6.56250 81.4610
6.87500 62.3073
7.18750 50.3088
7.50000 42.2778
8.12500 32.4865
8.75000 26.9304
9.37500 23.4471
10.0000 21.1014
11.2500 18.1967
12.5000 16.4974
13.7500 15.3909
15.0000 14.6125
17.5000 13.5793
20.0000 12.9065
23.2982 12.2824
26.5965 11.8111
33.1930 11.0659
39.7894 10.3835
43.0877 10.0134
44.7368 9.82301
45.1491 9.78677
45.5614 9.78442
45.7675 9.82951
45.9736 9.99577
46.0767 10.2229
46.1282 10.4313
46.1798 10.7695
46.2313 11.3607
46.2828 12.5039
46.3086 13.5005
46.3344 15.0344
46.3601 17.4810
46.3859 21.4140
46.4180 28.7647
46.4500 33.8799
46.4821 29.2697
46.5141 22.0384
46.5413 17.8848
46.5686 15.3261
46.5958 13.7310
46.6230 12.6969
46.6775 11.5034
46.7320 10.8743
46.8409 10.2650
46.9498 9.98483
47.1677 9.72814
47.3856 9.60402
48.2571 9.36630
50.0000 9.04216
51.9657 8.67513
52.9486 8.49699
53.9314 8.35393
54.9143 8.32539
55.8971 8.66862
56.3885 9.25013
56.8800 10.7007
57.1257 12.3742
57.3714 16.2684
57.4942 20.8182
57.5557 24.8501
57.6171 31.3907
57.6785 43.1056
57.7400 67.2093
57.7707 89.8963
57.7860 106.310
57.8014 127.874
57.8167 156.736
57.8321 195.905
57.8475 249.599
57.8628 322.574
57.8774 412.124
57.8919 515.554
57.9210 650.624
57.9356 617.739
57.9501 531.129
57.9792 342.459
58.0110 211.688
58.0427 141.538
58.0744 102.458
58.1062 79.2026
58.1697 54.7457
58.2332 43.2913
