Hg-198(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 112.476
1.25000E-05 101.951
1.50000E-05 94.1819
2.00000E-05 83.2764
2.75000E-05 72.8999
3.50000E-05 66.0708
4.25000E-05 61.1409
5.00000E-05 57.3667
6.25000E-05 52.6598
7.50000E-05 49.1854
0.000100000 44.3083
0.000125000 40.9800
0.000150000 38.5232
0.000200000 35.0747
0.000275000 31.7933
0.000350000 29.6339
0.000425000 28.0749
0.000500000 26.8814
0.000625000 25.3930
0.000750000 24.2943
0.00100000 22.7522
0.00125000 21.6997
0.00150000 20.9229
0.00200000 19.8324
0.00275000 18.7949
0.00350000 18.1122
0.00425000 17.6193
0.00500000 17.2419
0.00625000 16.7714
0.00750000 16.4241
0.0100000 15.9366
0.0125000 15.6039
0.0150000 15.3584
0.0200000 15.0139
0.0253000 14.7669
0.0314750 14.5621
0.0376500 14.4101
0.0500000 14.1956
0.0625000 14.0470
0.0750000 13.9374
0.100000 13.7835
0.125000 13.6785
0.150000 13.6010
0.200000 13.4921
0.275000 13.3884
0.350000 13.3200
0.500000 13.2323
0.750000 13.1488
1.00000 13.0977
1.50000 13.0344
2.00000 12.9936
2.75000 12.9502
3.50000 12.9169
5.00000 12.8634
7.50000 12.7863
10.0000 12.7094
12.5000 12.6272
15.0000 12.5465
16.2500 12.5210
17.5000 12.5362
18.7500 12.6809
19.3750 12.8853
20.0000 13.3104
20.3741 13.7787
20.7482 14.5631
21.1223 15.9595
21.4964 18.6793
21.6834 21.0607
21.8704 24.7755
22.0575 30.9535
22.2445 42.1813
22.3381 51.5087
22.4316 65.4566
22.5251 87.5314
22.6186 125.227
22.6654 154.819
22.7121 196.869
22.7355 224.806
22.7589 259.215
22.7823 302.194
22.8057 356.732
22.8290 427.190
22.8524 520.097
22.8758 645.481
22.8992 819.173
22.9226 1066.76
22.9459 1430.06
22.9693 1975.68
22.9927 2795.01
23.0264 4507.42
23.0600 5685.57
23.0769 5377.89
23.0937 4594.75
23.1274 2903.58
23.1537 2000.27
23.1799 1422.00
23.2061 1049.74
23.2324 802.600
23.2849 511.079
23.3374 354.845
23.3898 262.248
23.4423 203.097
23.5473 134.704
