Hg-200(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 72.5709
1.25000E-05 64.9093
1.50000E-05 59.2539
2.00000E-05 51.3153
2.75000E-05 43.7619
3.50000E-05 38.7908
4.25000E-05 35.2020
5.00000E-05 32.4547
6.25000E-05 29.0283
7.50000E-05 26.4991
0.000100000 22.9489
0.000125000 20.5261
0.000150000 18.7377
0.000200000 16.2273
0.000275000 13.8387
0.000350000 12.2667
0.000425000 11.1319
0.000500000 10.2631
0.000625000 9.17956
0.000750000 8.37975
0.00100000 7.25707
0.00125000 6.49092
0.00150000 5.92537
0.00200000 5.13152
0.00275000 4.37617
0.00350000 3.87905
0.00425000 3.52018
0.00500000 3.24544
0.00625000 2.90280
0.00750000 2.64988
0.0100000 2.29485
0.0125000 2.05257
0.0150000 1.87372
0.0200000 1.62267
0.0253000 1.44272
0.0314750 1.29346
0.0376500 1.18263
0.0500000 1.02621
0.0625000 0.917850
0.0750000 0.837859
0.100000 0.725574
0.125000 0.648942
0.150000 0.592373
0.200000 0.512963
0.275000 0.437395
0.350000 0.387655
0.500000 0.324245
0.750000 0.264622
1.00000 0.229063
1.50000 0.186856
2.00000 0.161673
2.75000 0.137684
3.50000 0.121876
5.00000 0.101689
7.50000 0.0826529
10.0000 0.0712586
15.0000 0.0576698
20.0000 0.0495123
27.5000 0.0416926
35.0000 0.0365058
50.0000 0.0298375
75.0000 0.0235118
100.000 0.0197326
150.000 0.0153136
200.000 0.0127993
275.000 0.0106357
350.000 0.00947928
500.000 0.00878603
625.000 0.00941181
750.000 0.0113402
875.000 0.0156748
937.500 0.0196965
1000.00 0.0262851
1040.04 0.0329546
1080.08 0.0431162
1120.11 0.0597123
1160.15 0.0896261
1180.17 0.114566
1200.19 0.152293
1220.21 0.213376
1240.23 0.322107
1250.24 0.411593
1260.24 0.545159
1262.75 0.588891
1265.25 0.638144
1266.50 0.665166
1267.75 0.693934
1269.00 0.724626
1270.25 0.757418
1271.51 0.792535
1272.76 0.830139
1274.01 0.870503
1275.26 0.913905
1276.51 0.960657
1277.76 1.01111
1280.26 1.12478
1282.77 1.25891
