Pb-204(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 44.4301
1.25000E-05 40.9214
1.50000E-05 38.3314
2.00000E-05 34.6960
2.75000E-05 31.2368
3.50000E-05 28.9603
4.25000E-05 27.3168
5.00000E-05 26.0586
6.25000E-05 24.4896
7.50000E-05 23.3313
0.000100000 21.7055
0.000125000 20.5960
0.000150000 19.7770
0.000200000 18.6274
0.000275000 17.5336
0.000350000 16.8137
0.000425000 16.2940
0.000500000 15.8962
0.000625000 15.4000
0.000750000 15.0338
0.00100000 14.5197
0.00125000 14.1688
0.00150000 13.9098
0.00200000 13.5463
0.00275000 13.2004
0.00350000 12.9728
0.00425000 12.8085
0.00500000 12.6827
0.00625000 12.5258
0.00750000 12.4100
0.0100000 12.2474
0.0125000 12.1364
0.0150000 12.0545
0.0200000 11.9396
0.0253000 11.8572
0.0314750 11.7889
0.0376500 11.7381
0.0500000 11.6665
0.0625000 11.6169
0.0750000 11.5802
0.100000 11.5288
0.125000 11.4937
0.150000 11.4678
0.200000 11.4315
0.275000 11.3969
0.350000 11.3741
0.500000 11.3450
0.750000 11.3177
1.00000 11.3014
1.50000 11.2820
2.00000 11.2703
2.75000 11.2592
3.50000 11.2518
5.00000 11.2422
7.50000 11.2328
10.0000 11.2270
15.0000 11.2194
20.0000 11.2144
27.5000 11.2087
35.0000 11.2043
50.0000 11.1969
75.0000 11.1867
100.000 11.1774
150.000 11.1597
200.000 11.1420
269.959 11.1165
339.917 11.0896
409.876 11.0611
427.365 11.0539
444.855 11.0468
453.600 11.0438
457.972 11.0427
462.344 11.0423
466.717 11.0437
468.903 11.0460
471.089 11.0511
472.182 11.0557
473.275 11.0630
474.369 11.0754
475.462 11.0980
476.008 11.1171
476.555 11.1461
477.101 11.1930
477.648 11.2764
477.921 11.3446
478.194 11.4460
478.468 11.6054
478.741 11.8773
479.014 12.3975
479.151 12.8557
479.288 13.5834
479.424 14.8355
479.561 17.2279
479.629 19.3033
479.697 22.4947
479.766 27.5849
479.834 35.7756
479.917 50.5576
480.000 60.3867
480.084 50.4706
480.167 35.6374
480.245 26.6700
480.322 21.4453
480.400 18.3369
480.477 16.3948
480.632 14.2360
480.787 13.1469
480.942 12.5270
481.097 12.1429
481.407 11.7125
481.717 11.4902
482.026 11.3608
482.336 11.2790
482.646 11.2240
483.266 11.1569
483.886 11.1191
484.506 11.0956
485.125 11.0800
486.365 11.0611
487.604 11.0504
488.844 11.0436
490.084 11.0390
492.563 11.0330
495.042 11.0292
500.000 11.0243
507.813 11.0189
515.625 11.0145
531.250 11.0064
562.500 10.9906
625.000 10.9576
750.000 10.8827
1000.00 10.6760
1166.40 10.3915
1249.60 10.2015
1270.40 10.1465
1291.19 10.0883
1301.59 10.0590
1306.79 10.0449
1311.99 10.0324
1317.19 10.0242
1319.79 10.0244
1322.39 10.0317
1323.69 10.0408
1324.99 10.0570
1326.29 10.0863
1327.59 10.1427
1328.24 10.1913
1328.89 10.2657
1329.54 10.3873
1330.19 10.6040
1330.52 10.7816
1330.84 11.0452
1331.17 11.4596
1331.49 12.1646
1331.82 13.5067
1331.98 14.6867
1332.14 16.5397
1332.31 19.7192
1332.47 25.6806
1332.55 30.7725
1332.63 38.4828
1332.71 50.5386
1332.79 69.4912
1332.90 105.282
1333.00 128.793
1333.10 104.940
1333.21 69.2355
1333.29 49.4725
1333.38 37.2536
1333.47 29.6209
1333.55 24.7166
1333.72 18.9984
1333.89 16.0281
1334.07 14.2904
1334.24 13.2032
1334.58 11.9662
1334.92 11.3161
1335.26 10.9353
1335.61 10.6919
1335.95 10.5278
1336.64 10.3254
1337.32 10.2103
1338.01 10.1380
1338.69 10.0893
1340.06 10.0288
1341.43 9.99309
1342.80 9.96928
1344.17 9.95191
1346.91 9.92707
1349.65 9.90872
1355.13 9.87965
1360.61 9.85436
1366.10 9.83022
1377.06 9.78224
1420.91 9.56775
1464.76 9.29030
1508.60 8.90619
1530.53 8.64949
1552.45 8.32575
1574.38 7.90290
1596.30 7.32650
1607.27 6.95325
1618.23 6.50205
1629.19 5.95469
1640.15 5.30740
1645.63 4.96582
1651.11 4.65879
1656.60 4.49775
1657.97 4.50882
1659.34 4.55452
1660.71 4.64614
1661.39 4.71371
1662.08 4.79885
1662.76 4.90449
