Pb-207(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 35.8059
1.25000E-05 32.0258
1.50000E-05 29.2354
2.00000E-05 25.3186
2.75000E-05 21.5918
3.50000E-05 19.1391
4.25000E-05 17.3684
5.00000E-05 16.0129
6.25000E-05 14.3224
7.50000E-05 13.0745
0.000100000 11.3228
0.000125000 10.1274
0.000150000 9.24504
0.000200000 8.00644
0.000275000 6.82792
0.000350000 6.05230
0.000425000 5.49237
0.000500000 5.06372
0.000625000 4.52913
0.000750000 4.13451
0.00100000 3.58059
0.00125000 3.20258
0.00150000 2.92354
0.00200000 2.53186
0.00275000 2.15918
0.00350000 1.91391
0.00425000 1.73684
0.00500000 1.60129
0.00625000 1.43224
0.00750000 1.30745
0.0100000 1.13228
0.0125000 1.01274
0.0150000 0.924504
0.0200000 0.800644
0.0253000 0.711859
0.0314750 0.638222
0.0376500 0.583542
0.0500000 0.506372
0.0625000 0.452912
0.0750000 0.413451
0.100000 0.358059
0.125000 0.320257
0.150000 0.292353
0.200000 0.253185
0.275000 0.215917
0.350000 0.191390
0.500000 0.160128
0.750000 0.130744
1.00000 0.113227
1.50000 0.0924490
2.00000 0.0800627
2.75000 0.0682772
3.50000 0.0605208
5.00000 0.0506346
7.50000 0.0413419
10.0000 0.0358022
15.0000 0.0292309
20.0000 0.0253134
27.5000 0.0215856
35.0000 0.0191322
50.0000 0.0160047
75.0000 0.0130644
100.000 0.0113112
150.000 0.00923088
200.000 0.00799014
275.000 0.00680889
350.000 0.00603094
500.000 0.00503844
750.000 0.00410406
1000.00 0.00354605
1500.00 0.00288297
2000.00 0.00248810
2531.44 0.00221370
2797.15 0.00214881
2930.01 0.00228724
2996.44 0.00302062
3013.05 0.00380015
3029.66 0.00603442
3037.96 0.00915857
3046.26 0.0180411
3050.42 0.0303900
3052.49 0.0427273
3054.57 0.0652654
3056.64 0.113354
3057.68 0.161056
3058.72 0.247502
3059.24 0.319853
3059.76 0.429591
3060.28 0.607695
3060.80 0.925352
3061.06 1.18759
3061.31 1.57756
3061.57 2.19939
3061.83 3.26981
3062.09 5.36885
3062.22 7.26202
3062.35 10.3174
3062.48 15.7994
3062.55 20.2883
3062.61 26.7867
3062.68 36.9714
3062.74 53.6522
3062.81 82.6172
3062.87 133.300
3062.94 213.292
3063.00 266.672
3063.07 213.384
3063.13 133.374
3063.19 85.0576
3063.25 57.1351
3063.31 40.3350
3063.37 29.7385
3063.49 17.8806
3063.60 11.8483
3063.72 8.37765
3063.84 6.24099
3064.08 3.83945
3064.31 2.59144
3064.55 1.86766
3064.79 1.40785
3065.02 1.10014
3065.50 0.724305
3065.97 0.512866
3066.44 0.382283
3066.91 0.296188
3067.86 0.192886
3068.81 0.135786
3070.70 0.0781511
3072.59 0.0510775
3074.48 0.0362475
3078.26 0.0213796
3085.83 0.0106627
3093.39 0.00688284
3108.53 0.00416595
3123.66 0.00320746
3184.19 0.00226391
3305.24 0.00199315
3547.35 0.00186449
4031.57 0.00172950
5000.00 0.00154065
7500.00 0.00124407
8750.00 0.00115046
9375.00 0.00111671
9687.50 0.00111265
10000.0 0.00123509
10046.2 0.00135823
10092.3 0.00171376
10115.4 0.00221239
10138.5 0.00363142
10150.0 0.00560527
10161.6 0.0111833
10167.4 0.0188804
10170.2 0.0265382
10173.1 0.0403777
10176.0 0.0696785
10177.5 0.0982910
10178.9 0.149360
10179.6 0.192160
10180.3 0.255426
10181.1 0.356113
10181.8 0.530638
10182.5 0.873084
10182.9 1.18312
10183.2 1.69066
10183.6 2.60256
10183.8 3.35501
10183.9 4.47369
10184.1 6.22496
10184.3 9.13992
10184.5 14.3201
10184.7 23.8597
10184.8 38.0973
10185.0 47.6496
10185.2 38.2766
10185.3 24.0008
10185.5 16.0588
10185.6 11.4000
10185.7 8.38596
10185.9 6.37542
10186.1 3.93129
10186.4 2.68074
10186.7 1.91591
10186.9 1.44916
10187.5 0.902761
10188.0 0.615109
10188.5 0.445681
10189.1 0.337678
10189.6 0.264676
10190.6 0.175222
10191.7 0.124605
10193.8 0.0724332
10195.9 0.0474796
10198.1 0.0336452
10202.3 0.0196400
10206.5 0.0130501
10210.8 0.00943350
10219.3 0.00580454
10236.2 0.00318535
10253.2 0.00226064
10287.1 0.00159548
10321.0 0.00136057
10456.7 0.00112842
10728.1 0.00106029
11270.8 0.00103087
11813.5 0.00105875
12084.9 0.00126113
12152.7 0.00147961
12220.5 0.00210678
12254.5 0.00298282
12288.4 0.00546718
12305.3 0.00890761
12313.8 0.0123328
12322.3 0.0185648
12330.8 0.0317761
12335.0 0.0447884
12339.3 0.0681798
12343.5 0.116816
12345.6 0.163714
12347.7 0.246022
12348.8 0.312722
12349.9 0.410727
12350.9 0.563042
12352.0 0.818201
12353.0 1.29296
12353.6 1.69916
12354.1 2.32558
12354.6 3.35723
12355.2 5.20457
12355.7 8.86242
12355.9 11.9622
12356.2 16.4690
12356.6 26.3500
12357.0 33.0654
12357.4 26.5976
12357.8 16.6632
12358.1 11.9538
12358.3 8.75980
12358.9 5.15527
12359.4 3.30616
12359.9 2.29574
12360.5 1.67127
12361.0 1.27439
12362.1 0.805776
12363.2 0.554216
12364.2 0.404161
12365.3 0.307661
12366.4 0.242009
12368.5 0.161022
12370.6 0.114893
12374.9 0.0670665
12379.2 0.0440683
12383.5 0.0312751
12392.0 0.0182856
12409.2 0.00878760
12426.3 0.00540273
12460.5 0.00295361
12494.7 0.00208724
12631.7 0.00124127
12905.5 0.00101960
13453.2 0.000949221
14548.7 0.000911282
15644.1 0.000925018
16191.8 0.00108177
16328.7 0.00124791
16465.7 0.00170411
16534.1 0.00230394
16568.4 0.00287242
16602.6 0.00385015
16636.8 0.00574400
16653.9 0.00743506
16671.0 0.0101594
16688.2 0.0149456
16705.3 0.0244005
16713.8 0.0329034
16722.4 0.0464649
16731.0 0.0691837
16739.5 0.107968
16748.8 0.172338
16758.0 0.216316
16767.3 0.174369
16776.5 0.109596
16782.8 0.0786360
16789.1 0.0577110
16795.4 0.0436062
16801.7 0.0339092
16814.3 0.0220430
16826.9 0.0154706
16839.5 0.0114990
16852.1 0.00893571
16877.2 0.00595025
16902.4 0.00435027
16927.6 0.00339736
16978.0 0.00236817
17028.3 0.00185395
17078.7 0.00156075
17179.4 0.00125590
17380.9 0.00102540
17582.4 0.000939493
18388.3 0.000845160
20000.0 0.000805834
24691.0 0.000800367
27036.4 0.000848826
28209.2 0.000925759
28795.6 0.00111350
28942.1 0.00128797
29088.7 0.00176480
29162.0 0.00240866
29198.7 0.00303874
29235.3 0.00416459
29272.0 0.00648720
29290.3 0.00870909
29308.6 0.0125712
29327.0 0.0201948
29336.1 0.0271346
29345.3 0.0385677
29354.4 0.0593109
29359.0 0.0766017
29363.6 0.102575
29368.2 0.143821
29372.8 0.213913
29377.3 0.342389
29381.9 0.589715
29386.0 0.946696
29390.0 1.19774
29394.1 0.970042
29398.1 0.608734
29402.2 0.373816
29406.2 0.242752
29410.3 0.167383
29414.3 0.121425
29418.4 0.0917623
29422.4 0.0716595
29430.5 0.0471133
29438.6 0.0333402
29446.7 0.0248991
29462.9 0.0155342
29479.1 0.0107398
29495.3 0.00796892
29527.7 0.00505639
29560.1 0.00363918
29592.6 0.00284546
29657.4 0.00203584
29722.2 0.00165331
29787.0 0.00144392
29916.6 0.00123675
30435.2 0.00106016
31472.2 0.00109644
33546.4 0.00140125
34583.4 0.00169385
35620.5 0.00219291
36139.0 0.00260432
36657.5 0.00329041
36916.8 0.00391100
37176.1 0.00518739
37305.7 0.00663887
37370.5 0.00795512
37435.3 0.0101876
37500.2 0.0145359
37532.6 0.0184931
37565.0 0.0250480
37597.4 0.0371029
37613.6 0.0473172
37629.8 0.0629170
37646.0 0.0883246
37662.2 0.133072
37678.4 0.219713
37686.5 0.293428
37694.6 0.400072
37707.3 0.640619
37720.0 0.814711
37732.7 0.664987
37745.4 0.419246
37756.7 0.272339
37768.1 0.184758
37779.4 0.131850
37790.8 0.0984269
37813.4 0.0610174
37836.1 0.0420169
37858.8 0.0311765
37881.5 0.0244579
37926.8 0.0169663
37972.2 0.0131466
38017.5 0.0109745
38108.2 0.00880430
38289.6 0.00752428
38471.1 0.00752320
38833.9 0.00883480
39196.7 0.0114025
39559.5 0.0157259
39922.4 0.0232762
40103.8 0.0291992
40285.2 0.0374624
40466.6 0.0491397
40648.0 0.0655401
40801.0 0.0836169
40954.0 0.104286
41260.0 0.130207
41413.0 0.122583
41566.0 0.104202
41872.0 0.0650896
42126.0 0.0433560
42380.0 0.0299566
42634.0 0.0216127
42888.0 0.0162160
43396.0 0.0100315
43904.0 0.00681692
44412.0 0.00495576
44920.0 0.00378867
45936.0 0.00246823
46952.0 0.00178011
47968.0 0.00137721
50000.0 0.000948119
52294.7 0.000715868
54589.3 0.000590366
59178.6 0.000463274
63767.9 0.000401333
66062.5 0.000382162
67209.8 0.000377681
67783.5 0.000389020
68070.3 0.000446910
68142.0 0.000507612
68213.7 0.000679097
68249.6 0.000914711
68285.5 0.00156681
68303.4 0.00244316
68312.3 0.00329192
68321.3 0.00478961
68330.3 0.00781773
68334.8 0.0106436
68339.2 0.0154299
68343.7 0.0244907
68346.0 0.0323884
68348.2 0.0448099
68350.4 0.0658637
68352.7 0.105294
68353.8 0.138826
68354.9 0.189471
68356.0 0.268635
68357.2 0.393929
68360.0 0.829059
68361.4 0.690468
68362.9 0.436554
68364.0 0.294092
68365.1 0.204914
68366.3 0.148038
68367.4 0.111227
68369.7 0.0684538
68371.9 0.0461250
68374.2 0.0330629
68376.5 0.0248462
68381.0 0.0155350
68385.5 0.0106552
68390.1 0.00780053
68399.1 0.00476170
68417.3 0.00241825
68435.4 0.00154922
68471.7 0.000904390
68507.9 0.000671948
68653.0 0.000442008
68943.1 0.000381822
69523.4 0.000363946
70683.9 0.000354941
71844.4 0.000351540
72424.7 0.000357705
72714.8 0.000388303
72787.4 0.000418660
72859.9 0.000498325
72896.2 0.000597883
72932.4 0.000836589
72950.6 0.00110455
72968.7 0.00165897
72977.8 0.00218404
72986.8 0.00306957
72995.9 0.00468457
73005.0 0.00779342
73021.0 0.0163230
73029.0 0.0138693
73037.0 0.00891393
73045.8 0.00534821
73054.6 0.00346236
73063.4 0.00243038
73072.2 0.00182401
73089.8 0.00119003
73107.4 0.000887748
