Bi-209(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 1.70021
1.25000E-05 1.52072
1.50000E-05 1.38822
2.00000E-05 1.20223
2.75000E-05 1.02527
3.50000E-05 0.908801
4.25000E-05 0.824724
5.00000E-05 0.760358
6.25000E-05 0.680085
7.50000E-05 0.620830
0.000100000 0.537654
0.000125000 0.480893
0.000150000 0.438993
0.000200000 0.380179
0.000275000 0.324218
0.000350000 0.287388
0.000425000 0.260801
0.000500000 0.240446
0.000625000 0.215062
0.000750000 0.196324
0.00100000 0.170022
0.00125000 0.152072
0.00150000 0.138822
0.00200000 0.120224
0.00275000 0.102527
0.00350000 0.0908807
0.00425000 0.0824730
0.00500000 0.0760365
0.00625000 0.0680092
0.00750000 0.0620838
0.0100000 0.0537664
0.0125000 0.0480904
0.0150000 0.0439005
0.0200000 0.0380193
0.0253000 0.0338036
0.0314750 0.0303072
0.0376500 0.0277109
0.0500000 0.0240468
0.0625000 0.0215086
0.0750000 0.0196351
0.100000 0.0170053
0.125000 0.0152107
0.150000 0.0138860
0.200000 0.0120268
0.275000 0.0102579
0.350000 0.00909389
0.500000 0.00761060
0.750000 0.00621690
1.00000 0.00538648
1.50000 0.00440211
2.00000 0.00381587
2.75000 0.00325871
3.50000 0.00289255
5.00000 0.00242684
7.50000 0.00199076
10.0000 0.00173214
15.0000 0.00142767
20.0000 0.00124820
27.5000 0.00107990
35.0000 0.000971295
50.0000 0.000837175
75.0000 0.000719563
100.000 0.000657545
150.000 0.000602491
200.000 0.000592607
275.000 0.000628798
350.000 0.000723681
425.000 0.000904192
500.000 0.00124977
537.208 0.00154212
574.416 0.00198919
611.623 0.00272176
648.831 0.00404811
667.435 0.00515925
686.039 0.00684890
704.643 0.00960587
723.247 0.0145733
732.549 0.0187135
741.850 0.0249740
751.152 0.0351036
760.454 0.0531122
765.105 0.0679098
769.756 0.0899625
774.407 0.124921
779.058 0.185212
781.384 0.233244
783.709 0.302679
786.035 0.408282
788.360 0.579900
790.686 0.885061
791.848 1.13425
793.011 1.50093
794.174 2.06718
795.337 2.99193
796.499 4.59216
797.662 7.43960
798.831 11.8925
800.000 14.8387
801.169 11.8476
802.338 7.39642
803.110 5.33853
803.882 3.93364
805.427 2.31231
806.971 1.49224
808.515 1.03375
810.059 0.755112
811.604 0.574346
814.692 0.362985
817.780 0.249373
820.869 0.181568
823.957 0.137958
827.046 0.108296
833.223 0.0717241
839.400 0.0509174
845.577 0.0379759
851.754 0.0293891
864.107 0.0190714
876.461 0.0133528
888.815 0.00986139
901.169 0.00757730
925.877 0.00487421
950.585 0.00340059
975.292 0.00251250
1000.00 0.00193793
1031.25 0.00146330
1062.50 0.00115210
1125.00 0.000785637
1187.50 0.000590211
1250.00 0.000477795
1375.00 0.000372636
1500.00 0.000349005
1625.00 0.000379816
1750.00 0.000474982
1875.00 0.000691828
1937.50 0.000897136
2000.00 0.00124120
2037.63 0.00157204
2075.25 0.00207369
2112.88 0.00288694
2150.50 0.00433521
2169.31 0.00552687
2188.13 0.00730494
2206.94 0.0101287
2225.75 0.0150113
2244.56 0.0245666
2253.97 0.0331984
2263.38 0.0473028
2272.78 0.0725925
2277.49 0.0934182
2282.19 0.124329
2286.89 0.172619
2291.59 0.252790
2296.30 0.394794
2298.65 0.505749
2301.00 0.655342
2305.50 1.04937
2310.00 1.31029
2314.50 1.04408
2319.00 0.650271
2323.02 0.419671
2327.04 0.282752
2331.06 0.199975
2335.08 0.147610
2343.12 0.0888346
2351.16 0.0588673
2359.19 0.0417157
2367.23 0.0310441
2383.31 0.0190556
2399.39 0.0128521
2415.46 0.00924094
2431.54 0.00695870
2447.62 0.00542648
2479.77 0.00356296
2511.93 0.00251742
2544.08 0.00187350
2576.24 0.00144947
2640.55 0.000944056
2704.85 0.000666367
2769.16 0.000498009
2833.47 0.000388588
2962.09 0.000260660
3090.71 0.000194091
3219.33 0.000169400
3251.48 0.000179136
3283.64 0.000222063
3315.79 0.000484905
3331.87 0.00155528
3339.91 0.00581539
3341.92 0.0101998
3343.92 0.0225863
3344.93 0.0396953
3345.93 0.0875375
3346.44 0.152780
3346.69 0.216666
3346.94 0.330927
3347.19 0.566574
3347.32 0.792946
3347.44 1.18317
3347.57 1.95858
3347.63 2.66569
3347.69 3.80813
3347.76 5.90588
3347.79 7.68731
3347.82 10.2774
3347.85 14.5227
3347.88 21.4907
3347.91 34.0696
3347.94 58.0514
3347.97 93.3003
3348.00 116.020
3348.03 93.2987
3348.06 58.0504
3348.09 32.9979
3348.12 20.0867
3348.16 13.2534
3348.19 9.31878
3348.23 6.87964
3348.26 5.27450
3348.33 3.39130
3348.40 2.34580
3348.46 1.72418
3348.60 1.03883
3348.73 0.691240
3348.87 0.493832
3349.14 0.287873
3349.41 0.187998
3349.68 0.132500
3350.22 0.0758844
3351.30 0.0343845
3352.38 0.0195639
3354.55 0.00883919
3356.71 0.00504696
3365.37 0.00135984
3382.68 0.000427906
3417.30 0.000189507
3451.92 0.000141774
3486.54 0.000122684
3625.02 9.62264E-05
3901.98 8.19377E-05
4178.94 8.67922E-05
4317.42 0.000108067
4352.04 0.000125331
4386.66 0.000169766
4421.28 0.000394586
4438.59 0.00127457
4442.92 0.00217961
4447.25 0.00474131
4449.41 0.00828759
4451.57 0.0182426
4452.66 0.0318662
4453.20 0.0452905
4453.74 0.0694351
4454.28 0.119682
4454.55 0.168298
4454.82 0.253402
4454.96 0.323002
4455.09 0.424714
4455.23 0.582951
4455.36 0.848428
4455.50 1.34359
4455.56 1.77222
4455.63 2.42534
4455.70 3.52248
4455.77 5.47118
4455.80 7.08645
4455.83 9.43837
4455.87 12.9392
4455.90 18.1252
4455.95 28.9037
4456.00 36.2684
4456.05 28.9027
4456.10 18.1246
4456.13 12.9389
4456.17 9.52234
4456.23 5.59169
4456.30 3.58661
4456.37 2.48778
4456.43 1.81155
4456.50 1.38029
4456.63 0.872319
4456.76 0.599668
4456.90 0.437042
4457.16 0.261757
4457.43 0.173787
4457.69 0.123845
4458.22 0.0719186
4458.76 0.0469051
4459.29 0.0330207
4460.35 0.0189180
4461.41 0.0122577
4462.47 0.00860013
4464.60 0.00492404
4468.85 0.00226647
4473.10 0.00132807
4481.60 0.000654594
4490.09 0.000418777
4524.09 0.000195923
4558.08 0.000161661
4592.08 0.000157007
4660.06 0.000174757
4728.05 0.000216348
4796.04 0.000292635
4864.03 0.000442542
4898.02 0.000576845
4932.01 0.000794288
4966.01 0.00118050
4983.00 0.00149734
5000.00 0.00196869
5013.64 0.00253626
5027.29 0.00339877
5040.93 0.00480261
5054.58 0.00731734
5061.40 0.00939834
5068.22 0.0125198
5075.04 0.0175101
5081.86 0.0262184
5088.69 0.0434916
5092.10 0.0593163
5095.51 0.0855587
5098.92 0.133645
5100.62 0.174154
5102.33 0.235591
5104.04 0.334588
5104.89 0.407866
5105.74 0.506064
5106.59 0.640861
5107.45 0.829270
5108.30 1.09690
5109.15 1.47394
5110.58 2.35872
5112.00 2.94807
5113.43 2.35702
5114.85 1.47231
5115.99 0.993198
5117.14 0.692498
5118.28 0.502304
5119.43 0.377845
5121.71 0.233251
5124.00 0.157083
5126.29 0.112557
5128.57 0.0844595
5133.15 0.0524495
5137.72 0.0356553
5142.30 0.0257894
