Bi-209(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 11.0004
1.25000E-05 10.8209
1.50000E-05 10.6884
2.00000E-05 10.5024
2.75000E-05 10.3255
3.50000E-05 10.2090
4.25000E-05 10.1249
5.00000E-05 10.0606
6.25000E-05 9.98030
7.50000E-05 9.92104
0.000100000 9.83787
0.000125000 9.78111
0.000150000 9.73921
0.000200000 9.68039
0.000275000 9.62443
0.000350000 9.58760
0.000425000 9.56101
0.000500000 9.54066
0.000625000 9.51527
0.000750000 9.49654
0.00100000 9.47023
0.00125000 9.45228
0.00150000 9.43903
0.00200000 9.42043
0.00275000 9.40274
0.00350000 9.39109
0.00425000 9.38268
0.00500000 9.37624
0.00625000 9.36822
0.00750000 9.36229
0.0100000 9.35397
0.0125000 9.34829
0.0150000 9.34410
0.0200000 9.33821
0.0253000 9.33399
0.0314750 9.33049
0.0376500 9.32789
0.0500000 9.32421
0.0625000 9.32166
0.0750000 9.31978
0.100000 9.31712
0.125000 9.31531
0.150000 9.31396
0.200000 9.31205
0.275000 9.31021
0.350000 9.30898
0.500000 9.30736
0.750000 9.30573
1.00000 9.30466
1.50000 9.30321
2.00000 9.30215
2.75000 9.30089
3.50000 9.29982
5.00000 9.29794
7.50000 9.29513
10.0000 9.29249
15.0000 9.28739
20.0000 9.28236
27.5000 9.27482
35.0000 9.26723
50.0000 9.25177
75.0000 9.22498
100.000 9.19671
150.000 9.13497
200.000 9.06489
275.000 8.93930
350.000 8.77903
425.000 8.56504
500.000 8.26087
537.208 8.05514
574.416 7.79186
611.623 7.44190
648.831 6.95337
667.435 6.62914
686.039 6.22713
704.643 5.72005
723.247 5.07609
732.549 4.69852
741.850 4.29786
751.152 3.92652
760.454 3.76200
765.105 3.91585
769.756 4.44960
774.407 5.78083
779.058 8.91919
781.384 11.8981
783.709 16.6928
786.035 24.7330
788.360 39.0276
790.686 66.6655
791.848 90.5399
793.011 127.055
794.174 185.645
795.337 285.097
796.499 464.269
797.662 797.830
798.831 1352.74
800.000 1789.37
801.169 1513.70
802.338 1000.55
803.110 749.634
803.882 573.173
805.427 362.417
806.971 251.212
808.515 186.641
810.059 145.993
811.604 118.730
814.692 85.3995
817.780 66.3828
820.869 54.3825
823.957 46.2476
827.046 40.4315
833.223 32.7643
839.400 28.0024
845.577 24.7917
851.754 22.4956
864.107 19.4525
876.461 17.5406
888.815 16.2344
901.169 15.2878
925.877 14.0102
950.585 13.1884
975.292 12.6147
1000.00 12.1905
1031.25 11.7882
1062.50 11.4830
1125.00 11.0451
1187.50 10.7388
1250.00 10.5053
1375.00 10.1503
1500.00 9.86024
1625.00 9.57902
1750.00 9.26299
1875.00 8.85470
1937.50 8.58552
2000.00 8.24373
2037.63 7.98782
2075.25 7.68070
2112.88 7.30949
2150.50 6.86892
2169.31 6.63285
2188.13 6.41257
2206.94 6.27204
2225.75 6.39164
2244.56 7.34018
2253.97 8.65078
2263.38 11.3245
2272.78 17.0872
2277.49 22.4058
2282.19 30.9123
2286.89 45.1858
2291.59 70.5922
2296.30 118.874
2298.65 158.640
2301.00 214.515
2305.50 374.138
2310.00 510.703
2314.50 445.849
2319.00 304.539
2323.02 213.464
2327.04 156.132
2331.06 119.781
2335.08 95.7990
2343.12 67.4080
2351.16 51.8975
2359.19 42.4437
2367.23 36.2079
2383.31 28.6470
2399.39 24.3251
2415.46 21.5715
2431.54 19.6807
2447.62 18.3099
2479.77 16.4661
2511.93 15.2898
2544.08 14.4768
2576.24 13.8821
2640.55 13.0706
2704.85 12.5419
2769.16 12.1686
2833.47 11.8897
2962.09 11.4975
3090.71 11.2306
3219.33 11.0335
3251.48 10.9915
3283.64 10.9519
3315.79 10.9148
3331.87 10.8992
3339.91 10.9012
3341.92 10.9106
3343.92 10.9421
3344.93 10.9882
3345.93 11.1206
3346.44 11.3034
3346.69 11.4833
3346.94 11.8062
3347.19 12.4741
3347.32 13.1171
3347.44 14.2270
