U-235(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 5961.75
1.25000E-05 5332.30
1.50000E-05 4867.65
2.00000E-05 4215.43
2.41438E-05 3836.61
2.82875E-05 3544.43
3.65750E-05 3117.01
5.00000E-05 2665.77
6.25000E-05 2384.23
7.50000E-05 2176.39
0.000100000 1884.63
0.000125000 1685.50
0.000150000 1538.50
0.000200000 1332.12
0.000275000 1135.70
0.000350000 1006.39
0.000425000 913.006
0.000500000 841.491
0.000625000 752.261
0.000750000 686.351
0.00100000 593.744
0.00125000 530.452
0.00150000 483.657
0.00200000 417.806
0.00275000 354.847
0.00350000 313.134
0.00425000 282.798
0.00500000 259.392
0.00625000 229.890
0.00750000 207.815
0.0100000 176.272
0.0125000 154.329
0.0150000 137.953
0.0175000 125.187
0.0200000 114.932
0.0207590 112.204
0.0230295 104.910
0.0253000 98.6864
0.0314750 85.5999
0.0376500 76.2069
0.0438250 69.1049
0.0500000 63.5247
0.0625000 55.1998
0.0750000 49.3633
0.0875000 45.0809
0.100000 41.8681
0.122915 37.9247
0.145830 35.8527
0.168745 35.3400
0.191660 36.3425
0.200000 37.0911
0.218448 39.4440
0.236895 42.5033
0.255343 45.4509
0.273790 46.8089
0.284058 46.3247
0.294325 44.8358
0.314860 39.5107
0.355930 27.1324
0.373939 22.9910
0.391948 19.7566
0.409956 17.2546
0.427965 15.3082
0.500000 10.7312
0.625000 7.59660
0.750000 6.49243
0.875000 6.72160
0.937500 7.71524
1.00000 10.2013
1.05070 14.8401
1.13420 30.9064
1.15510 32.0532
1.17600 29.4552
1.21780 19.8058
1.24790 14.4717
1.27800 11.3830
1.30600 9.81373
1.33400 7.49549
1.37563 5.61230
1.41725 4.64207
1.50050 3.62192
1.66700 2.90146
1.75025 2.90530
1.83350 3.31867
1.87513 3.92136
1.91675 5.30813
1.93756 6.72451
1.95838 9.30963
1.97919 14.6576
1.98959 19.6335
2.00000 27.7251
2.01080 41.8507
2.03490 86.6413
2.04690 72.0875
2.05890 45.7876
2.06801 31.8486
2.07713 22.9060
2.08624 17.1682
2.09535 13.3764
2.11358 8.93847
2.13180 6.58486
2.16825 4.32872
2.20470 3.32849
2.27760 2.49489
2.35050 2.17974
2.49630 2.05032
2.64210 2.48538
2.69865 2.99732
2.72693 3.34444
2.75520 3.66996
2.81175 3.80857
2.86830 3.53075
2.91940 3.56713
2.97050 4.09734
3.02160 5.48076
3.04715 6.79742
3.07270 8.88988
3.14290 20.0117
3.16045 21.0996
3.17800 19.6006
3.21310 13.3796
3.23537 10.2420
3.25764 8.15173
3.30218 6.01825
3.34671 5.35982
3.39125 5.58897
3.43579 6.74113
3.48033 9.51995
3.50259 12.1439
3.52486 16.4095
3.54713 23.6972
3.56940 36.6005
3.59250 58.8329
3.61560 79.3108
3.62718 78.2761
3.63875 68.7515
3.66190 43.8090
3.67671 31.9430
3.69153 23.7612
3.70634 18.1945
3.72115 14.3493
3.75078 9.65496
3.78040 7.08116
3.82500 5.03038
3.86960 3.97126
3.91420 3.25634
3.95880 2.72505
4.06746 2.08107
4.17613 1.86820
4.39345 2.03819
4.50211 2.53171
4.55644 3.03167
4.61078 3.91319
4.66511 5.66374
4.69227 7.26570
4.71944 9.92086
4.74660 14.7915
4.76019 18.9042
4.77377 25.1694
4.78735 35.3302
4.80094 53.1660
4.81452 87.6228
4.82131 117.006
4.82810 159.868
