U-235(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 37388.8
1.25000E-05 33442.8
1.50000E-05 30529.9
2.00000E-05 26441.1
2.41438E-05 24066.3
2.82875E-05 22234.6
3.65750E-05 19555.0
5.00000E-05 16726.2
6.25000E-05 14961.1
7.50000E-05 13658.1
0.000100000 11829.0
0.000125000 10580.6
0.000150000 9658.91
0.000200000 8365.01
0.000275000 7133.53
0.000350000 6322.79
0.000425000 5737.32
0.000500000 5288.95
0.000625000 4729.54
0.000750000 4316.38
0.00100000 3735.97
0.00125000 3339.47
0.00150000 3046.48
0.00200000 2634.62
0.00275000 2241.83
0.00350000 1982.64
0.00425000 1795.09
0.00500000 1651.20
0.00625000 1471.33
0.00750000 1338.24
0.0100000 1150.95
0.0125000 1022.85
0.0150000 928.137
0.0175000 854.412
0.0200000 794.867
0.0207590 778.930
0.0230295 735.984
0.0253000 698.856
0.0314750 618.634
0.0376500 558.554
0.0438250 511.310
0.0500000 472.885
0.0625000 413.052
0.0750000 368.909
0.0875000 334.930
0.100000 308.075
0.122915 271.771
0.145830 247.473
0.168745 232.479
0.191660 225.911
0.200000 225.613
0.218448 228.949
0.236895 237.236
0.255343 247.946
0.273790 255.513
0.284058 255.847
0.294325 252.482
0.314860 235.702
0.355930 188.059
0.373939 170.043
0.391948 155.089
0.409956 142.850
0.427965 132.816
0.500000 106.647
0.625000 85.2687
0.750000 76.1166
0.875000 75.3177
0.937500 79.6161
1.00000 90.6464
1.05070 109.638
1.13420 155.273
1.15510 148.129
1.17600 127.722
1.21780 81.6381
1.24790 60.7338
1.27800 49.2429
1.30600 46.5078
1.33400 43.1310
1.37563 37.9266
1.41725 35.1856
1.50050 32.4648
1.66700 30.1983
1.75025 29.6731
1.83350 29.6760
1.87513 30.1674
1.91675 31.6232
1.93756 33.2415
1.95838 36.3026
1.97919 42.7837
1.98959 48.8810
2.00000 58.8540
2.01080 76.3511
2.03490 132.385
2.04690 114.568
2.05890 81.8614
2.06801 64.4375
2.07713 53.2141
2.08624 45.9803
2.09535 41.1741
2.11358 35.4946
2.13180 32.4265
2.16825 29.3702
2.20470 27.8961
2.27760 26.4143
2.35050 25.5598
2.49630 24.2393
2.64210 22.8201
2.69865 22.8381
2.72693 23.5946
2.75520 25.2730
2.81175 30.4415
2.86830 33.9914
2.91940 36.0419
2.97050 38.8697
3.02160 44.4169
3.04715 49.3080
3.07270 56.7299
3.14290 90.4112
3.16045 90.9373
3.17800 83.0378
3.21310 59.8615
3.23537 49.4881
3.25764 43.0002
3.30218 36.9637
3.34671 35.6071
3.39125 36.9182
3.43579 40.9097
3.48033 49.4241
3.50259 56.9611
3.52486 68.6668
3.54713 87.6948
3.56940 119.442
3.59250 169.544
3.61560 205.548
3.62718 194.503
3.63875 165.353
3.66190 102.008
3.67671 74.6494
3.69153 56.7567
3.70634 45.1390
3.72115 37.4573
3.75078 28.6086
3.78040 24.0973
3.82500 20.6234
3.86960 18.5746
3.91420 17.2446
3.95880 16.7428
4.06746 16.6446
4.17613 16.7541
4.39345 17.2224
4.50211 17.8180
4.55644 18.3838
4.61078 19.3635
4.66511 21.2907
4.69227 23.0473
4.71944 25.9536
4.74660 31.2802
4.76019 35.7771
4.77377 42.6293
4.78735 53.7473
4.80094 73.2784
4.81452 111.052
4.82131 143.295
4.82810 190.374
4.84970 393.268
4.85513 378.776
4.86055 326.994
4.87140 208.837
4.87944 148.649
4.88748 110.025
4.89551 85.1714
4.90355 68.6973
4.91963 49.3569
4.93570 39.0873
4.95178 33.0799
4.96785 29.3066
5.00000 25.0954
5.03100 23.0761
5.06200 22.0178
5.12400 21.3396
5.19470 21.8657
5.26540 23.3896
5.40680 28.5429
5.54815 31.5200
5.68950 30.3424
5.77970 29.9390
5.86990 31.0431
5.96010 35.0202
6.05030 45.7595
6.10745 60.2914
6.16460 80.6155
6.22175 92.0089
6.25033 97.0631
6.27890 111.752
6.29948 136.206
6.32005 185.842
6.33034 228.797
6.34063 293.401
6.35091 392.811
6.36120 545.760
6.37500 845.357
6.38880 1046.27
6.40260 837.167
6.41640 524.380
6.42413 399.249
6.43185 309.068
6.44730 197.848
6.46275 137.624
6.47820 102.429
6.49365 80.3951
6.50910 65.8003
6.54000 48.4034
6.57090 38.9110
6.60180 33.2368
6.66360 27.2926
6.72540 24.8200
6.78720 24.3242
6.84900 25.7879
6.91080 30.8165
6.94985 38.4486
6.96938 45.2439
