11-Na_n-tot
>  11-Na-23:1.000000
1.000000e-05 3.00100000e+01
1.250000e-05 2.72058000e+01
1.500000e-05 2.51358000e+01
2.000000e-05 2.22301000e+01
2.750000e-05 1.94650000e+01
3.500000e-05 1.76452000e+01
4.250000e-05 1.63312000e+01
5.000000e-05 1.53252000e+01
6.250000e-05 1.40703000e+01
7.500000e-05 1.31438000e+01
1.000000e-04 1.18427000e+01
1.250000e-04 1.09542000e+01
1.500000e-04 1.02979000e+01
2.000000e-04 9.37556000e+00
2.750000e-04 8.49606000e+00
3.500000e-04 7.91542000e+00
4.250000e-04 7.49478000e+00
5.000000e-04 7.17151000e+00
6.250000e-04 6.76612000e+00
7.500000e-04 6.46456000e+00
1.000000e-03 6.03600000e+00
1.250000e-03 5.75475000e+00
1.500000e-03 5.54694000e+00
2.000000e-03 5.25474000e+00
2.750000e-03 4.97583000e+00
3.500000e-03 4.79143000e+00
4.250000e-03 4.65764000e+00
5.000000e-03 4.55463000e+00
6.250000e-03 4.42515000e+00
7.500000e-03 4.32850000e+00
1.000000e-02 4.19040000e+00
1.250000e-02 4.09659000e+00
1.500000e-02 4.02598000e+00
2.000000e-02 3.92379000e+00
2.530000e-02 3.84700000e+00
3.265000e-02 3.77933000e+00
4.000000e-02 3.73000000e+00
5.000000e-02 3.68140000e+00
6.250000e-02 3.63640000e+00
7.500000e-02 3.60179000e+00
1.000000e-01 3.55000000e+00
1.250000e-01 3.51516000e+00
1.500000e-01 3.48766000e+00
2.000000e-01 3.44500000e+00
2.750000e-01 3.41087000e+00
3.500000e-01 3.38618000e+00
5.000000e-01 3.35000000e+00
7.500000e-01 3.30810000e+00
1.000000e+00 3.27500000e+00
1.500000e+00 3.25629000e+00
2.000000e+00 3.24377000e+00
2.750000e+00 3.22999000e+00
3.500000e+00 3.21918000e+00
5.000000e+00 3.20173000e+00
7.500000e+00 3.17795000e+00
1.000000e+01 3.15695000e+00
1.500000e+01 3.15340000e+00
2.000000e+01 3.15174000e+00
2.750000e+01 3.15082000e+00
3.500000e+01 3.15081000e+00
5.000000e+01 3.15210000e+00
7.500000e+01 3.15117000e+00
1.000000e+02 3.15103000e+00
1.500000e+02 3.16095000e+00
2.000000e+02 3.17088000e+00
3.000000e+02 3.19807000e+00
3.500000e+02 3.21407000e+00
4.000000e+02 3.22790000e+00
4.500000e+02 3.24782000e+00
5.000000e+02 3.26105000e+00
5.500000e+02 3.28034000e+00
6.000000e+02 3.30179000e+00
8.097500e+02 3.47014000e+00
9.896000e+02 3.70072000e+00
1.000000e+03 3.71719000e+00
1.130000e+03 3.97088000e+00
1.249200e+03 4.29144000e+00
1.369600e+03 4.72463000e+00
1.510200e+03 5.44228000e+00
1.629400e+03 6.32038000e+00
1.730700e+03 7.45460000e+00
1.865350e+03 9.80227000e+00
2.000000e+03 1.35537000e+01
2.155450e+03 2.12606000e+01
2.233180e+03 2.76415000e+01
2.310900e+03 3.70400000e+01
2.388630e+03 5.14185000e+01
2.466350e+03 7.43506000e+01
2.544080e+03 1.12350000e+02
2.621800e+03 1.75934000e+02
2.715900e+03 2.94852000e+02
2.810000e+03 3.79023000e+02
2.904100e+03 3.12465000e+02
2.998200e+03 2.05505000e+02
3.053510e+03 1.59202000e+02
3.108820e+03 1.25402000e+02
3.219440e+03 8.29051000e+01
3.330060e+03 5.92063000e+01
3.440680e+03 4.49268000e+01
3.551290e+03 3.57114000e+01
3.661910e+03 2.94222000e+01
3.883150e+03 2.16077000e+01
4.104390e+03 1.70857000e+01
4.325630e+03 1.42093000e+01
4.546860e+03 1.22502000e+01
4.768100e+03 1.08457000e+01
5.000000e+03 9.75435000e+00
5.006500e+03 9.72797000e+00
5.028100e+03 9.64343000e+00
5.049700e+03 9.56102000e+00
5.092900e+03 9.40226000e+00
5.179300e+03 9.10721000e+00
5.352100e+03 8.59424000e+00
5.912200e+03 7.49757000e+00
6.651100e+03 6.62310000e+00
7.104000e+03 6.25639000e+00
7.330450e+03 6.10840000e+00
7.443680e+03 6.04150000e+00
7.556900e+03 5.97886000e+00
7.586800e+03 5.96218000e+00
7.601750e+03 5.95452000e+00
7.609220e+03 5.95291000e+00
7.612960e+03 5.95999000e+00
7.614830e+03 5.98917000e+00
7.615760e+03 6.07235000e+00
7.616230e+03 6.24490000e+00
7.616460e+03 6.48576000e+00
7.616700e+03 7.06036000e+00
7.617000e+03 8.17421000e+00
7.617300e+03 7.05828000e+00
7.617540e+03 6.48366000e+00
7.617770e+03 6.24353000e+00
7.618230e+03 6.07076000e+00
7.619160e+03 5.98657000e+00
7.621030e+03 5.95538000e+00
7.624750e+03 5.94425000e+00
7.632190e+03 5.93769000e+00
7.647070e+03 5.92895000e+00
7.676840e+03 5.91278000e+00
7.736380e+03 5.88144000e+00
7.855450e+03 5.82162000e+00
8.093600e+03 5.71207000e+00
8.569900e+03 5.52669000e+00
9.946400e+03 5.13742000e+00
1.000000e+04 5.12545000e+00
1.017300e+04 5.08821000e+00
1.034600e+04 5.05295000e+00
1.069200e+04 4.98780000e+00
1.138400e+04 4.87562000e+00
1.333300e+04 4.63881000e+00
1.499980e+04 4.49719000e+00
1.666650e+04 4.39059000e+00
2.000000e+04 4.23899000e+00
2.080100e+04 4.21060000e+00
2.262440e+04 4.16924000e+00
2.444780e+04 4.13654000e+00
2.809460e+04 4.08950000e+00
3.174140e+04 4.05956000e+00
3.265320e+04 4.05415000e+00
3.356490e+04 4.04949000e+00
3.447660e+04 4.04559000e+00
3.493240e+04 4.04403000e+00
3.516030e+04 4.04381000e+00
3.527430e+04 4.04569000e+00
3.533130e+04 4.05438000e+00
3.535980e+04 4.08762000e+00
3.536690e+04 4.11986000e+00
3.537400e+04 4.20372000e+00
3.537760e+04 4.30778000e+00
3.538110e+04 4.55488000e+00
3.538290e+04 4.82860000e+00
3.538470e+04 5.38499000e+00
3.538650e+04 6.74847000e+00
3.538740e+04 8.23176000e+00
3.538830e+04 1.09076000e+01
3.538910e+04 1.50577000e+01
3.539000e+04 1.77866000e+01
