12-Mg_n-g
>  12-Mg-24:0.789900
>  12-Mg-25:0.100000
>  12-Mg-26:0.110100
1.000000e-05 3.16773194e+00
1.250000e-05 2.83330050e+00
1.500000e-05 2.58644080e+00
2.000000e-05 2.23992249e+00
2.750000e-05 1.91021096e+00
3.500000e-05 1.69322089e+00
4.250000e-05 1.53657710e+00
5.000000e-05 1.41665470e+00
6.250000e-05 1.26709149e+00
7.500000e-05 1.15669130e+00
1.000000e-04 1.00172333e+00
1.250000e-04 8.95968706e-01
1.500000e-04 8.17904291e-01
2.000000e-04 7.08325326e-01
2.750000e-04 6.04061539e-01
3.500000e-04 5.35442975e-01
4.250000e-04 4.85907947e-01
5.000000e-04 4.47984408e-01
6.250000e-04 4.00689578e-01
7.500000e-04 3.65778342e-01
1.000000e-03 3.16773194e-01
1.250000e-03 2.83330050e-01
1.500000e-03 2.58644080e-01
2.000000e-03 2.23992249e-01
2.750000e-03 1.91021096e-01
3.500000e-03 1.69322089e-01
4.250000e-03 1.53657710e-01
5.000000e-03 1.41665470e-01
6.250000e-03 1.26709149e-01
7.500000e-03 1.15669130e-01
1.000000e-02 1.00172412e-01
1.250000e-02 8.95968706e-02
1.500000e-02 8.17904292e-02
2.000000e-02 7.08325216e-02
2.530000e-02 6.29778430e-02
3.147500e-02 5.64630889e-02
3.765000e-02 5.16256829e-02
5.000000e-02 4.47984298e-02
6.250000e-02 4.00690258e-02
7.500000e-02 3.65778232e-02
1.000000e-01 3.16773084e-02
1.250000e-01 2.83330830e-02
1.500000e-01 2.58644070e-02
2.000000e-01 2.23993029e-02
2.750000e-01 1.91021876e-02
3.500000e-01 1.69322869e-02
5.000000e-01 1.41666162e-02
7.500000e-01 1.15670003e-02
1.000000e+00 1.00173432e-02
1.500000e+00 8.17916987e-03
2.000000e+00 7.08340840e-03
2.750000e+00 6.04079763e-03
3.500000e+00 5.35463697e-03
5.000000e+00 4.48008979e-03
7.500000e+00 3.65807011e-03
1.000000e+01 3.16806591e-03
1.500000e+01 2.58685574e-03
2.000000e+01 2.24040301e-03
2.750000e+01 1.91077235e-03
3.500000e+01 1.69385445e-03
5.000000e+01 1.41740550e-03
7.500000e+01 1.15762235e-03
1.000000e+02 1.00280306e-03
1.500000e+02 8.19235551e-04
2.000000e+02 7.09876558e-04
2.750000e+02 6.05900912e-04
3.500000e+02 5.37541770e-04
5.000000e+02 4.50547645e-04
7.500000e+02 3.69031953e-04
1.000000e+03 3.20666802e-04
1.500000e+03 2.63752577e-04
2.000000e+03 2.30296549e-04
2.750000e+03 1.99160136e-04
3.500000e+03 1.79399120e-04
5.000000e+03 1.56090325e-04
7.500000e+03 1.39562604e-04
1.000000e+04 1.38796022e-04
1.209980e+04 1.52610912e-04
1.314960e+04 1.66650664e-04
1.419950e+04 1.90308459e-04
1.500000e+04 2.22707242e-04
1.524940e+04 2.33183195e-04
1.629930e+04 3.19508848e-04
1.682420e+04 3.96676627e-04
1.734910e+04 5.20063406e-04
1.787410e+04 7.31009281e-04
1.839900e+04 1.11866206e-03
1.990000e+04 3.51115122e-03
2.000000e+04 3.43359644e-03
2.035030e+04 2.77815107e-03
2.070050e+04 2.01592548e-03
2.105080e+04 1.44657012e-03
2.140100e+04 1.06908752e-03
2.184790e+04 7.69384049e-04
2.229470e+04 5.87631345e-04
2.274160e+04 4.71651870e-04
2.318840e+04 3.94057166e-04
2.408220e+04 3.01080217e-04
2.497590e+04 2.50424039e-04
2.658730e+04 2.06302153e-04
2.676330e+04 2.01777449e-04
2.750000e+04 1.94567284e-04
2.855080e+04 1.84323771e-04
3.212560e+04 1.78012601e-04
3.317460e+04 1.80202572e-04
3.500000e+04 1.88020569e-04
3.570050e+04 1.91038968e-04
3.858730e+04 2.09548323e-04
4.285030e+04 2.52183749e-04
4.400000e+04 2.66104454e-04
4.517460e+04 2.92847682e-04
4.576180e+04 3.42298147e-04
4.605550e+04 5.09612010e-04
4.620230e+04 1.16026734e-03
4.627570e+04 3.72188959e-03
4.631240e+04 1.36788517e-02
4.633070e+04 5.12715770e-02
4.633530e+04 8.80320326e-02
4.633990e+04 1.85364311e-01
4.634220e+04 3.09299626e-01
4.634450e+04 6.12613332e-01
4.634570e+04 9.64760234e-01
4.634680e+04 1.71418576e+00
4.634740e+04 2.46682618e+00
4.634800e+04 3.77339977e+00
4.634850e+04 6.29297540e+00
4.634880e+04 8.46920519e+00
4.634910e+04 1.14855173e+01
4.634960e+04 1.84927992e+01
4.635000e+04 2.30434131e+01
4.635050e+04 1.83301588e+01
4.635090e+04 1.14857543e+01
4.635140e+04 7.09582186e+00
4.635180e+04 4.62657867e+00
4.635230e+04 3.19791024e+00
4.635270e+04 2.33778023e+00
4.635360e+04 1.38344675e+00
4.635450e+04 9.07998040e-01
4.635630e+04 4.74324776e-01
4.635800e+04 2.90030051e-01
4.636160e+04 1.40174181e-01
4.636520e+04 8.24427678e-02
4.637230e+04 3.83936945e-02
4.637940e+04 2.22062898e-02
4.640790e+04 5.95831670e-03
4.646500e+04 1.73992968e-03
4.657900e+04 6.65822583e-04
4.680710e+04 3.97386564e-04
4.726320e+04 3.36413252e-04
4.817550e+04 3.35305757e-04
5.000000e+04 3.67126540e-04
5.321660e+04 4.71911789e-04
5.643310e+04 5.86537157e-04
5.724950e+04 6.20737975e-04
5.934960e+04 7.56428120e-04
5.964970e+04 7.75819598e-04
6.087430e+04 8.70867369e-04
6.125790e+04 9.12706543e-04
6.206210e+04 1.03868427e-03
6.226310e+04 1.10012910e-03
6.246410e+04 1.23117793e-03
6.256470e+04 1.38915455e-03
6.266520e+04 1.79749796e-03
6.271540e+04 2.32205507e-03
6.276570e+04 3.66104938e-03
6.279080e+04 5.29319743e-03
6.280340e+04 6.74745056e-03
6.281600e+04 9.08548368e-03
6.282850e+04 1.31845286e-02
6.284110e+04 2.12529617e-02
6.284740e+04 2.84774783e-02
6.285360e+04 3.99527867e-02
6.285990e+04 5.90657032e-02
6.286620e+04 9.14904198e-02
6.287310e+04 1.45806186e-01
6.288000e+04 1.82013751e-01
6.288690e+04 1.45756317e-01
6.289380e+04 9.14602828e-02
6.290030e+04 5.83943158e-02
6.290670e+04 3.91791406e-02
6.291320e+04 2.77738735e-02
6.291960e+04 2.06623983e-02
6.293250e+04 1.27704560e-02
6.294540e+04 8.79719373e-03
6.295830e+04 6.53834146e-03
6.297120e+04 5.14077918e-03
6.299700e+04 3.57753463e-03
6.302280e+04 2.77259008e-03
6.304850e+04 2.30585733e-03
6.310010e+04 1.81592523e-03
6.315170e+04 1.57951913e-03
6.320330e+04 1.44936403e-03
6.330640e+04 1.32211463e-03
6.351280e+04 1.24422023e-03
6.371910e+04 1.23292363e-03
6.402430e+04 1.25951253e-03
6.449900e+04 1.30087197e-03
6.454440e+04 1.30767255e-03
6.619490e+04 1.65225663e-03
6.636170e+04 1.69510507e-03
6.753040e+04 1.99538492e-03
6.784550e+04 2.07646880e-03
6.811480e+04 2.16542676e-03
6.812380e+04 2.16842791e-03
6.840690e+04 2.30314386e-03
6.855300e+04 2.37630279e-03
6.862610e+04 2.42725730e-03
6.866260e+04 2.50858710e-03
6.868090e+04 2.76095023e-03
6.869000e+04 3.64621868e-03
6.869460e+04 6.53816387e-03
6.869680e+04 1.43786422e-02
6.869800e+04 3.00539257e-02
6.869910e+04 9.96650601e-02
6.869990e+04 1.96768023e-01
6.870070e+04 9.95429442e-02
6.870160e+04 3.53397653e-02
6.870260e+04 1.76056599e-02
6.870450e+04 7.92517801e-03
6.870830e+04 4.11688512e-03
6.871600e+04 2.91096862e-03
6.873130e+04 2.57690329e-03
6.876180e+04 2.50064205e-03
6.882300e+04 2.50619033e-03
6.894520e+04 2.55797386e-03
6.918970e+04 2.67195222e-03
6.949600e+04 2.81637686e-03
6.967880e+04 2.91563063e-03
7.044700e+04 3.33325115e-03
7.065690e+04 3.45351944e-03
7.139800e+04 3.87821703e-03
7.174850e+04 4.03452627e-03
7.261310e+04 4.61947225e-03
7.330000e+04 5.08420313e-03
7.356090e+04 5.16955421e-03
7.520200e+04 6.21781627e-03
7.537330e+04 6.32266182e-03
7.652550e+04 7.69053016e-03
7.710400e+04 8.37731545e-03
7.718560e+04 8.48933311e-03
7.768610e+04 9.71123738e-03
7.826820e+04 1.13048742e-02
7.855930e+04 1.22886523e-02
7.870480e+04 1.29005327e-02
7.885030e+04 1.36768630e-02
7.899580e+04 1.47759034e-02
7.899800e+04 1.48033549e-02
7.914140e+04 1.68476176e-02
7.921410e+04 1.84517051e-02
7.928690e+04 2.07962676e-02
7.935960e+04 2.44420151e-02
7.943240e+04 3.03013677e-02
7.951620e+04 4.03456782e-02
7.960000e+04 4.71437887e-02
7.968390e+04 4.09378243e-02
7.976770e+04 3.16193348e-02
7.986590e+04 2.51498757e-02
7.996410e+04 2.20773367e-02
8.006240e+04 2.06246326e-02
8.016060e+04 1.99532436e-02
8.035700e+04 1.96541454e-02
8.055340e+04 1.99476072e-02
8.074990e+04 2.04890741e-02
8.094630e+04 2.11673579e-02
8.114280e+04 2.20441388e-02
8.124100e+04 2.30062638e-02
8.124900e+04 2.32127626e-02
8.126550e+04 2.36396137e-02
8.129010e+04 2.50375737e-02
8.130240e+04 2.65603937e-02
8.130850e+04 2.78161533e-02
8.131460e+04 2.96903529e-02
