12-Mg_n-tot
>  12-Mg-24:0.789900
>  12-Mg-25:0.100000
>  12-Mg-26:0.110100
1.000000e-05 6.69976522e+00
1.250000e-05 6.36534378e+00
1.500000e-05 6.11846708e+00
2.000000e-05 5.77195287e+00
2.750000e-05 5.44224924e+00
3.500000e-05 5.22525917e+00
4.250000e-05 5.06860715e+00
5.000000e-05 4.94868453e+00
6.250000e-05 4.79912088e+00
7.500000e-05 4.68872598e+00
1.000000e-04 4.53375273e+00
1.250000e-04 4.42800384e+00
1.500000e-04 4.34993592e+00
2.000000e-04 4.24035741e+00
2.750000e-04 4.13609869e+00
3.500000e-04 4.06747460e+00
4.250000e-04 4.01794274e+00
5.000000e-04 3.98002156e+00
6.250000e-04 3.93272246e+00
7.500000e-04 3.89780852e+00
1.000000e-03 3.84880576e+00
1.250000e-03 3.81536589e+00
1.500000e-03 3.79068236e+00
2.000000e-03 3.75602992e+00
2.750000e-03 3.72305725e+00
3.500000e-03 3.70135496e+00
4.250000e-03 3.68568906e+00
5.000000e-03 3.67370209e+00
6.250000e-03 3.65873987e+00
7.500000e-03 3.64770508e+00
1.000000e-02 3.63220388e+00
1.250000e-02 3.62163218e+00
1.500000e-02 3.61382812e+00
2.000000e-02 3.60287013e+00
2.530000e-02 3.59500828e+00
3.147500e-02 3.58849581e+00
3.765000e-02 3.58366110e+00
5.000000e-02 3.57683523e+00
6.250000e-02 3.57210232e+00
7.500000e-02 3.56860899e+00
1.000000e-01 3.56371138e+00
1.250000e-01 3.56036784e+00
1.500000e-01 3.55789959e+00
2.000000e-01 3.55443226e+00
2.750000e-01 3.55113652e+00
3.500000e-01 3.54896076e+00
5.000000e-01 3.54619311e+00
7.500000e-01 3.54359696e+00
1.000000e+00 3.54204399e+00
1.500000e+00 3.54020142e+00
2.000000e+00 3.53909955e+00
2.750000e+00 3.53804746e+00
3.500000e+00 3.53735678e+00
5.000000e+00 3.53647429e+00
7.500000e+00 3.53562960e+00
1.000000e+01 3.53511341e+00
1.500000e+01 3.53449022e+00
2.000000e+01 3.53410142e+00
2.750000e+01 3.53370952e+00
3.500000e+01 3.53342932e+00
5.000000e+01 3.53302272e+00
7.500000e+01 3.53255320e+00
1.000000e+02 3.53218658e+00
1.500000e+02 3.53157805e+00
2.000000e+02 3.53105331e+00
2.750000e+02 3.53031676e+00
3.500000e+02 3.52961120e+00
5.000000e+02 3.52826899e+00
7.500000e+02 3.52611331e+00
1.000000e+03 3.52401782e+00
1.500000e+03 3.51991477e+00
2.000000e+03 3.51593452e+00
2.750000e+03 3.51014272e+00
3.500000e+03 3.50459083e+00
5.000000e+03 3.49426272e+00
7.500000e+03 3.48008594e+00
1.000000e+04 3.47272702e+00
1.209980e+04 3.47940662e+00
1.314960e+04 3.49230179e+00
1.419950e+04 3.51896660e+00
1.500000e+04 3.56075653e+00
1.524940e+04 3.57396572e+00
1.629930e+04 3.69512853e+00
1.682420e+04 3.81000257e+00
1.734910e+04 4.00034062e+00
1.787410e+04 4.33645337e+00
1.839900e+04 4.97342542e+00
1.990000e+04 9.30174750e+00
2.000000e+04 9.20816450e+00
2.035030e+04 8.17745929e+00
2.070050e+04 6.89341426e+00
2.105080e+04 5.90472905e+00
2.140100e+04 5.23478402e+00
2.184790e+04 4.69166364e+00
2.229470e+04 4.35476344e+00
2.274160e+04 4.13483806e+00
2.318840e+04 3.98415186e+00
2.408220e+04 3.79674910e+00
2.497590e+04 3.68822952e+00
2.658730e+04 3.58268692e+00
2.676330e+04 3.57146221e+00
2.750000e+04 3.54743796e+00
2.855080e+04 3.51328779e+00
3.212560e+04 3.45443910e+00
3.317460e+04 3.44522681e+00
3.500000e+04 3.43391012e+00
3.570050e+04 3.42964897e+00
3.858730e+04 3.42177312e+00
4.285030e+04 3.42715763e+00
4.400000e+04 3.42999906e+00
4.517460e+04 3.43715094e+00
4.576180e+04 3.44151330e+00
4.605550e+04 3.44412846e+00
4.620230e+04 3.44642759e+00
4.627570e+04 3.45129364e+00
4.631240e+04 3.46808309e+00
4.633070e+04 3.53044007e+00
4.633530e+04 3.59130429e+00
4.633990e+04 3.75239103e+00
4.634220e+04 3.95747003e+00
4.634450e+04 4.45934606e+00
4.634570e+04 5.04200234e+00
4.634680e+04 6.28198228e+00
4.634740e+04 7.52727265e+00
4.634800e+04 9.68903660e+00
4.634850e+04 1.38578105e+01
4.634880e+04 1.74585683e+01
4.634910e+04 2.24491551e+01
4.634960e+04 3.40430680e+01
4.635000e+04 4.15721560e+01
4.635050e+04 3.37737080e+01
4.635090e+04 2.24493838e+01
4.635140e+04 1.51860930e+01
4.635180e+04 1.11006493e+01
4.635230e+04 8.73679227e+00
4.635270e+04 7.31370658e+00
4.635360e+04 5.73473971e+00
4.635450e+04 4.94811364e+00
4.635630e+04 4.23059175e+00
4.635800e+04 3.92569039e+00
4.636160e+04 3.67778732e+00
4.636520e+04 3.58229546e+00
4.637230e+04 3.50948125e+00
4.637940e+04 3.48276560e+00
4.640790e+04 3.45613267e+00
4.646500e+04 3.44965213e+00
4.657900e+04 3.44890384e+00
4.680710e+04 3.45056638e+00
4.726320e+04 3.45495830e+00
4.817550e+04 3.46510821e+00
5.000000e+04 3.49080350e+00
5.321660e+04 3.58723189e+00
5.643310e+04 3.68471389e+00
5.724950e+04 3.71042731e+00
5.934960e+04 3.85049916e+00
5.964970e+04 3.87052761e+00
6.087430e+04 3.95477528e+00
6.125790e+04 4.00079506e+00
6.206210e+04 4.09747647e+00
6.226310e+04 4.12098855e+00
6.246410e+04 4.14336364e+00
6.256470e+04 4.15361422e+00
6.266520e+04 4.16268576e+00
6.271540e+04 4.16691201e+00
6.276570e+04 4.17285330e+00
6.279080e+04 4.17970643e+00
6.280340e+04 4.18651551e+00
6.281600e+04 4.19873259e+00
6.282850e+04 4.22293464e+00
6.284110e+04 4.27715772e+00
6.284740e+04 4.33035126e+00
6.285360e+04 4.42066576e+00
6.285990e+04 4.58198330e+00
6.286620e+04 4.87768784e+00
6.287310e+04 5.42971663e+00
6.288000e+04 5.92043741e+00
6.288690e+04 5.72465819e+00
6.289380e+04 5.24780898e+00
6.290030e+04 4.92266060e+00
6.290670e+04 4.72036118e+00
6.291320e+04 4.59367480e+00
6.291960e+04 4.51099139e+00
6.293250e+04 4.41407859e+00
6.294540e+04 4.36201079e+00
6.295830e+04 4.33085700e+00
6.297120e+04 4.31082920e+00
6.299700e+04 4.28772361e+00
6.302280e+04 4.27584202e+00
6.304850e+04 4.26941038e+00
6.310010e+04 4.26444620e+00
6.315170e+04 4.26450101e+00
6.320330e+04 4.26694483e+00
6.330640e+04 4.27525842e+00
6.351280e+04 4.29744268e+00
6.371910e+04 4.32240190e+00
6.402430e+04 4.36269064e+00
6.449900e+04 4.42536352e+00
6.454440e+04 4.43614624e+00
6.619490e+04 4.85624329e+00
6.636170e+04 4.90469691e+00
6.753040e+04 5.24420386e+00
6.784550e+04 5.33574388e+00
6.811480e+04 5.43388816e+00
6.812380e+04 5.43716839e+00
6.840690e+04 5.61055654e+00
6.855300e+04 5.70005330e+00
6.862610e+04 5.74487415e+00
6.866260e+04 5.76736239e+00
6.868090e+04 5.77895588e+00
6.869000e+04 5.78569693e+00
6.869460e+04 5.79196564e+00
6.869680e+04 5.80215779e+00
6.869800e+04 5.82003114e+00
6.869910e+04 5.89464711e+00
6.869990e+04 5.99365911e+00
6.870070e+04 5.88899162e+00
6.870160e+04 5.82306242e+00
6.870260e+04 5.80578161e+00
6.870450e+04 5.79746493e+00
6.870830e+04 5.79627530e+00
6.871600e+04 5.80000728e+00
6.873130e+04 5.80917380e+00
6.876180e+04 5.82783862e+00
6.882300e+04 5.86533594e+00
6.894520e+04 5.94018932e+00
6.918970e+04 6.08993753e+00
6.949600e+04 6.27752933e+00
6.967880e+04 6.40732012e+00
7.044700e+04 6.95274949e+00
7.065690e+04 7.11925893e+00
7.139800e+04 7.70716279e+00
7.174850e+04 7.98630692e+00
7.261310e+04 9.03156364e+00
7.330000e+04 9.86199913e+00
7.356090e+04 1.00961746e+01
7.520200e+04 1.25052753e+01
7.537330e+04 1.27238220e+01
7.652550e+04 1.54333668e+01
7.710400e+04 1.67937980e+01
7.718560e+04 1.69866348e+01
7.768610e+04 1.91980397e+01
7.826820e+04 2.17890754e+01
7.855930e+04 2.30997876e+01
7.870480e+04 2.37631993e+01
7.885030e+04 2.44374010e+01
7.899580e+04 2.51322828e+01
7.899800e+04 2.51434760e+01
7.914140e+04 2.63947480e+01
7.921410e+04 2.70649447e+01
7.928690e+04 2.77827340e+01
7.935960e+04 2.85821008e+01
7.943240e+04 2.95229301e+01
7.951620e+04 3.08180333e+01
7.960000e+04 3.19151466e+01
7.968390e+04 3.21905424e+01
7.976770e+04 3.22612057e+01
7.986590e+04 3.26218107e+01
7.996410e+04 3.31969957e+01
8.006240e+04 3.38759233e+01
8.016060e+04 3.46039683e+01
8.035700e+04 3.61271883e+01
8.055340e+04 3.76888593e+01
8.074990e+04 3.92672729e+01
8.094630e+04 4.08522559e+01
8.114280e+04 4.24405225e+01
8.124100e+04 4.32346935e+01
8.124900e+04 4.33000866e+01
8.126550e+04 4.34460131e+01
8.129010e+04 4.36704754e+01
8.130240e+04 4.37917795e+01
8.130850e+04 4.38580923e+01
8.131460e+04 4.39325971e+01
