13-Al_n-g
>  13-Al-27:1.000000
1.000000e-05 1.17428000e+01
1.250000e-05 1.05030000e+01
1.500000e-05 9.58792000e+00
2.000000e-05 8.30339000e+00
2.750000e-05 7.08115000e+00
3.500000e-05 6.27677000e+00
4.250000e-05 5.69608000e+00
5.000000e-05 5.25152000e+00
6.250000e-05 4.69710000e+00
7.500000e-05 4.28785000e+00
1.000000e-04 3.71339000e+00
1.250000e-04 3.32135000e+00
1.500000e-04 3.03197000e+00
2.000000e-04 2.62576000e+00
2.750000e-04 2.23926000e+00
3.500000e-04 1.98489000e+00
4.250000e-04 1.80126000e+00
5.000000e-04 1.66068000e+00
6.250000e-04 1.48535000e+00
7.500000e-04 1.35594000e+00
1.000000e-03 1.17428000e+00
1.250000e-03 1.05030000e+00
1.500000e-03 9.58792000e-01
2.000000e-03 8.30338000e-01
2.750000e-03 7.08115000e-01
3.500000e-03 6.27676000e-01
4.250000e-03 5.69607000e-01
5.000000e-03 5.25152000e-01
6.250000e-03 4.69710000e-01
7.500000e-03 4.28784000e-01
1.000000e-02 3.71338000e-01
1.250000e-02 3.32134000e-01
1.500000e-02 3.03196000e-01
2.000000e-02 2.62575000e-01
2.530000e-02 2.33457000e-01
3.147500e-02 2.09307000e-01
3.765000e-02 1.91375000e-01
5.000000e-02 1.66066000e-01
6.250000e-02 1.48533000e-01
7.500000e-02 1.35591000e-01
1.000000e-01 1.17425000e-01
1.250000e-01 1.05027000e-01
1.500000e-01 9.58759000e-02
2.000000e-01 8.30300000e-02
2.750000e-01 7.08070000e-02
3.500000e-01 6.27627000e-02
5.000000e-01 5.25092000e-02
7.500000e-01 4.28711000e-02
1.000000e+00 3.71254000e-02
1.500000e+00 3.03093000e-02
2.000000e+00 2.62456000e-02
2.750000e+00 2.23785000e-02
3.500000e+00 1.98330000e-02
5.000000e+00 1.65878000e-02
7.500000e+00 1.35362000e-02
1.000000e+01 1.17160000e-02
1.500000e+01 9.55522000e-03
2.000000e+01 8.26572000e-03
2.750000e+01 7.03716000e-03
3.500000e+01 6.22734000e-03
5.000000e+01 5.19291000e-03
7.500000e+01 4.21700000e-03
1.000000e+02 3.63264000e-03
1.500000e+02 2.93560000e-03
2.000000e+02 2.51728000e-03
2.750000e+02 2.11675000e-03
3.500000e+02 1.85169000e-03
5.000000e+02 1.51250000e-03
7.500000e+02 1.19410000e-03
1.000000e+03 1.00675000e-03
1.500000e+03 7.92055000e-04
2.000000e+03 6.72763000e-04
2.750000e+03 5.73182000e-04
3.500000e+03 5.27724000e-04
4.250000e+03 5.38765000e-04
4.625000e+03 5.92565000e-04
5.000000e+03 7.55538000e-04
5.224010e+03 1.02189000e-03
5.336010e+03 1.29296000e-03
5.448020e+03 1.79227000e-03
5.504020e+03 2.21521000e-03
5.560020e+03 2.86288000e-03
5.616020e+03 3.92618000e-03
5.672020e+03 5.85135000e-03
5.700020e+03 7.45954000e-03
5.728030e+03 9.89261000e-03
5.756030e+03 1.38259000e-02
5.784030e+03 2.07967000e-02
5.798030e+03 2.64993000e-02
5.812030e+03 3.49535000e-02
5.826030e+03 4.82523000e-02
5.840030e+03 7.09099000e-02
5.854030e+03 1.14177000e-01
5.861030e+03 1.52214000e-01
5.868030e+03 2.12551000e-01
5.875030e+03 3.16017000e-01
5.882030e+03 5.13029000e-01
5.885530e+03 6.83208000e-01
5.889030e+03 9.43779000e-01
5.892530e+03 1.35708000e+00
5.896030e+03 2.01780000e+00
5.900360e+03 3.22744000e+00
5.904680e+03 4.02756000e+00
5.909010e+03 3.21738000e+00
5.913330e+03 2.01103000e+00
5.917320e+03 1.28356000e+00
5.921310e+03 8.57561000e-01
5.925300e+03 6.03099000e-01
5.929290e+03 4.43484000e-01
5.937280e+03 2.65839000e-01
5.945260e+03 1.75926000e-01
5.953240e+03 1.24692000e-01
5.961220e+03 9.28913000e-02
5.977190e+03 5.72363000e-02
5.993150e+03 3.88025000e-02
6.009110e+03 2.80687000e-02
6.025080e+03 2.12783000e-02
6.041040e+03 1.67139000e-02
6.072970e+03 1.11499000e-02
6.104890e+03 8.01668000e-03
6.136820e+03 6.07944000e-03
6.168750e+03 4.79840000e-03
6.232600e+03 3.26213000e-03
6.296460e+03 2.41037000e-03
6.424160e+03 1.54631000e-03
6.551870e+03 1.13763000e-03
6.679580e+03 9.11744000e-04
6.935000e+03 6.82236000e-04
7.445830e+03 5.11393000e-04
7.956670e+03 4.47732000e-04
1.000000e+04 3.82298000e-04
1.500000e+04 4.09195000e-04
2.000000e+04 5.56105000e-04
2.215260e+04 6.86111000e-04
2.322900e+04 7.79762000e-04
2.376710e+04 8.37148000e-04
2.403620e+04 8.70133000e-04
2.417070e+04 8.92088000e-04
2.423800e+04 9.21405000e-04
2.427170e+04 1.00655000e-03
2.428010e+04 1.08917000e-03
2.428850e+04 1.31513000e-03
2.429270e+04 1.61697000e-03
2.429690e+04 2.41748000e-03
2.429900e+04 3.43884000e-03
2.430110e+04 5.97050000e-03
2.430210e+04 8.92803000e-03
2.430320e+04 1.53859000e-02
2.430370e+04 2.19488000e-02
2.430420e+04 3.35440000e-02
2.430450e+04 4.34005000e-02
2.430480e+04 5.72094000e-02
2.430500e+04 7.75883000e-02
2.430530e+04 1.07606000e-01
2.430570e+04 1.72141000e-01
2.430610e+04 2.14907000e-01
2.430650e+04 1.71243000e-01
2.430680e+04 1.06911000e-01
2.430710e+04 7.61762000e-02
2.430740e+04 5.56375000e-02
2.430770e+04 4.19059000e-02
2.430790e+04 3.25083000e-02
2.430850e+04 2.10871000e-02
2.430900e+04 1.47956000e-02
2.431010e+04 8.56868000e-03
2.431120e+04 5.73281000e-03
2.431330e+04 3.31514000e-03
2.431550e+04 2.34310000e-03
2.431980e+04 1.58345000e-03
2.432410e+04 1.29857000e-03
2.433280e+04 1.08637000e-03
2.434140e+04 1.01017000e-03
2.437600e+04 9.38129000e-04
2.444510e+04 9.27768000e-04
2.458330e+04 9.41976000e-04
2.485970e+04 9.81432000e-04
2.541250e+04 1.07300000e-03
2.651810e+04 1.31101000e-03
2.762380e+04 1.65748000e-03
2.872940e+04 2.18782000e-03
2.983510e+04 3.05391000e-03
3.038790e+04 3.70456000e-03
3.094070e+04 4.59022000e-03
3.149350e+04 5.82728000e-03
3.204640e+04 7.59941000e-03
3.259920e+04 1.01858000e-02
3.315200e+04 1.39430000e-02
3.399000e+04 2.19303000e-02
3.482800e+04 2.68933000e-02
3.566550e+04 2.11713000e-02
3.650300e+04 1.31139000e-02
3.734660e+04 8.00672000e-03
3.819010e+04 5.18357000e-03
3.903370e+04 3.57309000e-03
3.987730e+04 2.59787000e-03
4.072080e+04 1.97276000e-03
4.156440e+04 1.55225000e-03
4.325150e+04 1.04491000e-03
4.493860e+04 7.66364000e-04
4.662580e+04 6.00094000e-04
5.000000e+04 4.26538000e-04
5.384980e+04 3.45227000e-04
5.769950e+04 3.21227000e-04
6.154930e+04 3.33301000e-04
6.539900e+04 3.79759000e-04
6.924880e+04 4.73818000e-04
7.309850e+04 6.53411000e-04
7.502340e+04 8.01578000e-04
7.694830e+04 1.01661000e-03
7.887310e+04 1.33537000e-03
8.079800e+04 1.80971000e-03
8.626800e+04 3.62423000e-03
8.870770e+04 3.23900000e-03
8.992760e+04 2.84843000e-03
9.053750e+04 2.92115000e-03
9.069000e+04 3.13448000e-03
9.084240e+04 3.68735000e-03
9.091870e+04 4.28972000e-03
9.099490e+04 5.43588000e-03
9.107120e+04 7.88198000e-03
