14-Si_n-g
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
1.000000e-05 8.29477777e+00
1.250000e-05 7.41907093e+00
1.500000e-05 6.77265288e+00
2.000000e-05 5.86529579e+00
2.750000e-05 5.00194199e+00
3.500000e-05 4.43374173e+00
4.250000e-05 4.02355493e+00
5.000000e-05 3.70953547e+00
6.250000e-05 3.31791298e+00
7.500000e-05 3.02882540e+00
1.000000e-04 2.62303589e+00
1.250000e-04 2.34611663e+00
1.500000e-04 2.14170097e+00
2.000000e-04 1.85476758e+00
2.750000e-04 1.58174883e+00
3.500000e-04 1.40206949e+00
4.250000e-04 1.27236051e+00
5.000000e-04 1.17306285e+00
6.250000e-04 1.04921436e+00
7.500000e-04 9.57798073e-01
1.000000e-03 8.29477777e-01
1.250000e-03 7.41907093e-01
1.500000e-03 6.77265288e-01
2.000000e-03 5.86529579e-01
2.750000e-03 5.00194199e-01
3.500000e-03 4.43374173e-01
4.250000e-03 4.02355493e-01
5.000000e-03 3.70953547e-01
6.250000e-03 3.31791298e-01
7.500000e-03 3.02882540e-01
1.000000e-02 2.62303589e-01
1.250000e-02 2.34611663e-01
1.500000e-02 2.14170097e-01
2.000000e-02 1.85476789e-01
2.530000e-02 1.64909379e-01
3.147500e-02 1.47850202e-01
3.765000e-02 1.35183533e-01
5.000000e-02 1.17306291e-01
6.250000e-02 1.04921450e-01
7.500000e-02 9.57799135e-02
1.000000e-01 8.29478822e-02
1.250000e-01 7.41908108e-02
1.500000e-01 6.77266334e-02
2.000000e-01 5.86529703e-02
2.750000e-01 5.00194432e-02
3.500000e-01 4.43375281e-02
5.000000e-01 3.70954685e-02
7.500000e-01 3.02883709e-02
1.000000e+00 2.62305743e-02
1.500000e+00 2.14172312e-02
2.000000e+00 1.85479035e-02
2.750000e+00 1.58178144e-02
3.500000e+00 1.40210281e-02
5.000000e+00 1.17309749e-02
7.500000e+00 9.57841655e-03
1.000000e+01 8.29527346e-03
1.500000e+01 6.77327275e-03
2.000000e+01 5.86599970e-03
2.750000e+01 5.00277302e-03
3.500000e+01 4.43468741e-03
5.000000e+01 3.71066875e-03
7.500000e+01 3.03021941e-03
1.000000e+02 2.62465694e-03
1.500000e+02 2.14370270e-03
2.000000e+02 1.85709986e-03
2.750000e+02 1.58453013e-03
3.500000e+02 1.40526935e-03
5.000000e+02 1.17705274e-03
7.500000e+02 9.63174453e-04
1.000000e+03 8.36609475e-04
1.250000e+03 7.62987259e-04
1.500000e+03 6.92576147e-04
1.625000e+03 6.75187192e-04
1.750000e+03 6.62475907e-04
1.812500e+03 6.59778472e-04
1.875000e+03 6.62004428e-04
1.937500e+03 6.73738284e-04
2.000000e+03 7.06449196e-04
2.029290e+03 7.38900973e-04
2.058590e+03 7.90815777e-04
2.087880e+03 8.79247905e-04
2.117180e+03 1.04493563e-03
2.131820e+03 1.18693227e-03
2.146470e+03 1.40636384e-03
2.161120e+03 1.77058140e-03
2.175760e+03 2.43976404e-03
2.183090e+03 3.00689893e-03
2.190410e+03 3.87688705e-03
2.197730e+03 5.31057461e-03
2.205060e+03 7.92283869e-03
2.208720e+03 1.01209360e-02
2.212380e+03 1.34715763e-02
2.216040e+03 1.89461732e-02
2.219700e+03 2.88007118e-02
2.221530e+03 3.69961633e-02
2.223370e+03 4.93454065e-02
2.225200e+03 6.92072831e-02
2.227030e+03 1.04138331e-01
2.227940e+03 1.32552164e-01
2.228860e+03 1.74366105e-01
2.229770e+03 2.39656366e-01
2.230690e+03 3.49465552e-01
2.231600e+03 5.55612183e-01
2.232060e+03 7.33497983e-01
2.232520e+03 1.00948985e+00
2.232980e+03 1.47046371e+00
2.233430e+03 2.30889657e+00
2.233660e+03 3.00292377e+00
2.233890e+03 4.02086580e+00
2.234120e+03 5.54973609e+00
2.234350e+03 7.83289979e+00
2.234680e+03 1.25362956e+01
2.235000e+03 1.56547321e+01
2.235330e+03 1.25165376e+01
2.235650e+03 7.83033328e+00
2.235990e+03 4.75595765e+00
2.236320e+03 3.06209817e+00
2.236660e+03 2.09811148e+00
2.236990e+03 1.51566521e+00
2.237330e+03 1.14010467e+00
2.237660e+03 8.87073908e-01
