14-Si_n-tot
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
1.000000e-05 1.02957351e+01
1.250000e-05 9.41998181e+00
1.500000e-05 8.77356407e+00
2.000000e-05 7.86620698e+00
2.750000e-05 7.00285365e+00
3.500000e-05 6.43465292e+00
4.250000e-05 6.02446611e+00
5.000000e-05 5.71044665e+00
6.250000e-05 5.31882386e+00
7.500000e-05 5.02973628e+00
1.000000e-04 4.62394708e+00
1.250000e-04 4.34702781e+00
1.500000e-04 4.14261185e+00
2.000000e-04 3.85567877e+00
2.750000e-04 3.58266001e+00
3.500000e-04 3.40298074e+00
4.250000e-04 3.27327179e+00
5.000000e-04 3.17397419e+00
6.250000e-04 3.05012554e+00
7.500000e-04 2.95870679e+00
1.000000e-03 2.83039209e+00
1.250000e-03 2.74281494e+00
1.500000e-03 2.67817940e+00
2.000000e-03 2.58744308e+00
2.750000e-03 2.50110359e+00
3.500000e-03 2.44428799e+00
4.250000e-03 2.40326884e+00
5.000000e-03 2.37186330e+00
6.250000e-03 2.33270549e+00
7.500000e-03 2.30379574e+00
1.000000e-02 2.26321478e+00
1.250000e-02 2.23552394e+00
1.500000e-02 2.21507750e+00
2.000000e-02 2.18639170e+00
2.530000e-02 2.16581899e+00
3.147500e-02 2.14876518e+00
3.765000e-02 2.13609976e+00
5.000000e-02 2.11821757e+00
6.250000e-02 2.10583453e+00
7.500000e-02 2.09668880e+00
1.000000e-01 2.08385757e+00
1.250000e-01 2.07510158e+00
1.500000e-01 2.06863744e+00
2.000000e-01 2.05955985e+00
2.750000e-01 2.05093074e+00
3.500000e-01 2.04524609e+00
5.000000e-01 2.03800169e+00
7.500000e-01 2.03119564e+00
1.000000e+00 2.02713042e+00
1.500000e+00 2.02231385e+00
2.000000e+00 2.01944706e+00
2.750000e+00 2.01670733e+00
3.500000e+00 2.01490365e+00
5.000000e+00 2.01260288e+00
7.500000e+00 2.01042900e+00
1.000000e+01 2.00912289e+00
1.500000e+01 2.00755424e+00
2.000000e+01 2.00660926e+00
2.750000e+01 2.00568398e+00
3.500000e+01 2.00505186e+00
5.000000e+01 2.00419658e+00
7.500000e+01 2.00330394e+00
1.000000e+02 2.00268446e+00
1.500000e+02 2.00177695e+00
2.000000e+02 2.00106478e+00
2.750000e+02 2.00016147e+00
3.500000e+02 1.99933661e+00
5.000000e+02 1.99783315e+00
7.500000e+02 1.99547229e+00
1.000000e+03 1.99319972e+00
1.250000e+03 1.99097446e+00
1.500000e+03 1.98875756e+00
1.625000e+03 1.98766453e+00
1.750000e+03 1.98658603e+00
1.812500e+03 1.98605869e+00
1.875000e+03 1.98554680e+00
1.937500e+03 1.98506646e+00
2.000000e+03 1.98465599e+00
2.029290e+03 1.98451501e+00
2.058590e+03 1.98443981e+00
2.087880e+03 1.98448930e+00
2.117180e+03 1.98480338e+00
2.131820e+03 1.98516411e+00
2.146470e+03 1.98579253e+00
2.161120e+03 1.98692247e+00
2.175760e+03 1.98911212e+00
2.183090e+03 1.99101634e+00
2.190410e+03 1.99397719e+00
2.197730e+03 1.99890703e+00
2.205060e+03 2.00795841e+00
2.208720e+03 2.01560753e+00
2.212380e+03 2.02729480e+00
2.216040e+03 2.04643008e+00
2.219700e+03 2.08093384e+00
2.221530e+03 2.10966013e+00
2.223370e+03 2.15297500e+00
2.225200e+03 2.22268545e+00
2.227030e+03 2.34535690e+00
2.227940e+03 2.44518343e+00
2.228860e+03 2.59213196e+00
2.229770e+03 2.82164316e+00
2.230690e+03 3.20774861e+00
2.231600e+03 3.93279300e+00
2.232060e+03 4.55856339e+00
2.232520e+03 5.52956177e+00
2.232980e+03 7.15162095e+00
2.233430e+03 1.01022508e+01
2.233660e+03 1.25449597e+01
2.233890e+03 1.61280291e+01
2.234120e+03 2.15098386e+01
2.234350e+03 2.95477689e+01
2.234680e+03 4.61090745e+01
2.235000e+03 5.70958753e+01
2.235330e+03 4.60549589e+01
2.235650e+03 2.95582085e+01
2.235990e+03 1.87334845e+01
2.236320e+03 1.27687044e+01
2.236660e+03 9.37371638e+00
2.236990e+03 7.32220242e+00
2.237330e+03 5.99925632e+00
2.237660e+03 5.10786075e+00
