15-P_n-g
>   15-P-31:1.000000
1.000000e-05 8.29935000e+00
1.090510e-05 7.94984000e+00
1.176400e-05 7.65612000e+00
1.257080e-05 7.40805000e+00
1.332210e-05 7.19756000e+00
1.474650e-05 6.84351000e+00
1.500000e-05 6.78834000e+00
1.591380e-05 6.58946000e+00
1.684950e-05 6.40514000e+00
1.835730e-05 6.13826000e+00
2.000000e-05 5.88251000e+00
2.181020e-05 5.63478000e+00
2.352800e-05 5.42660000e+00
2.514170e-05 5.25075000e+00
2.664420e-05 5.10157000e+00
2.750000e-05 5.02619000e+00
2.949290e-05 4.85063000e+00
3.182750e-05 4.67057000e+00
3.369900e-05 4.53991000e+00
3.500000e-05 4.45830000e+00
3.671460e-05 4.35075000e+00
4.000000e-05 4.16948000e+00
4.362030e-05 3.99389000e+00
4.705590e-05 3.84633000e+00
5.000000e-05 3.73264000e+00
5.028330e-05 3.72170000e+00
5.328830e-05 3.61596000e+00
5.898560e-05 3.43809000e+00
6.365490e-05 3.31046000e+00
6.739790e-05 3.21785000e+00
7.342910e-05 3.08378000e+00
7.500000e-05 3.05306000e+00
8.000000e-05 2.95529000e+00
8.724060e-05 2.83084000e+00
9.411170e-05 2.72625000e+00
1.000000e-04 2.64566000e+00
1.005660e-04 2.63792000e+00
1.065760e-04 2.56297000e+00
1.179710e-04 2.43690000e+00
1.273100e-04 2.34643000e+00
1.347960e-04 2.28079000e+00
1.468580e-04 2.18576000e+00
1.500000e-04 2.16399000e+00
1.600000e-04 2.09469000e+00
1.744810e-04 2.00648000e+00
1.882230e-04 1.93235000e+00
2.000000e-04 1.87522000e+00
2.011330e-04 1.86973000e+00
2.131530e-04 1.81661000e+00
2.359420e-04 1.72725000e+00
2.546190e-04 1.66313000e+00
2.695910e-04 1.61661000e+00
2.750000e-04 1.60150000e+00
2.937160e-04 1.54925000e+00
3.200000e-04 1.48470000e+00
3.489620e-04 1.42217000e+00
3.500000e-04 1.42019000e+00
3.764470e-04 1.36963000e+00
4.022660e-04 1.32525000e+00
4.263060e-04 1.28760000e+00
4.718850e-04 1.22426000e+00
5.000000e-04 1.19005000e+00
5.092400e-04 1.17881000e+00
5.391840e-04 1.14584000e+00
5.874330e-04 1.09809000e+00
6.400000e-04 1.05234000e+00
6.979250e-04 1.00803000e+00
7.500000e-04 9.72743000e-01
7.528940e-04 9.70782000e-01
8.045320e-04 9.39325000e-01
8.526120e-04 9.12638000e-01
9.437700e-04 8.67746000e-01
1.000000e-03 8.43500000e-01
1.018480e-03 8.35532000e-01
1.078370e-03 8.12159000e-01
1.174870e-03 7.78320000e-01
1.280000e-03 7.45890000e-01
1.395850e-03 7.14480000e-01
1.500000e-03 6.89472000e-01
1.505790e-03 6.88082000e-01
1.609070e-03 6.65786000e-01
1.705230e-03 6.46870000e-01
1.887540e-03 6.15051000e-01
2.000000e-03 5.97866000e-01
2.036960e-03 5.92218000e-01
2.156740e-03 5.75652000e-01
2.349730e-03 5.51667000e-01
2.560000e-03 5.28681000e-01
2.750000e-03 5.10424000e-01
2.791700e-03 5.06417000e-01
3.011580e-03 4.87707000e-01
3.218130e-03 4.71903000e-01
3.410450e-03 4.58496000e-01
3.500000e-03 4.52957000e-01
3.775080e-03 4.35943000e-01
4.073920e-03 4.19759000e-01
4.313470e-03 4.08017000e-01
4.699460e-03 3.91017000e-01
5.000000e-03 3.79374000e-01
5.120000e-03 3.74725000e-01
5.583400e-03 3.58944000e-01
6.023150e-03 3.45683000e-01
6.436260e-03 3.34481000e-01
6.820900e-03 3.24978000e-01
7.500000e-03 3.10092000e-01
7.550160e-03 3.08993000e-01
8.147830e-03 2.97522000e-01
8.626940e-03 2.89199000e-01
9.398930e-03 2.77150000e-01
1.000000e-02 2.68897000e-01
1.024000e-02 2.65602000e-01
1.116680e-02 2.54417000e-01
1.204630e-02 2.45017000e-01
1.287250e-02 2.37078000e-01
1.364180e-02 2.30342000e-01
1.500000e-02 2.19791000e-01
1.510030e-02 2.19012000e-01
1.629570e-02 2.10881000e-01
1.725390e-02 2.04982000e-01
1.879790e-02 1.96441000e-01
2.000000e-02 1.90592000e-01
2.048000e-02 1.88256000e-01
2.159120e-02 1.83381000e-01
2.337220e-02 1.76304000e-01
2.530000e-02 1.69500000e-01
2.758990e-02 1.62239000e-01
2.976280e-02 1.56140000e-01
3.180420e-02 1.50993000e-01
3.370480e-02 1.46628000e-01
3.730840e-02 1.39291000e-01
3.765000e-02 1.38683000e-01
4.026180e-02 1.34031000e-01
4.262920e-02 1.30216000e-01
4.644390e-02 1.24696000e-01
5.000000e-02 1.20174000e-01
5.060000e-02 1.19411000e-01
5.517970e-02 1.14295000e-01
5.952570e-02 1.09999000e-01
6.360830e-02 1.06373000e-01
6.740970e-02 1.03298000e-01
7.461680e-02 9.81292000e-02
7.500000e-02 9.78888000e-02
8.052350e-02 9.44231000e-02
8.525840e-02 9.17357000e-02
9.288780e-02 8.78473000e-02
1.000000e-01 8.46612000e-02
1.012000e-01 8.41237000e-02
1.103590e-01 8.05198000e-02
1.190510e-01 7.74932000e-02
1.272170e-01 7.49385000e-02
1.348190e-01 7.27722000e-02
1.492340e-01 6.91309000e-02
1.500000e-01 6.89616000e-02
1.610470e-01 6.65200000e-02
1.705170e-01 6.46268000e-02
1.857760e-01 6.18874000e-02
2.000000e-01 5.96429000e-02
2.024000e-01 5.92642000e-02
2.207190e-01 5.67253000e-02
2.381030e-01 5.45931000e-02
2.544330e-01 5.27933000e-02
2.696390e-01 5.12673000e-02
2.750000e-01 5.07902000e-02
2.984670e-01 4.87020000e-02
3.220940e-01 4.68626000e-02
3.410340e-01 4.55289000e-02
3.500000e-01 4.49618000e-02
3.715510e-01 4.35990000e-02
4.048000e-01 4.17510000e-02
4.414380e-01 3.99623000e-02
4.762060e-01 3.84603000e-02
5.000000e-01 3.75365000e-02
5.088670e-01 3.71923000e-02
5.392770e-01 3.61172000e-02
5.969350e-01 3.43100000e-02
6.441880e-01 3.30142000e-02
6.820670e-01 3.20746000e-02
7.431030e-01 3.07150000e-02
7.500000e-01 3.05800000e-02
8.096000e-01 2.94131000e-02
8.828750e-01 2.81530000e-02
9.524110e-01 2.70948000e-02
1.000000e+00 2.64441000e-02
1.017730e+00 2.62016000e-02
1.078560e+00 2.54442000e-02
1.193870e+00 2.41710000e-02
