16-S_n-g
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
1.000000e-05 2.58487989e+01
1.250000e-05 2.31198410e+01
1.500000e-05 2.11054276e+01
2.000000e-05 1.82778144e+01
2.750000e-05 1.55873880e+01
3.500000e-05 1.38167955e+01
4.250000e-05 1.25385227e+01
5.000000e-05 1.15599211e+01
6.250000e-05 1.03395378e+01
7.500000e-05 9.43863684e+00
1.000000e-04 8.17409181e+00
1.250000e-04 7.31113523e+00
1.500000e-04 6.67411988e+00
2.000000e-04 5.77996071e+00
2.750000e-04 4.92916610e+00
3.500000e-04 4.36923788e+00
4.250000e-04 3.96502206e+00
5.000000e-04 3.65556287e+00
6.250000e-04 3.26963866e+00
7.500000e-04 2.98475628e+00
1.000000e-03 2.58487989e+00
1.250000e-03 2.31198410e+00
1.500000e-03 2.11054276e+00
2.000000e-03 1.82778144e+00
2.750000e-03 1.55873880e+00
3.500000e-03 1.38167005e+00
4.250000e-03 1.25385221e+00
5.000000e-03 1.15599209e+00
6.250000e-03 1.03395372e+00
7.500000e-03 9.43862677e-01
1.000000e-02 8.17408166e-01
1.250000e-02 7.31112551e-01
1.500000e-02 6.67410973e-01
2.000000e-02 5.77994106e-01
2.530000e-02 5.13899409e-01
3.147500e-02 4.60738899e-01
3.765000e-02 4.21264962e-01
5.000000e-02 3.65554307e-01
6.250000e-02 3.26960894e-01
7.500000e-02 2.98472648e-01
1.000000e-01 2.58484009e-01
1.250000e-01 2.31194465e-01
1.500000e-01 2.11050301e-01
2.000000e-01 1.82773187e-01
2.750000e-01 1.55867933e-01
3.500000e-01 1.38161029e-01
5.000000e-01 1.15591277e-01
7.500000e-01 9.43764599e-02
1.000000e+00 8.17296181e-02
1.500000e+00 6.67272233e-02
2.000000e+00 5.77834541e-02
2.750000e+00 4.92727338e-02
3.500000e+00 4.36710753e-02
5.000000e+00 3.65302567e-02
7.500000e+00 2.98164416e-02
1.000000e+01 2.58128232e-02
1.500000e+01 2.10614257e-02
2.000000e+01 1.82270732e-02
2.750000e+01 1.55279273e-02
3.500000e+01 1.37497097e-02
5.000000e+01 1.14800497e-02
7.500000e+01 9.34116396e-03
