16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
1.000000e-05 2.68815849e+01
1.250000e-05 2.41527220e+01
1.500000e-05 2.21383098e+01
2.000000e-05 1.93106949e+01
2.750000e-05 1.66202691e+01
3.500000e-05 1.48495825e+01
4.250000e-05 1.35713094e+01
5.000000e-05 1.25928024e+01
6.250000e-05 1.13723247e+01
7.500000e-05 1.04714615e+01
1.000000e-04 9.20695442e+00
1.250000e-04 8.34398834e+00
1.500000e-04 7.70697256e+00
2.000000e-04 6.81281347e+00
2.750000e-04 5.96201921e+00
3.500000e-04 5.40209100e+00
4.250000e-04 4.99787517e+00
5.000000e-04 4.68842548e+00
6.250000e-04 4.30249143e+00
7.500000e-04 4.01760939e+00
1.000000e-03 3.61773258e+00
1.250000e-03 3.34483721e+00
1.500000e-03 3.14339557e+00
2.000000e-03 2.86063451e+00
2.750000e-03 2.59159183e+00
3.500000e-03 2.41453255e+00
4.250000e-03 2.28670503e+00
5.000000e-03 2.18884520e+00
6.250000e-03 2.06680681e+00
7.500000e-03 1.97672037e+00
1.000000e-02 1.85026482e+00
1.250000e-02 1.76396376e+00
1.500000e-02 1.70026391e+00
2.000000e-02 1.61084908e+00
2.530000e-02 1.54675049e+00
3.147500e-02 1.49359753e+00
3.765000e-02 1.45411482e+00
5.000000e-02 1.39841265e+00
6.250000e-02 1.35981550e+00
7.500000e-02 1.33132708e+00
1.000000e-01 1.29133832e+00
1.250000e-01 1.26404700e+00
1.500000e-01 1.24390635e+00
2.000000e-01 1.21562266e+00
2.750000e-01 1.18871958e+00
3.500000e-01 1.17101178e+00
5.000000e-01 1.14843857e+00
7.500000e-01 1.12721725e+00
1.000000e+00 1.11456766e+00
1.500000e+00 1.09955308e+00
2.000000e+00 1.09060908e+00
2.750000e+00 1.08208318e+00
3.500000e+00 1.07646617e+00
5.000000e+00 1.06929948e+00
7.500000e+00 1.06254673e+00
1.000000e+01 1.05849839e+00
1.500000e+01 1.05366145e+00
2.000000e+01 1.05074241e+00
2.750000e+01 1.04791601e+00
3.500000e+01 1.04601056e+00
5.000000e+01 1.04348784e+00
7.500000e+01 1.04092764e+00
