17-Cl_n-g
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
1.000000e-05 1.66721100e+03
1.021900e-05 1.64928282e+03
1.043570e-05 1.63209002e+03
1.065000e-05 1.61559475e+03
1.096480e-05 1.59219050e+03
1.127750e-05 1.57000644e+03
1.154360e-05 1.55176472e+03
1.188000e-05 1.52965872e+03
1.231540e-05 1.50234109e+03
1.250000e-05 1.49132987e+03
1.270130e-05 1.47933426e+03
1.308720e-05 1.45736854e+03
1.347310e-05 1.43634982e+03
1.385900e-05 1.41620991e+03
1.424490e-05 1.39689579e+03
1.465700e-05 1.37713795e+03
1.500000e-05 1.36128204e+03
1.501670e-05 1.36051087e+03
1.548130e-05 1.34000201e+03
1.578850e-05 1.32686005e+03
1.617440e-05 1.31094376e+03
1.656030e-05 1.29558052e+03
1.694620e-05 1.28074760e+03
1.733210e-05 1.26641469e+03
1.782850e-05 1.24869771e+03
1.810390e-05 1.23912014e+03
1.848980e-05 1.22612061e+03
1.887570e-05 1.21351503e+03
1.936380e-05 1.19815514e+03
1.964750e-05 1.18943270e+03
2.000000e-05 1.17890775e+03
2.003340e-05 1.17791190e+03
2.043800e-05 1.16620765e+03
2.087140e-05 1.15406187e+03
2.130000e-05 1.14240131e+03
2.172360e-05 1.13121840e+03
2.234880e-05 1.11525542e+03
2.296250e-05 1.10028574e+03
2.350650e-05 1.08745002e+03
2.389240e-05 1.07863359e+03
2.466420e-05 1.06162196e+03
2.543600e-05 1.04538308e+03
2.620780e-05 1.02987149e+03
2.697960e-05 1.01501902e+03
2.750000e-05 1.00542846e+03
2.775140e-05 1.00080165e+03
2.852320e-05 9.87173097e+02
2.931400e-05 9.73778481e+02
3.006680e-05 9.61506944e+02
3.096240e-05 9.47531499e+02
3.161040e-05 9.37742368e+02
3.238220e-05 9.26492675e+02
3.315400e-05 9.15644511e+02
3.392580e-05 9.05167571e+02
3.469750e-05 8.95039131e+02
3.500000e-05 8.91224089e+02
3.565690e-05 8.82948264e+02
3.624110e-05 8.75776185e+02
3.701290e-05 8.66597512e+02
3.778470e-05 8.57699151e+02
3.872760e-05 8.47219025e+02
3.932830e-05 8.40705484e+02
4.010010e-05 8.32572299e+02
4.087590e-05 8.24628374e+02
4.174270e-05 8.16029746e+02
4.250000e-05 8.08741398e+02
4.259990e-05 8.07780763e+02
4.344710e-05 7.99879149e+02
4.473090e-05 7.88299117e+02
4.592480e-05 7.78001824e+02
4.704630e-05 7.68653461e+02
4.858990e-05 7.56343756e+02
5.000000e-05 7.45619805e+02
5.013350e-05 7.44605419e+02
5.167710e-05 7.33405344e+02
5.349910e-05 7.20844372e+02
5.486160e-05 7.11818432e+02
5.630790e-05 7.02605966e+02
5.785150e-05 6.93168069e+02
5.939500e-05 6.84099882e+02
6.093860e-05 6.75377159e+02
6.248220e-05 6.66978689e+02
6.250000e-05 6.66885345e+02
6.402580e-05 6.58891982e+02
6.575590e-05 6.50182148e+02
6.738750e-05 6.42268487e+02
6.884830e-05 6.35413434e+02
7.020020e-05 6.29252430e+02
7.174380e-05 6.22444644e+02
7.339270e-05 6.15417120e+02
7.499150e-05 6.08821408e+02
7.500000e-05 6.08787304e+02
7.637460e-05 6.03278118e+02
7.791820e-05 5.97275618e+02
8.000000e-05 5.89475076e+02
8.175180e-05 5.83127989e+02
8.409250e-05 5.74938396e+02
8.563610e-05 5.69733648e+02
8.717970e-05 5.64667541e+02
8.872330e-05 5.59734014e+02
9.026690e-05 5.54926248e+02
9.185000e-05 5.50124136e+02
9.345690e-05 5.45377839e+02
9.644130e-05 5.36862648e+02
9.952870e-05 5.28465335e+02
1.000000e-04 5.27241479e+02
1.026160e-04 5.20456921e+02
1.057030e-04 5.12803097e+02
1.087900e-04 5.05476555e+02
1.123410e-04 4.97441418e+02
1.149650e-04 4.91714404e+02
1.180520e-04 4.85241677e+02
1.217530e-04 4.77825199e+02
1.242270e-04 4.73022757e+02
1.250000e-04 4.71585085e+02
1.278780e-04 4.66237720e+02
1.304010e-04 4.61691870e+02
1.334880e-04 4.56323362e+02
1.365760e-04 4.51135157e+02
1.403050e-04 4.45112530e+02
1.427500e-04 4.41270138e+02
1.467850e-04 4.35176977e+02
1.499830e-04 4.30510186e+02
1.500000e-04 4.30485895e+02
1.520110e-04 4.27615540e+02
1.550980e-04 4.23341250e+02
1.581850e-04 4.19191964e+02
1.612730e-04 4.15160860e+02
1.643600e-04 4.11244916e+02
1.674470e-04 4.07437308e+02
1.705340e-04 4.03732733e+02
1.737890e-04 3.99936633e+02
1.771360e-04 3.96143227e+02
1.804400e-04 3.92500741e+02
1.859700e-04 3.86612932e+02
1.900810e-04 3.82428088e+02
1.952310e-04 3.77327298e+02
2.000000e-04 3.72822019e+02
2.014050e-04 3.71496591e+02
2.083330e-04 3.65284130e+02
2.139970e-04 3.60411004e+02
2.199280e-04 3.55516047e+02
2.261030e-04 3.50628858e+02
2.322770e-04 3.45938647e+02
2.391120e-04 3.40966593e+02
2.446260e-04 3.37093089e+02
2.508000e-04 3.32917289e+02
2.569740e-04 3.28892251e+02
2.631490e-04 3.25008882e+02
2.695500e-04 3.21125747e+02
2.750000e-04 3.17927736e+02
2.754970e-04 3.17636494e+02
2.816710e-04 3.14137575e+02
2.878460e-04 3.10751537e+02
2.940200e-04 3.07472322e+02
3.001940e-04 3.04294625e+02
3.063680e-04 3.01213144e+02
3.125430e-04 2.98223330e+02
3.200000e-04 2.94734576e+02
3.270070e-04 2.91560913e+02
3.339410e-04 2.88517668e+02
3.434150e-04 2.84499307e+02
3.495890e-04 2.81974661e+02
3.500000e-04 2.81810934e+02
3.557630e-04 2.79517613e+02
3.619380e-04 2.77123619e+02
3.681120e-04 2.74790991e+02
3.801610e-04 2.70402589e+02
3.928090e-04 2.66012770e+02
4.051570e-04 2.61927078e+02
4.175060e-04 2.58023210e+02
4.250000e-04 2.55756669e+02
4.298550e-04 2.54289539e+02
4.422040e-04 2.50714625e+02
4.545520e-04 2.47285929e+02
4.690250e-04 2.43449369e+02
4.792490e-04 2.40829306e+02
4.915980e-04 2.37784712e+02
5.000000e-04 2.35789361e+02
5.039460e-04 2.34853081e+02
5.162950e-04 2.32028538e+02
