19-K_n-g
>   19-K-39:0.932690
>   19-K-41:0.067310
1.000000e-05 1.04732985e+02
1.250000e-05 9.36758596e+01
1.500000e-05 8.55139922e+01
2.000000e-05 7.40572694e+01
2.750000e-05 6.31562790e+01
3.500000e-05 5.59820484e+01
4.250000e-05 5.08028607e+01
5.000000e-05 4.68379298e+01
6.250000e-05 4.18931006e+01
7.500000e-05 3.82429916e+01
1.000000e-04 3.31194057e+01
1.250000e-04 2.96228851e+01
1.500000e-04 2.70418628e+01
2.000000e-04 2.34189615e+01
2.750000e-04 1.99717841e+01
3.500000e-04 1.77030309e+01
4.250000e-04 1.60652946e+01
5.000000e-04 1.48113925e+01
6.250000e-04 1.32477576e+01
7.500000e-04 1.20934158e+01
1.000000e-03 1.04731991e+01
1.250000e-03 9.36752394e+00
1.500000e-03 8.55132720e+00
2.000000e-03 7.40564425e+00
2.750000e-03 6.31553453e+00
3.500000e-03 5.59810080e+00
4.250000e-03 5.08017203e+00
5.000000e-03 4.68366827e+00
6.250000e-03 4.18916534e+00
7.500000e-03 3.82414377e+00
1.000000e-02 3.31176384e+00
1.250000e-02 2.96208245e+00
1.500000e-02 2.70396821e+00
2.000000e-02 2.34163808e+00
2.530000e-02 2.08190883e+00
3.147500e-02 1.86648514e+00
3.765000e-02 1.70651737e+00
5.000000e-02 1.48073579e+00
6.250000e-02 1.32432095e+00
7.500000e-02 1.20884516e+00
1.000000e-01 1.04675073e+00
1.250000e-01 9.36108528e-01
1.500000e-01 8.54427835e-01
2.000000e-01 7.39751040e-01
2.750000e-01 6.30599625e-01
3.500000e-01 5.58734416e-01
5.000000e-01 4.67082633e-01
7.500000e-01 3.80845164e-01
1.000000e+00 3.29367901e-01
1.500000e+00 2.68190492e-01
2.000000e+00 2.31625988e-01
2.750000e+00 1.96728569e-01
3.500000e+00 1.73677681e-01
5.000000e+00 1.44151014e-01
7.500000e+00 1.16167812e-01
1.000000e+01 9.93265522e-02
1.500000e+01 7.91204990e-02
2.000000e+01 6.69212974e-02
2.750000e+01 5.51894487e-02
3.500000e+01 4.74070869e-02
5.000000e+01 3.74576348e-02
7.500000e+01 2.81941686e-02
1.000000e+02 2.28273534e-02
1.250000e+02 1.97932082e-02
1.500000e+02 1.68020962e-02
2.000000e+02 1.35009614e-02
2.750000e+02 1.06477125e-02
3.500000e+02 8.95396070e-03
5.000000e+02 7.02825740e-03
