20-Ca_n-g
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
1.000000e-05 2.19212268e+01
1.084650e-05 2.11376018e+01
1.175670e-05 2.02950156e+01
1.250000e-05 1.96069365e+01
1.273420e-05 1.94468996e+01
1.378260e-05 1.87304980e+01
1.494930e-05 1.79332652e+01
1.500000e-05 1.78986209e+01
1.620380e-05 1.73212655e+01
1.755100e-05 1.66751397e+01
1.899600e-05 1.59821139e+01
2.000000e-05 1.55005963e+01
2.060400e-05 1.53168499e+01
2.233300e-05 1.47908658e+01
2.418990e-05 1.42259778e+01
2.618140e-05 1.36201479e+01
2.750000e-05 1.32190222e+01
2.839770e-05 1.30392786e+01
3.078070e-05 1.25621427e+01
3.333990e-05 1.20497314e+01
3.500000e-05 1.17173432e+01
3.608470e-05 1.15605669e+01
3.913930e-05 1.11190765e+01
4.242380e-05 1.06443617e+01
4.250000e-05 1.06333485e+01
4.595100e-05 1.02514914e+01
4.973410e-05 9.83289044e+00
5.000000e-05 9.80346875e+00
5.394410e-05 9.47689902e+00
5.847090e-05 9.10208525e+00
6.250000e-05 8.76848303e+00
6.333240e-05 8.71760684e+00
6.854650e-05 8.39892460e+00
7.434900e-05 8.04428265e+00
7.500000e-05 8.00449459e+00
8.058810e-05 7.76478485e+00
8.728850e-05 7.47736400e+00
9.447480e-05 7.16910242e+00
1.000000e-04 6.93209665e+00
1.024720e-04 6.85973138e+00
1.051380e-04 6.78168769e+00
1.110710e-04 6.60800683e+00
1.170050e-04 6.43429814e+00
1.203060e-04 6.33766645e+00
1.250000e-04 6.20025784e+00
1.302110e-04 6.08765196e+00
1.412330e-04 5.84947675e+00
1.449070e-04 5.77008564e+00
1.500000e-04 5.66003150e+00
1.530850e-04 5.61324364e+00
1.612630e-04 5.48921534e+00
1.658130e-04 5.42020962e+00
1.794640e-04 5.21317909e+00
1.946560e-04 4.98277960e+00
1.997200e-04 4.90598030e+00
2.000000e-04 4.90173389e+00
2.109910e-04 4.79599474e+00
2.222620e-04 4.68756288e+00
2.285330e-04 4.62723316e+00
2.473480e-04 4.44622631e+00
2.682860e-04 4.24479699e+00
2.750000e-04 4.18020690e+00
2.752660e-04 4.17852275e+00
2.908000e-04 4.08017118e+00
3.063340e-04 3.98182051e+00
3.149780e-04 3.92709260e+00
3.409100e-04 3.76291019e+00
3.500000e-04 3.70535939e+00
3.697680e-04 3.61500648e+00
3.793870e-04 3.57104164e+00
4.007980e-04 3.47317999e+00
4.222080e-04 3.37532367e+00
4.250000e-04 3.36256259e+00
4.341210e-04 3.33064679e+00
4.698620e-04 3.20558456e+00
5.000000e-04 3.10012877e+00
5.096360e-04 3.07489836e+00
5.228940e-04 3.04018463e+00
5.524030e-04 2.96292051e+00
5.819120e-04 2.88565704e+00
5.983320e-04 2.84266452e+00
6.250000e-04 2.77284015e+00
6.475910e-04 2.72917585e+00
7.024100e-04 2.62322161e+00
7.206830e-04 2.58790381e+00
7.500000e-04 2.53124032e+00
7.613540e-04 2.51583865e+00
8.020250e-04 2.46066908e+00
8.246560e-04 2.42997048e+00
8.925480e-04 2.33787686e+00
9.681030e-04 2.23538939e+00
9.932880e-04 2.20122714e+00
1.000000e-03 2.19212263e+00
1.049340e-03 2.14644726e+00
1.105400e-03 2.09455147e+00
1.136590e-03 2.06567830e+00
1.230160e-03 1.97905949e+00
1.250000e-03 1.96069351e+00
1.334300e-03 1.90308869e+00
1.446270e-03 1.82657675e+00
1.500000e-03 1.78986195e+00
1.566510e-03 1.75796289e+00
1.695480e-03 1.69610777e+00
1.839010e-03 1.62727014e+00
1.993330e-03 1.55325814e+00
2.000000e-03 1.55005922e+00
2.159060e-03 1.50167094e+00
2.336810e-03 1.44759739e+00
2.534630e-03 1.38741882e+00
2.747320e-03 1.32271715e+00
2.750000e-03 1.32190188e+00
2.975750e-03 1.27670095e+00
3.220730e-03 1.22765010e+00
3.402490e-03 1.19125768e+00
3.493370e-03 1.17306148e+00
3.500000e-03 1.17173401e+00
3.786530e-03 1.13032081e+00
4.101350e-03 1.08481913e+00
4.213900e-03 1.06855213e+00
4.250000e-03 1.06333455e+00
4.439010e-03 1.04242004e+00
4.814770e-03 1.00084144e+00
5.000000e-03 9.80345531e-01
5.218810e-03 9.62228213e-01
5.497600e-03 9.39144801e-01
5.652720e-03 9.26301087e-01
6.118100e-03 8.87768598e-01
6.250000e-03 8.76847633e-01
6.636000e-03 8.53255573e-01
7.192870e-03 8.19220347e-01
7.500000e-03 8.00449074e-01
7.790920e-03 7.87969557e-01
8.432320e-03 7.60455853e-01
9.146130e-03 7.29836288e-01
9.913640e-03 6.96913460e-01
1.000000e-02 6.93209018e-01
1.073790e-02 6.71607886e-01
1.162190e-02 6.45730076e-01
1.250000e-02 6.20025179e-01
1.260570e-02 6.17741071e-01
1.366360e-02 5.94880761e-01
1.439350e-02 5.79108378e-01
1.479960e-02 5.70332978e-01
1.500000e-02 5.66002573e-01
1.601800e-02 5.50563413e-01
1.737400e-02 5.29998277e-01
1.883190e-02 5.07887904e-01
2.000000e-02 4.90172739e-01
2.039770e-02 4.86093896e-01
2.207700e-02 4.68871021e-01
2.332290e-02 4.56093197e-01
2.394580e-02 4.49704798e-01
2.493440e-02 4.39565875e-01
2.530000e-02 4.35816350e-01
2.744170e-02 4.20179976e-01
2.974450e-02 4.03367570e-01
3.147500e-02 3.90733538e-01
3.221760e-02 3.86707635e-01
3.487000e-02 3.72328147e-01
3.765000e-02 3.57257041e-01
3.880570e-02 3.52835697e-01
4.209060e-02 3.40268844e-01
4.562270e-02 3.26756408e-01
4.941590e-02 3.12245217e-01
5.000000e-02 3.10010710e-01
5.077200e-02 3.07989349e-01
5.348420e-02 3.00887878e-01
5.801170e-02 2.89033431e-01
6.250000e-02 2.77281715e-01
6.287990e-02 2.76547460e-01
