20-Ca_n-tot
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
1.000000e-05 2.50585281e+01
1.084650e-05 2.42706623e+01
1.175670e-05 2.34235210e+01
1.250000e-05 2.27317255e+01
1.273420e-05 2.25708263e+01
1.378260e-05 2.18505691e+01
1.494930e-05 2.10490498e+01
1.500000e-05 2.10142195e+01
1.620380e-05 2.04337757e+01
1.755100e-05 1.97841975e+01
1.899600e-05 1.90874724e+01
2.000000e-05 1.86033867e+01
2.060400e-05 1.84186381e+01
2.233300e-05 1.78897888e+01
2.418990e-05 1.73218271e+01
2.618140e-05 1.67127036e+01
2.750000e-05 1.63093990e+01
2.839770e-05 1.61286943e+01
3.078070e-05 1.56490101e+01
3.333990e-05 1.51338648e+01
3.500000e-05 1.47997048e+01
3.608470e-05 1.46420860e+01
3.913930e-05 1.41982257e+01
4.242380e-05 1.37209653e+01
4.250000e-05 1.37098930e+01
4.595100e-05 1.33259888e+01
4.973410e-05 1.29051461e+01
5.000000e-05 1.28755670e+01
5.394410e-05 1.25472151e+01
5.847090e-05 1.21703581e+01
6.250000e-05 1.18349389e+01
6.333240e-05 1.17837916e+01
6.854650e-05 1.14634132e+01
7.434900e-05 1.11068856e+01
7.500000e-05 1.10668861e+01
8.058810e-05 1.08258813e+01
8.728850e-05 1.05369092e+01
9.447480e-05 1.02269856e+01
1.000000e-04 9.98870317e+00
1.024720e-04 9.91594804e+00
1.051380e-04 9.83748388e+00
1.110710e-04 9.66286865e+00
1.170050e-04 9.48822542e+00
1.203060e-04 9.39107450e+00
1.250000e-04 9.25292755e+00
1.302110e-04 9.13971609e+00
1.412330e-04 8.90026179e+00
1.449070e-04 8.82044431e+00
1.500000e-04 8.70979984e+00
1.530850e-04 8.66275955e+00
1.612630e-04 8.53806208e+00
1.658130e-04 8.46868459e+00
1.794640e-04 8.26053867e+00
1.946560e-04 8.02889941e+00
1.997200e-04 7.95168685e+00
2.000000e-04 7.94741762e+00
2.109910e-04 7.84110955e+00
2.222620e-04 7.73209427e+00
2.285330e-04 7.67144041e+00
2.473480e-04 7.48946101e+00
2.682860e-04 7.28695067e+00
2.750000e-04 7.22201393e+00
2.752660e-04 7.22032073e+00
2.908000e-04 7.12144092e+00
3.063340e-04 7.02256200e+00
3.149780e-04 6.96754052e+00
3.409100e-04 6.80247742e+00
3.500000e-04 6.74461823e+00
3.697680e-04 6.65377569e+00
3.793870e-04 6.60957259e+00
4.007980e-04 6.51118128e+00
4.222080e-04 6.41279532e+00
4.250000e-04 6.39996524e+00
4.341210e-04 6.36787852e+00
4.698620e-04 6.24214655e+00
5.000000e-04 6.13612667e+00
5.096360e-04 6.11076069e+00
5.228940e-04 6.07586042e+00
5.524030e-04 5.99818169e+00
5.819120e-04 5.92050359e+00
5.983320e-04 5.87728062e+00
6.250000e-04 5.80708196e+00
6.475910e-04 5.76318298e+00
7.024100e-04 5.65665999e+00
7.206830e-04 5.62115261e+00
7.500000e-04 5.56418528e+00
7.613540e-04 5.54870069e+00
8.020250e-04 5.49323411e+00
8.246560e-04 5.46237046e+00
8.925480e-04 5.36978166e+00
9.681030e-04 5.26674370e+00
9.932880e-04 5.23239795e+00
1.000000e-03 5.22324458e+00
1.049340e-03 5.17732283e+00
1.105400e-03 5.12514711e+00
1.136590e-03 5.09611836e+00
1.230160e-03 5.00903280e+00
1.250000e-03 4.99056796e+00
1.334300e-03 4.93265443e+00
1.446270e-03 4.85573247e+00
1.500000e-03 4.81882117e+00
1.566510e-03 4.78675228e+00
1.695480e-03 4.72456784e+00
1.839010e-03 4.65536422e+00
1.993330e-03 4.58095871e+00
2.000000e-03 4.57774280e+00
2.159060e-03 4.52909228e+00
2.336810e-03 4.47472569e+00
2.534630e-03 4.41422136e+00
2.747320e-03 4.34916943e+00
2.750000e-03 4.34834975e+00
2.975750e-03 4.30291166e+00
3.220730e-03 4.25360346e+00
3.402490e-03 4.21702010e+00
3.493370e-03 4.19872853e+00
3.500000e-03 4.19739411e+00
3.786530e-03 4.15575609e+00
4.101350e-03 4.11000739e+00
4.213900e-03 4.09365209e+00
4.250000e-03 4.08840621e+00
4.439010e-03 4.06738052e+00
4.814770e-03 4.02558088e+00
5.000000e-03 4.00497601e+00
5.218810e-03 3.98676032e+00
5.497600e-03 3.96355156e+00
5.652720e-03 3.95063820e+00
6.118100e-03 3.91189675e+00
6.250000e-03 3.90091656e+00
6.636000e-03 3.87719957e+00
7.192870e-03 3.84298411e+00
7.500000e-03 3.82411354e+00
7.790920e-03 3.81156744e+00
8.432320e-03 3.78390692e+00
9.146130e-03 3.75312397e+00
9.913640e-03 3.72002547e+00
1.000000e-02 3.71630128e+00
1.073790e-02 3.69458496e+00
1.162190e-02 3.66856916e+00
1.250000e-02 3.64272720e+00
1.260570e-02 3.64043085e+00
1.366360e-02 3.61744799e+00
1.439350e-02 3.60159105e+00
1.479960e-02 3.59276866e+00
1.500000e-02 3.58841507e+00
1.601800e-02 3.57289329e+00
1.737400e-02 3.55221809e+00
1.883190e-02 3.52998939e+00
2.000000e-02 3.51217942e+00
2.039770e-02 3.50807827e+00
2.207700e-02 3.49076122e+00
2.332290e-02 3.47791353e+00
2.394580e-02 3.47149022e+00
2.493440e-02 3.46129590e+00
2.530000e-02 3.45752589e+00
2.744170e-02 3.44180638e+00
2.974450e-02 3.42490459e+00
3.147500e-02 3.41220339e+00
3.221760e-02 3.40815657e+00
3.487000e-02 3.39370239e+00
3.765000e-02 3.37855300e+00
3.880570e-02 3.37410766e+00
4.209060e-02 3.36147260e+00
4.562270e-02 3.34788683e+00
4.941590e-02 3.33329689e+00
5.000000e-02 3.33105025e+00
5.077200e-02 3.32901819e+00
5.348420e-02 3.32187920e+00
5.801170e-02 3.30996212e+00
6.250000e-02 3.29814831e+00
6.287990e-02 3.29740989e+00
