22-Ti_n-tot
>  22-Ti-46:0.082500
>  22-Ti-47:0.074400
>  22-Ti-48:0.737200
>  22-Ti-49:0.054100
>  22-Ti-50:0.051800
1.000000e-05 3.26046789e+02
1.250000e-05 2.92008409e+02
1.500000e-05 2.66882374e+02
2.000000e-05 2.31613724e+02
2.750000e-05 1.98054817e+02
3.500000e-05 1.75969692e+02
4.250000e-05 1.60025822e+02
5.000000e-05 1.47819702e+02
6.250000e-05 1.32597322e+02
7.500000e-05 1.21360893e+02
1.000000e-04 1.05588136e+02
1.250000e-04 9.48242417e+01
1.500000e-04 8.68785114e+01
2.000000e-04 7.57253561e+01
2.750000e-04 6.51133174e+01
3.500000e-04 5.81292687e+01
4.250000e-04 5.30873359e+01
5.000000e-04 4.92274731e+01
6.250000e-04 4.44137084e+01
7.500000e-04 4.08604014e+01
1.000000e-03 3.58725785e+01
1.250000e-03 3.24687400e+01
1.500000e-03 2.99561387e+01
2.000000e-03 2.64292007e+01
2.750000e-03 2.30733819e+01
3.500000e-03 2.08647960e+01
4.250000e-03 1.92704073e+01
5.000000e-03 1.80498699e+01
6.250000e-03 1.65276304e+01
7.500000e-03 1.54039135e+01
1.000000e-02 1.38266357e+01
1.250000e-02 1.27502458e+01
1.500000e-02 1.19556724e+01
2.000000e-02 1.08403537e+01
2.530000e-02 1.00409207e+01
3.147500e-02 9.37784901e+00
3.765000e-02 8.88544246e+00
5.000000e-02 8.19058631e+00
6.250000e-02 7.70920552e+00
7.500000e-02 7.35387170e+00
1.000000e-01 6.85509854e+00
1.250000e-01 6.51472243e+00
1.500000e-01 6.26347128e+00
2.000000e-01 5.91080231e+00
2.750000e-01 5.57526296e+00
3.500000e-01 5.35445438e+00
5.000000e-01 5.07305611e+00
7.500000e-01 4.80865474e+00
1.000000e+00 4.65112995e+00
1.500000e+00 4.46446436e+00
2.000000e+00 4.35338802e+00
2.750000e+00 4.24796045e+00
3.500000e+00 4.17883267e+00
5.000000e+00 4.09127808e+00
7.500000e+00 4.01009888e+00
1.000000e+01 3.96275821e+00
1.500000e+01 3.90874446e+00
2.000000e+01 3.87868964e+00
2.750000e+01 3.85303692e+00
3.500000e+01 3.83891399e+00
5.000000e+01 3.82680698e+00
7.500000e+01 3.82727935e+00
1.000000e+02 3.83857098e+00
1.500000e+02 3.87412096e+00
2.000000e+02 3.91716968e+00
2.750000e+02 3.98751945e+00
3.500000e+02 4.06095828e+00
5.000000e+02 4.21119710e+00
7.500000e+02 4.46415492e+00
1.000000e+03 4.71836644e+00
1.250000e+03 4.97797188e+00
1.500000e+03 5.23929857e+00
1.750000e+03 5.51706581e+00
2.000000e+03 5.81236482e+00
2.212280e+03 6.11079460e+00
2.254350e+03 6.17165184e+00
2.381530e+03 6.38765194e+00
2.424550e+03 6.47804036e+00
2.508700e+03 6.66111932e+00
2.635880e+03 7.05787362e+00
2.636830e+03 7.06235559e+00
2.699460e+03 7.36722696e+00
2.750000e+03 7.73025672e+00
2.763050e+03 7.82549314e+00
2.826640e+03 8.59577637e+00
2.849100e+03 9.02843063e+00
2.858430e+03 9.21016033e+00
2.890230e+03 1.01128255e+01
2.922020e+03 1.15091390e+01
2.953810e+03 1.38212941e+01
2.955240e+03 1.40061609e+01
2.985610e+03 1.79401670e+01
2.994890e+03 2.01636010e+01
3.017400e+03 2.55568916e+01
3.047700e+03 3.71438210e+01
3.061380e+03 4.07287430e+01
3.078000e+03 4.50913644e+01
3.108300e+03 3.79408616e+01
3.138600e+03 2.68745379e+01
3.167510e+03 2.01851454e+01
3.171490e+03 1.92673711e+01
3.204380e+03 1.52103546e+01
3.237270e+03 1.29732736e+01
3.270160e+03 1.16671971e+01
3.273650e+03 1.15822614e+01
3.303050e+03 1.09128279e+01
3.335940e+03 1.04571082e+01
3.379790e+03 1.01670779e+01
3.401720e+03 1.00703592e+01
3.432860e+03 1.00877739e+01
3.467500e+03 1.01967297e+01
3.485930e+03 1.02998682e+01
3.492340e+03 1.03627143e+01
3.500000e+03 1.04378193e+01
3.533280e+03 1.07727369e+01
3.538990e+03 1.08401647e+01
3.592060e+03 1.18439993e+01
3.645130e+03 1.35008696e+01
