23-V_n-g
>   23-V-50:0.002500
>   23-V-51:0.997500
1.000000e-05 2.52329100e+02
1.250000e-05 2.25690327e+02
1.500000e-05 2.06025740e+02
2.000000e-05 1.78423903e+02
2.750000e-05 1.52160585e+02
3.500000e-05 1.34875143e+02
4.250000e-05 1.22397918e+02
5.000000e-05 1.12844677e+02
6.250000e-05 1.00931643e+02
7.500000e-05 9.21375148e+01
1.000000e-04 7.97934560e+01
1.250000e-04 7.13694613e+01
1.500000e-04 6.51510643e+01
2.000000e-04 5.64225333e+01
2.750000e-04 4.81172925e+01
3.500000e-04 4.26514040e+01
4.250000e-04 3.87055283e+01
5.000000e-04 3.56846807e+01
6.250000e-04 3.19173425e+01
7.500000e-04 2.91364470e+01
1.000000e-03 2.52329100e+01
1.250000e-03 2.25690328e+01
1.500000e-03 2.06025765e+01
2.000000e-03 1.78423903e+01
2.750000e-03 1.52160585e+01
3.500000e-03 1.34876140e+01
4.250000e-03 1.22397943e+01
5.000000e-03 1.12844678e+01
6.250000e-03 1.00931752e+01
7.500000e-03 9.21376270e+00
1.000000e-02 7.97935708e+00
1.250000e-02 7.13695785e+00
1.500000e-02 6.51512813e+00
2.000000e-02 5.64227553e+00
2.530000e-02 5.01659998e+00
3.147500e-02 4.49765938e+00
3.765000e-02 4.11232538e+00
5.000000e-02 3.56850150e+00
6.250000e-02 3.19177815e+00
7.500000e-02 2.91368910e+00
1.000000e-01 2.52333615e+00
1.250000e-01 2.25695915e+00
1.500000e-01 2.06031378e+00
2.000000e-01 1.78430638e+00
2.750000e-01 1.52168418e+00
3.500000e-01 1.34885095e+00
5.000000e-01 1.12855828e+00
7.500000e-01 9.21511543e-01
1.000000e+00 7.98091310e-01
1.500000e+00 6.51703437e-01
2.000000e+00 5.64447663e-01
2.750000e+00 4.81435018e-01
3.500000e+00 4.26810483e-01
5.000000e+00 3.57203295e-01
7.500000e+00 2.91804455e-01
1.000000e+01 2.52842208e-01
1.500000e+01 2.06664520e-01
2.000000e+01 1.79174968e-01
2.750000e+01 1.53066847e-01
3.500000e+01 1.35932108e-01
5.000000e+01 1.14207465e-01
7.500000e+01 9.41272325e-02
1.000000e+02 8.28757608e-02
1.163130e+02 7.95768900e-02
1.244690e+02 7.85899067e-02
1.326250e+02 7.86565983e-02
1.367030e+02 7.94682817e-02
1.407810e+02 8.12631400e-02
1.448590e+02 8.48279483e-02
1.489380e+02 9.19327026e-02
1.500000e+02 9.51133531e-02
1.509770e+02 9.81516365e-02
1.530160e+02 1.07626537e-01
1.550550e+02 1.22550437e-01
1.570940e+02 1.47832838e-01
1.591330e+02 1.95396238e-01
1.601520e+02 2.36457896e-01
1.611720e+02 3.00314389e-01
1.621920e+02 4.06715882e-01
1.632110e+02 6.00561039e-01
1.637210e+02 7.60619786e-01
1.642310e+02 9.95108533e-01
1.647400e+02 1.34691494e+00
1.652500e+02 1.87402619e+00
1.659750e+02 2.94994963e+00
1.667000e+02 3.65216390e+00
1.667010e+02 3.65214290e+00
1.667020e+02 3.65213024e+00
1.667030e+02 3.65208007e+00
1.667060e+02 3.65195458e+00
1.667120e+02 3.65162860e+00
1.667230e+02 3.65065179e+00
1.667460e+02 3.64737301e+00
1.667910e+02 3.63564062e+00
1.668810e+02 3.59202584e+00
1.670630e+02 3.43217095e+00
1.674250e+02 2.92118651e+00
1.681500e+02 1.84550744e+00
1.686480e+02 1.33296066e+00
1.691450e+02 9.88481544e-01
1.696430e+02 7.57144761e-01
1.701410e+02 5.98327978e-01
1.711360e+02 4.04679577e-01
1.721310e+02 2.97697425e-01
1.731270e+02 2.33188860e-01
1.741220e+02 1.91549209e-01
1.761130e+02 1.43052242e-01
1.781030e+02 1.17013939e-01
1.800940e+02 1.01422472e-01
1.820840e+02 9.13186698e-02
1.840750e+02 8.43640530e-02
1.880560e+02 7.55725835e-02
1.920380e+02 7.03108499e-02
1.960190e+02 6.68018304e-02
2.000000e+02 6.42592610e-02
2.072780e+02 6.13949534e-02
2.145560e+02 5.94262958e-02
2.291130e+02 5.66492258e-02
2.436690e+02 5.45283131e-02
2.582250e+02 5.26794604e-02
2.750000e+02 5.07091473e-02
3.125000e+02 4.79465086e-02
3.500000e+02 4.53321200e-02
4.000000e+02 4.32145640e-02
5.000000e+02 3.90899295e-02
6.000000e+02 3.70104166e-02
7.000000e+02 3.49600612e-02
7.500000e+02 3.39429423e-02
8.125000e+02 3.33547479e-02
8.750000e+02 3.27752410e-02
9.375000e+02 3.22066666e-02
1.000000e+03 3.16537073e-02
1.046840e+03 3.16142132e-02
1.093680e+03 3.15961817e-02
1.140510e+03 3.16137669e-02
1.187350e+03 3.16957504e-02
1.210770e+03 3.17787196e-02
1.234190e+03 3.19078839e-02
1.257610e+03 3.21084681e-02
1.281030e+03 3.24248524e-02
1.304440e+03 3.29397733e-02
1.327860e+03 3.38162651e-02
1.351280e+03 3.53866893e-02
1.374700e+03 3.82624636e-02
1.397350e+03 4.25821492e-02
1.420000e+03 4.52032348e-02
1.442650e+03 4.20239204e-02
1.465300e+03 3.76431810e-02
1.482010e+03 3.54542901e-02
1.498720e+03 3.40245241e-02
1.500000e+03 3.39523649e-02
1.515430e+03 3.31966725e-02
1.532140e+03 3.26791865e-02
1.565560e+03 3.21409594e-02
1.598980e+03 3.19389373e-02
1.632390e+03 3.18968829e-02
1.665810e+03 3.19393508e-02
1.732650e+03 3.21505766e-02
1.799490e+03 3.24421381e-02
1.866330e+03 3.27705834e-02
2.000000e+03 3.34768712e-02
2.187500e+03 3.63609107e-02
2.375000e+03 3.92641381e-02
2.477000e+03 4.08489371e-02
2.750000e+03 5.12053605e-02
2.954000e+03 5.89496966e-02
3.125000e+03 7.28621060e-02
3.192500e+03 7.83545832e-02
3.431000e+03 1.16159027e-01
3.500000e+03 1.35625432e-01
3.550250e+03 1.49802382e-01
3.669500e+03 2.03095940e-01
3.788750e+03 2.91626186e-01
3.908000e+03 4.40440344e-01
4.000000e+03 6.07052890e-01
4.037500e+03 6.74965801e-01
4.167000e+03 7.95192185e-01
4.275700e+03 6.51749442e-01
4.330060e+03 5.50832242e-01
4.357230e+03 5.20404440e-01
4.370820e+03 5.73244977e-01
4.374220e+03 6.43052014e-01
4.377610e+03 8.39323099e-01
4.379310e+03 1.09588009e+00
4.380160e+03 1.33567909e+00
4.381010e+03 1.74096334e+00
4.381860e+03 2.50514809e+00
4.382290e+03 3.16693946e+00
4.382710e+03 4.19687816e+00
4.383140e+03 5.92500701e+00
4.383560e+03 9.08792989e+00
4.383770e+03 1.17309159e+01
4.383980e+03 1.56131859e+01
4.384200e+03 2.14834734e+01
4.384410e+03 3.03662109e+01
4.384700e+03 4.83188169e+01
4.385000e+03 6.02860239e+01
4.385300e+03 4.83170214e+01
4.385590e+03 3.03651136e+01
4.385910e+03 1.82943661e+01
4.386220e+03 1.17889704e+01
4.386540e+03 8.14829485e+00
4.386860e+03 5.97458275e+00
4.387490e+03 3.65091648e+00
4.388120e+03 2.52301330e+00
4.388750e+03 1.89482770e+00
4.389380e+03 1.51172785e+00
4.390640e+03 1.08792002e+00
4.391910e+03 8.70902919e-01
4.393170e+03 7.44926646e-01
4.395690e+03 6.11026230e-01
4.400750e+03 5.04663791e-01
4.405800e+03 4.60808692e-01
4.426000e+03 3.95110303e-01
4.497750e+03 2.97621472e-01
4.500000e+03 2.95640067e-01
4.569500e+03 2.34437067e-01
4.713000e+03 1.57646028e-01
4.856500e+03 1.16863742e-01
5.000000e+03 9.41112690e-02
5.289900e+03 7.50607572e-02
5.314100e+03 7.34707778e-02
5.434850e+03 7.30769138e-02
5.579800e+03 7.26067707e-02
5.628200e+03 7.24517968e-02
5.724750e+03 7.64407553e-02
5.797230e+03 7.94403672e-02
5.869700e+03 8.24471943e-02
5.942180e+03 8.54712792e-02
5.942300e+03 8.54763308e-02
5.978410e+03 8.92085849e-02
6.014650e+03 9.29729545e-02
6.050890e+03 9.67742437e-02
6.087130e+03 1.00658393e-01
6.105240e+03 1.02665554e-01
6.123360e+03 1.04761145e-01
6.141480e+03 1.07012400e-01
6.159600e+03 1.09531741e-01
6.179800e+03 1.12718958e-01
6.200000e+03 1.15521494e-01
6.220200e+03 1.16835705e-01
6.240400e+03 1.17791272e-01
6.252270e+03 1.18541516e-01
6.256400e+03 1.18849196e-01
6.264140e+03 1.20244545e-01
6.276010e+03 1.22481390e-01
6.287880e+03 1.24784761e-01
6.311610e+03 1.29511385e-01
6.335350e+03 1.34331118e-01
6.359090e+03 1.39198265e-01
6.382830e+03 1.44092074e-01
6.406560e+03 1.48999802e-01
6.430300e+03 1.53919769e-01
6.454040e+03 1.58846486e-01
6.477780e+03 1.63777878e-01
6.525250e+03 1.73647779e-01
6.547700e+03 1.78319249e-01
6.572730e+03 1.86465896e-01
6.620200e+03 2.01921213e-01
6.667680e+03 2.17383456e-01
6.715150e+03 2.32845545e-01
6.762630e+03 2.48313915e-01
6.810100e+03 2.63782368e-01
6.839000e+03 2.73202125e-01
6.857580e+03 2.78350099e-01
6.905050e+03 2.91507985e-01
6.934350e+03 2.99634004e-01
6.952530e+03 3.03161363e-01
6.982030e+03 3.08891677e-01
7.000000e+03 3.13041721e-01
7.005870e+03 3.14400053e-01
7.017780e+03 3.26007677e-01
7.023740e+03 3.66500556e-01
7.025230e+03 4.05761997e-01
7.026720e+03 5.09445979e-01
7.027470e+03 6.40786731e-01
7.028210e+03 9.62881390e-01
7.028590e+03 1.33488652e+00
7.028960e+03 2.13031342e+00
7.029140e+03 2.91153569e+00
7.029330e+03 4.28359718e+00
7.029520e+03 6.92216446e+00
7.029610e+03 9.14771675e+00
7.029700e+03 1.23354176e+01
7.029850e+03 1.95494376e+01
7.030000e+03 2.43593828e+01
7.030150e+03 1.95505352e+01
7.030300e+03 1.23364159e+01
7.030390e+03 9.06334916e+00
7.030490e+03 6.80547811e+00
7.030680e+03 4.17734514e+00
7.030870e+03 2.82736878e+00
7.031060e+03 2.06477029e+00
7.031450e+03 1.29359354e+00
7.031830e+03 9.35768814e-01
7.032590e+03 6.26300364e-01
7.033360e+03 5.00734018e-01
7.034890e+03 4.01811834e-01
7.036410e+03 3.64513192e-01
7.042530e+03 3.26450150e-01
7.054760e+03 3.16417407e-01
7.074050e+03 3.13772518e-01
7.079210e+03 3.13069886e-01
7.128120e+03 3.07346904e-01
