23-V_n-tot
>   23-V-50:0.002500
>   23-V-51:0.997500
1.000000e-05 2.57253955e+02
1.250000e-05 2.30615183e+02
1.500000e-05 2.10950570e+02
2.000000e-05 1.83348733e+02
2.750000e-05 1.57085390e+02
3.500000e-05 1.39799948e+02
4.250000e-05 1.27322723e+02
5.000000e-05 1.17769458e+02
6.250000e-05 1.05856435e+02
7.500000e-05 9.70622050e+01
1.000000e-04 8.47181413e+01
1.250000e-04 7.62941415e+01
1.500000e-04 7.00757420e+01
2.000000e-04 6.13472110e+01
2.750000e-04 5.30419652e+01
3.500000e-04 4.75760742e+01
4.250000e-04 4.36301985e+01
5.000000e-04 4.06094508e+01
6.250000e-04 3.68421100e+01
7.500000e-04 3.40611148e+01
1.000000e-03 3.01575778e+01
1.250000e-03 2.74936980e+01
1.500000e-03 2.55272393e+01
2.000000e-03 2.27670530e+01
2.750000e-03 2.01407212e+01
3.500000e-03 1.84122768e+01
4.250000e-03 1.71644545e+01
5.000000e-03 1.62092278e+01
6.250000e-03 1.50178255e+01
7.500000e-03 1.41384025e+01
1.000000e-02 1.29040463e+01
1.250000e-02 1.20616563e+01
1.500000e-02 1.14398365e+01
2.000000e-02 1.05669432e+01
2.530000e-02 9.94128715e+00
3.147500e-02 9.42235577e+00
3.765000e-02 9.03703125e+00
5.000000e-02 8.49321660e+00
6.250000e-02 8.11649225e+00
7.500000e-02 7.83841218e+00
1.000000e-01 7.44808765e+00
1.250000e-01 7.18171888e+00
1.500000e-01 6.98510193e+00
2.000000e-01 6.70913117e+00
2.750000e-01 6.44656458e+00
3.500000e-01 6.27378645e+00
5.000000e-01 6.05360448e+00
7.500000e-01 5.84674907e+00
1.000000e+00 5.72352025e+00
1.500000e+00 5.57751220e+00
2.000000e+00 5.49062528e+00
2.750000e+00 5.40818815e+00
3.500000e+00 5.35413322e+00
5.000000e+00 5.28565850e+00
7.500000e+00 5.22217038e+00
1.000000e+01 5.18511648e+00
1.500000e+01 5.14276165e+00
2.000000e+01 5.11912295e+00
2.750000e+01 5.09882785e+00
3.500000e+01 5.08754933e+00
5.000000e+01 5.07766603e+00
7.500000e+01 5.07786742e+00
1.000000e+02 5.08815568e+00
1.163130e+02 5.10104829e+00
1.244690e+02 5.10979942e+00
1.326250e+02 5.12250056e+00
1.367030e+02 5.13190038e+00
1.407810e+02 5.14528320e+00
1.448590e+02 5.16603002e+00
1.489380e+02 5.20189620e+00
1.500000e+02 5.21703291e+00
1.509770e+02 5.23110059e+00
1.530160e+02 5.27433210e+00
1.550550e+02 5.34199112e+00
1.570940e+02 5.45668264e+00
1.591330e+02 5.67385590e+00
1.601520e+02 5.86272841e+00
1.611720e+02 6.15838667e+00
1.621920e+02 6.65476243e+00
1.632110e+02 7.56677493e+00
1.637210e+02 8.32482407e+00
1.642310e+02 9.44113570e+00
1.647400e+02 1.11254966e+01
1.652500e+02 1.36661832e+01
1.659750e+02 1.89139328e+01
1.667000e+02 2.24826741e+01
1.667010e+02 2.24827832e+01
1.667020e+02 2.24829090e+01
1.667030e+02 2.24830847e+01
1.667060e+02 2.24833370e+01
1.667120e+02 2.24834415e+01
1.667230e+02 2.24820499e+01
1.667460e+02 2.24729423e+01
1.667910e+02 2.24295764e+01
1.668810e+02 2.22446947e+01
1.670630e+02 2.15196326e+01
