24-Cr_n-g
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.000000e-05 1.56652565e+02
1.250000e-05 1.40113835e+02
1.500000e-05 1.27905391e+02
2.000000e-05 1.10768832e+02
2.750000e-05 9.44634236e+01
3.500000e-05 8.37325024e+01
4.250000e-05 7.59857438e+01
5.000000e-05 7.00552209e+01
6.250000e-05 6.26590408e+01
7.500000e-05 5.71994761e+01
1.000000e-04 4.95358977e+01
1.250000e-04 4.43060961e+01
1.500000e-04 4.04456561e+01
2.000000e-04 3.50266867e+01
2.750000e-04 2.98707813e+01
3.500000e-04 2.64774841e+01
4.250000e-04 2.40278118e+01
5.000000e-04 2.21524651e+01
6.250000e-04 1.98136778e+01
7.500000e-04 1.80873108e+01
1.000000e-03 1.56639785e+01
1.250000e-03 1.40102301e+01
1.500000e-03 1.27894958e+01
2.000000e-03 1.10759696e+01
2.750000e-03 9.44556280e+00
3.500000e-03 8.37255448e+00
4.250000e-03 7.59794565e+00
5.000000e-03 7.00493929e+00
6.250000e-03 6.26537991e+00
7.500000e-03 5.71946533e+00
1.000000e-02 4.95317452e+00
1.250000e-02 4.43023191e+00
1.500000e-02 4.04420789e+00
2.000000e-02 3.50236552e+00
2.530000e-02 3.11396553e+00
3.147500e-02 2.79225043e+00
3.765000e-02 2.55333365e+00
5.000000e-02 2.21609246e+00
6.250000e-02 1.98242978e+00
7.500000e-02 1.80991834e+00
1.000000e-01 1.56773816e+00
1.250000e-01 1.40243505e+00
1.500000e-01 1.28039527e+00
2.000000e-01 1.10906099e+00
2.750000e-01 9.46001364e-01
3.500000e-01 8.38664458e-01
5.000000e-01 7.01821985e-01
7.500000e-01 5.73156537e-01
1.000000e+00 4.96431865e-01
1.500000e+00 4.05389060e-01
2.000000e+00 3.51094485e-01
2.750000e+00 2.99411844e-01
3.500000e+00 2.65383068e-01
5.000000e+00 2.21987401e-01
7.500000e+00 1.81162958e-01
1.000000e+01 1.56803014e-01
1.500000e+01 1.27871785e-01
2.000000e+01 1.10598790e-01
2.750000e+01 9.41375119e-02
3.500000e+01 8.32857088e-02
5.000000e+01 6.94282703e-02
7.500000e+01 5.63736182e-02
1.000000e+02 4.85814139e-02
1.500000e+02 3.93455131e-02
2.000000e+02 3.38630066e-02
2.750000e+02 2.86913150e-02
3.500000e+02 2.53346825e-02
5.000000e+02 2.11606050e-02
7.500000e+02 1.74563262e-02
9.999990e+02 1.54791147e-02
1.000000e+03 1.54790922e-02
1.000010e+03 1.54790468e-02
1.000020e+03 1.54789928e-02
1.000030e+03 1.54789237e-02
1.000040e+03 1.54788660e-02
1.000060e+03 1.54787464e-02
1.000080e+03 1.54786269e-02
1.000120e+03 1.54783819e-02
1.000150e+03 1.54782075e-02
1.000250e+03 1.54776514e-02
1.000310e+03 1.54773013e-02
1.000490e+03 1.54762247e-02
1.000610e+03 1.54755179e-02
1.000980e+03 1.54733505e-02
1.001220e+03 1.54719423e-02
1.001960e+03 1.54676218e-02
1.002450e+03 1.54647627e-02
1.003910e+03 1.54562266e-02
1.004890e+03 1.54505250e-02
1.007810e+03 1.54335778e-02
1.009780e+03 1.54222767e-02
1.015630e+03 1.53888428e-02
1.019560e+03 1.53668119e-02
1.031250e+03 1.53017697e-02
1.039110e+03 1.52597854e-02
1.062500e+03 1.51367722e-02
1.078210e+03 1.50606243e-02
1.125000e+03 1.48412021e-02
1.156430e+03 1.47166735e-02
1.250000e+03 1.43770481e-02
1.312850e+03 1.42238999e-02
1.469280e+03 1.40148312e-02
1.500000e+03 1.40817058e-02
1.508390e+03 1.41161760e-02
1.547490e+03 1.46049557e-02
1.567050e+03 1.53024548e-02
1.586600e+03 1.73058112e-02
1.596380e+03 2.01098334e-02
1.601260e+03 2.29235913e-02
1.606150e+03 2.80864883e-02
1.611040e+03 3.91787732e-02
1.613490e+03 5.02572271e-02
1.615930e+03 7.04892947e-02
1.617150e+03 8.75533075e-02
1.618370e+03 1.13630174e-01
1.619600e+03 1.56391532e-01
1.620820e+03 2.33810873e-01
1.621430e+03 2.98543992e-01
1.622040e+03 3.96629655e-01
1.622650e+03 5.55602042e-01
1.623260e+03 8.38561604e-01
1.623570e+03 1.07159394e+00
1.623870e+03 1.41762943e+00
1.624180e+03 1.96753398e+00
1.624480e+03 2.91089884e+00
1.624790e+03 4.74799126e+00
1.624940e+03 6.39338080e+00
1.625090e+03 9.03320488e+00
1.625250e+03 1.37142919e+01
1.625400e+03 2.30381738e+01
1.625480e+03 3.15548243e+01
1.625550e+03 4.50659357e+01
1.625630e+03 6.78498171e+01
1.625710e+03 1.07087677e+02
1.625790e+03 1.71193606e+02
1.625870e+03 2.13872798e+02
1.625950e+03 1.71198633e+02
1.626030e+03 1.07095218e+02
1.626120e+03 6.19788311e+01
1.626210e+03 3.87405576e+01
1.626300e+03 2.59187015e+01
1.626400e+03 1.84631656e+01
1.626490e+03 1.37193202e+01
1.626580e+03 1.05983163e+01
1.626760e+03 6.84767386e+00
1.626940e+03 4.76832023e+00
1.627130e+03 3.51316536e+00
1.627490e+03 2.13020596e+00
1.627860e+03 1.42777088e+00
1.628220e+03 1.02527828e+00
1.628590e+03 7.72896013e-01
1.628950e+03 6.04354690e-01
1.629680e+03 4.00140111e-01
1.630410e+03 2.86174729e-01
1.631140e+03 2.16010485e-01
1.631870e+03 1.69885545e-01
1.633330e+03 1.14813217e-01
1.634800e+03 8.44657689e-02
1.636260e+03 6.59862223e-02
1.637720e+03 5.39120736e-02
1.640640e+03 3.95959273e-02
1.643560e+03 3.17610087e-02
1.649400e+03 2.39180640e-02
1.655250e+03 2.02626914e-02
1.661090e+03 1.82680847e-02
1.672780e+03 1.62750542e-02
1.696150e+03 1.48403948e-02
1.719520e+03 1.43327863e-02
1.813020e+03 1.38315729e-02
2.000000e+03 1.37007555e-02
2.391700e+03 1.47585538e-02
2.709850e+03 1.63426851e-02
2.750000e+03 1.65831562e-02
2.783400e+03 1.67910481e-02
3.064780e+03 1.96515262e-02
3.175100e+03 2.08971386e-02
3.419700e+03 2.54475139e-02
3.500000e+03 2.70866652e-02
3.566800e+03 2.84594168e-02
3.774630e+03 3.47624855e-02
3.907450e+03 3.91984125e-02
4.129550e+03 4.61470479e-02
4.248100e+03 5.04932137e-02
4.418450e+03 5.30290056e-02
4.484480e+03 5.28459654e-02
4.588800e+03 5.34916226e-02
4.839400e+03 5.32020644e-02
4.929500e+03 5.38198514e-02
5.000000e+03 5.47420589e-02
5.138630e+03 5.79513251e-02
5.230990e+03 6.13705799e-02
5.277250e+03 6.28983711e-02
5.346490e+03 6.64853026e-02
5.346560e+03 6.64884979e-02
5.404240e+03 7.05388789e-02
5.415880e+03 7.13077442e-02
5.433110e+03 7.32734442e-02
5.447550e+03 7.48943944e-02
5.454770e+03 7.57281590e-02
5.458370e+03 7.62705794e-02
5.460180e+03 7.70520400e-02
5.461080e+03 7.94322402e-02
5.461530e+03 8.82153038e-02
5.461650e+03 9.69132677e-02
5.461760e+03 1.20402117e-01
5.461820e+03 1.51407072e-01
5.461840e+03 1.80192270e-01
5.461870e+03 2.29264987e-01
5.461900e+03 3.23079486e-01
5.461910e+03 4.05684053e-01
5.461930e+03 5.36953184e-01
5.461940e+03 7.62674792e-01
5.461960e+03 1.38184538e+00
5.461970e+03 2.14604822e+00
5.461980e+03 3.80967506e+00
5.461990e+03 7.40504304e+00
5.462000e+03 9.02843912e+00
5.462010e+03 7.06904272e+00
5.462020e+03 4.55274210e+00
