24-Cr_n-tot
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.000000e-05 1.60112876e+02
1.250000e-05 1.43574049e+02
1.500000e-05 1.31365702e+02
2.000000e-05 1.14229005e+02
2.750000e-05 9.79236913e+01
3.500000e-05 8.71928112e+01
4.250000e-05 7.94459600e+01
5.000000e-05 7.35153929e+01
6.250000e-05 6.61193081e+01
7.500000e-05 6.06597436e+01
1.000000e-04 5.29961644e+01
1.250000e-04 4.77663629e+01
1.500000e-04 4.39058713e+01
2.000000e-04 3.84869715e+01
2.750000e-04 3.33309698e+01
3.500000e-04 2.99377258e+01
4.250000e-04 2.74880786e+01
5.000000e-04 2.56127834e+01
6.250000e-04 2.32739877e+01
7.500000e-04 2.15475950e+01
1.000000e-03 1.91242290e+01
1.250000e-03 1.74704803e+01
1.500000e-03 1.62497419e+01
2.000000e-03 1.45362241e+01
2.750000e-03 1.29058089e+01
3.500000e-03 1.18328131e+01
4.250000e-03 1.10582045e+01
5.000000e-03 1.04651897e+01
6.250000e-03 9.72563036e+00
7.500000e-03 9.17971580e+00
1.000000e-02 8.41343017e+00
1.250000e-02 7.89048239e+00
1.500000e-02 7.50447178e+00
2.000000e-02 6.96263196e+00
2.530000e-02 6.57423213e+00
3.147500e-02 6.25251542e+00
3.765000e-02 6.01359603e+00
5.000000e-02 5.67637128e+00
6.250000e-02 5.44270438e+00
7.500000e-02 5.27020773e+00
1.000000e-01 5.02803646e+00
1.250000e-01 4.86275079e+00
1.500000e-01 4.74072493e+00
2.000000e-01 4.56941740e+00
2.750000e-01 4.40639877e+00
3.500000e-01 4.29909526e+00
5.000000e-01 4.16233940e+00
7.500000e-01 4.03380063e+00
1.000000e+00 3.95720797e+00
1.500000e+00 3.86643637e+00
2.000000e+00 3.81239952e+00
2.750000e+00 3.76110592e+00
3.500000e+00 3.72747544e+00
5.000000e+00 3.68486656e+00
7.500000e+00 3.64535928e+00
1.000000e+01 3.62232330e+00
1.500000e+01 3.59602246e+00
2.000000e+01 3.58139379e+00
2.750000e+01 3.56889213e+00
3.500000e+01 3.56200135e+00
5.000000e+01 3.55607674e+00
7.500000e+01 3.55629096e+00
1.000000e+02 3.56183344e+00
1.500000e+02 3.57954412e+00
2.000000e+02 3.60148616e+00
2.750000e+02 3.63858884e+00
3.500000e+02 3.67917398e+00
5.000000e+02 3.76899751e+00
7.500000e+02 3.94512007e+00
9.999990e+02 4.16072315e+00
1.000000e+03 4.16072358e+00
1.000010e+03 4.16073415e+00
1.000020e+03 4.16073589e+00
1.000030e+03 4.16075793e+00
1.000040e+03 4.16076629e+00
1.000060e+03 4.16078301e+00
1.000080e+03 4.16080599e+00
1.000120e+03 4.16084716e+00
1.000150e+03 4.16087109e+00
1.000250e+03 4.16095762e+00
1.000310e+03 4.16101645e+00
1.000490e+03 4.16119232e+00
1.000610e+03 4.16130687e+00
1.000980e+03 4.16166040e+00
1.001220e+03 4.16188993e+00
1.001960e+03 4.16259797e+00
1.002450e+03 4.16306692e+00
1.003910e+03 4.16445853e+00
1.004890e+03 4.16540027e+00
1.007810e+03 4.16821162e+00
1.009780e+03 4.17010917e+00
1.015630e+03 4.17574403e+00
1.019560e+03 4.17957335e+00
1.031250e+03 4.19096352e+00
1.039110e+03 4.19877301e+00
1.062500e+03 4.22201269e+00
1.078210e+03 4.23825778e+00
1.125000e+03 4.28666220e+00
1.156430e+03 4.32193015e+00
1.250000e+03 4.42697050e+00
1.312850e+03 4.51046667e+00
1.469280e+03 4.71851059e+00
1.500000e+03 4.75949178e+00
1.508390e+03 4.77558500e+00
1.547490e+03 4.85092745e+00
1.567050e+03 4.88911691e+00
1.586600e+03 4.92870273e+00
1.596380e+03 4.95045779e+00
1.601260e+03 4.96285317e+00
1.606150e+03 4.97782384e+00
1.611040e+03 4.99925469e+00
1.613490e+03 5.01600026e+00
1.615930e+03 5.04270552e+00
1.617150e+03 5.06363275e+00
1.618370e+03 5.09438853e+00
1.619600e+03 5.14334638e+00
1.620820e+03 5.23009053e+00
1.621430e+03 5.30184222e+00
1.622040e+03 5.40997546e+00
1.622650e+03 5.58452053e+00
1.623260e+03 5.89432753e+00
1.623570e+03 6.14912255e+00
1.623870e+03 6.52718625e+00
1.624180e+03 7.12770652e+00
1.624480e+03 8.15751272e+00
1.624790e+03 1.01625350e+01
1.624940e+03 1.19581532e+01
1.625090e+03 1.48388917e+01
1.625250e+03 1.99471189e+01
1.625400e+03 3.01219304e+01
1.625480e+03 3.94158053e+01
1.625550e+03 5.41601895e+01
1.625630e+03 7.90240597e+01
1.625710e+03 1.21844260e+02
1.625790e+03 1.91805580e+02
1.625870e+03 2.38388698e+02
1.625950e+03 1.91822653e+02
1.626030e+03 1.21867513e+02
1.626120e+03 7.26303513e+01
1.626210e+03 4.72691879e+01
1.626300e+03 3.32758756e+01
1.626400e+03 2.51390736e+01
1.626490e+03 1.99617091e+01
1.626580e+03 1.65554104e+01
1.626760e+03 1.24621284e+01
1.626940e+03 1.01928338e+01
1.627130e+03 8.82314339e+00
1.627490e+03 7.31420208e+00
1.627860e+03 6.54809413e+00
1.628220e+03 6.10935852e+00
1.628590e+03 5.83451877e+00
1.628950e+03 5.65118297e+00
1.629680e+03 5.42957964e+00
1.630410e+03 5.30650478e+00
1.631140e+03 5.23126554e+00
1.631870e+03 5.18227766e+00
1.633330e+03 5.12489807e+00
1.634800e+03 5.09454363e+00
1.636260e+03 5.07714017e+00
1.637720e+03 5.06672478e+00
1.640640e+03 5.05666101e+00
1.643560e+03 5.05366909e+00
1.649400e+03 5.05625697e+00
1.655250e+03 5.06344783e+00
1.661090e+03 5.07243724e+00
1.672780e+03 5.09261429e+00
1.696150e+03 5.13576405e+00
1.719520e+03 5.17993604e+00
1.813020e+03 5.35834755e+00
2.000000e+03 5.71615345e+00
2.391700e+03 6.94035572e+00
2.709850e+03 8.43143704e+00
2.750000e+03 8.63483460e+00
2.783400e+03 8.80409233e+00
3.064780e+03 1.10338236e+01
3.175100e+03 1.19590892e+01
3.419700e+03 1.52544168e+01
3.500000e+03 1.63990196e+01
3.566800e+03 1.73513247e+01
3.774630e+03 2.14626079e+01
3.907450e+03 2.42740902e+01
4.129550e+03 2.76002967e+01
4.248100e+03 2.96773009e+01
4.418450e+03 2.93170027e+01
4.484480e+03 2.83232947e+01
4.588800e+03 2.72257524e+01
4.839400e+03 2.38713593e+01
4.929500e+03 2.30666992e+01
5.000000e+03 2.28608024e+01
5.138630e+03 2.34640969e+01
5.230990e+03 2.46050998e+01
5.277250e+03 2.51450815e+01
5.346490e+03 2.65908986e+01
5.346560e+03 2.65921982e+01
5.404240e+03 2.82892065e+01
5.415880e+03 2.86113670e+01
5.433110e+03 2.94295034e+01
5.447550e+03 3.01004110e+01
5.454770e+03 3.04320629e+01
5.458370e+03 3.05969560e+01
5.460180e+03 3.06811827e+01
5.461080e+03 3.07298143e+01
5.461530e+03 3.07798527e+01
5.461650e+03 3.08146405e+01
5.461760e+03 3.08993542e+01
5.461820e+03 3.10073206e+01
5.461840e+03 3.11060807e+01
5.461870e+03 3.12740996e+01
5.461900e+03 3.15941949e+01
5.461910e+03 3.18754048e+01
5.461930e+03 3.23223333e+01
5.461940e+03 3.30900143e+01
5.461960e+03 3.51955328e+01
5.461970e+03 3.77938240e+01
5.461980e+03 4.34502219e+01
5.461990e+03 5.56756738e+01
5.462000e+03 6.11981358e+01
5.462010e+03 5.45388340e+01
