26-Fe_n-g
>  26-Fe-54:0.058450
>  26-Fe-56:0.917533
>  26-Fe-57:0.021190
>  26-Fe-58:0.002828
1.000000e-05 1.28840278e+02
1.250000e-05 1.15237662e+02
1.500000e-05 1.05197173e+02
2.000000e-05 9.11034243e+01
2.375000e-05 8.43972586e+01
2.750000e-05 7.76931490e+01
3.500000e-05 6.88676116e+01
4.250000e-05 6.24963337e+01
5.000000e-05 5.76187131e+01
6.250000e-05 5.15356878e+01
7.500000e-05 4.70454475e+01
1.000000e-04 4.07425564e+01
1.250000e-04 3.64412228e+01
1.500000e-04 3.32661341e+01
2.000000e-04 2.88092582e+01
2.375000e-04 2.66886020e+01
2.750000e-04 2.45685925e+01
3.500000e-04 2.17777246e+01
4.250000e-04 1.97629249e+01
5.000000e-04 1.82205100e+01
6.250000e-04 1.62969359e+01
7.500000e-04 1.48770171e+01
1.000000e-03 1.28838857e+01
1.250000e-03 1.15236401e+01
1.500000e-03 1.05196023e+01
2.000000e-03 9.11022532e+00
2.375000e-03 8.43962190e+00
2.750000e-03 7.76922217e+00
3.500000e-03 6.88666930e+00
4.250000e-03 6.24954909e+00
5.000000e-03 5.76179191e+00
6.250000e-03 5.15349571e+00
7.500000e-03 4.70446803e+00
1.000000e-02 4.07417644e+00
1.250000e-02 3.64404753e+00
1.500000e-02 3.32654185e+00
2.000000e-02 2.88085858e+00
2.530000e-02 2.56138433e+00
3.147500e-02 2.29641324e+00
3.765000e-02 2.09965601e+00
5.000000e-02 1.82197013e+00
6.250000e-02 1.62960593e+00
7.500000e-02 1.48760619e+00
1.000000e-01 1.28828580e+00
1.250000e-01 1.15225341e+00
1.500000e-01 1.05184088e+00
2.000000e-01 9.10886208e-01
2.750000e-01 7.76762807e-01
3.500000e-01 6.88488766e-01
4.140000e-01 6.33008942e-01
4.140010e-01 6.33008022e-01
4.140020e-01 6.33007942e-01
4.140030e-01 6.33006945e-01
4.140050e-01 6.33005006e-01
4.140110e-01 6.33001012e-01
4.140210e-01 6.32993103e-01
4.140420e-01 6.32976349e-01
4.140840e-01 6.32944655e-01
4.141680e-01 6.32880309e-01
4.143360e-01 6.32751755e-01
4.146720e-01 6.32495409e-01
4.153440e-01 6.31983815e-01
4.166880e-01 6.30962765e-01
4.193750e-01 6.28936301e-01
4.247500e-01 6.24941806e-01
4.355000e-01 6.17175476e-01
4.570000e-01 6.02473755e-01
5.000000e-01 5.75966806e-01
6.250000e-01 5.15112257e-01
7.500000e-01 4.70187279e-01
1.000000e+00 4.07117607e-01
1.500000e+00 3.32286384e-01
2.000000e+00 2.87660875e-01
2.750000e+00 2.45179993e-01
3.500000e+00 2.17207556e-01
5.000000e+00 1.81525261e-01
7.500000e+00 1.47938593e-01
1.000000e+01 1.27880829e-01
1.500000e+01 1.04027849e-01
2.000000e+01 8.97584464e-02
2.750000e+01 7.61257053e-02
3.500000e+01 6.71097138e-02
5.000000e+01 5.55419537e-02
7.500000e+01 4.45493127e-02
1.000000e+02 3.79124319e-02
1.330000e+02 3.26366487e-02
1.500000e+02 2.99202917e-02
1.660000e+02 2.83690968e-02
2.000000e+02 2.50791237e-02
2.074500e+02 2.46196997e-02
2.149000e+02 2.41705419e-02
2.186250e+02 2.39599625e-02
2.204880e+02 2.38654904e-02
2.223500e+02 2.37889218e-02
2.242130e+02 2.37565620e-02
2.251440e+02 2.37809450e-02
2.260750e+02 2.38707120e-02
2.265410e+02 2.39640570e-02
2.270060e+02 2.41186477e-02
2.274720e+02 2.43830260e-02
2.279380e+02 2.48656761e-02
2.284030e+02 2.58503347e-02
2.286360e+02 2.67624319e-02
2.288690e+02 2.82806976e-02
2.291020e+02 3.10637196e-02
2.292180e+02 3.34022100e-02
2.293340e+02 3.69388013e-02
2.294510e+02 4.26024783e-02
2.295670e+02 5.23330188e-02
2.296840e+02 7.04278904e-02
2.298000e+02 1.05822976e-01
2.299000e+02 1.55213871e-01
2.300000e+02 1.88080328e-01
2.301010e+02 1.54994897e-01
2.302010e+02 1.05458053e-01
2.302640e+02 8.35896181e-02
2.303270e+02 6.83423267e-02
2.304520e+02 5.02875132e-02
2.305780e+02 4.09065530e-02
2.307030e+02 3.55653077e-02
2.308290e+02 3.22767723e-02
2.309550e+02 3.01216336e-02
2.312060e+02 2.75736162e-02
2.314570e+02 2.61839383e-02
2.317080e+02 2.53433631e-02
2.322100e+02 2.44146753e-02
2.327130e+02 2.39322959e-02
2.332150e+02 2.36431100e-02
2.337170e+02 2.34507031e-02
2.342200e+02 2.33120247e-02
2.352240e+02 2.31198191e-02
2.362290e+02 2.29848600e-02
2.382380e+02 2.27859553e-02
2.402480e+02 2.26257559e-02
2.422570e+02 2.24812627e-02
2.462750e+02 2.22113512e-02
2.543120e+02 2.16962290e-02
2.623500e+02 2.11902850e-02
2.750000e+02 2.03996672e-02
2.784240e+02 2.02570268e-02
2.944980e+02 1.95915928e-02
3.105720e+02 1.89314382e-02
3.186090e+02 1.86057679e-02
3.266470e+02 1.82872582e-02
3.346840e+02 1.79869502e-02
3.387020e+02 1.78538201e-02
3.427210e+02 1.77488898e-02
3.447300e+02 1.77179610e-02
3.467390e+02 1.77150467e-02
3.487490e+02 1.77641505e-02
3.500000e+02 1.78624486e-02
3.507580e+02 1.79333243e-02
3.517630e+02 1.81093499e-02
3.527670e+02 1.83912335e-02
3.537720e+02 1.88677062e-02
3.547770e+02 1.97441483e-02
3.552790e+02 2.04795111e-02
3.557810e+02 2.15904322e-02
3.562840e+02 2.33771284e-02
3.567860e+02 2.65108451e-02
3.572880e+02 3.27556198e-02
3.575390e+02 3.84978877e-02
3.577900e+02 4.80448599e-02
3.580420e+02 6.56148904e-02
3.581670e+02 8.04689131e-02
3.582930e+02 1.03073264e-01
3.584180e+02 1.39681786e-01
3.585440e+02 2.03585070e-01
3.586700e+02 3.25315118e-01
3.587320e+02 4.27030160e-01
3.587950e+02 5.71297752e-01
3.588980e+02 9.02677404e-01
3.590000e+02 1.12314664e+00
3.591030e+02 9.01170299e-01
3.592060e+02 5.68885876e-01
3.592750e+02 4.13885431e-01
3.593440e+02 3.08699806e-01
3.594810e+02 1.87867438e-01
3.596190e+02 1.27079225e-01
3.597560e+02 9.31998087e-02
3.598940e+02 7.26503199e-02
3.600310e+02 5.93328442e-02
3.603060e+02 4.37729893e-02
3.605810e+02 3.54101388e-02
3.608560e+02 3.04156922e-02
3.611310e+02 2.71994778e-02
3.614060e+02 2.50080941e-02
3.619560e+02 2.22978773e-02
3.625060e+02 2.07468485e-02
3.630560e+02 1.97747349e-02
3.636060e+02 1.91235656e-02
3.647060e+02 1.83269627e-02
3.658060e+02 1.78705203e-02
3.669060e+02 1.75792176e-02
3.680060e+02 1.73777343e-02
3.702060e+02 1.71139947e-02
3.724060e+02 1.69424726e-02
3.746050e+02 1.68151713e-02
3.768050e+02 1.67116482e-02
3.812050e+02 1.65412290e-02
3.856050e+02 1.63949071e-02
3.944050e+02 1.61313881e-02
4.032040e+02 1.58835174e-02
4.120040e+02 1.56418348e-02
4.296030e+02 1.51660131e-02
4.648020e+02 1.42240732e-02
5.000000e+02 1.32858059e-02
6.250000e+02 1.14506872e-02
7.500000e+02 9.61769153e-03
9.999990e+02 8.16766003e-03
1.000000e+03 8.16766900e-03
1.000010e+03 8.16770081e-03
1.000020e+03 8.16774786e-03
1.000030e+03 8.16778573e-03
1.000040e+03 8.16782358e-03
1.000050e+03 8.16787529e-03
1.000070e+03 8.16797992e-03
1.000080e+03 8.16801848e-03
1.000100e+03 8.16809548e-03
1.000150e+03 8.16828797e-03
1.000160e+03 8.16833302e-03
1.000200e+03 8.16851313e-03
1.000290e+03 8.16891726e-03
1.000310e+03 8.16900130e-03
1.000390e+03 8.16933761e-03
1.000590e+03 8.17017966e-03
1.000620e+03 8.17031441e-03
1.000780e+03 8.17103295e-03
1.001170e+03 8.17278440e-03
1.001230e+03 8.17306316e-03
1.001560e+03 8.17459665e-03
1.002340e+03 8.17822252e-03
1.002460e+03 8.17883581e-03
1.003130e+03 8.18226013e-03
1.004670e+03 8.19012860e-03
1.004920e+03 8.19163981e-03
1.006250e+03 8.19968037e-03
1.009340e+03 8.21837114e-03
1.009840e+03 8.22249790e-03
1.012500e+03 8.24445583e-03
1.018670e+03 8.29541797e-03
1.019680e+03 8.30995866e-03
1.025000e+03 8.38656307e-03
1.037350e+03 8.56450747e-03
1.039360e+03 8.65126865e-03
1.050000e+03 9.11059515e-03
1.074690e+03 1.01768780e-02
1.078710e+03 1.07090184e-02
1.093370e+03 1.26497504e-02
1.100000e+03 1.44555147e-02
1.102700e+03 1.51909760e-02
1.112040e+03 1.99043849e-02
1.121370e+03 3.01009709e-02
1.126040e+03 4.03183153e-02
1.130710e+03 5.90065047e-02
1.133040e+03 7.47805316e-02
1.135380e+03 9.88947449e-02
1.137710e+03 1.38446355e-01
1.140050e+03 2.10052885e-01
1.141210e+03 2.69916152e-01
1.142380e+03 3.60597504e-01
1.143550e+03 5.07505257e-01
1.144710e+03 7.68792634e-01
1.145300e+03 9.83597921e-01
1.145880e+03 1.30280742e+00
1.146470e+03 1.80867058e+00
1.147050e+03 2.67634440e+00
1.147630e+03 4.35857618e+00
1.147920e+03 5.85999904e+00
1.148220e+03 8.26960490e+00
1.148510e+03 1.25103032e+01
1.148800e+03 2.08886608e+01
1.148950e+03 2.84142637e+01
1.149090e+03 4.04049475e+01
1.149240e+03 6.04562474e+01
1.149380e+03 9.43260480e+01
1.149540e+03 1.50969927e+02
1.149700e+03 1.88753004e+02
1.149860e+03 1.50980937e+02
1.150020e+03 9.43443985e+01
1.150140e+03 6.45449563e+01
1.150260e+03 4.56355257e+01
1.150390e+03 3.34545456e+01
1.150510e+03 2.53627333e+01
1.150750e+03 1.58298441e+01
1.151000e+03 1.07368038e+01
1.151240e+03 7.73307707e+00
1.151480e+03 5.82434301e+00
1.151970e+03 3.63630277e+00
1.152460e+03 2.47989039e+00
1.152950e+03 1.79937467e+00
1.153440e+03 1.36501461e+00
1.153920e+03 1.07112880e+00
1.154900e+03 7.10343749e-01
1.155880e+03 5.06226483e-01
1.156850e+03 3.79443460e-01
1.157420e+03 3.30622958e-01
1.157830e+03 2.95506465e-01
1.159780e+03 1.94618807e-01
1.161740e+03 1.38639783e-01
1.163690e+03 1.04387017e-01
1.165640e+03 8.19128005e-02
1.169550e+03 5.51826198e-02
1.173450e+03 4.04903777e-02
1.177360e+03 3.15534492e-02
1.181270e+03 2.57114500e-02
1.189080e+03 1.87814655e-02
1.196890e+03 1.49738447e-02
1.200000e+03 1.42073941e-02
1.212510e+03 1.11249516e-02
1.243760e+03 8.25759827e-03
1.275010e+03 7.15504564e-03
1.314850e+03 6.69367590e-03
1.400000e+03 5.71021157e-03
1.400010e+03 5.71015240e-03
1.400020e+03 5.71007000e-03
1.400030e+03 5.71000659e-03
1.400040e+03 5.70993988e-03
1.400050e+03 5.70988417e-03
1.400060e+03 5.70983024e-03
1.400090e+03 5.70966872e-03
1.400100e+03 5.70960273e-03
1.400110e+03 5.70953732e-03
1.400170e+03 5.70914416e-03
1.400200e+03 5.70895911e-03
1.400230e+03 5.70877212e-03
1.400340e+03 5.70808716e-03
1.400390e+03 5.70778329e-03
1.400450e+03 5.70742065e-03
1.400690e+03 5.70596981e-03
1.400780e+03 5.70541228e-03
1.400900e+03 5.70466711e-03
1.401370e+03 5.70174864e-03
1.401560e+03 5.70058500e-03
1.401800e+03 5.69911620e-03
1.402740e+03 5.69336455e-03
