27-Co_n-g
>  27-Co-59:1.000000
1.000000e-05 1.86912000e+03
1.250000e-05 1.67179000e+03
1.500000e-05 1.52613000e+03
2.000000e-05 1.32167000e+03
2.750000e-05 1.12712000e+03
3.500000e-05 9.99088000e+02
4.250000e-05 9.06658000e+02
5.000000e-05 8.35897000e+02
6.250000e-05 7.47649000e+02
7.500000e-05 6.82507000e+02
1.000000e-04 5.91069000e+02
1.250000e-04 5.28668000e+02
1.500000e-04 4.82606000e+02
2.000000e-04 4.17949000e+02
2.750000e-04 3.56429000e+02
3.500000e-04 3.15941000e+02
4.250000e-04 2.86712000e+02
5.000000e-04 2.64335000e+02
6.250000e-04 2.36429000e+02
7.500000e-04 2.15830000e+02
1.000000e-03 1.86914000e+02
1.250000e-03 1.67182000e+02
1.500000e-03 1.52616000e+02
2.000000e-03 1.32170000e+02
2.750000e-03 1.12716000e+02
3.500000e-03 9.99128000e+01
4.250000e-03 9.06702000e+01
5.000000e-03 8.35945000e+01
6.250000e-03 7.47703000e+01
7.500000e-03 6.82566000e+01
1.000000e-02 5.91137000e+01
1.250000e-02 5.28744000e+01
1.500000e-02 4.82690000e+01
2.000000e-02 4.18046000e+01
2.530000e-02 3.71711000e+01
3.147500e-02 3.33284000e+01
3.765000e-02 3.04752000e+01
5.000000e-02 2.64488000e+01
6.250000e-02 2.36600000e+01
7.500000e-02 2.16017000e+01
1.000000e-01 1.87131000e+01
1.250000e-01 1.67424000e+01
1.500000e-01 1.52881000e+01
2.000000e-01 1.32476000e+01
2.750000e-01 1.13075000e+01
3.500000e-01 1.00319000e+01
5.000000e-01 8.40807000e+00
7.500000e-01 6.88540000e+00
1.000000e+00 5.98055000e+00
1.500000e+00 4.91215000e+00
2.000000e+00 4.27950000e+00
2.750000e+00 3.68263000e+00
3.500000e+00 3.29414000e+00
5.000000e+00 2.80738000e+00
7.500000e+00 2.36555000e+00
1.000000e+01 2.11620000e+00
1.500000e+01 1.84932000e+00
2.000000e+01 1.72147000e+00
2.750000e+01 1.65041000e+00
3.500000e+01 1.66403000e+00
5.000000e+01 1.87908000e+00
6.250000e+01 2.28004000e+00
7.500000e+01 3.02705000e+00
8.125000e+01 3.63346000e+00
8.750000e+01 4.51358000e+00
9.375000e+01 5.85315000e+00
1.000000e+02 8.03168000e+00
1.036410e+02 9.99533000e+00
1.072830e+02 1.28594000e+01
