27-Co_n-tot
>  27-Co-59:1.000000
1.000000e-05 1.87510000e+03
1.250000e-05 1.67778000e+03
1.500000e-05 1.53211000e+03
2.000000e-05 1.32765000e+03
2.750000e-05 1.13310000e+03
3.500000e-05 1.00507000e+03
4.250000e-05 9.12639000e+02
5.000000e-05 8.41878000e+02
6.250000e-05 7.53630000e+02
7.500000e-05 6.88488000e+02
1.000000e-04 5.97050000e+02
1.250000e-04 5.34649000e+02
1.500000e-04 4.88587000e+02
2.000000e-04 4.23930000e+02
2.750000e-04 3.62410000e+02
3.500000e-04 3.21921000e+02
4.250000e-04 2.92692000e+02
5.000000e-04 2.70316000e+02
6.250000e-04 2.42410000e+02
7.500000e-04 2.21810000e+02
1.000000e-03 1.92895000e+02
1.250000e-03 1.73163000e+02
1.500000e-03 1.58597000e+02
2.000000e-03 1.38151000e+02
2.750000e-03 1.18697000e+02
3.500000e-03 1.05894000e+02
4.250000e-03 9.66510000e+01
5.000000e-03 8.95753000e+01
6.250000e-03 8.07511000e+01
7.500000e-03 7.42374000e+01
1.000000e-02 6.50945000e+01
1.250000e-02 5.88552000e+01
1.500000e-02 5.42497000e+01
2.000000e-02 4.77853000e+01
2.530000e-02 4.31518000e+01
3.147500e-02 3.93090000e+01
3.765000e-02 3.64558000e+01
5.000000e-02 3.24294000e+01
6.250000e-02 2.96405000e+01
7.500000e-02 2.75821000e+01
1.000000e-01 2.46934000e+01
1.250000e-01 2.27225000e+01
1.500000e-01 2.12682000e+01
2.000000e-01 1.92274000e+01
2.750000e-01 1.72870000e+01
3.500000e-01 1.60110000e+01
5.000000e-01 1.43865000e+01
7.500000e-01 1.28628000e+01
1.000000e+00 1.19569000e+01
1.500000e+00 1.08868000e+01
2.000000e+00 1.02527000e+01
2.750000e+00 9.65442000e+00
3.500000e+00 9.26524000e+00
5.000000e+00 8.77950000e+00
7.500000e+00 8.34667000e+00
1.000000e+01 8.11599000e+00
1.500000e+01 7.91823000e+00
2.000000e+01 7.90751000e+00
2.750000e+01 8.12137000e+00
3.500000e+01 8.58747000e+00
5.000000e+01 1.04796000e+01
6.250000e+01 1.36750000e+01
7.500000e+01 1.99030000e+01
8.125000e+01 2.52152000e+01
8.750000e+01 3.32271000e+01
9.375000e+01 4.59128000e+01
1.000000e+02 6.73855000e+01
1.036410e+02 8.73379000e+01
1.072830e+02 1.17124000e+02
1.109240e+02 1.64104000e+02
1.145650e+02 2.43843000e+02
1.182060e+02 3.93825000e+02
1.200270e+02 5.22842000e+02
1.218480e+02 7.22173000e+02
1.236680e+02 1.05025000e+03
1.254890e+02 1.63492000e+03
1.273090e+02 2.77963000e+03
1.282200e+02 3.75980000e+03
1.291300e+02 5.18009000e+03
1.305650e+02 8.37415000e+03
1.320000e+02 1.05398000e+04
1.334350e+02 8.49150000e+03
1.348700e+02 5.36445000e+03
1.358880e+02 3.81778000e+03
1.369050e+02 2.78503000e+03
1.379230e+02 2.09543000e+03
1.389410e+02 1.62378000e+03
1.409760e+02 1.05013000e+03
1.430110e+02 7.33187000e+02
1.450470e+02 5.41560000e+02
1.470820e+02 4.17370000e+02
1.511530e+02 2.71775000e+02
1.552230e+02 1.92883000e+02
1.592940e+02 1.45282000e+02
1.633640e+02 1.14282000e+02
1.674350e+02 9.29110000e+01
1.755760e+02 6.60286000e+01
1.837180e+02 5.02795000e+01
1.918590e+02 4.01869000e+01
2.000000e+02 3.32857000e+01
2.187500e+02 2.36896000e+01
2.375000e+02 1.83862000e+01
2.562500e+02 1.50841000e+01
2.750000e+02 1.28527000e+01
3.125000e+02 1.00513000e+01
3.500000e+02 8.37061000e+00
3.875000e+02 7.24852000e+00
4.250000e+02 6.44249000e+00
5.000000e+02 5.35085000e+00
6.250000e+02 4.27267000e+00
7.500000e+02 3.60620000e+00
1.000000e+03 2.77702000e+00
1.192780e+03 2.35115000e+00
1.289160e+03 2.17698000e+00
1.337360e+03 2.09742000e+00
1.361450e+03 2.06015000e+00
1.373500e+03 2.04540000e+00
1.376510e+03 2.04481000e+00
1.379530e+03 2.05141000e+00
1.381030e+03 2.06421000e+00
1.381790e+03 2.07770000e+00
1.382540e+03 2.10238000e+00
1.383290e+03 2.15341000e+00
1.383670e+03 2.20164000e+00
1.384040e+03 2.28348000e+00
1.384420e+03 2.43921000e+00
1.384610e+03 2.57467000e+00
1.384800e+03 2.78740000e+00
1.384990e+03 3.14932000e+00
1.385170e+03 3.82036000e+00
1.385270e+03 4.38653000e+00
1.385360e+03 5.23357000e+00
1.385460e+03 6.53776000e+00
1.385550e+03 8.55202000e+00
1.385680e+03 1.24608000e+01
1.385800e+03 1.50630000e+01
1.385930e+03 1.24618000e+01
1.386050e+03 8.55300000e+00
1.386200e+03 5.69320000e+00
1.386350e+03 4.26009000e+00
1.386500e+03 3.50015000e+00
1.386650e+03 3.06175000e+00
